Title: High-resolution mass models of dwarf galaxies from LITTLE THINGS 
Authors: Oh S.-H., Hunter D.A., Brinks E., Elmegreen B.G., Schruba A., 
         Walter F., Rupen M.P., Young L.M., Simpson C.E., Johnson M., 
         Herrmann K.A., Ficut-Vicas D., Cigan P., Heesen V., Ashley T., 
         Zhang H. 
Figure: Density profiles (DM + baryons) of the first nine LITTE THINGS
================================================================================
Byte-by-byte Description of file: dbf2B.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label  Explanations
--------------------------------------------------------------------------------
   1-  8 A8     ---     Name   Galaxy identifier
  10- 14 A5     ---     Type   Data type (1)
  16- 23 F8.5   [-]     R      Log radius scaled by R0.3
  25- 35 E11.4  [-]     rho    Log density scaled by {rho}0.3
  37- 42 F6.4   [-]   e_rho    Uncertainty in rho
--------------------------------------------------------------------------------
Note (1): 
    Data = The scaled total rotation velocity which is corrected 
           for the asymmetric drift.
   Model = Pseudo-isothermal halo model fit to the total rotation velocity.
--------------------------------------------------------------------------------
IC_1613  Model -0.07124 -4.3329E+00 0.0453 
IC_1613  Model -0.06561 -4.3397E+00 0.0425 
IC_1613  Model -0.06190 -4.3442E+00 0.0444 
IC_1613  Model -0.05639 -4.3510E+00 0.0479 
IC_1613  Model -0.05276 -4.3555E+00 0.0453 
IC_1613  Model -0.04915 -4.3600E+00 0.0466 
IC_1613  Model -0.04380 -4.3667E+00 0.0410 
IC_1613  Model -0.04027 -4.3712E+00 0.0429 
IC_1613  Model -0.03677 -4.3757E+00 0.0401 
IC_1613  Model -0.03157 -4.3825E+00 0.0418 
IC_1613  Model -0.02814 -4.3870E+00 0.0418 
IC_1613  Model -0.02304 -4.3937E+00 0.0441 
IC_1613  Model -0.01967 -4.3982E+00 0.0400 
IC_1613  Model -0.01633 -4.4027E+00 0.0404 
IC_1613  Model -0.01137 -4.4095E+00 0.0404 
IC_1613  Model -0.00809 -4.4141E+00 0.0399 
IC_1613  Model -0.00483 -4.4186E+00 0.0370 
IC_1613  Model  0.00000 -4.4254E+00 0.0359 
UGC_8508 Data  -1.42447 -3.9054E+00 0.3762 
UGC_8508 Data  -1.09340 -4.0609E+00 0.2866 
UGC_8508 Data  -0.92709 -4.0643E+00 0.1559 
UGC_8508 Data  -0.79239 -4.0083E+00 0.1110 
UGC_8508 Data  -0.70130 -4.0300E+00 0.1065 
UGC_8508 Data  -0.61631 -4.0213E+00 0.0819 
UGC_8508 Data  -0.55351 -4.0119E+00 0.0585 
UGC_8508 Data  -0.49867 -4.0456E+00 0.0556 
UGC_8508 Data  -0.44344 -4.1063E+00 0.0511 
UGC_8508 Data  -0.40028 -4.1422E+00 0.0415 
UGC_8508 Data  -0.35570 -4.2259E+00 0.0394 
UGC_8508 Data  -0.32013 -4.2458E+00 0.0401 
UGC_8508 Data  -0.28274 -4.3008E+00 0.0370 
UGC_8508 Data  -0.25248 -4.3128E+00 0.0342 
UGC_8508 Data  -0.22030 -4.3393E+00 0.0319 
UGC_8508 Data  -0.19397 -4.3572E+00 0.0297 
UGC_8508 Data  -0.16914 -4.3533E+00 0.0308 
UGC_8508 Data  -0.14241 -4.3444E+00 0.0307 
UGC_8508 Data  -0.12029 -4.2876E+00 0.0261 
UGC_8508 Data  -0.09633 -4.2793E+00 0.0272 
UGC_8508 Data  -0.07639 -4.2556E+00 0.0240 
UGC_8508 Data  -0.05467 -4.2453E+00 0.0202 
UGC_8508 Data  -0.03652 -4.2458E+00 0.0230 
UGC_8508 Data  -0.01909 -4.2584E+00 0.0229 
UGC_8508 Data   0.00000 -4.2897E+00 0.0176 
UGC_8508 Model -1.42447 -4.0145E+00 0.5274 
UGC_8508 Model -1.09340 -4.0175E+00 0.3064 
UGC_8508 Model -0.92709 -4.0218E+00 0.1550 
UGC_8508 Model -0.79239 -4.0289E+00 0.1177 
UGC_8508 Model -0.70130 -4.0368E+00 0.1089 
UGC_8508 Model -0.61631 -4.0474E+00 0.0873 
UGC_8508 Model -0.55351 -4.0582E+00 0.0659 
UGC_8508 Model -0.49867 -4.0701E+00 0.0621 
UGC_8508 Model -0.44344 -4.0851E+00 0.0547 
UGC_8508 Model -0.40028 -4.0993E+00 0.0441 
UGC_8508 Model -0.35570 -4.1166E+00 0.0390 
UGC_8508 Model -0.32013 -4.1325E+00 0.0400 
UGC_8508 Model -0.28274 -4.1516E+00 0.0355 
UGC_8508 Model -0.25248 -4.1690E+00 0.0329 
UGC_8508 Model -0.22030 -4.1893E+00 0.0301 
UGC_8508 Model -0.19397 -4.2076E+00 0.0276 
UGC_8508 Model -0.16914 -4.2263E+00 0.0287 
UGC_8508 Model -0.14241 -4.2478E+00 0.0285 
UGC_8508 Model -0.12029 -4.2668E+00 0.0260 
UGC_8508 Model -0.09633 -4.2887E+00 0.0268 
UGC_8508 Model -0.07639 -4.3078E+00 0.0242 
UGC_8508 Model -0.05467 -4.3296E+00 0.0206 
UGC_8508 Model -0.03652 -4.3486E+00 0.0237 
UGC_8508 Model -0.01909 -4.3675E+00 0.0241 
UGC_8508 Model  0.00000 -4.3888E+00 0.0192 
WLM      Data  -2.22257 -3.5839E+00 3.0347 
WLM      Data  -1.62069 -3.9293E+00 1.1234 
WLM      Data  -1.44454 -3.7961E+00 0.7509 
WLM      Data  -1.31957 -3.9168E+00 0.6907 
WLM      Data  -1.18131 -3.8691E+00 0.3728 
WLM      Data  -1.10874 -3.7640E+00 0.1954 
WLM      Data  -1.01854 -3.8852E+00 0.2194 
WLM      Data  -0.96742 -3.9375E+00 0.2331 
WLM      Data  -0.90046 -4.0058E+00 0.2653 
WLM      Data  -0.86094 -3.8941E+00 0.1701 
WLM      Data  -0.82475 -3.8503E+00 0.1308 
WLM      Data  -0.77552 -3.8384E+00 0.1163 
WLM      Data  -0.74555 -3.7723E+00 0.0826 
WLM      Data  -0.70417 -3.8337E+00 0.0820 
WLM      Data  -0.67861 -3.8105E+00 0.0677 
WLM      Data  -0.64288 -3.8379E+00 0.0616 
WLM      Data  -0.62062 -3.8333E+00 0.0538 
WLM      Data  -0.59943 -3.8285E+00 0.0460 
WLM      Data  -0.56947 -3.8421E+00 0.0483 
WLM      Data  -0.55058 -3.8475E+00 0.0424 
WLM      Data  -0.52370 -3.8849E+00 0.0474 
WLM      Data  -0.50668 -3.9092E+00 0.0469 
WLM      Data  -0.48232 -3.9083E+00 0.0477 
WLM      Data  -0.46680 -3.9314E+00 0.0503 
WLM      Data  -0.45183 -3.9463E+00 0.0492 
WLM      Data  -0.43029 -3.9609E+00 0.0454 
WLM      Data  -0.41650 -3.9657E+00 0.0437 
WLM      Data  -0.39661 -3.9765E+00 0.0394 
WLM      Data  -0.38383 -3.9832E+00 0.0376 
WLM      Data  -0.36535 -4.0178E+00 0.0383 
WLM      Data  -0.35345 -4.0133E+00 0.0384 
WLM      Data  -0.34186 -4.0152E+00 0.0438 
WLM      Data  -0.32505 -4.0320E+00 0.0504 
WLM      Data  -0.31420 -4.0508E+00 0.0500 
WLM      Data  -0.29840 -4.1100E+00 0.0515 
WLM      Data  -0.28818 -4.0969E+00 0.0609 
WLM      Data  -0.27820 -4.1145E+00 0.0620 
WLM      Data  -0.26364 -4.1471E+00 0.0658 
WLM      Data  -0.25420 -4.1516E+00 0.0634 
WLM      Data  -0.24041 -4.1679E+00 0.0572 
WLM      Data  -0.23145 -4.1740E+00 0.0550 
WLM      Data  -0.21836 -4.1920E+00 0.0546 
WLM      Data  -0.20984 -4.1859E+00 0.0548 
WLM      Data  -0.20149 -4.1974E+00 0.0541 
WLM      Data  -0.18926 -4.2184E+00 0.0522 
WLM      Data  -0.18129 -4.2381E+00 0.0476 
WLM      Data  -0.16960 -4.2525E+00 0.0464 
WLM      Data  -0.16198 -4.2663E+00 0.0425 
WLM      Data  -0.15080 -4.2732E+00 0.0427 
WLM      Data  -0.14350 -4.2790E+00 0.0470 
WLM      Data  -0.13632 -4.3009E+00 0.0513 
WLM      Data  -0.12577 -4.3328E+00 0.0468 
WLM      Data  -0.11887 -4.3584E+00 0.0452 
WLM      Data  -0.10874 -4.3883E+00 0.0447 
WLM      Data  -0.10210 -4.3998E+00 0.0452 
WLM      Data  -0.09235 -4.4083E+00 0.0472 
WLM      Data  -0.08596 -4.4225E+00 0.0489 
WLM      Data  -0.07966 -4.4240E+00 0.0435 
WLM      Data  -0.07039 -4.4436E+00 0.0432 
WLM      Data  -0.06432 -4.4595E+00 0.0449 
WLM      Data  -0.05536 -4.4736E+00 0.0445 
WLM      Data  -0.04949 -4.4941E+00 0.0485 
WLM      Data  -0.04083 -4.4918E+00 0.0433 
WLM      Data  -0.03516 -4.4922E+00 0.0425 
WLM      Data  -0.02956 -4.4963E+00 0.0432 
WLM      Data  -0.02128 -4.5096E+00 0.0471 
WLM      Data  -0.01585 -4.5117E+00 0.0450 
WLM      Data  -0.00784 -4.5136E+00 0.0427 
WLM      Data  -0.00257 -4.5148E+00 0.0438 
WLM      Data   0.00263 -4.5130E+00 0.0414 
WLM      Data   0.01032 -4.5266E+00 0.0451 
WLM      Data   0.01537 -4.5298E+00 0.0453 
WLM      Data   0.02283 -4.5325E+00 0.0414 
WLM      Data   0.02774 -4.5331E+00 0.0404 
WLM      Data   0.03500 -4.5348E+00 0.0393 
WLM      Data   0.03977 -4.5503E+00 0.0430 
WLM      Data   0.04449 -4.5509E+00 0.0434 
WLM      Data   0.05148 -4.5640E+00 0.0422 
WLM      Data   0.05607 -4.5606E+00 0.0405 
WLM      Data   0.06288 -4.5649E+00 0.0398 
WLM      Data   0.06736 -4.5548E+00 0.0392 
WLM      Data   0.07399 -4.5593E+00 0.0397 
WLM      Data   0.07835 -4.5676E+00 0.0454 
WLM      Data   0.08267 -4.5751E+00 0.0439 
WLM      Data   0.08907 -4.5875E+00 0.0420 
WLM      Data   0.09329 -4.5875E+00 0.0413 
WLM      Data   0.09954 -4.5987E+00 0.0402 
WLM      Data   0.10366 -4.6093E+00 0.0402 
WLM      Data   0.10976 -4.6143E+00 0.0387 
WLM      Data   0.11378 -4.6141E+00 0.0392 
WLM      Data   0.11776 -4.6128E+00 0.0398 
WLM      Data   0.12368 -4.6124E+00 0.0422 
WLM      Data   0.12757 -4.6248E+00 0.0435 
WLM      Data   0.13335 -4.6291E+00 0.0412 
WLM      Data   0.13716 -4.6409E+00 0.0412 
WLM      Data   0.14093 -4.6517E+00 0.0419 
WLM      Data   0.14654 -4.6829E+00 0.0439 
WLM      Data   0.15023 -4.6997E+00 0.0423 
WLM      Data   0.15572 -4.7337E+00 0.0452 
WLM      Data   0.15934 -4.7365E+00 0.0455 
WLM      Data   0.16471 -4.7530E+00 0.0454 
WLM      Data   0.16826 -4.7593E+00 0.0463 
WLM      Data   0.17177 -4.7850E+00 0.0466 
WLM      Data   0.17699 -4.8179E+00 0.0468 
WLM      Data   0.18044 -4.8718E+00 0.0545 
WLM      Data   0.18556 -4.9278E+00 0.0525 
WLM      Data   0.18894 -4.9584E+00 0.0572 
WLM      Data   0.19396 -5.0321E+00 0.0688 
WLM      Data   0.19728 -5.0903E+00 0.0778 
WLM      Data   0.20057 -5.1654E+00 0.0935 
WLM      Data   0.20546 -5.3378E+00 0.1439 
WLM      Data   0.20869 -5.5103E+00 0.2200 
WLM      Data   0.21348 -5.7977E+00 0.4479 
WLM      Data   0.21665 -6.2610E+00 1.2794 
WLM      Model -2.30715 -3.5854E+00 4.1374 
WLM      Model -1.70509 -3.5934E+00 0.8748 
WLM      Model -1.52900 -3.5991E+00 0.7343 
WLM      Model -1.40395 -3.6051E+00 0.5463 
WLM      Model -1.26568 -3.6144E+00 0.3206 
WLM      Model -1.19314 -3.6209E+00 0.2012 
WLM      Model -1.10298 -3.6311E+00 0.1840 
WLM      Model -1.05183 -3.6382E+00 0.1784 
WLM      Model -0.98485 -3.6494E+00 0.1800 
WLM      Model -0.94535 -3.6570E+00 0.1429 
WLM      Model -0.90914 -3.6649E+00 0.1196 
WLM      Model -0.85993 -3.6772E+00 0.1099 
WLM      Model -0.82997 -3.6856E+00 0.0879 
WLM      Model -0.78859 -3.6985E+00 0.0800 
WLM      Model -0.76301 -3.7075E+00 0.0695 
WLM      Model -0.72730 -3.7211E+00 0.0615 
WLM      Model -0.70503 -3.7304E+00 0.0547 
WLM      Model -0.68384 -3.7398E+00 0.0478 
WLM      Model -0.65388 -3.7543E+00 0.0501 
WLM      Model -0.63498 -3.7641E+00 0.0443 
WLM      Model -0.60811 -3.7790E+00 0.0476 
WLM      Model -0.59108 -3.7891E+00 0.0459 
WLM      Model -0.56673 -3.8044E+00 0.0480 
WLM      Model -0.55122 -3.8147E+00 0.0496 
WLM      Model -0.53624 -3.8251E+00 0.0482 
WLM      Model -0.51469 -3.8409E+00 0.0446 
WLM      Model -0.50090 -3.8515E+00 0.0434 
WLM      Model -0.48101 -3.8676E+00 0.0395 
WLM      Model -0.46824 -3.8783E+00 0.0380 
WLM      Model -0.44976 -3.8946E+00 0.0376 
WLM      Model -0.43785 -3.9055E+00 0.0387 
WLM      Model -0.42627 -3.9164E+00 0.0448 
WLM      Model -0.40946 -3.9328E+00 0.0517 
WLM      Model -0.39860 -3.9438E+00 0.0508 
WLM      Model -0.38281 -3.9603E+00 0.0493 
WLM      Model -0.37259 -3.9714E+00 0.0606 
WLM      Model -0.36260 -3.9824E+00 0.0613 
WLM      Model -0.34804 -3.9990E+00 0.0637 
WLM      Model -0.33860 -4.0100E+00 0.0621 
WLM      Model -0.32482 -4.0266E+00 0.0562 
WLM      Model -0.31586 -4.0376E+00 0.0545 
WLM      Model -0.30276 -4.0542E+00 0.0542 
WLM      Model -0.29425 -4.0651E+00 0.0557 
WLM      Model -0.28590 -4.0761E+00 0.0550 
WLM      Model -0.27366 -4.0925E+00 0.0528 
WLM      Model -0.26570 -4.1034E+00 0.0477 
WLM      Model -0.25401 -4.1196E+00 0.0466 
WLM      Model -0.24639 -4.1304E+00 0.0426 
WLM      Model -0.23520 -4.1466E+00 0.0433 
WLM      Model -0.22791 -4.1572E+00 0.0479 
WLM      Model -0.22073 -4.1679E+00 0.0516 
WLM      Model -0.21018 -4.1837E+00 0.0461 
WLM      Model -0.20328 -4.1942E+00 0.0438 
WLM      Model -0.19314 -4.2098E+00 0.0425 
WLM      Model -0.18651 -4.2202E+00 0.0429 
WLM      Model -0.17675 -4.2355E+00 0.0451 
WLM      Model -0.17037 -4.2457E+00 0.0465 
WLM      Model -0.16407 -4.2558E+00 0.0418 
WLM      Model -0.15480 -4.2708E+00 0.0412 
WLM      Model -0.14872 -4.2807E+00 0.0425 
WLM      Model -0.13977 -4.2954E+00 0.0422 
WLM      Model -0.13390 -4.3051E+00 0.0454 
WLM      Model -0.12525 -4.3194E+00 0.0413 
WLM      Model -0.11957 -4.3289E+00 0.0410 
WLM      Model -0.11396 -4.3383E+00 0.0419 
WLM      Model -0.10569 -4.3522E+00 0.0457 
WLM      Model -0.10026 -4.3613E+00 0.0439 
WLM      Model -0.09224 -4.3748E+00 0.0423 
WLM      Model -0.08698 -4.3837E+00 0.0437 
WLM      Model -0.08178 -4.3925E+00 0.0419 
WLM      Model -0.07409 -4.4054E+00 0.0456 
WLM      Model -0.06904 -4.4140E+00 0.0461 
WLM      Model -0.06158 -4.4266E+00 0.0426 
WLM      Model -0.05667 -4.4349E+00 0.0419 
WLM      Model -0.04941 -4.4471E+00 0.0413 
WLM      Model -0.04463 -4.4551E+00 0.0449 
WLM      Model -0.03991 -4.4630E+00 0.0457 
WLM      Model -0.03293 -4.4747E+00 0.0443 
WLM      Model -0.02833 -4.4824E+00 0.0432 
WLM      Model -0.02153 -4.4936E+00 0.0427 
WLM      Model -0.01705 -4.5011E+00 0.0430 
WLM      Model -0.01042 -4.5120E+00 0.0439 
WLM      Model -0.00606 -4.5192E+00 0.0501 
WLM      Model -0.00174 -4.5263E+00 0.0484 
WLM      Model  0.00467 -4.5368E+00 0.0461 
WLM      Model  0.00889 -4.5437E+00 0.0458 
WLM      Model  0.01513 -4.5539E+00 0.0444 
WLM      Model  0.01925 -4.5605E+00 0.0441 
WLM      Model  0.02535 -4.5705E+00 0.0428 
WLM      Model  0.02937 -4.5769E+00 0.0437 
WLM      Model  0.03336 -4.5834E+00 0.0447 
WLM      Model  0.03927 -4.5930E+00 0.0480 
WLM      Model  0.04316 -4.5994E+00 0.0491 
WLM      Model  0.04894 -4.6088E+00 0.0469 
WLM      Model  0.05275 -4.6149E+00 0.0467 
WLM      Model  0.05652 -4.6212E+00 0.0472 
WLM      Model  0.06213 -4.6304E+00 0.0482 
WLM      Model  0.06583 -4.6366E+00 0.0460 
WLM      Model  0.07131 -4.6458E+00 0.0478 
WLM      Model  0.07493 -4.6519E+00 0.0484 
WLM      Model  0.08030 -4.6612E+00 0.0478 
WLM      Model  0.08385 -4.6673E+00 0.0487 
WLM      Model  0.08737 -4.6736E+00 0.0479 
WLM      Model  0.09259 -4.6830E+00 0.0464 
WLM      Model  0.09603 -4.6894E+00 0.0508 
WLM      Model  0.10115 -4.6990E+00 0.0453 
WLM      Model  0.10453 -4.7056E+00 0.0469 
WLM      Model  0.10955 -4.7156E+00 0.0496 
WLM      Model  0.11287 -4.7224E+00 0.0498 
WLM      Model  0.11616 -4.7293E+00 0.0511 
WLM      Model  0.12105 -4.7399E+00 0.0539 
WLM      Model  0.12428 -4.7472E+00 0.0554 
WLM      Model  0.12907 -4.7584E+00 0.0528 
WLM      Model  0.13224 -4.7661E+00 0.0479 
WLM      Model  0.13696 -4.7781E+00 0.0480 
WLM      Model  0.14007 -4.7864E+00 0.0479 
WLM      Model  0.14316 -4.7950E+00 0.0494 
WLM      Model  0.14776 -4.8083E+00 0.0487 
WLM      Model  0.15079 -4.8176E+00 0.0484 
WLM      Model  0.15531 -4.8321E+00 0.0532 
WLM      Model  0.15830 -4.8424E+00 0.0567 
WLM      Model  0.16273 -4.8586E+00 0.0537 
WLM      Model  0.16567 -4.8698E+00 0.0508 
WLM      Model  0.16858 -4.8816E+00 0.0510 
WLM      Model  0.17292 -4.9006E+00 0.0505 
WLM      Model  0.17579 -4.9139E+00 0.0557 
