relative_path,bytes,sha256,source_url,citation_tag,license_note
Fig-A4_RAR-KiDS-all_Massbin-2.txt,1768,03bf9ab963a781497d850130b146be52315100708951b10ee731ccde7a0ec2c5,TODO_SOURCE_URL_Brouwer2021,Brouwer2021,Third-party dataset; original terms apply.
Fig-A4_RAR-KiDS-all_Massbin-3.txt,1767,21d94929668b93adc643bd522ab014c43018530e3b1a7e67d57a86c651363523,TODO_SOURCE_URL_Brouwer2021,Brouwer2021,Third-party dataset; original terms apply.
Fig-A4_RAR-KiDS-all_Massbin-4.txt,1768,667da2cdae83a5abfde820b430931e24a8f3c2fd7d0692dc8357abedda15f4fa,TODO_SOURCE_URL_Brouwer2021,Brouwer2021,Third-party dataset; original terms apply.
Fig-A4_RAR-KiDS-all_Massbins_covmatrix.txt,631160,2479324f6744b1f49d9a0fc960caac65021b6002c22ba4a9994c76571396587f,TODO_SOURCE_URL_Brouwer2021,Brouwer2021,Third-party dataset; original terms apply.
README.md,1123,f94812755467b2ce7decb650882bfdd39dfb9623ccca31b5f5fda1501fd0bc39,TODO_SOURCE_URL_Brouwer2021,Brouwer2021,Third-party dataset; original terms apply.
README.txt,5464,b3680580696c5dbf5671c700d5e8f90fbfd1dc614fa7e3e07b2f66d1624e8645,TODO_SOURCE_URL_Brouwer2021,Brouwer2021,Third-party dataset; original terms apply.
TERMS_OF_USE.md,578,eb1844e83b774086295170999795759b1040c5ce1a45213ae14064dab8a80d4d,TODO_SOURCE_URL_Brouwer2021,Brouwer2021,Third-party dataset; original terms apply.
brouwer2021_rar.tar,2430464,73adc2d4e848fa0a6a43187f7b5447e749b92eaec4a795b9902b0beaf8a78733,TODO_SOURCE_URL_Brouwer2021,Brouwer2021,Third-party dataset; original terms apply.
brouwer2021_rar_README.txt,5464,b3680580696c5dbf5671c700d5e8f90fbfd1dc614fa7e3e07b2f66d1624e8645,TODO_SOURCE_URL_Brouwer2021,Brouwer2021,Third-party dataset; original terms apply.
data_dictionary.md,1170,59cd1e3f025984c53df3e183eee7e9d08b02035b7a97f77da123dbff81123387,TODO_SOURCE_URL_Brouwer2021,Brouwer2021,Third-party dataset; original terms apply.
download_instructions.md,494,dd9c37bf608c54d239f95434314ef540f6d992c70fd83777384171c93dbc3dac,TODO_SOURCE_URL_Brouwer2021,Brouwer2021,Third-party dataset; original terms apply.
manifest.csv,64,3c6da1ac06fa63844ca0e3cf77197618f904bca16dfaf47a9627d7fab448a69c,TODO_SOURCE_URL_Brouwer2021,Brouwer2021,Third-party dataset; original terms apply.
