# Radius(m/s^2)  ESD_t(h70*M_sun/pc^2)  ESD_x(h70*M_sun/pc^2)  error(h70*M_sun/pc^2)  bias(1+K)  variance(e_s)  wk^2  w^2k^2
1.3822e-15    8.3645e-01    -2.8416e-01    2.0349e-01    9.8531e-01    7.8021e-02    2.4098e+01    2.4046e+01
2.4388e-15    1.0051e+00    -3.6267e-02    2.6441e-01    9.8531e-01    7.8021e-02    1.4125e+01    1.3949e+01
4.3030e-15    2.0540e+00    3.0938e-01    3.4404e-01    9.8531e-01    7.8021e-02    8.2428e+00    8.0418e+00
7.5922e-15    2.7622e+00    1.9871e-01    4.4886e-01    9.8531e-01    7.8021e-02    4.8026e+00    4.6470e+00
1.3396e-14    2.6697e+00    4.4150e-02    5.8666e-01    9.8531e-01    7.8021e-02    2.7914e+00    2.6817e+00
2.3635e-14    4.9914e+00    -2.3505e-02    7.7017e-01    9.8531e-01    7.8021e-02    1.6134e+00    1.5441e+00
4.1702e-14    8.0097e+00    1.1420e-01    1.0114e+00    9.8531e-01    7.8021e-02    9.3364e-01    8.9176e-01
7.3580e-14    7.1199e+00    3.0090e-01    1.3318e+00    9.8531e-01    7.8021e-02    5.3779e-01    5.1296e-01
1.2982e-13    1.3628e+01    -4.0463e-01    1.7542e+00    9.8531e-01    7.8021e-02    3.0970e-01    2.9516e-01
2.2906e-13    8.7192e+00    5.7779e-01    2.3150e+00    9.8531e-01    7.8021e-02    1.7776e-01    1.6934e-01
4.0416e-13    1.5221e+01    -6.3048e-01    3.0497e+00    9.8531e-01    7.8021e-02    1.0241e-01    9.7546e-02
7.1310e-13    1.7803e+01    4.4088e+00    4.0151e+00    9.8531e-01    7.8021e-02    5.9060e-02    5.6230e-02
1.2582e-12    2.6686e+01    -2.8841e+00    5.3280e+00    9.8531e-01    7.8021e-02    3.3490e-02    3.1839e-02
2.2200e-12    2.6968e+01    9.1092e+00    7.0478e+00    9.8531e-01    7.8021e-02    1.9134e-02    1.8185e-02
3.9169e-12    3.4408e+01    -4.7661e+00    9.4231e+00    9.8531e-01    7.8021e-02    1.0759e-02    1.0278e-02
