# n_2dphot_min[m]    n_2dphot_min[n]    Radius[i](mps2/h70)    Radius[j](mps2/h70)    covariance(h70*M_sun/pc^2)^2    correlation    bias(1+K[m,i])(1+K[n,j])
0.000000000000000000e+00 0.000000000000000000e+00 7.592162527861749358e-15 1.382201932178117638e-15 5.560768923028294643e-04 9.978457567876174508e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 7.592162527861749358e-15 2.438762430455725505e-15 1.087453398241636227e-03 1.505823901874265257e-02 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 7.592162527861749358e-15 4.302961856542886968e-15 1.824328803749316729e-03 1.944118303351237420e-02 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 7.592162527861749358e-15 7.592162527861749358e-15 1.219156908813606166e-01 1.000000000000000000e+00 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 7.592162527861749358e-15 1.339564090297987229e-14 2.073022537181919926e-03 1.305401910214120005e-02 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 7.592162527861749358e-15 2.363532057474613662e-14 1.205598105970648488e-03 5.803054516663383282e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 7.592162527861749358e-15 4.170225095738051496e-14 5.917762566134324555e-04 2.170755758536494374e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 7.592162527861749358e-15 7.357961274155570078e-14 3.190023828938135853e-04 8.910528763007191958e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 7.592162527861749358e-15 1.298241530590361534e-13 4.271235974107471297e-04 9.079300369605089157e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 7.592162527861749358e-15 2.290622373441387703e-13 3.395825194296560280e-04 5.481726793781019347e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 7.592162527861749358e-15 4.041582967480835065e-13 -9.232428915695894858e-05 -1.130582841088655983e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 7.592162527861749358e-15 7.130984605939525963e-13 -2.236982375196341270e-05 -2.079370720058464536e-05 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 7.592162527861749358e-15 1.258193679538452461e-12 6.121079829259429218e-05 4.325566375285815589e-05 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 7.592162527861749358e-15 2.219961790286235902e-12 5.928874287004942158e-04 3.165437894555549864e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 7.592162527861749358e-15 3.916909161504292686e-12 6.305383430283320167e-04 2.550624613104720455e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.339564090297987229e-14 1.382201932178117638e-15 2.746224235318932326e-04 3.783244298820643853e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.339564090297987229e-14 2.438762430455725505e-15 7.736230608848647253e-04 8.224182955949290233e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.339564090297987229e-14 4.302961856542886968e-15 1.257974275279116587e-03 1.029179574508176480e-02 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.339564090297987229e-14 7.592162527861749358e-15 2.073022537181919926e-03 1.305401910214120005e-02 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.339564090297987229e-14 1.339564090297987229e-14 2.068521100540228475e-01 1.000000000000000000e+00 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.339564090297987229e-14 2.363532057474613662e-14 1.862476437871726787e-03 6.882475991479519023e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.339564090297987229e-14 4.170225095738051496e-14 1.367396101821144504e-03 3.850770067224803302e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.339564090297987229e-14 7.357961274155570078e-14 8.513410313880142915e-04 1.825630735989290741e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.339564090297987229e-14 1.298241530590361534e-13 2.854665043343011625e-04 4.658582593871849462e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.339564090297987229e-14 2.290622373441387703e-13 3.168391671120345172e-04 3.926546527201945020e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.339564090297987229e-14 4.041582967480835065e-13 4.735292901602041176e-04 4.451773799557718660e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.339564090297987229e-14 7.130984605939525963e-13 1.650018708213309940e-04 1.177492242563102452e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.339564090297987229e-14 1.258193679538452461e-12 5.176647848707268242e-05 2.808428578516113805e-05 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.339564090297987229e-14 2.219961790286235902e-12 1.717660156134834964e-04 7.040420863343482729e-05 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.339564090297987229e-14 3.916909161504292686e-12 -5.174609223609441012e-04 -1.606987237757291815e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.363532057474613662e-14 1.382201932178117638e-15 7.150737607003958924e-05 7.529967577265342122e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.363532057474613662e-14 2.438762430455725505e-15 5.020469692744113002e-04 4.079637535779168968e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.363532057474613662e-14 4.302961856542886968e-15 7.879963543990659838e-04 4.927850000708899197e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.363532057474613662e-14 7.592162527861749358e-15 1.205598105970648488e-03 5.803054516663383282e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.363532057474613662e-14 1.339564090297987229e-14 1.862476437871726787e-03 6.882475991479519023e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.363532057474613662e-14 2.363532057474613662e-14 3.540235957653938836e-01 1.000000000000000000e+00 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.363532057474613662e-14 4.170225095738051496e-14 2.872439894817895630e-03 6.183268037170095571e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.363532057474613662e-14 7.357961274155570078e-14 1.696443507059726841e-03 2.780754500360440445e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.363532057474613662e-14 1.298241530590361534e-13 1.383410345372427771e-03 1.725692990623026992e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.363532057474613662e-14 2.290622373441387703e-13 4.685251029795895546e-04 4.438320119318755336e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.363532057474613662e-14 4.041582967480835065e-13 1.215004895813206733e-04 8.731284568216273259e-05 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.363532057474613662e-14 7.130984605939525963e-13 -1.596984388281784677e-04 -8.711315243063808954e-05 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.363532057474613662e-14 1.258193679538452461e-12 -2.159019681808777599e-04 -8.953343281826625134e-05 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.363532057474613662e-14 2.219961790286235902e-12 -2.397891896202668260e-04 -7.512852335104167870e-05 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.363532057474613662e-14 3.916909161504292686e-12 2.214739392789445357e-03 5.257404264560186285e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.170225095738051496e-14 1.382201932178117638e-15 4.058389757493268768e-05 3.256831945564569422e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.170225095738051496e-14 2.438762430455725505e-15 3.116406181619299194e-04 1.929881390622833386e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.170225095738051496e-14 4.302961856542886968e-15 4.091438353829230973e-04 1.949883280994259239e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.170225095738051496e-14 7.592162527861749358e-15 5.917762566134324555e-04 2.170755758536494374e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.170225095738051496e-14 1.339564090297987229e-14 1.367396101821144504e-03 3.850770067224803302e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.170225095738051496e-14 2.363532057474613662e-14 2.872439894817895630e-03 6.183268037170095571e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.170225095738051496e-14 4.170225095738051496e-14 6.095839797527263793e-01 1.000000000000000000e+00 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.170225095738051496e-14 7.357961274155570078e-14 3.694194316082175227e-03 4.614687691648845097e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.170225095738051496e-14 1.298241530590361534e-13 1.857944244961297819e-03 1.766218889048896522e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.170225095738051496e-14 2.290622373441387703e-13 1.906560319936737328e-03 1.376371401764639501e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.170225095738051496e-14 4.041582967480835065e-13 1.200474035536141940e-03 6.574340876097746131e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.170225095738051496e-14 7.130984605939525963e-13 7.870826644803645411e-04 3.271920468881726733e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.170225095738051496e-14 1.258193679538452461e-12 3.057242281818758488e-05 9.661795120227066299e-06 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.170225095738051496e-14 2.219961790286235902e-12 1.075848824107513259e-03 2.568773630457883922e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.170225095738051496e-14 3.916909161504292686e-12 2.581451604416643919e-04 4.669948188200564716e-05 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 7.357961274155570078e-14 1.382201932178117638e-15 -2.276671094851468472e-05 -1.391227051046202944e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 7.357961274155570078e-14 2.438762430455725505e-15 2.843207460920236271e-04 1.340729715647095760e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 7.357961274155570078e-14 4.302961856542886968e-15 3.133334765792686739e-04 1.137091792212893389e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 7.357961274155570078e-14 7.592162527861749358e-15 3.190023828938135853e-04 8.910528763007191958e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 7.357961274155570078e-14 1.339564090297987229e-14 8.513410313880142915e-04 1.825630735989290741e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 7.357961274155570078e-14 2.363532057474613662e-14 1.696443507059726841e-03 2.780754500360440445e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 7.357961274155570078e-14 4.170225095738051496e-14 3.694194316082175227e-03 4.614687691648845097e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 7.357961274155570078e-14 7.357961274155570078e-14 1.051287008081577934e+00 1.000000000000000000e+00 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 7.357961274155570078e-14 1.298241530590361534e-13 4.211327519750603619e-03 3.048505550225518324e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 7.357961274155570078e-14 2.290622373441387703e-13 1.526523870093671490e-03 8.391600761230635095e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 7.357961274155570078e-14 4.041582967480835065e-13 6.869076683210810139e-05 2.864533696454296658e-05 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 7.357961274155570078e-14 7.130984605939525963e-13 3.903813574822692384e-04 1.235741367232731853e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 7.357961274155570078e-14 1.258193679538452461e-12 8.030845487376038830e-04 1.932615065388192360e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 7.357961274155570078e-14 2.219961790286235902e-12 4.412198882267806110e-04 8.022057838616238382e-05 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 7.357961274155570078e-14 3.916909161504292686e-12 -6.869420085507850363e-04 -9.462900508997243443e-05 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.298241530590361534e-13 1.382201932178117638e-15 -7.667516107361991673e-05 -3.565674424251968639e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.298241530590361534e-13 2.438762430455725505e-15 2.985290706993445594e-04 1.071293779445928879e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.298241530590361534e-13 4.302961856542886968e-15 4.423303392061192632e-05 1.221587907064095870e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.298241530590361534e-13 7.592162527861749358e-15 4.271235974107471297e-04 9.079300369605089157e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.298241530590361534e-13 1.339564090297987229e-14 2.854665043343011625e-04 4.658582593871849462e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.298241530590361534e-13 2.363532057474613662e-14 1.383410345372427771e-03 1.725692990623026992e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.298241530590361534e-13 4.170225095738051496e-14 1.857944244961297819e-03 1.766218889048896522e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.298241530590361534e-13 7.357961274155570078e-14 4.211327519750603619e-03 3.048505550225518324e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.298241530590361534e-13 1.298241530590361534e-13 1.815276389996789863e+00 1.000000000000000000e+00 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.298241530590361534e-13 2.290622373441387703e-13 5.742372230899192923e-03 2.402270034070238137e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.298241530590361534e-13 4.041582967480835065e-13 2.301341547208258891e-03 7.303413969890801922e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.298241530590361534e-13 7.130984605939525963e-13 1.916597249659330454e-03 4.616986928741548301e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.298241530590361534e-13 1.258193679538452461e-12 -1.006002653536577050e-03 -1.842351472812089712e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.298241530590361534e-13 2.219961790286235902e-12 1.179949231842022375e-03 1.632613185340845742e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.298241530590361534e-13 3.916909161504292686e-12 5.405446840415470454e-04 5.666632762504986105e-05 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.290622373441387703e-13 1.382201932178117638e-15 -1.216430236673133220e-04 -4.295833476197411893e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.290622373441387703e-13 2.438762430455725505e-15 1.366443855890476177e-04 3.723805495951378009e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.290622373441387703e-13 4.302961856542886968e-15 1.325758154432472521e-04 2.780452919405069644e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.290622373441387703e-13 7.592162527861749358e-15 3.395825194296560280e-04 5.481726793781019347e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.290622373441387703e-13 1.339564090297987229e-14 3.168391671120345172e-04 3.926546527201945020e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.290622373441387703e-13 2.363532057474613662e-14 4.685251029795895546e-04 4.438320119318755336e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.290622373441387703e-13 4.170225095738051496e-14 1.906560319936737328e-03 1.376371401764639501e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.290622373441387703e-13 7.357961274155570078e-14 1.526523870093671490e-03 8.391600761230635095e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.290622373441387703e-13 1.298241530590361534e-13 5.742372230899192923e-03 2.402270034070238137e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.290622373441387703e-13 2.290622373441387703e-13 3.147721313056437431e+00 1.000000000000000000e+00 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.290622373441387703e-13 4.041582967480835065e-13 7.600132368904987182e-03 1.831636284951346141e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.290622373441387703e-13 7.130984605939525963e-13 2.554173436085649656e-03 4.672522598327860698e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.290622373441387703e-13 1.258193679538452461e-12 2.943900066822023771e-03 4.094205763060193115e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.290622373441387703e-13 2.219961790286235902e-12 3.944419960336894865e-04 4.144540308775290083e-05 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.290622373441387703e-13 3.916909161504292686e-12 -6.552678321792832329e-04 -5.216576232037791058e-05 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.041582967480835065e-13 1.382201932178117638e-15 -1.799410542660107089e-05 -4.820641648450547863e-05 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.041582967480835065e-13 2.438762430455725505e-15 1.085403291119514647e-04 2.243885474239674645e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.041582967480835065e-13 4.302961856542886968e-15 8.442276114261363035e-05 1.343151951807857630e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.041582967480835065e-13 7.592162527861749358e-15 -9.232428915695894858e-05 -1.130582841088655983e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.041582967480835065e-13 1.339564090297987229e-14 4.735292901602041176e-04 4.451773799557718660e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.041582967480835065e-13 2.363532057474613662e-14 1.215004895813206733e-04 8.731284568216273259e-05 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.041582967480835065e-13 4.170225095738051496e-14 1.200474035536141940e-03 6.574340876097746131e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.041582967480835065e-13 7.357961274155570078e-14 6.869076683210810139e-05 2.864533696454296658e-05 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.041582967480835065e-13 1.298241530590361534e-13 2.301341547208258891e-03 7.303413969890801922e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.041582967480835065e-13 2.290622373441387703e-13 7.600132368904987182e-03 1.831636284951346141e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.041582967480835065e-13 4.041582967480835065e-13 5.469751061233491640e+00 1.000000000000000000e+00 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.041582967480835065e-13 7.130984605939525963e-13 7.925008229686008807e-03 1.099803519789058692e-03 9.708287439144076547e-01
