# Radius(m/s^2)  ESD_t(h70*M_sun/pc^2)  ESD_x(h70*M_sun/pc^2)  error(h70*M_sun/pc^2)  bias(1+K)  variance(e_s)  wk^2  w^2k^2
1.3822e-15    6.1731e-01    -2.7058e-01    1.4515e-01    9.8531e-01    7.8021e-02    4.7752e+01    4.8040e+01
2.4388e-15    9.1430e-01    -2.4183e-01    1.8708e-01    9.8531e-01    7.8021e-02    2.8413e+01    2.8256e+01
4.3030e-15    1.7083e+00    -1.3955e-01    2.4364e-01    9.8531e-01    7.8021e-02    1.6644e+01    1.6444e+01
7.5922e-15    2.4491e+00    1.8413e-01    3.1680e-01    9.8531e-01    7.8021e-02    9.7250e+00    9.4919e+00
1.3396e-14    3.3962e+00    -9.3255e-04    4.1349e-01    9.8531e-01    7.8021e-02    5.6658e+00    5.4886e+00
2.3635e-14    3.2521e+00    -2.0055e-01    5.4033e-01    9.8531e-01    7.8021e-02    3.2954e+00    3.1707e+00
4.1702e-14    6.7764e+00    -1.3448e+00    7.0841e-01    9.8531e-01    7.8021e-02    1.9099e+00    1.8306e+00
7.3580e-14    7.4762e+00    -6.4080e-02    9.3055e-01    9.8531e-01    7.8021e-02    1.1021e+00    1.0517e+00
1.2982e-13    8.7952e+00    -8.1422e-02    1.2221e+00    9.8531e-01    7.8021e-02    6.3733e-01    6.0669e-01
2.2906e-13    1.5036e+01    -1.7281e+00    1.6092e+00    9.8531e-01    7.8021e-02    3.6681e-01    3.4841e-01
4.0416e-13    1.7730e+01    3.6124e+00    2.1157e+00    9.8531e-01    7.8021e-02    2.1190e-01    2.0097e-01
7.1310e-13    1.9898e+01    1.0284e-01    2.7935e+00    9.8531e-01    7.8021e-02    1.2171e-01    1.1560e-01
1.2582e-12    2.7795e+01    1.4831e+00    3.6639e+00    9.8531e-01    7.8021e-02    7.0784e-02    6.7261e-02
2.2200e-12    3.5723e+01    8.2724e-02    4.8399e+00    9.8531e-01    7.8021e-02    4.0507e-02    3.8436e-02
3.9169e-12    4.2602e+01    2.3710e+00    6.3452e+00    9.8531e-01    7.8021e-02    2.3603e-02    2.2430e-02
