name,ra,dec,Vsys,env_class,group_name,env_dense,logMh,local_density,team_release
WALLABY J133017-214446,202.571126,-21.746328,7310.0,field,field,field,11.0,276.2841,NGC5044 TR3
WALLABY J133019-220858,202.579618,-22.149455,5481.7,field,field,field,11.0,731.6310,NGC 5044 TR1
WALLABY J133041-233009,202.674017,-23.502665,12877.1,field,field,field,11.0,12.4136,NGC 5044 TR1
WALLABY J133058-215044,202.742842,-21.845812,7356.2,field,field,field,11.0,59.3044,NGC 5044 TR1
WALLABY J133103-150604,202.764478,-15.101250,4218.9,field,field,field,11.0,0.3222,NGC5044 TR3
WALLABY J133103-160750,202.764990,-16.130719,5836.5,field,field,field,11.0,0.8270,NGC5044 TR3
WALLABY J133115-250859,202.813752,-25.149749,7960.2,field,field,field,11.0,4.2064,NGC 5044 TR1
WALLABY J133138-232047,202.911717,-23.346660,7502.6,field,field,field,11.0,82.0155,NGC5044 TR3
WALLABY J133208-225710,203.034226,-22.953019,5056.4,field,field,field,11.0,4.0047,NGC 5044 TR1
WALLABY J133209-245132,203.038146,-24.858912,7784.6,field,field,field,11.0,4.1470,NGC 5044 TR1
WALLABY J133214-210542,203.058616,-21.095023,5802.0,field,field,field,11.0,5424.5829,NGC 5044 TR1
WALLABY J133314-160715,203.308504,-16.121087,6116.8,field,field,field,11.0,0.3049,NGC5044 TR3
WALLABY J133329-211151,203.374436,-21.197710,7095.2,field,field,field,11.0,0.6612,NGC 5044 TR1
WALLABY J133348-244525,203.451363,-24.757135,4652.9,field,field,field,11.0,4.6358,NGC 5044 TR1
WALLABY J133439-234044,203.663363,-23.679148,2592.2,field,field,field,11.0,89.0650,NGC5044 TR3
WALLABY J133440-234722,203.667147,-23.789527,7807.7,field,field,field,11.0,2.3625,NGC 5044 TR1
WALLABY J133541-240428,203.922097,-24.074488,2579.0,field,field,field,11.0,1129.3769,NGC 5044 TR1
WALLABY J133610-234710,204.042841,-23.786221,11360.2,field,field,field,11.0,55.0297,NGC 5044 TR1
WALLABY J133741-150605,204.421800,-15.101394,7992.2,field,field,field,11.0,0.0036,NGC5044 TR3
WALLABY J133756-240727,204.487024,-24.124260,9134.4,field,field,field,11.0,7.1304,NGC 5044 TR1
WALLABY J133801-225524,204.506192,-22.923507,6964.3,field,field,field,11.0,5.2907,NGC 5044 TR1
WALLABY J133802-175254,204.511983,-17.881764,1355.4,field,field,field,11.0,4.9829,NGC5044 TR3
WALLABY J133811-204047,204.546342,-20.679853,12918.7,field,field,field,11.0,0.2402,NGC 5044 TR2
WALLABY J133949-220132,204.958421,-22.025564,5839.8,field,field,field,11.0,21.9542,NGC 5044 TR2
WALLABY J134019-235122,205.082737,-23.856174,6505.2,field,field,field,11.0,4.1443,NGC 5044 TR1
WALLABY J134501-155202,206.256925,-15.867460,8888.3,field,field,field,11.0,0.0018,NGC5044 TR3
WALLABY J163512-580438,248.803776,-58.077266,2739.6,field,field,field,11.0,0.3340,Norma TR1
WALLABY J163518-581311,248.829061,-58.219849,1552.9,field,field,field,11.0,8.2801,Norma TR1
WALLABY J163650-601632,249.211574,-60.275802,3402.2,cluster,Norma,dense,15.0,76.8249,Norma TR1
WALLABY J163916-601108,249.820691,-60.185684,3347.3,cluster,Norma,dense,15.0,80.0584,Norma TR1
WALLABY J163924-565221,249.852576,-56.872734,1465.8,field,field,field,11.0,9.6912,Norma TR1
WALLABY J164052-602341,250.220798,-60.394730,5266.6,cluster,Norma,dense,15.0,7.2485,Norma TR1
WALLABY J164107-605902,250.281497,-60.983986,3492.5,cluster,Norma,dense,15.0,4.4744,Norma TR1
WALLABY J164157-622910,250.487708,-62.486364,4391.3,field,field,field,11.0,2.6593,Norma TR1
WALLABY J164219-595904,250.581377,-59.984506,5469.9,cluster,Norma,dense,15.0,4.5317,Norma TR1
WALLABY J164249-610527,250.707724,-61.091025,4459.2,cluster,Norma,dense,15.0,0.4963,Norma TR1
WALLABY J164508-611614,251.285273,-61.270710,3669.2,field,field,field,11.0,3.1403,Norma TR1
WALLABY J164739-570817,251.914425,-57.138085,804.8,field,field,field,11.0,48.6887,Norma TR1
WALLABY J164740-600851,251.920722,-60.147509,3270.9,field,field,field,11.0,5.7850,Norma TR1
WALLABY J164749-613936,251.954282,-61.660226,5247.9,field,field,field,11.0,2.0676,Norma TR1
