   609366
       0.00      0.00
       0.17     65.69
       0.37     97.89
       0.58    143.89
       0.81    146.21
       1.07    156.50
       1.35    166.13
       1.66    196.46
       2.00    209.55
       2.37    207.01
       2.78    202.73
       3.23    215.36
       3.73    228.70
       4.28    239.63
       4.88    239.18
       5.54    238.13
       6.27    236.44
       7.07    236.14
       7.96    237.33
       8.93    243.28
       9.99    240.48
      11.17    234.72
      12.46    234.14
      13.88    239.86
