  603734
       0.00      0.00
       0.09     20.51
       0.19     84.62
       0.30     90.50
       0.42    106.71
       0.56    115.19
       0.70    121.09
       0.86    126.83
       1.04    133.99
       1.23    136.46
       1.45    141.92
       1.68    147.31
       1.94    149.93
       2.23    150.06
       2.54    154.81
       2.89    164.61
       3.27    160.62
       3.69    168.91
       4.15    183.71
       4.65    181.47
       5.21    175.17
       5.82    174.97
