  600763
       0.00      0.00
       0.15      0.09
       0.32     23.12
       0.50     28.54
       0.70     35.93
       0.92     42.28
       1.16     42.06
       1.43     46.38
       1.72     50.95
       2.04     61.11
       2.40     76.78
       2.79     83.55
       3.22     88.57
       3.69     93.17
       4.21     95.15
       4.78     98.59
       5.41    102.47
       6.10    105.38
       6.86    110.61
       7.70    114.11
       8.62    112.90
       9.63    111.19
