14582105 10.95 12.93 236.66  9.17 2.41 0.84
14202038 10.98 12.70 253.67  9.24 2.50 0.83
15518507 11.01 12.74 287.68 13.45 2.32 0.79
15511664 11.05 12.66 268.70  8.50 1.79 0.81
15583095 10.91 12.69 261.13  8.82 1.91 0.75
15909289 11.04 12.66 282.69  6.02 2.22 0.80
15667567 10.97 12.65 257.56  8.69 1.92 0.80
15878252 11.00 12.69 272.53  9.32 1.82 0.76
15973150 10.72 12.53 216.37  7.03 1.96 0.72
15165513 10.84 12.58 235.64  5.27 1.88 0.78
16275866 10.77 12.38 215.94  6.67 2.38 0.84
16229686 10.82 12.53 214.55  8.77 2.17 0.84
15180625 10.88 12.58 241.14  8.40 2.22 0.87
16521446 10.83 12.46 236.29  6.53 1.76 0.73
16649035 10.91 12.47 246.40  9.54 1.73 0.78
16573399 10.95 12.50 260.19  9.46 1.98 0.75
13279050 10.71 12.36 228.86  8.83 2.39 0.75
16874413 10.89 12.49 243.65  7.99 2.58 0.85
16699988 10.78 12.44 220.33  4.71 1.76 0.77
16899535 10.76 12.51 241.56 19.04 1.89 0.75
16986868 10.94 12.49 255.38  7.36 2.05 0.78
17057997 10.76 12.49 240.90 10.25 2.30 0.84
17117149 10.93 12.43 240.95 10.83 2.52 0.84
17094055 10.87 12.39 223.97  8.55 2.43 0.86
17113139 10.80 12.43 225.00  7.56 2.24 0.83
17162001 10.85 12.44 251.88  8.39 1.89 0.76
17047719 10.84 12.43 238.07  5.81 1.89 0.73
17392885 10.76 12.37 217.90  7.27 1.79 0.74
17082772 10.79 12.38 220.55 12.54 2.59 0.87
17391093 10.91 12.43 251.21  3.75 1.77 0.76
17451597 10.71 12.39 217.16  5.41 1.92 0.80
17310809 10.83 12.34 240.63  7.67 2.17 0.77
 2618225 10.91 12.38 242.91  9.41 1.77 0.81
17511062 10.85 12.32 219.50  7.10 2.50 0.87
17458112 10.75 12.32 217.70  5.77 1.80 0.78
12787952 10.74 12.26 221.18  9.79 2.81 0.84
17539585 10.81 12.36 234.65  5.81 2.33 0.83
17961351 10.78 12.33 229.65 11.87 2.02 0.78
17557356 10.70 12.33 229.06 11.34 3.47 0.83
17990052 10.74 12.26 212.10  8.83 2.43 0.86
17703230 10.80 12.25 238.80  9.25 3.17 0.87
18004919 10.75 12.25 207.62  7.35 1.99 0.80
18143519 10.74 12.19 223.99  9.64 2.95 0.88
18133717 10.74 12.19 209.64  7.13 1.91 0.78
18181889 10.77 12.16 224.90 10.25 2.68 0.82
18160043 10.77 12.22 232.31  4.31 2.44 0.85
