351452 11.11 12.48 266.92  9.20 1.75 0.82
368436 11.33 12.64 290.15 16.58 1.79 0.84
369366 10.89 12.25 225.96 13.18 1.82 0.89
376544 10.95 12.43 217.65  9.49 1.89 0.85
383723 11.05 12.56 263.57 10.56 1.76 0.80
385350 10.90 12.28 225.05 13.54 2.12 0.89
386429 11.01 12.57 233.25  9.08 1.82 0.80
393336 10.78 12.32 207.71  6.08 2.21 0.87
397568 11.02 12.37 246.93  8.93 2.03 0.82
401670 11.07 12.58 272.28  9.25 1.75 0.82
405000 11.01 12.45 240.02 13.14 1.94 0.85
406698 10.99 12.37 243.14  8.96 2.69 0.83
408647 10.90 12.46 238.12  8.15 2.06 0.86
418911 11.02 12.53 246.66  9.98 1.90 0.82
420304 10.73 12.32 222.87  7.09 2.19 0.72
421835 10.87 12.39 224.17  7.85 2.64 0.91
424986 11.17 12.46 256.25 12.19 1.97 0.87
426665 10.81 12.31 208.67  5.60 2.17 0.89
429041 10.75 12.12 216.53  7.43 1.81 0.85
429127 10.97 12.37 228.21 11.12 1.86 0.84
430470 10.81 12.24 193.82  7.68 2.14 0.87
430683 10.89 12.34 201.38 10.85 1.85 0.85
430850 10.81 12.19 204.71  9.84 2.30 0.86
431201 11.06 12.38 252.97 11.79 1.82 0.78
433111 10.96 12.33 221.42 15.39 1.79 0.85
434410 10.74 12.34 209.35 10.14 1.75 0.73
435417 10.96 12.39 230.59 11.75 2.42 0.81
436349 10.92 12.39 233.72  8.29 1.70 0.75
437121 10.87 12.41 222.70  8.39 1.71 0.80
438297 10.79 12.12 215.06  8.63 3.52 0.88
438368 11.08 12.44 263.39  8.99 2.12 0.80
438787 10.73 12.28 206.56  7.35 2.26 0.85
441141 10.84 12.21 225.77  6.35 1.90 0.76
442227 10.81 12.25 214.85  8.60 2.28 0.89
442350 10.91 12.32 212.53 12.25 1.71 0.82
442979 10.82 12.31 211.13  5.19 1.82 0.72
443356 11.05 12.34 239.58 13.47 1.87 0.86
443914 10.75 12.02 202.86  5.49 2.75 0.89
444184 11.04 12.41 265.13  9.13 2.60 0.85
