galaxy,rho_c_1e-2Msun_pc3,rc_kpc,r_eps_kpc,r_eps_over_rc,m_psi_1e-23eV,rs_kpc,r200_kpc,c,chi2_red
NGC 7814,4.85,5.47,9.0,1.65,0.212,21.0,214.0,10.2,0.668
NGC 6503,4.07,3.31,5.59,1.69,0.628,11.5,114.0,9.95,1.18
NGC 3741,5.7,0.759,0.615,0.81,12.1,23.0,101.0,4.39,2.9
NGC 1003,1.8,4.52,8.76,1.94,0.507,159.0,232.0,1.46,1.33
NGC 1560,4.22,1.74,1.1,0.63,2.65,13.7,96.0,7.01,2.42
NGC 6946,2.99,4.56,8.0,1.75,0.395,71.0,242.0,3.4,2.03
