galaxy,rho_c_1e-2Msun_pc3,rc_kpc,r_eps_kpc,r_eps_over_rc,m_psi_1e-23eV,rs_kpc,r200_kpc,c,chi2_red
NGC 7814,1910.0,0.485,1.29,2.7,1.39,5.17,168.0,32.4,2.48
NGC 6503,27.3,1.686,3.7,2.2,0.933,9.73,116.0,11.9,1.12
NGC 3741,42.0,0.163,0.0962,0.59,129.0,15.7,93.5,5.96,8.4
NGC 1003,3.51,3.84,8.36,2.2,0.501,128.0,223.0,1.74,1.29
NGC 1560,5.67,1.64,1.07,0.65,2.5,12.7,8.06,102.0,2.98
NGC 6946,4.87,5.34,6.1,1.1,0.225,5.7,157.0,27.5,15.4
