recno	ID	Rad	VRot	E_VRot	e_VRot
1398	"NGC4303 "	1.625	159.399	56.4463	36.9194
1399	"NGC4303 "	1.775	158.167	62.1634	37.8883
1400	"NGC4303 "	1.925	160.861	58.601	37.1688
1401	"NGC4303 "	2.075	158.964	52.9963	35.918
1402	"NGC4303 "	2.225	155.061	48.7399	35.6301
1403	"NGC4303 "	2.375	155.464	46.022	36.0926
1404	"NGC4303 "	2.525	153.612	51.8883	36.1602
1405	"NGC4303 "	2.675	154.919	62.7578	36.1533
1406	"NGC4303 "	2.825	159.272	66.6446	39.9215
1407	"NGC4303 "	2.975	164.681	67.5253	43.3333
1408	"NGC4303 "	3.125	173.093	66.4364	46.3735
1409	"NGC4303 "	3.275	179.873	68.13	46.8584
1410	"NGC4303 "	3.425	183.612	69.2516	44.2792
1411	"NGC4303 "	3.575	181.516	69.2979	43.261
1412	"NGC4303 "	3.725	182.183	68.4734	41.7473
1413	"NGC4303 "	3.875	180.738	72.0327	40.4121
1414	"NGC4303 "	4.025	180.848	75.047	41.8786
1415	"NGC4303 "	4.175	182.593	72.9677	43.4708
1416	"NGC4303 "	4.325	181.063	70.0943	45.1157
1417	"NGC4303 "	4.475	180.667	66.1991	43.8388
1418	"NGC4303 "	4.625	179.542	68.7764	41.5907
1419	"NGC4303 "	4.775	177.076	70.8374	39.9613
1420	"NGC4303 "	4.925	175.542	69.4944	40.0162
1421	"NGC4303 "	5.075	174.99	67.1224	40.1367
1422	"NGC4303 "	5.225	170.26	69.3027	39.2889
1423	"NGC4303 "	5.375	169.208	70.1566	39.1353
1424	"NGC4303 "	5.525	169.914	71.8887	40.1609
1425	"NGC4303 "	5.675	168.268	71.6278	43.3801
1426	"NGC4303 "	5.825	171.352	70.426	45.3606
1427	"NGC4303 "	5.975	177.67	69.1319	45.1871
1428	"NGC4303 "	6.125	180.614	72.6503	45.0923
1429	"NGC4303 "	6.275	177.701	71.3076	41.3974
1430	"NGC4303 "	6.425	175.228	68.3237	41.6358
1431	"NGC4321 "	0.125	69.3301	9.3893	16.4511
1432	"NGC4321 "	0.275	111.391	7.4044	22.1289
1433	"NGC4321 "	0.425	122.485	7.8917	10.0418
1434	"NGC4321 "	0.575	127.075	9.4747	9.0812
1435	"NGC4321 "	0.725	115.946	6.4714	5.4698
1436	"NGC4321 "	0.875	103.258	8.2675	5.2383
1437	"NGC4321 "	1.025	108.136	6.602	5.8243
1438	"NGC4321 "	1.175	112.307	7.5642	6.0587
1439	"NGC4321 "	1.325	119.521	8.9292	5.8252
1440	"NGC4321 "	1.475	122.967	5.6714	6.7503
1441	"NGC4321 "	1.625	134.088	9.2316	5.332
1442	"NGC4321 "	1.775	140.351	9.053	7.3632
1443	"NGC4321 "	1.925	144.204	6.9524	9.2406
1444	"NGC4321 "	2.075	149.448	9.4184	7.7234
1445	"NGC4321 "	2.225	149.311	8.3123	8.5279
1446	"NGC4321 "	2.375	146.867	7.4938	7.4454
1447	"NGC4321 "	2.525	147.546	8.0173	7.247
1448	"NGC4321 "	2.675	148.97	7.1413	6.7048
1449	"NGC4321 "	2.825	151.493	6.919	5.5128
1450	"NGC4321 "	2.975	153.308	7.7239	6.0469
1451	"NGC4321 "	3.125	156.988	9.0653	8.3196
1452	"NGC4321 "	3.275	162.158	9.2335	7.4519
1453	"NGC4321 "	3.425	163.941	8.2992	7.3977
1454	"NGC4321 "	3.575	164.112	7.1582	6.5881
1455	"NGC4321 "	3.725	165.834	8.8029	6.8299
1456	"NGC4321 "	3.875	167.422	8.3336	7.1674
1457	"NGC4321 "	4.025	167.644	8.2164	7.6284
1458	"NGC4321 "	4.175	167.331	8.4037	7.1607
1459	"NGC4321 "	4.325	165.961	7.6013	7.5338
1460	"NGC4321 "	4.475	165.123	7.8122	6.8592
1461	"NGC4321 "	4.625	162.827	8.2354	7.5385
1462	"NGC4321 "	4.775	163.661	8.9199	5.7319
1463	"NGC4321 "	4.925	163.494	8.7372	5.5011
1464	"NGC4321 "	5.075	164.477	9.4067	6.6226
1465	"NGC4321 "	5.225	162.995	9.0388	8.1178
1466	"NGC4321 "	5.375	166.424	9.31	8.5961
1467	"NGC4321 "	5.525	170.438	10.0376	7.2099
1468	"NGC4321 "	5.675	172.088	8.8802	8.6213
1469	"NGC4321 "	5.825	175.078	9.5556	7.9746
1470	"NGC4321 "	5.975	177.55	9.9918	6.9305
1471	"NGC4321 "	6.125	177.374	8.7338	7.9032
1472	"NGC4321 "	6.275	177.48	8.8357	7.9318
1473	"NGC4321 "	6.425	176.828	8.8844	7.6474
1474	"NGC4321 "	6.575	177.399	8.7972	7.6552
1475	"NGC4321 "	6.725	179.069	9.0234	8.1478
1476	"NGC4321 "	6.875	182.982	9.3038	7.7304
1477	"NGC4321 "	7.025	183.532	10.3774	6.7221
1478	"NGC4321 "	7.175	182.405	9.758	6.9873
1479	"NGC4321 "	7.325	183.125	8.6028	6.6205
1480	"NGC4321 "	7.475	183.974	9.5401	6.982
1481	"NGC4321 "	7.625	183.048	9.8934	8.5737
1482	"NGC4321 "	7.775	187.093	10.2667	9.1382
1483	"NGC4321 "	7.925	191.346	10.7016	8.8135
1484	"NGC4321 "	8.075	195.194	10.5379	9.8094
1485	"NGC4321 "	8.225	197.067	11.0949	9.967
1486	"NGC4321 "	8.375	199.862	12.3497	10.1939
1487	"NGC4321 "	8.525	205.594	11.0009	11.9976
1505	"NGC4457 "	0.125	69.3932	66.2069	46.759
1506	"NGC4457 "	0.275	228.709	82.229	50.1674
1507	"NGC4457 "	0.425	313.447	67.1468	65.2312
1508	"NGC4457 "	0.575	323.116	55.685	68.08
1509	"NGC4457 "	0.725	290.849	64.6717	53.1099
1510	"NGC4457 "	0.875	237.835	57.9639	44.8522
1511	"NGC4457 "	1.025	212.886	68.9527	35.5244
1512	"NGC4457 "	1.175	204.778	63.7115	36.7968
1537	"NGC4535 "	0.125	67.0788	12.8661	16.0855
1538	"NGC4535 "	0.275	108.297	25.0104	17.2775
1539	"NGC4535 "	0.425	139.031	30.9092	23.5832
1540	"NGC4535 "	0.575	138.36	29.3919	18.5511
1541	"NGC4535 "	0.725	147.406	26.9499	15.0439
1542	"NGC4535 "	0.875	150.638	28.9215	20.2901
1543	"NGC4535 "	1.025	159.025	28.2655	16.1325
1544	"NGC4535 "	1.175	155.166	22.113	14.5389
1545	"NGC4535 "	1.325	150.75	19.0158	8.7184
1546	"NGC4535 "	1.475	140.71	17.9644	7.3606
1547	"NGC4535 "	1.625	136.388	20.2936	7.4111
1548	"NGC4535 "	1.775	126.103	21.099	6.95
1549	"NGC4535 "	1.925	120.223	12.6366	11.7976
1550	"NGC4535 "	2.075	121.83	11.4073	8.4238
1551	"NGC4535 "	2.225	126.189	12.6622	8.3995
1552	"NGC4535 "	2.375	119.454	9.5765	7.5235
1553	"NGC4535 "	2.525	108.225	11.7839	9.2581
1554	"NGC4535 "	2.675	95.5851	15.0639	11.1463
1555	"NGC4535 "	2.825	86.1801	18.4307	12.3634
1556	"NGC4535 "	2.975	104.783	22.5289	10.2565
1557	"NGC4535 "	3.125	114.054	23.2444	12.5625
1558	"NGC4535 "	3.275	121.617	24.6061	13.3189
1559	"NGC4535 "	3.425	124.742	27.4961	16.5916
1560	"NGC4535 "	3.575	129.404	27.8843	17.8851
1561	"NGC4535 "	3.725	135.541	29.479	19.7377
1562	"NGC4535 "	3.875	142.841	28.3347	21.7758
1563	"NGC4535 "	4.025	148.508	29.0805	22.5543
1564	"NGC4535 "	4.175	151.159	30.1134	21.0278
1565	"NGC4535 "	4.325	155.276	32.7007	18.8747
1566	"NGC4535 "	4.475	159.495	32.3901	19.5288
1567	"NGC4535 "	4.625	161.343	31.0218	19.0306
1568	"NGC4535 "	4.775	162.679	32.5926	17.6476
