# Radius(m/s^2)  ESD_t(h70*M_sun/pc^2)  ESD_x(h70*M_sun/pc^2)  error(h70*M_sun/pc^2)  bias(1+K)  variance(e_s)  wk^2  w^2k^2
1.3822e-15    1.8716e+00    -1.8663e-01    1.0491e-01    9.8531e-01    7.8021e-02    1.1522e+02    1.4610e+02
2.4388e-15    2.0469e+00    -1.7562e-01    1.3030e-01    9.8531e-01    7.8021e-02    6.8967e+01    8.0754e+01
4.3030e-15    3.0088e+00    -3.5934e-01    1.6536e-01    9.8531e-01    7.8021e-02    4.0528e+01    4.4911e+01
7.5922e-15    4.0118e+00    -1.1805e-01    2.1137e-01    9.8531e-01    7.8021e-02    2.3692e+01    2.5078e+01
1.3396e-14    4.7010e+00    9.9938e-02    2.7248e-01    9.8531e-01    7.8021e-02    1.3822e+01    1.4184e+01
2.3635e-14    5.0199e+00    -6.2037e-01    3.5309e-01    9.8531e-01    7.8021e-02    8.0392e+00    8.0572e+00
4.1702e-14    7.2532e+00    -3.5119e-01    4.6018e-01    9.8531e-01    7.8021e-02    4.6648e+00    4.6081e+00
7.3580e-14    7.8292e+00    -3.1391e-01    6.0174e-01    9.8531e-01    7.8021e-02    2.6977e+00    2.6352e+00
1.2982e-13    9.1965e+00    8.0986e-01    7.8826e-01    9.8531e-01    7.8021e-02    1.5583e+00    1.5089e+00
2.2906e-13    1.3936e+01    -6.3054e-01    1.0365e+00    9.8531e-01    7.8021e-02    8.9610e-01    8.6273e-01
4.0416e-13    1.7400e+01    9.7721e-01    1.3618e+00    9.8531e-01    7.8021e-02    5.1737e-01    4.9639e-01
7.1310e-13    1.9911e+01    7.0949e-01    1.7947e+00    9.8531e-01    7.8021e-02    2.9758e-01    2.8521e-01
1.2582e-12    2.7155e+01    2.2758e+00    2.3583e+00    9.8531e-01    7.8021e-02    1.7206e-01    1.6464e-01
2.2200e-12    4.1458e+01    1.9888e-01    3.1116e+00    9.8531e-01    7.8021e-02    9.8712e-02    9.4341e-02
3.9169e-12    4.2468e+01    9.3254e-01    4.0911e+00    9.8531e-01    7.8021e-02    5.7004e-02    5.4387e-02
