# MAG_GAAP_u-r_min[m]    MAG_GAAP_u-r_min[n]    Radius[i](mps2/h70)    Radius[j](mps2/h70)    covariance(h70*M_sun/pc^2)^2    correlation    bias(1+K[m,i])(1+K[n,j])
0.000000000000000000e+00 0.000000000000000000e+00 7.357961274155570078e-14 7.592162527861749358e-15 3.814216850098448063e-04 1.084040185386046448e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 7.357961274155570078e-14 1.339564090297987229e-14 4.759372126584000655e-04 1.033399041501788284e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 7.357961274155570078e-14 2.363532057474613662e-14 1.362857650336630989e-03 2.256841904880908366e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 7.357961274155570078e-14 4.170225095738051496e-14 2.962157824439211763e-03 3.728308490281073608e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 7.357961274155570078e-14 7.357961274155570078e-14 1.044091101579652126e+00 1.000000000000000000e+00 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 7.357961274155570078e-14 1.298241530590361534e-13 4.666107611988037571e-03 3.389065845273175805e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 7.357961274155570078e-14 2.290622373441387703e-13 2.074572872067118393e-03 1.142195896612980622e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 7.357961274155570078e-14 4.041582967480835065e-13 8.472605727282257011e-04 3.538168955010052874e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 7.357961274155570078e-14 7.130984605939525963e-13 -4.788820764805571679e-06 -1.514095637186162159e-06 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 7.357961274155570078e-14 1.258193679538452461e-12 6.737916720665823719e-04 1.613999145197794348e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 7.357961274155570078e-14 2.219961790286235902e-12 1.512869938734804319e-03 2.743817506753092679e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 7.357961274155570078e-14 3.916909161504292686e-12 1.736781985221251979e-03 2.381415052573246762e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.298241530590361534e-13 1.382201932178117638e-15 -9.505564263471144029e-05 -4.504765448797099295e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.298241530590361534e-13 2.438762430455725505e-15 1.807982803425709883e-04 6.623737594496043957e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.298241530590361534e-13 4.302961856542886968e-15 1.620306789769495801e-04 4.553965340141458390e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.298241530590361534e-13 7.592162527861749358e-15 2.156400738502993453e-04 4.647646882720907397e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.298241530590361534e-13 1.339564090297987229e-14 3.459714079785209599e-04 5.696685597819949086e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.298241530590361534e-13 2.363532057474613662e-14 6.874439211530436380e-04 8.632797771697149755e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.298241530590361534e-13 4.170225095738051496e-14 1.921844727708021472e-03 1.834364314393596013e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.298241530590361534e-13 7.357961274155570078e-14 4.666107611988037571e-03 3.389065845273175805e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.298241530590361534e-13 1.298241530590361534e-13 1.815562036695997694e+00 1.000000000000000000e+00 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.298241530590361534e-13 2.290622373441387703e-13 5.715192128666115104e-03 2.386197500355214784e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.298241530590361534e-13 4.041582967480835065e-13 2.364177828408921614e-03 7.486957388473236682e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.298241530590361534e-13 7.130984605939525963e-13 2.156620404607594108e-03 5.170851742999380083e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.298241530590361534e-13 1.258193679538452461e-12 -1.402306936960574096e-03 -2.547325215274616516e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.298241530590361534e-13 2.219961790286235902e-12 -1.941167995172845542e-04 -2.669810288655755087e-05 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.298241530590361534e-13 3.916909161504292686e-12 1.272397856317169823e-04 1.323050338057016136e-05 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.290622373441387703e-13 1.382201932178117638e-15 -1.497597739222804151e-04 -5.379923517014001486e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.290622373441387703e-13 2.438762430455725505e-15 -2.280662571606468028e-05 -6.333685634943093305e-05 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.290622373441387703e-13 4.302961856542886968e-15 1.631925604645515513e-04 3.476798089235722130e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.290622373441387703e-13 7.592162527861749358e-15 3.065395965605363085e-04 5.008144814387731044e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.290622373441387703e-13 1.339564090297987229e-14 2.868969798245904132e-04 3.580920369083891185e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.290622373441387703e-13 2.363532057474613662e-14 6.438315019202611950e-04 6.128767673284042043e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.290622373441387703e-13 4.170225095738051496e-14 1.015472679976797861e-03 7.347205462919810656e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.290622373441387703e-13 7.357961274155570078e-14 2.074572872067118393e-03 1.142195896612980622e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.290622373441387703e-13 1.298241530590361534e-13 5.715192128666115104e-03 2.386197500355214784e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.290622373441387703e-13 2.290622373441387703e-13 3.159641457310844448e+00 1.000000000000000000e+00 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.290622373441387703e-13 4.041582967480835065e-13 7.944989542978009300e-03 1.907239338913115480e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.290622373441387703e-13 7.130984605939525963e-13 6.887490772449686265e-03 1.251803181166839894e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.290622373441387703e-13 1.258193679538452461e-12 4.239643833611765091e-03 5.837909129050374187e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.290622373441387703e-13 2.219961790286235902e-12 1.753271041599157318e-03 1.827902322112640824e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.290622373441387703e-13 3.916909161504292686e-12 -3.900541347621667120e-03 -3.074432554384179395e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.041582967480835065e-13 1.382201932178117638e-15 -2.032808201785976779e-05 -5.538944322971550428e-05 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.041582967480835065e-13 2.438762430455725505e-15 8.177513552979723288e-05 1.722528477890727667e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.041582967480835065e-13 4.302961856542886968e-15 2.455116730635701163e-04 3.967353777806861305e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.041582967480835065e-13 7.592162527861749358e-15 -2.446039355137286878e-04 -3.031121930014325110e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.041582967480835065e-13 1.339564090297987229e-14 3.583715416173896247e-04 3.392750096285996144e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.041582967480835065e-13 2.363532057474613662e-14 3.397311768878712298e-04 2.452934826678204771e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.041582967480835065e-13 4.170225095738051496e-14 1.018841111799435742e-03 5.591264942812936966e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.041582967480835065e-13 7.357961274155570078e-14 8.472605727282257011e-04 3.538168955010052874e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.041582967480835065e-13 1.298241530590361534e-13 2.364177828408921614e-03 7.486957388473236682e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.041582967480835065e-13 2.290622373441387703e-13 7.944989542978009300e-03 1.907239338913115480e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.041582967480835065e-13 4.041582967480835065e-13 5.492100356368394998e+00 1.000000000000000000e+00 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.041582967480835065e-13 7.130984605939525963e-13 8.440711592105704791e-03 1.163600104732720854e-03 9.708287439144076547e-01
