# Radius(m/s^2)  ESD_t(h70*M_sun/pc^2)  ESD_x(h70*M_sun/pc^2)  error(h70*M_sun/pc^2)  bias(1+K)  variance(e_s)  wk^2  w^2k^2
1.3822e-15    1.9414e+00    -2.3528e-01    1.3340e-01    9.8531e-01    7.8021e-02    6.6623e+01    7.8985e+01
2.4388e-15    2.5482e+00    -1.2554e-01    1.6812e-01    9.8531e-01    7.8021e-02    3.8817e+01    4.2586e+01
4.3030e-15    2.8842e+00    1.6436e-01    2.1516e-01    9.8531e-01    7.8021e-02    2.2581e+01    2.3606e+01
7.5922e-15    2.4739e+00    -3.5323e-01    2.7760e-01    9.8531e-01    7.8021e-02    1.3094e+01    1.3213e+01
1.3396e-14    3.4074e+00    -2.3436e-01    3.6173e-01    9.8531e-01    7.8021e-02    7.5659e+00    7.4903e+00
2.3635e-14    3.6602e+00    -1.3706e-01    4.7359e-01    9.8531e-01    7.8021e-02    4.3611e+00    4.2659e+00
4.1702e-14    4.7114e+00    1.3603e+00    6.2224e-01    9.8531e-01    7.8021e-02    2.5053e+00    2.4302e+00
7.3580e-14    5.7685e+00    1.0741e+00    8.1974e-01    9.8531e-01    7.8021e-02    1.4380e+00    1.3895e+00
1.2982e-13    8.1238e+00    -1.5757e+00    1.0809e+00    9.8531e-01    7.8021e-02    8.2464e-01    7.9450e-01
2.2906e-13    8.0682e+00    -1.2796e-01    1.4246e+00    9.8531e-01    7.8021e-02    4.7354e-01    4.5507e-01
4.0416e-13    1.4241e+01    -3.1393e+00    1.8782e+00    9.8531e-01    7.8021e-02    2.7207e-01    2.6114e-01
7.1310e-13    1.3959e+01    4.0056e+00    2.4885e+00    9.8531e-01    7.8021e-02    1.5474e-01    1.4828e-01
1.2582e-12    2.2214e+01    -4.4687e+00    3.3004e+00    9.8531e-01    7.8021e-02    8.8021e-02    8.4393e-02
2.2200e-12    1.8723e+01    3.4392e+00    4.4121e+00    9.8531e-01    7.8021e-02    4.9254e-02    4.7224e-02
3.9169e-12    -2.0923e+00    -1.1171e+01    5.9494e+00    9.8531e-01    7.8021e-02    2.7165e-02    2.6119e-02
