name,ra,dec,freq,f_sum,err_f_sum,f_sum_corr,err_f_sum_corr,f_sum_corr_30,err_f_sum_corr_30,rms,w20,w50,kin_pa,rel,qflag,kflag,n_pix,f_min,f_max,ell_maj,ell_min,ell_pa,ell3s_maj,ell3s_min,ell3s_pa,x,err_x,y,err_y,z,err_z,x_min,x_max,y_min,y_max,z_min,z_max,dist_h,log_m_hi,log_m_hi_corr,team_release,comments,team_release_kin,Vsys_model,e_Vsys_model,X_model,e_X_model,Y_model,e_Y_model,RA_model,e_RA_model,DEC_model,e_DEC_model,Inc_model,e_Inc_model,PA_model,e_PA_model,PA_model_g,QFlag_model,Rad,Vrot_model,e_Vrot_model,e_Vrot_model_inc,Rad_SD,SD_model,e_SD_model,SD_FO_model,e_SD_FO_model_inc
WALLABY J132403-243940,201.012865,-24.661127,1.41077E9,29428.7,1575.557164,29428.7,1575.557164,25590.17391304348,1370.0497078260871,0.002593,643138.0,528921.0,295.379449,1.0,0.0,0.0,84590.0,-0.010676,0.014121,41.395491,26.506265,-53.266473,36.416607,23.805846,-68.631685,194.811163,0.569771,196.922114,0.531222,116.426316,0.347631,154.0,255.0,157.0,240.0,89.0,142.0,29.251762580677564,9.09743008105414,9.097431546195322,NGC 5044 High-Res TR1,17arcsec resolution. No 30arcsec counterpart,,,,,,,,,,,,,,,,,,,,,,,,,,
WALLABY J132433-210813,201.136109,-21.138469,1.40791E9,36264.3,1577.228063,36264.3,1577.228063,31534.173913043483,1371.502663478261,0.002238,1373010.0,1311200.0,323.108699,1.0,0.0,0.0,117583.0,-0.01005,0.012778,58.758608,35.374934,-33.790699,56.457998,33.783737,-33.300321,192.236289,0.602817,189.055921,0.704229,94.237572,0.663183,130.0,249.0,110.0,258.0,49.0,142.0,38.011074609233084,9.4156545547216,9.415655982932257,NGC 5044 High-Res TR1,17arcsec resolution,,,,,,,,,,,,,,,,,,,,,,,,,,
WALLABY J132519-210812,201.329134,-21.135975,1.41214E9,19809.2,1216.478949,19809.2,1216.478949,17225.391304347828,1057.8077817391306,0.002085,798611.0,646055.0,152.198363,1.0,0.0,0.0,79403.0,-0.00778,0.011717,51.611967,30.651291,-43.185427,46.369048,25.486896,-40.600463,188.55635,0.782199,188.74551,0.775297,119.7724,0.460073,121.0,235.0,142.0,239.0,85.0,148.0,25.068436964121062,8.79147634606919,8.791477837953977,NGC 5044 High-Res TR1,17arcsec resolution,,,,,,,,,,,,,,,,,,,,,,,,,,
WALLABY J133010-240841,202.544246,-24.144362,1.39738E9,20626.0,1166.106675,20626.0,1166.106675,17935.652173913044,1014.0058043478261,0.001947,269513.0,129687.0,64.107657,1.0,0.0,0.0,78797.0,-0.007596,0.012678,34.600825,26.283967,-76.6184,31.34656,20.655785,-68.309211,192.55406,0.578215,192.197763,0.443956,125.328719,0.237349,151.0,236.0,155.0,229.0,98.0,156.0,70.5702972932608,9.70801392483977,9.70801529614948,NGC 5044 High-Res TR1,17arcsec resolution,,,,,,,,,,,,,,,,,,,,,,,,,,
WALLABY J133115-250859,202.814127,-25.147416,1.38367E9,16394.6,1528.071532,16394.6,1528.071532,14256.173913043478,1328.7578539130436,0.004492,579299.0,474768.0,14.514248,1.0,0.0,0.0,25449.0,-0.013477,0.019104,26.575111,22.92535,-50.572959,27.75842,22.908766,-68.643433,194.101048,0.698336,198.946161,0.705375,113.200234,0.517065,171.0,228.0,172.0,225.0,84.0,136.0,113.70486802402282,10.0226139846201,10.022615330729717,NGC 5044 High-Res TR1,17arcsec resolution,,,,,,,,,,,,,,,,,,,,,,,,,,
WALLABY J133348-244525,203.45139,-24.757437,1.39879E9,23208.9,1263.465484,23208.9,1263.465484,20181.652173913048,1098.6656382608696,0.002364,1377610.0,1180080.0,258.145843,1.0,0.0,1.0,62873.0,-0.008577,0.013439,33.163159,11.005618,79.504113,32.295895,9.477566,79.243934,193.81469,0.613855,191.282971,0.247339,132.795187,0.754409,153.0,234.0,172.0,211.0,89.0,182.0,66.182089905418,9.70349052479031,9.703491900504567,NGC 5044 High-Res TR1,17arcsec resolution,NGC 5044 High-Res Kin TR1,4635.6,2.6,50.133,0.3824,29.84,0.2772,203.451807,2.34E-4,-24.757128,1.54E-4,77.6,0.9,76.5,2.4,76.5,0.0,"2.5,11.16,19.82,28.47,37.13,45.79,54.45,63.1,71.76,80.42","40.6,110.4,110.5,114.5,123.3,132.4,133.7,135.1,133.7,129.6","16.9,23.9,0.8,1.6,4.0,1.8,1.7,1.4,4.5,7.6","0.1,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4","2.5,11.16,19.82,28.47,37.13,45.79,54.45,63.1,71.76,80.42","15.43,15.09,15.58,15.43,12.91,9.79,7.46,6.06,4.99,3.42","0.91,1.02,1.44,2.86,3.01,3.13,2.85,2.26,1.79,1.4","3.311,3.238,3.343,3.31,2.77,2.1,1.601,1.301,1.07,0.734","0.23,0.225,0.232,0.23,0.192,0.146,0.111,0.09,0.074,0.051"
WALLABY J133440-234722,203.666289,-23.788583,1.38438E9,11607.6,945.318006,11607.6,945.318006,10093.565217391306,822.0156573913044,0.001901,974968.0,833877.0,11.834912,1.0,0.0,0.0,54891.0,-0.007886,0.008706,28.698922,25.40226,43.890073,26.479891,25.032779,-60.97226,193.307819,0.592421,195.586425,0.595454,135.517195,0.705093,157.0,224.0,161.0,235.0,99.0,168.0,111.45008071912515,9.85525825032981,9.855259597273543,NGC 5044 High-Res TR1,17arcsec resolution,,,,,,,,,,,,,,,,,,,,,,,,,,
WALLABY J133541-240428,203.922062,-24.07429,1.40826E9,32934.6,1172.299194,32934.6,1172.299194,28638.782608695652,1019.3906034782609,0.002138,1627330.0,1551830.0,139.359827,1.0,0.0,1.0,69622.0,-0.011114,0.017825,37.150902,10.790216,-41.356415,40.135798,10.633157,-40.209721,192.720643,0.357747,191.128711,0.377851,155.916636,0.706491,160.0,228.0,156.0,223.0,103.0,207.0,36.93722025981377,9.34893576842548,9.348937200221622,NGC 5044 High-Res TR1,17arcsec resolution,NGC 5044 High-Res Kin TR1,2584.7,1.0,42.593,0.4304,46.865,0.1089,203.922139,2.62E-4,-24.073325,6.0E-5,78.9,1.9,320.2,0.3,320.2,0.0,"2.5,11.49,20.47,29.46,38.45,47.44,56.42,65.41,74.4,83.38,92.37,101.36","48.8,79.5,119.7,142.5,155.3,165.3,169.2,169.6,167.8,167.4,159.8,145.4","7.6,19.7,4.5,2.6,1.6,0.3,3.4,6.7,8.7,5.5,5.8,9.2","0.3,0.5,0.8,0.9,1.0,1.1,1.1,1.1,1.1,1.1,1.0,1.0","2.5,11.49,20.47,29.46,38.45,47.44,56.42,65.41,74.4,83.38,92.37,101.36","19.12,19.88,18.47,16.5,15.34,14.21,11.99,9.8,7.17,4.81,3.23,2.12","1.84,2.62,2.21,2.22,2.52,2.22,2.09,2.09,2.12,2.02,1.7,1.39","3.671,3.817,3.545,3.167,2.945,2.729,2.301,1.882,1.377,0.924,0.619,0.407","0.628,0.653,0.606,0.542,0.504,0.467,0.394,0.322,0.236,0.158,0.106,0.07"
WALLABY J133557-234115,203.989563,-23.688573,1.37E9,2163.40136,280.859783,2163.40136,280.859783,1881.2185739130434,244.22589826086957,0.001552,446000.0,344000.0,200.196855,1.0,0.0,0.0,7343.0,-0.004547,0.008279,10.339129,8.400569,52.3541,10.085494,7.909592,35.092068,277.883666,0.480103,371.077816,0.417021,110.703578,0.694034,263.0,289.0,360.0,380.0,91.0,129.0,157.57313684271088,9.4264565138793,9.426457848510905,NGC 5044 High-Res TR1,17arcsec resolution,,,,,,,,,,,,,,,,,,,,,,,,,,
WALLABY J133610-234710,204.042128,-23.787116,1.3685E9,11877.8,833.322328,11877.8,833.322328,10328.521739130436,724.6281113043478,0.001702,788711.0,533793.0,353.360349,1.0,0.0,1.0,53716.0,-0.007517,0.008873,29.546647,23.125106,16.836116,29.327769,22.013922,16.948561,191.239582,0.475133,193.716949,0.590887,115.882719,0.451358,161.0,221.0,163.0,226.0,90.0,143.0,162.44013255614567,10.1924777337182,10.192479067458386,NGC 5044 High-Res TR1,17arcsec resolution,NGC 5044 High-Res Kin TR1,11365.4,4.2,41.907,0.2389,41.153,0.8757,204.041116,1.45E-4,-23.786873,4.87E-4,30.2,2.2,126.5,1.9,126.5,-1.0,"7.5,16.3,25.1,33.89,42.69,51.49","94.5,94.4,98.6,111.5,111.5,123.4","89.3,27.5,17.5,1.4,2.7,13.1","6.2,6.2,6.5,7.3,7.3,8.1","7.5,16.3,25.1,33.89,42.69,51.49","3.08,3.61,3.13,2.45,2.29,1.7","1.15,0.62,0.48,0.45,0.53,0.51","2.66,3.124,2.711,2.123,1.977,1.473","0.059,0.069,0.06,0.047,0.044,0.032"
WALLABY J133801-225524,204.504598,-22.92284,1.38813E9,10190.1,796.074508,10190.1,796.074508,8860.956521739132,692.2387026086958,0.00175,1870040.0,1779540.0,65.796022,1.0,0.0,0.0,46966.0,-0.005166,0.007838,41.179607,15.434218,59.5837,37.756406,16.248887,58.690038,192.665806,0.878786,195.683684,0.585782,127.853209,1.594636,154.0,231.0,162.0,229.0,73.0,181.0,99.57925621124384,9.70087123886747,9.700872590825481,NGC 5044 High-Res TR1,17arcsec resolution,,,,,,,,,,,,,,,,,,,,,,,,,,
WALLABY J134019-235122,205.082068,-23.858871,1.39027E9,20795.2,1050.157294,20795.2,1050.157294,18082.782608695656,913.1802556521741,0.001848,1353360.0,1261080.0,138.180546,1.0,0.0,0.0,75844.0,-0.006689,0.012018,30.468184,25.089455,-50.128211,29.491432,23.372879,-62.234335,193.397351,0.48034,187.957857,0.472086,125.778429,0.75705,160.0,227.0,157.0,229.0,78.0,174.0,92.8336722025832,9.94972919513015,9.949730550508926,NGC 5044 High-Res TR1,17arcsec resolution,,,,,,,,,,,,,,,,,,,,,,,,,,
WALLABY J134102-231256,205.260156,-23.215891,1.38807E9,19676.7,999.461338,19676.7,999.461338,17110.17391304348,869.096815652174,0.001893,1052850.0,672061.0,220.337751,1.0,0.0,0.0,65497.0,-0.008445,0.011706,27.895936,16.726182,46.669537,27.211186,14.838316,40.249338,188.295067,0.435058,196.5362,0.417607,110.5421,0.493959,145.0,220.0,167.0,225.0,77.0,151.0,99.76868449116887,9.98829579273924,9.988297144607877,NGC 5044 High-Res TR1,17arcsec resolution,,,,,,,,,,,,,,,,,,,,,,,,,,
WALLABY J134247-193454,205.697646,-19.582017,1.41375E9,11927.7,1021.089502,11927.7,1021.089502,10371.913043478262,887.9039147826088,0.002979,290610.0,190085.0,297.219949,1.0,0.0,1.0,26791.0,-0.013607,0.022498,19.453936,16.848218,-65.902033,16.82829,15.478567,-74.616082,167.727832,0.505572,94.868526,0.461189,129.591672,0.333566,143.0,191.0,70.0,118.0,111.0,149.0,20.162628629187566,8.38200586080458,8.382007398189627,NGC 5044 High-Res TR1,17arcsec resolution,NGC 5044 High-Res Kin TR1,1410.8,1.2,36.176,0.1623,38.404,1.5801,205.696791,9.6E-5,-19.580053,8.78E-4,23.6,3.0,117.4,5.9,117.4,0.0,"2.5,11.41,20.31,29.22,38.12","17.8,35.6,42.6,45.2,37.8","3.0,10.5,1.0,2.3,10.7","2.1,4.3,5.1,5.4,4.6","2.5,11.41,20.31,29.22,38.12,47.03","7.94,7.18,5.99,3.77,1.8,0.46","0.96,1.97,1.44,0.85,0.72,0.36","7.277,6.583,5.491,3.453,1.65,0.424","0.164,0.148,0.124,0.078,0.037,0.01"
WALLABY J131655-163531,199.233293,-16.591503,1.41E9,4646.32324,603.176676,4646.32324,603.176676,4040.28107826087,524.5014573913045,0.001903,605000.0,478000.0,342.392241,0.999635,0.0,1.0,11957.0,-0.007053,0.009271,16.416707,7.154486,-25.997491,14.927989,3.817263,-25.758363,210.039197,0.360104,269.794093,0.499016,35.039366,0.641968,194.0,223.0,252.0,290.0,10.0,57.0,31.606543294994676,8.36301835759328,8.363019810794603,NGC 5044 High-Res TR1,17arcsec resolution,NGC 5044 High-Res Kin TR1,2100.2,0.4,24.488,0.0296,26.189,0.4633,199.234192,1.7E-5,-16.592395,2.57E-4,83.7,5.7,155.5,1.5,155.5,0.0,"2.5,8.51,14.51,20.52,26.52,32.53","16.9,32.8,44.6,55.4,63.0,67.7","6.2,2.8,0.0,0.7,3.0,6.7","0.2,0.4,0.5,0.6,0.7,0.8","2.5,8.51,14.51,20.52,26.52,32.53","12.21,12.74,12.27,10.04,8.68,6.44","0.49,2.43,2.95,3.17,3.19,4.0","1.349,1.407,1.356,1.109,0.959,0.711","1.212,1.264,1.218,0.996,0.862,0.639"
