recno,ID,WALLABY,Dp/r200,dV/sigC,logM,logMHI,Fr1,Frps,frpsP,frpsR,Simbad,NED,_RA,_DE
78,240,J104100-284430,0.95,0.03,9.1,8.9,0,0,,,Simbad,NED,160.250,-28.7417
79,242,J104139-254049,1.32,0.19,7.8,8.7,0,0,,,Simbad,NED,160.412,-25.6803
80,243,J104139-274639,0.69,0.98,8.0,8.7,1,0,0.55,,Simbad,NED,160.412,-27.7775
81,244,J104142-284653,1.03,1.10,10.0,10.0,1,1,0.41,0.67,Simbad,NED,160.425,-28.7814
82,246,J104221-291748,1.34,1.09,8.1,9.0,1,0,0.27,,Simbad,NED,160.587,-29.2967
83,251,J104309-300301,1.79,-0.85,9.1,9.6,0,0,,,Simbad,NED,160.787,-30.0503
84,252,J104311-261500,1.19,1.26,9.9,9.5,1,1,0.28,0.10,Simbad,NED,160.796,-26.2500
85,253,J104326-251857,1.65,0.05,8.8,8.7,0,0,,,Simbad,NED,160.858,-25.3158
86,256,J104359-293304,1.59,-0.61,8.5,8.4,0,0,,,Simbad,NED,160.996,-29.5511
87,266,J104629-253308,1.82,-0.21,7.9,8.8,0,0,,,Simbad,NED,161.621,-25.5522
88,269,J104824-250944,2.17,0.03,10.7,9.7,0,0,,,Simbad,NED,162.100,-25.1622
89,270,J104905-292232,2.03,0.85,8.5,9.3,0,0,,,Simbad,NED,162.271,-29.3756
90,272,J105227-291155,2.37,-0.46,7.6,8.7,0,0,,,Simbad,NED,163.112,-29.1986
