recno,6dFGS,Group,DL,r/R200,dv/sigma,log(M*),log(MHI),dHI,dopt,dNUV,SFR,f_SFR,SimbadName,_RA,_DE
133,g1041598-284636,infall,55.9935973917486,1.223239545470578,0.030621301775148,10.44793180216402,8.8,14.44774274380104,73.8184094746283,24.90136843133089,-0.845014047845344,1,6dFGS gJ1041598-284636,160.4991250,-28.7766944
134,g1043283-255201,infall,65.3506968934106,1.603027440763575,0.888017751479290,10.38505852869166,8.9,16.23304527765459,62.9723411013467,37.12849911173794,-0.882743936662240,1,6dFGS gJ1043283-255201,160.8677500,-25.8668611
135,g1044246-273418,infall,42.4836799604284,1.221539239397889,1.361982248520710,9.08796145036433,8.3,8.06863370363820,14.5461065247689,,,1,6dFGS gJ1044246-273418,161.1022917,-27.5716667
136,g1044259-252237,infall,66.1204311356201,1.970260609171369,0.963461538461539,10.59978626983456,8.9,16.23304527765459,56.6980410592975,14.79454547612423,-0.938038710588060,1,6dFGS gJ1044259-252237,161.1080000,-25.3770000
137,g1044313-251644,infall,66.3921482759175,2.034495904156804,0.990088757396450,9.08426544312630,8.7,12.85878692634398,25.6888443373635,20.88922576057395,-1.102138121253034,0,6dFGS gJ1044313-251644,161.1305000,-25.2787778
138,g1045462-243833,field,56.9114591936528,2.520841188480535,0.059615384615385,9.08744728175407,8.6,11.44458370758711,23.8286177521555,15.79856036873402,-0.842480919468666,0,6dFGS gJ1045462-243833,161.4426250,-24.6425000
139,g1046171-282524,infall,53.9331823349448,1.642742272227576,0.233284023668639,9.51273801997041,8.6,11.44458370758711,20.5712742425985,18.44897388535947,,0,6dFGS gJ1046171-282524,161.5711667,-28.4234167
140,g1046233-302120,field,51.8591445258390,2.526342129763414,0.437426035502958,9.24697402037939,8.5,10.18591388054117,37.2309418362544,24.26958101819491,-0.641674713041555,0,6dFGS gJ1046233-302120,161.5972083,-30.3555278
141,g1046447-251440,infall,55.9033309021812,2.288007923811153,0.039497041420118,10.16464148454593,8.8,14.44774274380104,64.0000811942784,,,1,6dFGS gJ1046447-251440,161.6860417,-25.2444444
142,g1048045-250931,infall,59.4407759051184,2.484061112350360,0.308136094674556,9.64015329057645,8.7,12.85878692634398,35.7014955180408,11.64002757642747,-1.568225135469020,1,6dFGS gJ1048045-250931,162.0189167,-25.1586667
