name,ra,dec,freq,team_release,team_release_kin,Vsys_model,e_Vsys_model,X_model,e_X_model,Y_model,e_Y_model,RA_model,e_RA_model,DEC_model,e_DEC_model,Inc_model,e_Inc_model,PA_model,e_PA_model,PA_model_g,e_PA_model_g,QFlag_model,Rad,Vrot_model,e_Vrot_model,e_Vrot_model_inc,Rad_SD,SD_model,e_SD_model,SD_FO_model,e_SD_FO_model_inc
WALLABY J100036-465940,150.1527269322858,-46.99455281779643,1.403125134640462E9,Vela TR1,Vela Kin TR1,3692.9,2.0,24.951,0.1834,22.868,0.3959,150.152547,4.56E-4,-46.993251,6.58E-4,44.9,6.4,108.9,0.6,108.5,0.6,0.0,"7.5,22.47,37.44,52.41,67.37","84.3,65.2,77.7,64.9,65.4","35.5,1.2,0.6,16.1,12.5","9.6,7.4,8.9,7.4,7.5","7.5,22.47,37.44,52.41,67.37,82.34,97.31","5.85,4.66,2.6,1.11,0.55,0.38,0.17","0.53,0.84,0.6,0.36,0.19,0.13,0.08","4.141,3.299,1.84,0.786,0.389,0.269,0.12","0.459,0.365,0.204,0.087,0.043,0.03,0.013"
WALLABY J100748-430145,151.9515847040315,-43.02939541636121,1.391386838424647E9,Vela TR1,Vela Kin TR1,6258.4,6.1,21.787,1.0314,27.473,0.1095,151.949771,0.002359,-43.025635,1.3E-4,34.7,2.3,348.5,0.0,346.8,0.0,0.0,"7.5,22.47,37.44","57.7,76.0,102.7","11.2,10.5,9.5","3.4,4.5,6.1","7.5,22.47,37.44,52.41","4.7,3.99,2.59,1.1","0.32,0.54,0.69,0.4","3.86,3.28,2.126,0.906","0.109,0.093,0.06,0.026"
WALLABY J125548+041805,193.9523167650541,4.301583675537505,1.416825214865866E9,NGC 4808 TR1,NGC 4808 Kin TR1,756.3,1.2,51.52,0.8418,98.964,1.0539,193.954272,0.001409,4.304244,0.001755,66.0,6.7,308.9,7.0,308.8,7.0,0.0,"7.5,22.56,37.61,52.67,67.72,82.78,97.84,112.89,127.95,143.0,158.06,173.12,188.17,203.23,218.28,233.34,248.4,263.45,278.51,293.57,308.62","50.4,98.2,119.3,128.0,132.3,130.7,124.2,126.8,134.1,135.7,134.2,132.5,129.3,124.4,118.1,112.8,110.6,106.9,100.6,96.1,97.0","9.3,1.9,1.5,1.2,0.7,1.4,9.3,9.0,4.9,5.1,5.4,3.3,0.1,3.9,9.1,14.0,18.3,18.8,15.3,12.2,13.1","2.6,5.2,6.3,6.7,6.9,6.9,6.5,6.7,7.0,7.1,7.1,7.0,6.8,6.5,6.2,5.9,5.8,5.6,5.3,5.0,5.1","7.5,22.56,37.61,52.67,67.72,82.78,97.84,112.89,127.95,143.0,158.06,173.12,188.17,203.23,218.28,233.34,248.4,263.45,278.51,293.57,308.62,323.68,338.73,353.79","26.34,26.2,26.44,23.89,20.16,14.87,10.52,8.27,6.92,5.64,4.6,3.96,3.49,3.06,2.67,2.36,2.0,1.8,1.47,1.17,0.97,0.84,0.73,0.66","0.09,1.17,2.16,2.25,2.2,2.26,2.72,2.45,2.16,1.53,1.12,0.74,0.56,0.45,0.44,0.43,0.41,0.34,0.31,0.27,0.25,0.22,0.2,0.21","10.706,10.65,10.747,9.709,8.195,6.045,4.274,3.36,2.812,2.292,1.87,1.61,1.417,1.243,1.084,0.959,0.813,0.73,0.599,0.476,0.394,0.342,0.298,0.27","2.796,2.782,2.807,2.536,2.14,1.579,1.116,0.878,0.735,0.599,0.488,0.42,0.37,0.325,0.283,0.25,0.212,0.191,0.156,0.124,0.103,0.089,0.078,0.07"
WALLABY J125549+040049,193.9563512714917,4.013832697981899,1.417016908883967E9,NGC 4808 TR1,NGC 4808 Kin TR1,703.4,0.3,39.556,0.4108,32.487,0.5153,193.954562,6.88E-4,4.013409,8.58E-4,56.9,5.8,22.4,0.3,22.3,0.3,0.0,"7.5,22.56,37.61,52.67,67.72,82.78,97.84,112.89,127.95","27.9,46.0,56.0,62.3,65.2,66.5,69.2,74.7,71.6","7.8,0.4,2.5,3.0,2.0,1.5,1.0,0.9,7.2","1.9,3.1,3.7,4.2,4.4,4.5,4.6,5.0,4.8","7.5,22.56,37.61,52.67,67.72,82.78,97.84,112.89,127.95,143.0,158.06,173.12","8.27,8.96,9.24,8.53,6.81,4.68,2.73,1.37,0.75,0.55,0.45,0.29","0.2,0.74,0.82,1.0,0.81,0.53,0.39,0.34,0.27,0.23,0.21,0.16","4.525,4.897,5.051,4.666,3.722,2.562,1.491,0.75,0.41,0.303,0.247,0.157","0.7,0.757,0.781,0.721,0.575,0.396,0.231,0.116,0.063,0.047,0.038,0.024"
WALLABY J125451+023900,193.7142210285405,2.650154335472928,1.416007877124494E9,NGC 4808 TR1,NGC 4808 Kin TR1,936.6,1.8,29.296,0.4107,24.805,0.2134,193.714347,6.86E-4,2.649524,3.55E-4,60.2,7.5,50.6,2.6,50.6,2.6,0.0,"7.5,22.56,37.61,52.67,67.72,82.78","47.9,66.1,75.0,78.1,79.4,78.2","7.5,4.9,3.2,5.5,5.8,4.9","3.7,5.0,5.7,6.0,6.1,6.0","7.5,22.56,37.61,52.67,67.72,82.78,97.84","21.29,19.58,15.98,11.09,6.93,3.88,1.72","1.56,3.33,2.8,1.86,1.05,0.92,0.72","10.591,9.738,7.947,5.517,3.448,1.929,0.856","2.407,2.213,1.806,1.254,0.784,0.438,0.194"
WALLABY J130315+074816,195.8130646476565,7.804479670054757,1.406684929739914E9,NGC 4808 TR1,NGC 4808 Kin TR1,2919.8,4.5,36.203,0.4906,33.202,0.1881,195.810944,8.25E-4,7.804075,3.15E-4,32.2,1.4,353.3,0.2,353.4,0.2,0.0,"7.5,22.56,37.61,52.67,67.72,82.78,97.84,112.89","105.5,154.7,155.6,169.5,184.1,202.2,205.5,146.8","56.6,16.6,17.4,7.8,3.4,19.9,23.3,33.5","4.0,5.9,5.9,6.5,7.0,7.7,7.9,5.6","7.5,22.56,37.61,52.67,67.72,82.78,97.84,112.89,127.95,143.0","1.72,2.98,4.61,5.26,4.82,3.34,1.68,0.84,0.39,0.15","0.35,0.63,0.51,0.31,0.43,0.5,0.41,0.31,0.2,0.1","1.456,2.524,3.901,4.448,4.075,2.824,1.417,0.707,0.329,0.126","0.022,0.038,0.059,0.067,0.062,0.043,0.021,0.011,0.005,0.002"
WALLABY J133019-220858,202.5796182260862,-22.14945546617385,1.394877820991935E9,NGC 5044 TR1,NGC 5044 Kin TR1,5481.7,1.9,26.077,0.2373,22.954,0.1547,202.578402,4.27E-4,-22.147051,2.58E-4,59.8,0.1,250.2,1.2,250.3,1.2,0.0,"7.5,22.56,37.62,52.69","82.7,112.3,119.0,113.2","12.3,3.4,3.6,2.4","0.1,0.1,0.1,0.1","7.5,22.56,37.62,52.69,67.75,82.81","6.08,4.68,2.73,1.31,0.67,0.32","0.71,1.14,0.85,0.51,0.26,0.18","3.06,2.353,1.372,0.66,0.339,0.162","0.009,0.007,0.004,0.002,0.001,0.0"
WALLABY J125604+034843,194.0193267649271,3.812093902197743,1.417478116687458E9,NGC 4808 TR1,NGC 4808 Kin TR1,613.8,0.1,34.205,0.3027,29.01,0.4318,194.01886,5.06E-4,3.812663,7.19E-4,39.0,5.6,303.5,1.1,303.4,1.1,0.0,"7.5,22.56,37.61,52.67,67.72,82.78,97.84","29.6,42.8,53.0,60.5,64.4,64.2,60.4","10.4,2.3,0.4,0.8,0.2,2.2,6.5","3.6,5.3,6.5,7.4,7.9,7.9,7.4","7.5,22.56,37.61,52.67,67.72,82.78,97.84,112.89,127.95","6.36,5.88,5.26,4.66,3.67,2.38,1.37,0.51,0.18","0.89,1.04,0.61,0.37,0.36,0.4,0.3,0.14,0.08","4.941,4.57,4.083,3.62,2.849,1.847,1.062,0.395,0.139","0.389,0.36,0.322,0.285,0.225,0.146,0.084,0.031,0.011"
WALLABY J130305+035925,195.7748594779248,3.99037967426574,1.406963032170296E9,NGC 4808 TR1,NGC 4808 Kin TR1,2857.6,0.6,26.27,0.0594,25.954,0.3348,195.774555,9.9E-5,3.990967,5.58E-4,36.9,2.9,171.7,0.2,171.8,0.2,0.0,"7.5,22.56,37.61,52.67,67.72,82.78","40.3,86.8,92.4,93.5,95.2,96.1","21.4,5.6,4.8,3.8,2.4,1.4","2.7,5.9,6.3,6.4,6.5,6.6","7.5,22.56,37.61,52.67,67.72,82.78,97.84","6.89,7.19,6.74,5.06,2.95,1.17,0.31","0.56,0.81,0.66,0.5,0.39,0.26,0.12","5.513,5.751,5.395,4.051,2.36,0.937,0.248","0.21,0.219,0.205,0.154,0.09,0.036,0.009"
WALLABY J131122+032431,197.8437772524444,3.408681450595036,1.406094063397294E9,NGC 4808 TR1,NGC 4808 Kin TR1,3043.3,2.9,30.289,0.2523,27.793,0.189,197.847218,4.21E-4,3.411078,3.17E-4,67.4,5.3,107.6,4.1,107.8,4.1,0.0,"7.5,22.56,37.61,52.67,67.72,82.78,97.84","51.1,67.0,75.8,84.3,91.3,96.5,99.3","18.8,3.5,0.3,2.2,3.9,6.3,10.0","2.0,2.6,3.0,3.3,3.6,3.8,3.9","7.5,22.56,37.61,52.67,67.72,82.78,97.84,112.89","8.48,8.17,6.94,5.37,3.67,2.42,1.46,1.01","0.2,0.67,0.99,1.18,1.11,0.94,0.68,0.47","3.264,3.142,2.672,2.068,1.41,0.932,0.561,0.389","0.728,0.701,0.596,0.461,0.315,0.208,0.125,0.087"
