name,ra,dec,freq,team_release,team_release_kin,Vsys_model,e_Vsys_model,X_model,e_X_model,Y_model,e_Y_model,RA_model,e_RA_model,DEC_model,e_DEC_model,Inc_model,e_Inc_model,PA_model,e_PA_model,PA_model_g,e_PA_model_g,QFlag_model,Rad,Vrot_model,e_Vrot_model,e_Vrot_model_inc,Rad_SD,SD_model,e_SD_model,SD_FO_model,e_SD_FO_model_inc
WALLABY J133949-220132,204.9584213559631,-22.02556413308159,1.393281191641094E9,NGC 5044 TR2,NGC 5044 Kin TR2,5839.8,0.3,23.497,0.0345,22.188,0.2866,204.958735,7.0E-5,-22.025251,4.77E-4,67.5,13.1,54.9,1.4,54.1,1.4,0.0,"7.5,22.56,37.62,52.68","159.7,153.0,159.5,148.6","18.1,0.2,3.7,0.8","15.9,15.2,15.9,14.8","7.5,22.56,37.62,52.68,67.74,82.8","15.16,11.44,7.12,3.62,1.4,0.53","0.75,2.04,2.2,1.4,0.79,0.37","5.789,4.37,2.72,1.384,0.534,0.201","3.169,2.392,1.489,0.757,0.292,0.11"
WALLABY J131237-142630,198.1566668683732,-14.44189483163003,1.391551360312198E9,NGC 5044 TR2,NGC 5044 Kin TR2,6221.0,0.2,29.552,0.468,25.714,0.1665,198.156487,8.05E-4,-14.441546,2.78E-4,79.1,4.2,60.1,1.2,60.2,1.2,0.0,"7.5,22.48,37.47,52.45,67.43,82.42,97.4,112.38","113.3,132.5,133.2,138.1,137.2,131.5,128.6,130.2","27.8,12.9,1.8,5.0,2.1,3.8,5.2,0.4","1.6,1.9,1.9,1.9,1.9,1.8,1.8,1.8","7.5,22.48,37.47,52.45,67.43,82.42,97.4,112.38,127.36","10.28,9.47,7.93,6.23,4.58,3.14,2.0,1.21,0.71","0.3,0.71,0.98,1.26,1.51,1.4,1.11,0.83,0.59","1.937,1.785,1.493,1.173,0.862,0.592,0.377,0.228,0.133","0.735,0.677,0.567,0.445,0.327,0.225,0.143,0.087,0.05"
WALLABY J133801-225524,204.5061192555524,-22.92373544526665,1.388138632877786E9,NGC 5044 TR2,NGC 5044 Kin TR2,6981.8,18.0,30.087,0.9877,23.306,0.3798,204.502946,0.001796,-22.924009,6.14E-4,69.2,1.2,250.3,3.4,249.6,3.4,2.0,"7.5,22.56,37.62,52.68","172.9,176.0,189.6,188.5","39.5,21.3,21.2,20.1","1.4,1.4,1.5,1.5","7.5,22.56,37.62,52.68,67.74,82.8,97.86","5.94,5.73,4.37,2.97,1.99,1.27,0.85","0.41,0.64,0.94,0.82,0.69,0.53,0.41","2.11,2.036,1.552,1.054,0.706,0.451,0.303","0.115,0.111,0.084,0.057,0.038,0.024,0.016"
WALLABY J133208-225710,203.0342585657203,-22.9530088426751,1.396850099803979E9,NGC 5044 TR2,NGC 5044 Kin TR2,5055.9,0.1,22.345,0.2678,22.187,0.1006,203.034698,4.85E-4,-22.951577,1.67E-4,48.6,4.7,53.1,1.5,53.0,1.5,0.0,"7.5,22.56,37.62","100.6,143.1,169.9","8.4,5.1,9.9","7.3,10.4,12.4","7.5,22.56,37.62,52.68,67.74","6.89,6.09,4.43,2.25,0.55","0.45,1.15,1.11,0.6,0.24","4.554,4.024,2.928,1.487,0.367","0.422,0.373,0.272,0.138,0.034"
WALLABY J133811-204047,204.5463416546297,-20.6798529053906,1.361725373576835E9,NGC 5044 TR2,NGC 5044 Kin TR2,12918.7,1.2,24.282,0.7828,22.676,0.1368,204.545191,0.001398,-20.679084,2.13E-4,31.9,5.2,18.9,0.6,18.3,0.6,0.0,"7.5,22.56,37.62","146.3,163.1,173.8","20.3,1.8,3.9","21.9,24.4,26.0","7.5,22.56,37.62,52.68,67.74,82.8","6.34,5.16,3.09,1.38,0.42,0.06","0.26,0.51,0.43,0.4,0.22,0.06","5.383,4.38,2.624,1.168,0.352,0.051","0.303,0.246,0.147,0.066,0.02,0.003"
WALLABY J133440-234722,203.6672049819966,-23.78948427016499,1.384388627877617E9,NGC 5044 TR2,NGC 5044 Kin TR2,7805.7,0.5,25.432,0.9979,25.29,0.0313,203.664626,0.001818,-23.789258,4.2E-5,29.2,2.3,193.2,2.3,192.9,2.3,0.0,"7.5,22.56,37.62,52.68","110.4,167.2,179.1,169.6","69.7,4.0,6.4,13.8","7.9,12.0,12.9,12.2","7.5,22.56,37.62,52.68,67.74,82.8","3.09,3.23,2.49,1.43,0.67,0.31","0.49,0.41,0.37,0.25,0.18,0.12","2.701,2.819,2.171,1.252,0.587,0.268","0.06,0.063,0.048,0.028,0.013,0.006"
WALLABY J133329-211151,203.3744347221712,-21.19711017054754,1.387512754548438E9,NGC 5044 TR2,NGC 5044 Kin TR2,7094.0,2.6,22.608,0.0523,36.396,0.614,203.37422,9.8E-5,-21.195164,0.001023,46.2,6.1,145.7,2.4,145.5,2.4,0.0,"7.5,22.56,37.62","88.7,108.6,125.6","1.2,2.0,7.5","9.2,11.3,13.1","7.5,22.56,37.62,52.68,67.74,82.8","6.91,5.67,3.29,1.28,0.29,0.07","0.34,0.65,0.56,0.29,0.14,0.06","4.777,3.921,2.277,0.886,0.202,0.045","0.53,0.435,0.252,0.098,0.022,0.005"
WALLABY J133041-233009,202.6741234209146,-23.50271564864846,1.36177750311268E9,NGC 5044 TR2,NGC 5044 Kin TR2,12877.1,1.9,24.845,0.319,21.946,0.18,202.67502,5.8E-4,-23.502194,3.0E-4,70.8,3.4,281.1,1.0,281.1,1.0,0.0,"7.5,22.56,37.62,52.68,67.74","204.4,235.4,225.7,233.7,225.7","69.7,22.3,4.9,0.0,3.9","4.3,4.9,4.7,4.9,4.7","7.5,22.56,37.62,52.68,67.74,82.8,97.86","7.81,6.63,4.97,3.22,1.83,1.14,0.58","0.46,1.02,1.21,1.11,0.77,0.5,0.36","2.571,2.182,1.635,1.061,0.604,0.377,0.192","0.44,0.374,0.28,0.182,0.103,0.065,0.033"
WALLABY J130516-172641,196.3173143090456,-17.44484323720395,1.371296410817976E9,NGC 5044 TR2,NGC 5044 Kin TR2,10739.2,4.5,24.072,0.8938,24.783,0.1264,196.315411,0.001561,-17.444724,2.16E-4,75.0,5.1,217.7,0.3,217.9,0.3,0.0,"7.5,22.47,37.43,52.4,67.37","339.2,230.7,270.5,283.2,277.8","28.7,102.0,1.7,0.1,2.0","8.2,5.6,6.6,6.9,6.7","7.5,22.47,37.43,52.4,67.37,82.34,97.3","6.94,6.03,5.36,4.03,2.72,1.59,0.94","0.22,0.9,1.06,1.34,1.29,1.01,0.72","1.8,1.564,1.391,1.045,0.707,0.412,0.243","0.6,0.521,0.464,0.348,0.236,0.137,0.081"
WALLABY J131430-173154,198.626622630575,-17.53181079379835,1.408733443560406E9,NGC 5044 TR2,NGC 5044 Kin TR2,2477.6,0.9,22.071,0.4842,23.482,0.0505,198.625975,8.47E-4,-17.53326,7.7E-5,59.6,0.8,153.1,0.3,152.6,0.3,0.0,"7.5,22.47,37.43,52.4,67.37","73.2,100.9,115.5,110.9,107.7","4.8,1.5,4.7,1.0,3.4","0.6,0.8,0.9,0.9,0.9","7.5,22.47,37.43,52.4,67.37,82.34,97.3","7.4,5.55,3.58,1.8,0.82,0.47,0.23","0.49,0.96,0.79,0.51,0.31,0.18,0.15","3.742,2.804,1.811,0.908,0.414,0.24,0.118","0.087,0.065,0.042,0.021,0.01,0.006,0.003"
WALLABY J131840-150339,199.6667382600184,-15.06106840509361,1.405404463314425E9,NGC 5044 TR2,NGC 5044 Kin TR2,3182.2,0.3,20.342,0.0244,23.241,0.0445,199.666397,4.3E-5,-15.061425,7.4E-5,78.6,10.0,25.0,4.3,24.7,4.3,0.0,"7.5,22.48,37.47,52.45,67.43","46.4,76.6,87.3,89.6,86.8","5.2,7.8,2.6,0.4,3.3","1.7,2.8,3.2,3.3,3.2","7.5,22.48,37.47,52.45,67.43,82.42","7.07,6.35,5.19,3.54,2.36,1.5","0.19,0.56,0.94,1.39,1.37,1.25","1.402,1.26,1.029,0.702,0.469,0.298","1.204,1.082,0.884,0.603,0.403,0.256"
WALLABY J133214-210542,203.0588157542317,-21.09540063609771,1.393425776286083E9,NGC 5044 TR2,NGC 5044 Kin TR2,5805.0,0.2,25.46,0.0568,27.101,0.1661,203.057879,1.02E-4,-21.094833,2.77E-4,57.6,5.9,86.1,1.2,86.0,1.2,0.0,"7.5,22.56,37.62,52.68","43.9,69.0,78.5,77.9","6.9,1.8,3.2,2.9","2.9,4.6,5.2,5.2","7.5,22.56,37.62,52.68,67.74,82.8,97.86","6.2,4.84,3.12,1.72,0.75,0.33,0.07","0.67,0.85,0.68,0.41,0.22,0.16,0.08","3.325,2.594,1.675,0.922,0.403,0.176,0.04","0.541,0.422,0.273,0.15,0.066,0.029,0.006"
WALLABY J133019-220858,202.579548517484,-22.14935413391487,1.394873534424596E9,NGC 5044 TR2,NGC 5044 Kin TR2,5488.5,0.5,26.159,0.2437,22.102,0.3325,202.578254,4.38E-4,-22.146804,5.55E-4,60.8,1.5,253.0,1.4,253.0,1.4,0.0,"7.5,22.56,37.62,52.68","73.9,112.1,118.0,110.7","4.5,3.3,3.8,3.3","1.1,1.7,1.8,1.6","7.5,22.56,37.62,52.68,67.74,82.8","5.96,4.6,2.7,1.39,0.73,0.34","0.8,1.21,0.95,0.56,0.29,0.16","2.905,2.244,1.314,0.676,0.356,0.165","0.139,0.107,0.063,0.032,0.017,0.008"
WALLABY J130758-121123,196.994582601222,-12.18971755777114,1.363364355834947E9,NGC 5044 TR2,NGC 5044 Kin TR2,12541.1,2.7,22.316,0.5263,26.116,0.1951,196.992931,8.96E-4,-12.18855,3.3E-4,47.8,3.4,335.8,0.6,336.1,0.6,0.0,"7.5,22.48,37.47","165.8,198.7,196.6","89.9,11.2,2.8","9.0,10.8,10.7","7.5,22.48,37.47,52.45,67.43","3.85,3.56,2.62,1.39,0.48","0.2,0.33,0.43,0.36,0.21","2.589,2.394,1.76,0.931,0.325","0.17,0.157,0.116,0.061,0.021"
WALLABY J133756-240727,204.4868996317963,-24.12435097478599,1.378414644331974E9,NGC 5044 TR2,NGC 5044 Kin TR2,9128.1,2.4,22.103,0.3652,21.117,0.3717,204.485893,6.75E-4,-24.124764,6.13E-4,46.6,8.2,249.6,1.1,248.9,1.1,0.0,"7.5,22.56,37.62,52.68","127.9,127.5,121.3,114.3","33.0,0.1,3.3,4.6","17.8,17.8,16.9,15.9","7.5,22.56,37.62,52.68,67.74","2.79,2.59,1.93,1.23,0.5","0.3,0.34,0.32,0.25,0.2","1.913,1.781,1.327,0.842,0.344","0.288,0.268,0.2,0.127,0.052"
WALLABY J130618-193547,196.5751502087019,-19.59638435985527,1.400520639947323E9,NGC 5044 TR2,NGC 5044 Kin TR2,4253.4,1.1,24.734,0.2145,18.202,0.0894,196.574157,3.79E-4,-19.596662,1.5E-4,76.4,13.5,214.6,7.0,214.7,7.0,0.0,"7.5,22.47,37.43,52.4","46.1,80.1,85.1,81.8","7.2,4.9,4.5,1.2","2.8,4.8,5.1,4.9","7.5,22.47,37.43,52.4","6.98,5.68,3.99,2.28","0.27,0.81,1.32,1.39","1.645,1.338,0.939,0.536","1.584,1.288,0.904,0.516"
WALLABY J131115-180605,197.8129729308706,-18.10155596460206,1.40750000748147E9,NGC 5044 TR2,NGC 5044 Kin TR2,2741.2,0.7,18.981,0.2526,22.548,0.2086,197.812196,4.45E-4,-18.101514,3.46E-4,65.0,6.2,5.9,3.2,5.6,3.2,0.0,"7.5,22.47,37.43","42.9,63.8,66.0","8.8,4.1,4.1","2.2,3.3,3.4","7.5,22.47,37.43,52.4","4.55,3.25,2.05,0.97","0.55,1.02,0.83,0.43","1.926,1.377,0.867,0.412","0.448,0.32,0.202,0.096"
WALLABY J130314-172514,195.8118843077678,-17.42071223160784,1.416891140916705E9,NGC5044 TR3,NGC5044 Kin TR3,740.5,2.8,63.347,1.1515,48.258,1.0028,195.817113,0.002001,-17.421454,0.001684,78.2,5.0,294.6,0.7,295.0,0.7,0.0,"7.5,22.47,37.43,52.4,67.37,82.34,97.3,112.27,127.24,142.2,157.17,172.14,187.11,202.07,217.04,232.01,246.98,261.94,276.91,291.88,306.84,321.81,336.78,351.75,366.71","13.6,22.9,28.5,32.1,34.3,35.8,37.2,38.6,40.2,42.1,44.2,46.6,49.2,51.9,54.4,56.5,57.9,58.9,60.1,61.3,61.8,61.8,61.7,62.2,56.3","1.3,9.0,9.3,7.0,5.8,5.0,4.1,3.3,2.6,2.1,1.7,1.4,1.3,1.2,0.8,0.6,0.8,1.1,0.9,0.4,0.3,0.4,0.3,0.7,4.3","0.3,0.4,0.5,0.6,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.9,0.9,1.0,1.0,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.0","7.5,22.47,37.43,52.4,67.37,82.34,97.3,112.27,127.24,142.2,157.17,172.14,187.11,202.07,217.04,232.01,246.98,261.94,276.91,291.88,306.84,321.81,336.78,351.75,366.71","50.92,48.31,43.8,40.68,36.88,33.48,29.41,26.67,23.46,21.18,19.08,17.6,16.94,15.79,14.78,12.58,10.26,8.15,6.25,4.92,3.79,3.04,2.43,1.97,1.67","2.48,3.72,4.67,4.75,4.17,3.36,2.88,3.09,3.03,2.43,2.59,2.76,2.77,3.21,3.16,2.58,1.95,1.33,1.01,0.84,0.69,0.68,0.61,0.56,0.51","10.434,9.9,8.975,8.335,7.556,6.859,6.026,5.464,4.807,4.339,3.91,3.607,3.471,3.236,3.027,2.578,2.102,1.669,1.28,1.008,0.776,0.623,0.498,0.403,0.343","4.386,4.161,3.773,3.504,3.176,2.883,2.533,2.297,2.021,1.824,1.644,1.516,1.459,1.36,1.273,1.084,0.883,0.702,0.538,0.424,0.326,0.262,0.209,0.169,0.144"
WALLABY J132947-175747,202.4485494945577,-17.9631064138782,1.413247980286731E9,NGC5044 TR3,NGC5044 Kin TR3,1506.8,5.3,61.88,0.4249,51.474,0.8029,202.452099,7.43E-4,-17.964588,0.001339,84.4,2.2,306.9,1.0,307.0,1.0,1.0,"7.5,22.56,37.62,52.68,67.74,82.8,97.86,112.92,127.98,143.04,158.1,173.16,188.22,203.28,218.34,233.4,248.46,263.52,278.59,293.65,308.71,323.77,338.83","15.2,41.0,68.2,95.4,122.3,148.0,171.6,198.5,223.2,236.2,242.1,245.4,246.5,245.5,242.4,244.1,247.6,248.4,247.9,248.4,252.4,250.9,248.2","8.7,1.4,10.8,22.1,27.8,29.7,29.5,21.5,11.3,8.4,8.3,7.9,7.8,7.9,8.4,4.1,0.2,1.2,0.8,1.4,5.3,3.8,1.0","0.1,0.2,0.3,0.4,0.5,0.6,0.6,0.7,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9","7.5,22.56,37.62,52.68,67.74,82.8,97.86,112.92,127.98,143.04,158.1,173.16,188.22,203.28,218.34,233.4,248.46,263.52,278.59,293.65,308.71,323.77,338.83,353.89,368.95","27.83,29.21,28.91,29.41,30.76,31.38,32.21,33.08,32.16,32.9,31.21,28.64,27.55,24.29,23.86,21.13,18.09,16.17,12.32,11.66,8.46,6.8,5.28,4.57,3.23","0.15,0.68,1.36,2.49,3.5,4.53,5.42,5.98,7.4,6.49,5.67,5.52,4.36,4.38,3.82,3.75,3.87,3.35,2.24,3.21,2.3,2.76,2.12,2.3,1.59","2.71,2.844,2.815,2.864,2.996,3.056,3.136,3.221,3.132,3.203,3.039,2.789,2.682,2.365,2.323,2.057,1.761,1.574,1.199,1.135,0.824,0.662,0.514,0.445,0.315","1.062,1.115,1.104,1.123,1.174,1.198,1.229,1.262,1.228,1.256,1.191,1.093,1.051,0.927,0.911,0.806,0.69,0.617,0.47,0.445,0.323,0.26,0.201,0.174,0.123"
WALLABY J133802-175254,204.5119834031337,-17.88176428673797,1.414014807032389E9,NGC5044 TR3,NGC5044 Kin TR3,1355.4,0.6,49.247,0.4703,67.916,0.3252,204.511388,8.3E-4,-17.883903,5.34E-4,21.0,5.7,95.6,0.8,95.1,0.8,0.0,"7.5,22.56,37.62,52.68,67.74,82.8,97.86,112.92,127.98,143.04,158.1,173.16,188.22","55.7,99.1,130.1,150.7,164.2,172.2,174.6,174.8,175.5,172.6,162.2,148.5,133.3","23.4,14.5,8.5,3.4,0.8,2.5,1.6,0.0,1.6,0.7,11.2,25.2,41.4","15.6,27.7,36.4,42.2,46.0,48.2,48.9,48.9,49.1,48.3,45.4,41.6,37.3","7.5,22.56,37.62,52.68,67.74,82.8,97.86,112.92,127.98,143.04,158.1,173.16,188.22,203.28","7.76,6.5,5.21,4.76,5.39,6.38,6.88,6.56,5.44,3.71,2.31,1.49,0.98,0.55","0.92,0.84,0.45,0.61,0.59,0.48,0.46,0.45,0.52,0.49,0.42,0.34,0.21,0.13","7.246,6.071,4.863,4.439,5.03,5.959,6.426,6.124,5.074,3.465,2.16,1.388,0.914,0.513","0.276,0.232,0.185,0.169,0.192,0.227,0.245,0.234,0.193,0.132,0.082,0.053,0.035,0.02"
WALLABY J130415-102023,196.0625609865608,-10.33984214631051,1.405831031917277E9,NGC5044 TR3,NGC5044 Kin TR3,3108.3,3.4,35.335,0.2749,55.606,0.2333,196.059594,4.63E-4,-10.33804,3.94E-4,66.6,5.3,4.9,1.3,5.3,1.3,0.0,"37.5,52.48,67.47,82.45,97.43,112.42,127.4,142.38,157.36,172.35,187.33,202.31,217.3,232.28,247.26","240.7,238.6,240.4,242.9,242.1,237.1,233.0,232.5,233.2,234.9,236.8,238.0,238.7,239.2,239.4","5.9,5.3,1.3,3.3,4.3,0.9,1.6,0.7,1.0,3.4,5.8,7.2,7.8,8.0,7.5","9.7,9.6,9.7,9.8,9.8,9.6,9.4,9.4,9.4,9.5,9.6,9.6,9.6,9.7,9.7","37.5,52.48,67.47,82.45,97.43,112.42,127.4,142.38,157.36,172.35,187.33,202.31,217.3,232.28,247.26,262.25","3.66,5.91,6.82,7.08,6.52,5.75,5.49,5.32,5.0,4.05,3.37,2.95,2.52,2.03,1.4,0.9","1.2,1.4,1.47,1.19,0.91,0.94,0.86,0.75,0.7,0.59,0.59,0.51,0.44,0.42,0.39,0.31","1.455,2.349,2.713,2.815,2.593,2.287,2.182,2.114,1.989,1.608,1.342,1.174,1.001,0.806,0.558,0.359","0.31,0.501,0.578,0.6,0.552,0.487,0.465,0.451,0.424,0.343,0.286,0.25,0.213,0.172,0.119,0.077"
WALLABY J130053-132655,195.2230295427899,-13.44860754089939,1.408399943715944E9,NGC5044 TR3,NGC5044 Kin TR3,2554.3,3.1,56.165,0.2846,57.231,0.4517,195.219413,4.78E-4,-13.449222,7.59E-4,37.8,5.1,145.7,1.1,146.4,1.1,0.0,"7.5,22.48,37.47,52.45,67.43,82.42,97.4,112.38,127.36,142.35,157.33,172.31,187.3","120.1,161.1,166.0,168.8,172.6,174.4,171.3,170.7,173.3,171.7,166.0,160.9,165.2","38.6,2.4,0.1,1.0,3.0,2.8,2.5,3.3,2.8,8.3,13.3,13.1,10.0","13.9,18.7,19.3,19.6,20.0,20.3,19.9,19.8,20.1,19.9,19.3,18.7,19.2","7.5,22.48,37.47,52.45,67.43,82.42,97.4,112.38,127.36,142.35,157.33,172.31,187.3,202.28,217.26,232.25","3.72,4.55,5.93,6.25,6.01,5.23,3.89,2.98,2.51,1.83,1.22,0.96,0.72,0.46,0.25,0.18","0.2,0.4,0.53,0.59,0.44,0.3,0.33,0.27,0.24,0.18,0.16,0.17,0.15,0.11,0.08,0.09","2.937,3.596,4.686,4.94,4.751,4.138,3.078,2.354,1.982,1.448,0.963,0.758,0.573,0.364,0.201,0.14","0.201,0.246,0.32,0.337,0.325,0.283,0.21,0.161,0.135,0.099,0.066,0.052,0.039,0.025,0.014,0.01"
WALLABY J130943-163617,197.4317179211032,-16.60493984517278,1.408287376334613E9,NGC5044 TR3,NGC5044 Kin TR3,2564.6,9.4,51.646,0.4599,40.568,1.0614,197.43417,8.04E-4,-16.599135,0.001768,65.4,12.3,270.1,0.2,270.0,0.2,0.0,"7.5,22.47,37.43,52.4,67.37,82.34,97.3,112.27,127.24,142.2,157.17","116.4,141.6,159.8,162.8,166.0,168.8,170.8,172.0,172.5,174.0,178.4","62.8,40.2,19.8,13.8,9.6,6.6,4.5,3.1,2.5,0.9,3.6","12.0,14.6,16.5,16.8,17.2,17.4,17.6,17.8,17.8,18.0,18.4","7.5,22.47,37.43,52.4,67.37,82.34,97.3,112.27,127.24,142.2,157.17,172.14,187.11,202.07,217.04,232.01,246.98","15.61,14.71,13.63,11.58,8.79,5.93,3.75,2.51,1.7,1.21,0.96,0.82,0.69,0.53,0.39,0.32,0.37","1.85,3.88,4.43,3.88,2.96,2.03,1.29,0.8,0.56,0.37,0.3,0.24,0.22,0.2,0.17,0.17,0.2","6.502,6.128,5.675,4.822,3.663,2.471,1.56,1.045,0.709,0.505,0.4,0.34,0.286,0.221,0.161,0.134,0.155","3.025,2.851,2.641,2.243,1.704,1.15,0.726,0.486,0.33,0.235,0.186,0.158,0.133,0.103,0.075,0.062,0.072"
WALLABY J131658-163757,199.2447804061402,-16.632747000155,1.412200697439989E9,NGC5044 TR3,NGC5044 Kin TR3,1736.7,0.4,35.657,0.3535,42.542,0.4478,199.242064,6.24E-4,-16.633541,7.39E-4,60.6,2.1,337.3,1.0,336.6,1.0,0.0,"7.5,22.47,37.43,52.4,67.37,82.34,97.3,112.27,127.24,142.2,157.17,172.14,187.11","94.5,128.2,148.8,160.7,168.8,174.7,179.3,181.2,180.8,180.7,180.7,178.8,172.5","0.2,3.2,3.1,0.5,1.8,2.1,0.3,1.7,1.1,0.8,0.9,0.9,6.9","2.0,2.7,3.1,3.4,3.5,3.7,3.7,3.8,3.8,3.8,3.8,3.7,3.6","7.5,22.47,37.43,52.4,67.37,82.34,97.3,112.27,127.24,142.2,157.17,172.14,187.11","8.91,8.8,8.25,7.3,6.42,5.45,4.28,3.42,2.59,1.92,1.25,0.63,0.35","0.16,0.53,0.62,0.63,0.77,0.9,0.87,0.67,0.55,0.48,0.33,0.2,0.13","4.38,4.326,4.051,3.585,3.157,2.677,2.103,1.679,1.271,0.943,0.614,0.311,0.17","0.287,0.284,0.266,0.235,0.207,0.176,0.138,0.11,0.083,0.062,0.04,0.02,0.011"
WALLABY J132043-220256,200.181887595371,-22.04794885308586,1.410536106529448E9,NGC5044 TR3,NGC5044 Kin TR3,2089.0,2.2,32.842,0.3695,32.9,0.0649,200.181121,6.63E-4,-22.048041,1.19E-4,75.5,5.6,343.5,2.0,344.5,2.0,0.0,"7.5,22.56,37.62,52.68,67.74,82.8,97.86","37.0,61.7,72.6,74.6,78.1,83.9,78.7","1.5,12.7,10.1,5.1,3.4,9.8,3.8","0.9,1.6,1.9,1.9,2.0,2.1,2.0","7.5,22.56,37.62,52.68,67.74,82.8,97.86,112.92,127.98,143.04","27.6,24.23,21.32,19.22,14.52,9.43,6.31,4.18,2.66,1.56","2.76,3.73,3.11,2.99,2.77,2.68,1.91,1.58,1.36,1.1","6.907,6.063,5.335,4.809,3.633,2.359,1.579,1.045,0.665,0.391","2.614,2.294,2.019,1.82,1.375,0.893,0.598,0.395,0.252,0.148"
WALLABY J130056-135640,195.2334687062839,-13.94450480275077,1.40791102376723E9,NGC5044 TR3,NGC5044 Kin TR3,2661.1,15.8,36.456,0.6047,49.574,0.3046,195.234514,0.001033,-13.943902,5.2E-4,58.5,9.2,180.2,12.8,180.9,12.8,2.0,"7.5,22.48,37.47,52.45,67.43,82.42,97.4","117.1,144.7,126.9,132.2,140.2,138.1,137.6","14.1,31.7,9.1,14.9,28.5,34.7,21.8","11.8,14.6,12.8,13.4,14.2,14.0,13.9","7.5,22.48,37.47,52.45,67.43,82.42,97.4,112.38,127.36,142.35,157.33","8.52,9.4,9.95,8.75,6.24,4.0,2.35,1.55,1.28,1.07,0.79","0.27,0.65,0.85,1.06,1.2,0.86,0.56,0.27,0.2,0.22,0.23","4.452,4.914,5.201,4.572,3.263,2.093,1.228,0.808,0.671,0.561,0.414","1.156,1.275,1.35,1.187,0.847,0.543,0.319,0.21,0.174,0.146,0.107"
WALLABY J130059-143042,195.2477022640222,-14.5119215690099,1.408086878096281E9,NGC5044 TR3,NGC5044 Kin TR3,2630.3,9.0,41.693,0.3028,36.648,0.9732,195.248501,4.99E-4,-14.510768,0.001629,34.2,3.9,93.7,2.2,94.5,2.2,0.0,"7.5,22.48,37.47,52.45,67.43,82.42,97.4,112.38,127.36","131.7,212.2,184.5,151.4,161.6,197.1,200.0,195.5,113.1","68.7,42.4,15.0,11.7,18.8,13.4,18.2,14.2,68.9","13.3,21.4,18.6,15.3,16.3,19.9,20.2,19.7,11.4","7.5,22.48,37.47,52.45,67.43,82.42,97.4,112.38,127.36,142.35","3.62,4.31,5.08,5.48,5.04,3.88,2.36,1.5,1.1,0.65","0.41,0.72,0.61,0.48,0.37,0.32,0.26,0.21,0.17,0.14","2.994,3.561,4.2,4.532,4.163,3.208,1.948,1.242,0.907,0.534","0.138,0.164,0.193,0.209,0.192,0.148,0.09,0.057,0.042,0.025"
WALLABY J132441-194214,201.174946160689,-19.70382490612406,1.411083836020858E9,NGC5044 TR3,NGC5044 Kin TR3,1962.7,2.7,25.739,0.3904,41.394,1.268,201.17364,6.72E-4,-19.69686,0.00212,63.1,5.3,180.1,0.3,180.6,0.3,0.0,"7.5,22.56,37.62,52.68,67.74,82.8,97.86,112.92,127.98","45.8,69.8,84.7,94.1,98.0,98.1,95.6,95.0,90.9","14.9,5.9,2.0,0.1,0.7,1.3,3.1,1.5,2.0","2.2,3.3,4.0,4.5,4.6,4.6,4.5,4.5,4.3","7.5,22.56,37.62,52.68,67.74,82.8,97.86,112.92,127.98,143.04,158.1,173.16","6.32,7.37,7.92,8.2,7.38,5.86,4.87,3.71,2.56,1.44,0.7,0.29","0.5,1.12,1.25,1.12,0.77,1.3,1.5,1.25,0.88,0.49,0.29,0.15","2.86,3.335,3.587,3.713,3.339,2.654,2.206,1.678,1.159,0.651,0.316,0.129","0.52,0.606,0.652,0.675,0.607,0.483,0.401,0.305,0.211,0.118,0.057,0.024"
WALLABY J130017-122041,195.0717585104816,-12.34494200307117,1.412952955847956E9,NGC5044 TR3,NGC5044 Kin TR3,1573.2,0.7,37.092,0.198,30.266,0.4542,195.073021,3.29E-4,-12.345521,7.61E-4,50.5,8.9,297.5,1.8,298.2,1.8,0.0,"7.5,22.48,37.47,52.45,67.43,82.42,97.4","46.1,66.3,70.5,86.6,99.3,103.2,98.3","2.0,5.6,1.6,2.6,0.2,1.6,6.8","6.1,8.8,9.4,11.5,13.2,13.7,13.1","7.5,22.48,37.47,52.45,67.43,82.42,97.4,112.38,127.36,142.35","8.61,8.67,8.39,7.07,4.86,3.14,2.36,1.88,1.06,0.5","0.75,1.4,1.33,1.08,0.8,0.51,0.33,0.26,0.22,0.18","5.482,5.515,5.339,4.496,3.09,2.0,1.5,1.197,0.675,0.321","1.028,1.035,1.002,0.843,0.58,0.375,0.281,0.225,0.127,0.06"
