Title: High-resolution mass models of dwarf galaxies from LITTLE THINGS 
Authors: Oh S.-H., Hunter D.A., Brinks E., Elmegreen B.G., Schruba A., 
         Walter F., Rupen M.P., Young L.M., Simpson C.E., Johnson M., 
         Herrmann K.A., Ficut-Vicas D., Cigan P., Heesen V., Ashley T., 
         Zhang H. 
Figure: The CDM NFW dark matter model density profiles
================================================================================
Byte-by-byte Description of file: dbfB-D.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label  Explanations
--------------------------------------------------------------------------------
   1-  6 F6.3   ---     Con    Model concentration parameter
   8- 10 I3     km/s    V200   Model rotation velocity at R_200_; see Equ. 7
  12- 19 F8.5   ---     R      Model radius scaled by R0.3
  21- 31 E11.4  ---     rho    Model density scaled by {rho}0.3
  33- 38 F6.4   ---   e_rho    Uncertainty in rho
--------------------------------------------------------------------------------
 6.807 310 -1.22185 -3.0610E+00 0.0000 
 6.807 310 -1.09691 -3.1878E+00 0.0000 
 6.807 310 -1.00000 -3.2946E+00 0.0000 
 6.807 310 -0.92082 -3.3882E+00 0.0000 
 6.807 310 -0.85387 -3.4721E+00 0.0000 
 6.807 310 -0.79588 -3.5478E+00 0.0000 
 6.807 310 -0.74473 -3.6165E+00 0.0000 
 6.807 310 -0.69897 -3.6786E+00 0.0000 
 6.807 310 -0.65758 -3.7345E+00 0.0000 
 6.807 310 -0.61979 -3.7844E+00 0.0000 
 6.807 310 -0.58503 -3.8287E+00 0.0000 
 6.807 310 -0.55284 -3.8676E+00 0.0000 
 6.807 310 -0.52288 -3.9015E+00 0.0000 
 6.807 310 -0.49485 -3.9310E+00 0.0000 
 6.807 310 -0.46852 -3.9566E+00 0.0000 
 6.807 310 -0.44370 -3.9788E+00 0.0000 
 6.807 310 -0.42022 -3.9982E+00 0.0000 
 6.807 310 -0.39794 -4.0156E+00 0.0000 
 6.807 310 -0.37675 -4.0313E+00 0.0000 
 6.807 310 -0.35655 -4.0460E+00 0.0000 
 6.807 310 -0.33724 -4.0600E+00 0.0000 
 6.807 310 -0.31876 -4.0739E+00 0.0000 
 6.807 310 -0.30103 -4.0880E+00 0.0000 
 6.807 310 -0.28400 -4.1026E+00 0.0000 
 6.807 310 -0.26761 -4.1179E+00 0.0000 
 6.807 310 -0.25181 -4.1341E+00 0.0000 
 6.807 310 -0.23657 -4.1515E+00 0.0000 
 6.807 310 -0.22185 -4.1702E+00 0.0000 
 6.807 310 -0.20761 -4.1901E+00 0.0000 
 6.807 310 -0.19382 -4.2115E+00 0.0000 
 6.807 310 -0.18046 -4.2341E+00 0.0000 
 6.807 310 -0.16749 -4.2579E+00 0.0000 
 6.807 310 -0.15490 -4.2828E+00 0.0000 
 6.807 310 -0.14267 -4.3083E+00 0.0000 
 6.807 310 -0.13077 -4.3341E+00 0.0000 
 6.807 310 -0.11919 -4.3594E+00 0.0000 
 6.807 310 -0.10791 -4.3834E+00 0.0000 
 6.807 310 -0.09691 -4.4051E+00 0.0000 
 6.807 310 -0.08619 -4.4232E+00 0.0000 
 6.807 310 -0.07572 -4.4361E+00 0.0000 
 6.807 310 -0.06550 -4.4426E+00 0.0000 
 6.807 310 -0.05552 -4.4412E+00 0.0000 
 6.807 310 -0.04576 -4.4309E+00 0.0000 
 6.807 310 -0.03621 -4.4114E+00 0.0000 
 6.807 310 -0.02687 -4.3828E+00 0.0000 
 6.807 310 -0.01773 -4.3459E+00 0.0000 
 6.807 310 -0.00877 -4.3018E+00 0.0000 
 6.807 310  0.00000 -4.2521E+00 0.0000 
 6.908 290 -1.39794 -2.8912E+00 0.0000 
 6.908 290 -1.22185 -3.0546E+00 0.0000 
 6.908 290 -1.09691 -3.1816E+00 0.0000 
 6.908 290 -1.00000 -3.2887E+00 0.0000 
 6.908 290 -0.92082 -3.3826E+00 0.0000 
 6.908 290 -0.85387 -3.4666E+00 0.0000 
 6.908 290 -0.79588 -3.5427E+00 0.0000 
 6.908 290 -0.74473 -3.6116E+00 0.0000 
 6.908 290 -0.69897 -3.6740E+00 0.0000 
 6.908 290 -0.65758 -3.7302E+00 0.0000 
 6.908 290 -0.61979 -3.7804E+00 0.0000 
 6.908 290 -0.58503 -3.8249E+00 0.0000 
 6.908 290 -0.55284 -3.8641E+00 0.0000 
 6.908 290 -0.52288 -3.8983E+00 0.0000 
 6.908 290 -0.49485 -3.9279E+00 0.0000 
 6.908 290 -0.46852 -3.9537E+00 0.0000 
 6.908 290 -0.44370 -3.9761E+00 0.0000 
 6.908 290 -0.42022 -3.9957E+00 0.0000 
 6.908 290 -0.39794 -4.0132E+00 0.0000 
 6.908 290 -0.37675 -4.0291E+00 0.0000 
 6.908 290 -0.35655 -4.0439E+00 0.0000 
 6.908 290 -0.33724 -4.0581E+00 0.0000 
 6.908 290 -0.31876 -4.0721E+00 0.0000 
 6.908 290 -0.30103 -4.0863E+00 0.0000 
 6.908 290 -0.28400 -4.1010E+00 0.0000 
 6.908 290 -0.26761 -4.1165E+00 0.0000 
 6.908 290 -0.25181 -4.1329E+00 0.0000 
 6.908 290 -0.23657 -4.1505E+00 0.0000 
 6.908 290 -0.22185 -4.1694E+00 0.0000 
 6.908 290 -0.20761 -4.1896E+00 0.0000 
 6.908 290 -0.19382 -4.2111E+00 0.0000 
 6.908 290 -0.18046 -4.2341E+00 0.0000 
 6.908 290 -0.16749 -4.2582E+00 0.0000 
 6.908 290 -0.15490 -4.2833E+00 0.0000 
 6.908 290 -0.14267 -4.3092E+00 0.0000 
 6.908 290 -0.13077 -4.3353E+00 0.0000 
 6.908 290 -0.11919 -4.3610E+00 0.0000 
 6.908 290 -0.10791 -4.3854E+00 0.0000 
 6.908 290 -0.09691 -4.4074E+00 0.0000 
 6.908 290 -0.08619 -4.4257E+00 0.0000 
 6.908 290 -0.07572 -4.4389E+00 0.0000 
 6.908 290 -0.06550 -4.4454E+00 0.0000 
 6.908 290 -0.05552 -4.4439E+00 0.0000 
 6.908 290 -0.04576 -4.4335E+00 0.0000 
 6.908 290 -0.03621 -4.4136E+00 0.0000 
 6.908 290 -0.02687 -4.3846E+00 0.0000 
 6.908 290 -0.01773 -4.3472E+00 0.0000 
 6.908 290 -0.00877 -4.3026E+00 0.0000 
 6.908 290  0.00000 -4.2523E+00 0.0000 
 7.018 270 -1.39794 -2.8837E+00 0.0000 
 7.018 270 -1.22185 -3.0474E+00 0.0000 
 7.018 270 -1.09691 -3.1746E+00 0.0000 
 7.018 270 -1.00000 -3.2818E+00 0.0000 
 7.018 270 -0.92082 -3.3760E+00 0.0000 
 7.018 270 -0.85387 -3.4603E+00 0.0000 
 7.018 270 -0.79588 -3.5366E+00 0.0000 
 7.018 270 -0.74473 -3.6059E+00 0.0000 
 7.018 270 -0.69897 -3.6686E+00 0.0000 
 7.018 270 -0.65758 -3.7250E+00 0.0000 
 7.018 270 -0.61979 -3.7756E+00 0.0000 
 7.018 270 -0.58503 -3.8204E+00 0.0000 
 7.018 270 -0.55284 -3.8599E+00 0.0000 
 7.018 270 -0.52288 -3.8944E+00 0.0000 
 7.018 270 -0.49485 -3.9244E+00 0.0000 
 7.018 270 -0.46852 -3.9504E+00 0.0000 
 7.018 270 -0.44370 -3.9730E+00 0.0000 
 7.018 270 -0.42022 -3.9929E+00 0.0000 
 7.018 270 -0.39794 -4.0106E+00 0.0000 
 7.018 270 -0.37675 -4.0267E+00 0.0000 
 7.018 270 -0.35655 -4.0417E+00 0.0000 
 7.018 270 -0.33724 -4.0561E+00 0.0000 
 7.018 270 -0.31876 -4.0703E+00 0.0000 
 7.018 270 -0.30103 -4.0847E+00 0.0000 
 7.018 270 -0.28400 -4.0996E+00 0.0000 
 7.018 270 -0.26761 -4.1152E+00 0.0000 
 7.018 270 -0.25181 -4.1318E+00 0.0000 
 7.018 270 -0.23657 -4.1496E+00 0.0000 
 7.018 270 -0.22185 -4.1686E+00 0.0000 
 7.018 270 -0.20761 -4.1891E+00 0.0000 
 7.018 270 -0.19382 -4.2109E+00 0.0000 
 7.018 270 -0.18046 -4.2340E+00 0.0000 
 7.018 270 -0.16749 -4.2584E+00 0.0000 
 7.018 270 -0.15490 -4.2839E+00 0.0000 
 7.018 270 -0.14267 -4.3101E+00 0.0000 
 7.018 270 -0.13077 -4.3365E+00 0.0000 
 7.018 270 -0.11919 -4.3626E+00 0.0000 
 7.018 270 -0.10791 -4.3873E+00 0.0000 
 7.018 270 -0.09691 -4.4097E+00 0.0000 
 7.018 270 -0.08619 -4.4283E+00 0.0000 
 7.018 270 -0.07572 -4.4418E+00 0.0000 
 7.018 270 -0.06550 -4.4485E+00 0.0000 
 7.018 270 -0.05552 -4.4471E+00 0.0000 
 7.018 270 -0.04576 -4.4366E+00 0.0000 
 7.018 270 -0.03621 -4.4166E+00 0.0000 
 7.018 270 -0.02687 -4.3873E+00 0.0000 
 7.018 270 -0.01773 -4.3495E+00 0.0000 
