# str, deg J2000, deg J2000, str, km s^-1, km s^-1, km s^-1, km s^-1, Mpc, Mpc, str, str, mag, mag, mag, mag, mag, bool, bool, bool, bool, bool, bool, bool, str
name,RA,DEC,morphology,redshift_helio,redshift_helio_e,redshift_cmb,redshift_cmb_e,distance,distance_e,distance_method,RC_survey,ext_f,ext_n,ext_g,ext_r,ext_z,has_f-band,has_n-band,has_g-band,has_r-band,has_z-band,has_w1-band,has_w2-band,AutoProf_flags
2MASXJ08302827+3050296,127.6178,30.8414,Sbc,22151,4,22262.6883,4,304.9683,0.0548,Hubble Flow (H0=73),SCII,1.5890,1.3970,0.1600,0.1080,0.0600,True,True,True,True,True,True,True,-
2MASXJ08302832+3032006,127.6180,30.5335,Sc,27918,6,28028.1719,6,383.9476,0.0822,Hubble Flow (H0=73),SCII,1.2100,1.0410,0.1550,0.1040,0.0580,True,True,True,True,True,True,True,-
2MASXJ10124183-0039407,153.1743,-0.6613,Sc,13256,10,13057.3785,10,175.8064,0.2417,CosmicFlows-3,SCII,0.3950,0.3250,0.1310,0.0880,0.0490,True,True,True,True,True,True,True,-
2MASXJ10153570-0109462,153.8988,-1.1627,SBb,15314,4,15235.7022,4,208.7082,0.0548,Hubble Flow (H0=73),SCII,0.5240,0.4340,0.1420,0.0950,0.0530,True,True,True,True,True,True,True,-
2MASXJ10581762+0108303,164.5735,1.1419,Sc,11956,2,12275.5817,2,159.8311,0.2942,CosmicFlows-3,SCII,0.6940,0.5810,0.0970,0.0650,0.0370,True,True,True,True,True,True,True,Light_symmetry
2MASXJ10581962+0133363,164.5818,1.5601,S0/S,12102,5,12319.9292,5,163.1017,0.2989,CosmicFlows-3,SCII,0.7360,0.6180,0.0950,0.0640,0.0360,True,True,True,True,True,True,True,-
2MASXJ10590566+0136132,164.7736,1.6038,Sbc,11883,4,12104.6590,4,159.3877,0.2702,CosmicFlows-3,SCII,0.6940,0.5810,0.0960,0.0650,0.0360,True,True,True,True,True,True,True,-
2MASXJ10590914+0123002,164.7881,1.3834,Sc,11856,3,12148.9556,3,158.0337,0.3041,CosmicFlows-3,SCII,0.6940,0.5810,0.0970,0.0650,0.0360,True,True,True,True,True,True,True,-
2MASXJ10594067+0127116,164.9194,1.4534,Sbc,12181,4,12465.7624,4,161.9336,0.2905,CosmicFlows-3,SCII,0.8600,0.7270,0.1040,0.0700,0.0390,True,True,True,True,True,True,True,-
2MASXJ11142927+2915151,168.6219,29.2543,Sbc,14537,4,14277.6992,4,192.8718,0.2578,CosmicFlows-3,SCII,0.0840,0.0680,0.0640,0.0430,0.0240,True,True,True,True,True,True,True,-
2MASXJ11143885+2905260,168.6620,29.0907,Sb,13822,4,13502.0208,4,186.0601,0.2594,CosmicFlows-3,SCII,0.0950,0.0760,0.0710,0.0480,0.0270,True,True,True,True,True,True,True,-
2MASXJ11150175+2909199,168.7572,29.1556,SBa,13595,3,13310.9851,3,183.1916,0.2138,CosmicFlows-3,SCII,0.0840,0.0680,0.0520,0.0350,0.0200,True,True,True,True,True,True,True,-
2MASXJ11213103+3408334,170.3793,34.1427,Sc,12893,5,13177.8667,5,169.9356,0.2184,CosmicFlows-3,SCII,0.9710,0.8260,0.0680,0.0460,0.0260,True,True,True,True,True,True,True,-
2MASXJ11225464+3403335,170.7278,34.0593,Sab,10810,4,11133.8568,4,145.7505,0.2944,CosmicFlows-3,SCII,0.5020,0.4160,0.0720,0.0480,0.0270,True,True,True,True,True,True,True,-
2MASXJ11335627+4919532,173.4844,49.3316,Sc,9519,4,9449.0861,4,132.1451,0.2485,CosmicFlows-3,SCII,0.1370,0.1110,0.0450,0.0300,0.0170,True,True,True,True,True,True,True,-
2MASXJ11372321+4910409,174.3465,49.1782,Sc,9337,4,9522.4072,4,127.2832,0.2634,CosmicFlows-3,SCII,0.1800,0.1460,0.0620,0.0410,0.0230,True,True,True,True,True,True,True,-
2MASXJ12541277-2843176,193.5530,-28.7217,Sc,20683,15,20979.8497,15,287.3952,0.2055,Hubble Flow (H0=73),SCII,1.5800,1.4790,0.2270,0.1530,0.0850,False,False,False,False,False,False,False,-
2MASXJ12575986-1735230,194.4996,-17.5897,Sd,12573,10,12873.7623,10,162.4374,0.2215,CosmicFlows-3,Mathewson96,1.0600,0.9050,0.2330,0.1570,0.0880,False,False,False,False,False,False,False,-
2MASXJ12584437-1709104,194.6868,-17.1528,Sbc,8350,10,8601.4578,10,117.3963,0.2589,CosmicFlows-3,Mathewson96,1.2100,1.0410,0.1930,0.1300,0.0730,False,False,False,False,False,False,False,-
2MASXJ13245119-2624516,201.2159,-26.4160,SBbc,10138,10,9808.0558,10,133.7240,0.2875,CosmicFlows-3,Mathewson96,1.7820,1.5880,0.1960,0.1320,0.0740,False,False,False,False,False,False,False,-
2MASXJ13261261-2727365,201.5521,-27.4601,Sc,12437,14,12138.7725,14,166.6580,0.3005,CosmicFlows-3,SCII,1.5350,1.3450,0.1830,0.1230,0.0690,False,False,False,False,False,False,False,-
2MASXJ13261291-2729075,201.5538,-27.4854,Sc,9699,8,9406.4763,8,130.7526,0.2731,CosmicFlows-3,SCII,1.5350,1.3450,0.1800,0.1210,0.0680,False,False,False,False,False,False,False,-
2MASXJ13265397-3118388,201.7250,-31.3110,Sc,14512,10,14553.8000,10,183.5481,0.2845,CosmicFlows-3,SCII/Mathewson96,1.6860,1.4910,0.2180,0.1460,0.0820,False,False,False,False,False,False,False,-
2MASXJ13274771-2725488,201.9487,-27.4304,S0,9767,7,9481.1633,7,131.6680,0.3026,CosmicFlows-3,SCII,1.6400,1.4460,0.1700,0.1140,0.0640,False,False,False,False,False,False,False,-
2MASXJ13280741-2701144,202.0307,-27.0206,Sc,10915,7,10576.7206,7,146.4824,0.2782,CosmicFlows-3,SCII/Mathewson96,1.7450,1.5510,0.1780,0.1200,0.0670,False,False,False,False,False,False,False,-
2MASXJ13300526-3113531,202.5217,-31.2315,S,15931.1909,5.9794,16014.8255,5.9794,219.3812,0.0819,Hubble Flow (H0=73),Mathewson96,1.6400,1.4460,0.1690,0.1140,0.0640,False,False,False,False,False,False,False,-
2MASXJ13310459-1506057,202.7691,-15.1016,Sc: pec sp,4232.2986,11.4965,4404.3092,11.4965,56.8143,0.2702,CosmicFlows-3,Mathewson96,1.3830,1.2010,0.2160,0.1450,0.0810,False,False,False,False,False,False,False,-
2MASXJ13330102-3113288,203.2542,-31.2248,-,11028,10,11012.5522,10,138.4242,0.2619,CosmicFlows-3,Mathewson96,1.7070,1.5120,0.1890,0.1270,0.0710,False,False,False,False,False,False,False,-
2MASXJ13343156-3205084,203.6312,-32.0858,-,12647,10,12378.8222,10,167.4855,0.2813,CosmicFlows-3,Mathewson96,1.5630,1.3710,0.1850,0.1240,0.0700,False,False,False,False,False,False,False,-
2MASXJ14524547+1649237,223.1894,16.8233,Sc,13751,4,13703.4135,4,177.6620,0.2722,CosmicFlows-3,SCII,0.0530,0.0420,0.0860,0.0580,0.0320,True,True,True,True,True,True,True,-
2MASXJ14534439+1642015,223.4352,16.7004,S0,12449,3,12473.3588,3,161.1467,0.2649,CosmicFlows-3,SCII,0.1800,0.1460,0.0760,0.0510,0.0280,True,True,True,True,True,True,True,-
2MASXJ15044627+2821140,226.1929,28.3540,Sb,16716,4,16401.1691,4,224.6735,0.0548,Hubble Flow (H0=73),SCII,0.4380,0.3610,0.0770,0.0520,0.0290,True,True,True,True,True,True,True,-
2MASXJ15045771+2836450,226.2404,28.6125,Sc,16770,4,16533.0257,4,226.4798,0.0548,Hubble Flow (H0=73),SCII,0.3950,0.3250,0.0730,0.0490,0.0270,True,True,True,True,True,True,True,-
2MASXJ15050119+2823030,226.2554,28.3841,Sc,17991,4,17688.9058,4,242.3138,0.0548,Hubble Flow (H0=73),SCII,0.3520,0.2880,0.0740,0.0500,0.0280,True,True,True,True,True,True,True,Light_symmetry
2MASXJ15050966+2848480,226.2902,28.8134,Sab,17001,4,16836.3519,4,230.6350,0.0548,Hubble Flow (H0=73),SCII,0.4380,0.3610,0.0820,0.0550,0.0310,True,True,True,True,True,True,True,-
2MASXJ15103031+0530066,227.6264,5.5019,Sb,22003,5,22090.5775,5,302.6107,0.0685,Hubble Flow (H0=73),SCII,0.8600,0.7270,0.1250,0.0840,0.0470,True,True,True,True,True,True,True,-
2MASXJ15111599+0541479,227.8166,5.6966,-,25025,6,25001.9543,6,342.4925,0.0822,Hubble Flow (H0=73),SCII,0.8190,0.6910,0.1250,0.0840,0.0470,True,True,True,True,True,True,True,-
2MASXJ15114298+0604059,227.9290,6.0684,S0/a,15956,4,15860.7833,4,217.2710,0.0548,Hubble Flow (H0=73),SCII,0.6940,0.5810,0.1220,0.0820,0.0460,True,True,True,True,True,True,True,-
2MASXJ15114312+0540049,227.9298,5.6679,Sc,27246,4,27176.3114,4,372.2782,0.0548,Hubble Flow (H0=73),SCII,0.8190,0.6910,0.1310,0.0880,0.0490,True,True,True,True,True,True,True,-
2MASXJ15114720+0555519,227.9468,5.9311,Sc:,15847.9184,3.0476,15748.5258,3.0476,215.7332,0.0417,Hubble Flow (H0=73),SCII,0.7780,0.6540,0.1280,0.0860,0.0480,True,True,True,True,True,True,True,Light_symmetry
2MASXJ15132872+0659283,228.3697,6.9912,Sc,13542,7,13540.0745,7,178.3361,0.2496,CosmicFlows-3,SCII,0.5240,0.4340,0.1480,0.0990,0.0560,True,True,True,True,True,True,True,-
2MASXJ15141134+0711511,228.5471,7.1976,Sc,13099,4,13172.3497,4,171.9638,0.2344,CosmicFlows-3,SCII,0.5240,0.4340,0.0970,0.0650,0.0370,True,True,True,True,True,True,True,-
2MASXJ15150755+0701165,228.7815,7.0213,Sb,11000,3,10987.3131,3,146.4550,0.3264,CosmicFlows-3,SCII,0.4380,0.3610,0.1540,0.1040,0.0580,True,True,True,True,True,True,True,-
2MASXJ15201967+0829180,230.0822,8.4884,Sc,10891,4,10961.2707,4,138.3359,0.4084,CosmicFlows-3,SCII,0.7780,0.6540,0.0930,0.0630,0.0350,True,True,True,True,True,True,True,-
2MASXJ15224215+0822074,230.6755,8.3689,Sb:,9724,7,9568.5321,7,118.9570,0.3011,CosmicFlows-3,SCII,0.8600,0.7270,0.1120,0.0750,0.0420,True,True,True,True,True,True,True,Light_symmetry
2MASXJ15224814+0831474,230.7005,8.5300,Sbc,10928,6,10740.0036,6,142.7212,0.5958,CosmicFlows-3,SCII,0.7780,0.6540,0.1150,0.0770,0.0430,True,True,True,True,True,True,True,Light_symmetry
2MASXJ15235147+0850324,230.9644,8.8424,Sb,11490,4,11182.8902,4,153.8346,0.2702,CosmicFlows-3,SCII,0.6090,0.5080,0.1090,0.0730,0.0410,True,True,True,True,True,True,True,-
2MASXJ15240202+0818551,231.0083,8.3153,Sc,22978,4,22730.9399,4,311.3827,0.0548,Hubble Flow (H0=73),SCII,0.7780,0.6540,0.1200,0.0810,0.0450,True,True,True,True,True,True,True,-
2MASXJ15582240+1606100,239.5934,16.1026,Sc,11583,2,11868.6995,2,150.0848,0.3012,CosmicFlows-3,SCII,0.9010,0.7630,0.1230,0.0820,0.0460,False,False,True,True,True,True,True,-
2MASXJ16061215+1718072,241.5506,17.3020,-,9932.2912,24.3680,10025.2136,24.3680,116.4919,0.5085,CosmicFlows-3,Mathewson96,0.5240,0.4340,0.1510,0.1010,0.0570,False,False,False,False,False,False,False,-
2MASXJ16065935+1547191,241.7473,15.7887,-,11342,4,11376.5561,4,142.9360,0.4877,CosmicFlows-3,SCII,0.6520,0.5440,0.1270,0.0860,0.0480,True,True,True,True,True,True,True,-
2MASXJ17032243+7846557,255.8429,78.7821,S/I,19606,8,19919.1866,8,272.8656,0.1096,Hubble Flow (H0=73),SCII,1.6630,1.4690,0.1800,0.1210,0.0680,True,True,True,True,True,True,True,Light_symmetry
2MASXJ19590607-3829136,299.7753,-38.4872,Sc,12131,7,12484.7116,7,148.4278,0.2263,CosmicFlows-3,SCII,1.0650,1.0400,0.2670,0.1800,0.1000,False,False,False,False,False,False,False,-
2MASXJ20141338-5719030,303.5558,-57.3174,Sc,16831,9,16735.9757,9,229.2599,0.1233,Hubble Flow (H0=73),SCII,1.2100,1.0410,0.1650,0.1110,0.0620,False,False,True,True,True,True,True,-
2MASXJ20454491-5245416,311.4370,-52.7617,Sc,14168,10,13973.0407,10,176.1224,0.2340,CosmicFlows-3,SCII,0.4810,0.3980,0.1240,0.0840,0.0470,False,False,True,True,True,True,True,-
2MASXJ20505989-5307251,312.7494,-53.1242,Sd,12649,8,12391.1372,8,158.2475,0.2622,CosmicFlows-3,SCII,0.9010,0.7630,0.1110,0.0750,0.0420,True,True,True,True,True,True,True,Light_symmetry
2MASXJ22343238+0124565,338.6351,1.4158,Sbc,17815,7,17510.4998,7,239.8699,0.0959,Hubble Flow (H0=73),SCII,1.7270,1.5320,0.2730,0.1840,0.1030,True,True,True,True,True,True,True,-
2MASXJ22360683+0133324,339.0285,1.5591,S0,16023,7,15846.6304,7,217.0771,0.0959,Hubble Flow (H0=73),SCII,1.7450,1.5510,0.2660,0.1790,0.1000,True,True,True,True,True,True,True,-
2MASXJ23171540+1843385,349.3143,18.7274,Sd,12250,103,12034.3967,103,149.1939,1.3422,CosmicFlows-3,SCII,1.5060,1.3170,0.2300,0.1550,0.0870,True,True,True,True,True,True,True,FFT_coefficients;isophote_variability
2MASXJ23211571+1831330,350.3155,18.5259,Scd,11413,8,11156.5846,8,140.4379,0.2526,CosmicFlows-3,SCII,0.8190,0.6910,0.1250,0.0840,0.0470,True,True,True,True,True,True,True,-
2MASXJ23251720+1447177,351.3216,14.7883,Sc,13220,4,13477.5791,4,161.8509,0.3628,CosmicFlows-3,SCII,1.1730,1.0080,0.1330,0.0890,0.0500,True,True,True,True,True,True,True,-
2MASXJ23471337-2801023,356.8053,-28.0170,S0/a,10082,9,9852.2114,9,132.3760,0.3478,CosmicFlows-3,SCII,0.5560,0.4620,0.0630,0.0430,0.0240,False,False,False,False,False,False,False,-
2MASXJ23472739+0915548,356.8641,9.2653,Sc,12916,7,12955.1897,7,159.9770,0.3579,CosmicFlows-3,SCII,1.6150,1.4220,0.2360,0.1590,0.0890,True,True,True,True,True,True,True,-
2MASXJ23530568-1040556,358.2736,-10.6821,Sbc,21919,3,22265.0752,3,305.0010,0.0411,Hubble Flow (H0=73),SCII,0.6940,0.5810,0.1360,0.0920,0.0510,True,True,True,True,True,True,True,-
2MASXJ23530900-1029396,358.2875,-10.4943,Sab,22947,6,23277.4437,6,318.8691,0.0822,Hubble Flow (H0=73),SCII,1.0890,0.9310,0.1310,0.0880,0.0490,True,True,True,True,True,True,True,-
2MASXJ23540837-1034479,358.5348,-10.5800,Sab,22570,4,22812.2580,4,312.4967,0.0548,Hubble Flow (H0=73),SCII,0.7780,0.6540,0.1280,0.0860,0.0480,True,True,True,True,True,True,True,-
2MASXJ23541378-1023254,358.5575,-10.3904,S0/a,23818,100,24016.0179,100,328.9865,1.3699,Hubble Flow (H0=73),SCII,0.9520,0.8080,0.1460,0.0980,0.0550,True,True,True,True,True,True,True,Light_symmetry;isophote_variability
2MASXJ23552096-1022143,358.8373,-10.3706,S0/a,22346,5,22374.0972,5,306.4945,0.0685,Hubble Flow (H0=73),SCII,0.8300,0.7000,0.1100,0.0740,0.0410,True,True,True,True,True,True,True,-
2MASXiJ0151102+323724,27.7925,32.6235,Sb:,11222,3,11123.7907,3,144.6658,0.2719,CosmicFlows-3,SCII,1.4150,1.2310,0.1470,0.0990,0.0550,True,True,True,True,True,True,True,FFT_coefficients
2MASXiJ1326385-315207,201.6605,-31.8687,-,8153,10,8002.5335,10,108.7740,0.3409,CosmicFlows-3,Mathewson96,1.5630,1.3710,0.1700,0.1140,0.0640,False,False,False,False,False,False,False,-
2MASXiJ2325107+141257,351.2950,14.2162,Sc,13626,2,13867.9440,2,167.1515,0.3602,CosmicFlows-3,SCII,1.0980,0.9400,0.1360,0.0910,0.0510,True,True,True,True,True,True,True,-
2MASXiJ2325197+142418,351.3325,14.4054,Sc,12589,3,12831.4620,3,151.2289,0.2682,CosmicFlows-3,SCII,1.0980,0.9400,0.1330,0.0890,0.0500,True,True,True,True,True,True,True,-
