name,rc_model:Tan:r_t,rc_model:Tan:v_c,rc_model:Tan:v0,rc_model:Tan:x0,rc_model:Tanh:r_t,rc_model:Tanh:v_c,rc_model:Tanh:v0,rc_model:Tanh:x0,rc_model:C97:r_t,rc_model:C97:v_c,rc_model:C97:beta,rc_model:C97:gamma,rc_model:C97:v0,rc_model:C97:x0,sersic:Re|f,sersic:Ie|f,sersic:M|f,sersic:n|f,sersic:Re|n,sersic:Ie|n,sersic:M|n,sersic:n|n,sersic:Re|g,sersic:Ie|g,sersic:M|g,sersic:n|g,sersic:Re|r,sersic:Ie|r,sersic:M|r,sersic:n|r,sersic:Re|z,sersic:Ie|z,sersic:M|z,sersic:n|z,sersic:Re|w1,sersic:Ie|w1,sersic:M|w1,sersic:n|w1,sersic:Re|w2,sersic:Ie|w2,sersic:M|w2,sersic:n|w2
UGC05607,99.999,99.999,99.999,99.999,2.217,185.6,0,0,3.456,167.8,0.356,2.715,0,0,31.2,0.07779,16.64,0.4017,30.27,0.1583,15.84,0.5289,16.39,1.773,14,1.768,15.02,3.189,13.5,1.976,14.01,4.766,13.17,2.156,17.08,2.654,13.63,1.29,17.08,1.595,14.22,1.195
UGC05654,99.999,99.999,99.999,99.999,3.599,122.5,0,0,1.224,129.9,0.04444,0.9465,0,0,17.11,0.1468,16.72,0.4175,18.76,0.1752,16.1,0.7298,13.29,0.6478,15.14,1.361,12.91,0.9478,14.71,1.58,12.8,1.157,14.45,1.803,14.36,0.5558,15.22,1.147,16.03,0.2728,15.74,1.186
UGC05696,99.999,99.999,99.999,99.999,2.154,210.9,0,0,3.165,197.2,0.4349,1.853,0,0,20.53,0.06308,17.25,0.3629,19.25,0.1154,16.6,0.5482,18.91,0.783,13.87,2.445,18,1.527,13.2,2.686,17.4,2.475,12.72,2.828,15.28,2.86,13.32,1.103,15.22,1.648,13.93,1.075
UGC05715,99.999,99.999,99.999,99.999,4.378,177,0,0,5.498,171,0.06943,4.184,0,0,19.98,0.1579,16.15,0.369,19.09,0.3195,15.43,0.4474,13.12,1.58,13.84,2.021,12.17,3.054,13.23,2.228,11.36,5.079,12.83,2.236,11.78,4.139,13.34,1.056,11.15,2.951,13.85,1.008
UGC05716,99.999,99.999,99.999,99.999,33.08,59.51,0,0,-6.848,75.96,0.0009944,0.6417,0,0,28.44,0.03441,17,0.456,30.23,0.0296,16.63,1.137,28.28,0.1403,14.98,1.408,27.05,0.1858,14.74,1.494,26.74,0.2032,14.65,1.562,32.09,0.06861,15.51,1.335,46.79,0.02283,15.82,1.518
UGC05750,99.999,99.999,99.999,99.999,26.04,77.3,0,0,-21.41,74.43,-0.08381,2.293,0,0,22.49,0.06495,17.44,1.525,32.55,0.06199,16.65,1.645,39.91,0.1139,15.38,2.28,40.57,0.1433,15.13,2.131,37.97,0.1714,15.17,1.769,38.77,0.08896,16.06,1.124,49.62,0.03912,16.39,1.19
UGC05764,99.999,99.999,99.999,99.999,24.59,45.15,0,0,-21.99,58.74,-0.07345,1.179,0,0,30.31,0.1208,16.04,0.596,30.47,0.1441,15.76,0.7222,28.6,0.3354,14.94,0.7914,28.69,0.3798,14.78,0.8132,30.3,0.338,14.75,0.8932,36.75,0.111,15.53,0.9145,42.19,0.0577,15.9,0.9973
UGC05787,99.999,99.999,99.999,99.999,12.32,165.1,0,0,5.69,171.6,0.01327,1.177,0,0,681.6,0.001159,13.32,3.898,33.89,0.1336,15.88,0.253,38.97,0.2684,13.89,2.827,37.91,0.4544,13.34,3.048,35.36,0.7121,13.01,3.018,22.91,1.172,13.85,1.258,26.53,0.521,14.38,1.353
UGC05788,99.999,99.999,99.999,99.999,2.721,176,0,0,2.271,184.5,0.08193,1.417,0,0,18.66,0.1388,16.59,0.4238,22.65,0.1382,15.95,0.7262,15.97,0.9986,14.14,1.791,14.27,1.868,13.66,1.958,13.26,2.73,13.32,2.309,17.39,1.52,13.68,1.249,17.89,0.8302,14.27,1.265
UGC05820,99.999,99.999,99.999,99.999,10.93,139,0,0,8.859,161.1,-0.07313,1.364,0,0,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,20.19,0.9778,14.27,1.214,17.88,2.138,13.71,1.153,14.86,3.628,13.56,1.272,21.73,1.455,13.75,1.045,23.1,0.7467,14.33,1.073
