name,rc_model:Tan:r_t,rc_model:Tan:v_c,rc_model:Tan:v0,rc_model:Tan:x0,rc_model:Tanh:r_t,rc_model:Tanh:v_c,rc_model:Tanh:v0,rc_model:Tanh:x0,rc_model:C97:r_t,rc_model:C97:v_c,rc_model:C97:beta,rc_model:C97:gamma,rc_model:C97:v0,rc_model:C97:x0,sersic:Re|f,sersic:Ie|f,sersic:M|f,sersic:n|f,sersic:Re|n,sersic:Ie|n,sersic:M|n,sersic:n|n,sersic:Re|g,sersic:Ie|g,sersic:M|g,sersic:n|g,sersic:Re|r,sersic:Ie|r,sersic:M|r,sersic:n|r,sersic:Re|z,sersic:Ie|z,sersic:M|z,sersic:n|z,sersic:Re|w1,sersic:Ie|w1,sersic:M|w1,sersic:n|w1,sersic:Re|w2,sersic:Ie|w2,sersic:M|w2,sersic:n|w2
2MASSJ00385299-5529210,99.999,99.999,99.999,99.999,3.6,90.83,0,0,3.362,88.4,-0.05448,4.046,0,0,2.664,0.1417,19.33,0.1639,7.987,0.133,18.35,0.6283,7.593,1.352,15.87,1.092,7.441,2.235,15.33,1.182,7.328,2.93,15.05,1.247,12.45,0.8003,15.37,1.086,12.03,0.4999,15.99,1.008
2MASSJ10574998+0138550,99.999,99.999,99.999,99.999,2.779,94.36,0,0,3.006,90.71,0.05522,3.167,0,0,5.829,0.2303,18.56,0.5311,7.044,0.2286,17.95,0.8301,5.524,1.555,16.34,0.9101,5.108,2.667,15.89,0.9645,5.327,3.082,15.63,1.037,7.45,1.081,16.13,0.8138,7.768,0.6731,16.57,0.7792
2MASSJ11000107+0137314,99.999,99.999,99.999,99.999,3.471,111.5,0,0,3.182,126.8,-0.06697,1.594,0,0,7.159,0.1389,18.54,0.7319,7.645,0.2041,18.06,0.6137,5.925,1.494,16.36,0.7654,5.672,2.413,15.88,0.8624,5.838,2.897,15.61,0.8704,7.832,0.9238,16.31,0.7065,7.677,0.6284,16.85,0.5748
2MASSJ12541443-2903030,99.999,99.999,99.999,99.999,3.515,158.5,0,0,4.253,152.3,0.01799,4.82,0,0,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999
2MASSJ15172990+0810389,99.999,99.999,99.999,99.999,9.636,115.6,0,0,8.882,111.3,-0.039,4.098,0,0,10.34,0.1197,19.58,0.2502,21.09,0.1133,17.78,0.6838,12.79,0.8956,16.44,1.034,11.92,1.304,16.17,1.063,11.35,1.618,16.01,1.135,18.64,0.4697,16.36,0.9687,12.38,0.4837,17.42,0.6054
2MASSJ23250895+1509457,99.999,99.999,99.999,99.999,3.514,124.8,0,0,4.426,115.4,0.1594,5.59,0,0,7.714,0.08534,19.31,0.5034,8.054,0.1208,18.8,0.5615,5.153,1.56,16.95,0.6329,4.876,2.567,16.48,0.7099,5.152,2.998,16.2,0.6884,7.252,0.7604,17.03,0.5665,6.781,0.4841,17.72,0.495
2MASSJ23253174+1522128,99.999,99.999,99.999,99.999,4.352,130.3,0,0,2.969,153.4,-0.04741,1.15,0,0,99.999,99.999,99.999,99.999,15.04,0.01797,20.04,0.9211,7.252,0.953,17.39,0.782,7.63,1.329,16.77,1.081,7.582,2.256,16.2,1.103,12.91,0.6459,16.45,0.9897,15.34,0.3128,16.82,1.084
2MASSJ23542737-1023588,99.999,99.999,99.999,99.999,4.621,242.1,0,0,4.025,244.4,-0.1093,2.58,0,0,8.586,0.08215,19.38,0.4435,9.212,0.1166,18.79,0.5183,5.387,1.508,17.03,0.6851,5.05,2.707,16.53,0.6882,5.089,3.796,16.19,0.6883,7.018,1.129,16.85,0.5214,7.126,0.6485,17.42,0.519
2MASXJ00585745-0039197,99.999,99.999,99.999,99.999,2.731,203.7,0,0,1.589,210.7,-0.0372,1.583,0,0,10.5,0.09695,18.55,0.4708,11.24,0.1218,18.01,0.6834,6.221,1.319,16.51,1.066,5.691,2.425,15.99,1.182,5.349,3.473,15.68,1.338,7.677,1.115,16.39,0.761,9.337,0.481,16.8,0.9045
2MASXJ01131189+1505583,99.999,99.999,99.999,99.999,3.3,184.1,0,0,3.793,176.1,0.0844,3.331,0,0,9.542,0.1784,18.69,0.4078,11.49,0.1768,18.17,0.5528,7.357,2.209,16.23,0.8297,6.816,4.02,15.72,0.8848,6.717,5.385,15.37,1.016,10.43,1.606,15.84,0.8239,11.49,0.8314,16.3,0.8804
2MASXJ01133756+0025256,99.999,99.999,99.999,99.999,2.786,152.2,0,0,-1.695,189.8,0.003137,0.9654,0,0,9.059,0.01778,21.41,0.2284,11.52,0.02309,20.18,0.6614,6.326,1.345,16.95,0.8635,5.758,2.991,16.24,0.9609,5.129,6.535,15.65,0.9058,8.103,1.728,16.27,0.6097,8.212,0.9506,16.99,0.6029
2MASXJ01154476+0019595,99.999,99.999,99.999,99.999,3.892,140.8,0,0,4.228,140.2,0.01994,2.711,0,0,6.29,0.2779,17.9,0.6296,7.295,0.3155,17.47,0.6504,5.918,1.821,16,0.6881,5.68,3.137,15.48,0.7208,5.606,4.164,15.15,0.8062,7.432,1.375,15.82,0.6691,7.7,0.7803,16.36,0.6727
2MASXJ01154483+0014005,99.999,99.999,99.999,99.999,3.693,202,0,0,3.45,216.7,-0.3074,4.542,0,0,7.712,0.03964,20.11,0.7513,7.975,0.09079,18.88,0.8167,4.596,3.418,16.01,1.071,4.194,7.422,15.32,1.184,4.064,12.25,14.83,1.227,7.19,3.024,15.32,0.7805,7.533,1.83,15.75,0.7958
2MASXJ01155159+1511482,99.999,99.999,99.999,99.999,3.08,227.6,0,0,2.995,253.2,-0.387,5.608,0,0,41.24,0.00259,18.55,1.446,9261,1.479e-05,12.92,4.336,7.399,0.9969,16.27,1.16,6.144,3.065,15.37,1.392,5.562,7.132,14.64,1.491,7.86,3.466,14.89,0.9373,8.542,1.835,15.38,0.9646
2MASXJ01180192+0018525,99.999,99.999,99.999,99.999,3.586,134.3,0,0,4.006,132.7,0.1883,2.148,0,0,8.594,0.2253,17.99,0.3826,9.985,0.2441,17.43,0.5836,6.251,2.444,15.84,0.7529,5.778,4.074,15.41,0.8271,5.536,4.957,15.22,0.9716,8.769,1.251,15.79,0.8215,8.909,0.763,16.33,0.7646
2MASXJ01190434-0017330,99.999,99.999,99.999,99.999,4.534,217.6,0,0,5.16,200.2,0.1832,3.164,0,0,13.19,0.06611,19.21,0.3338,14.27,0.09132,18.61,0.4378,7.461,1.278,16.78,1.08,6.695,2.432,16.24,1.27,6.307,3.657,15.89,1.373,8.04,1.455,16.98,0.5939,12.6,0.4564,17.06,0.8931
2MASXJ01280350-0143135,99.999,99.999,99.999,99.999,10.11,81.53,0,0,7.267,104.9,-0.2496,1.255,0,0,7.42,0.2244,18,0.7685,10.61,0.1684,17.42,0.9666,9.138,0.5701,16.26,1.382,8.893,0.9126,15.83,1.309,9.709,0.9341,15.57,1.441,12.33,0.3542,16.29,0.9553,13.8,0.1951,16.69,0.9773
2MASXJ01292655-0111595,99.999,99.999,99.999,99.999,4.11,115.4,0,0,2.373,137,-0.08616,0.9725,0,0,15.27,0.1509,17.4,1.097,14.28,0.2883,16.81,0.8378,8.958,3.226,15.18,0.8714,8.543,5.182,14.73,0.9599,8.223,6.866,14.5,1.065,10.73,2.472,15.25,0.9718,11.8,1.364,15.61,1.013
2MASXJ01504897+3230361,99.999,99.999,99.999,99.999,3.276,177.4,0,0,3.463,179.4,0.07314,2.314,0,0,6.46,0.2112,18.51,0.2657,9.848,0.1923,17.38,0.8139,7.51,1.46,15.7,1.062,7.196,2.602,15.09,1.232,6.974,3.865,14.66,1.412,9.641,1.67,15.09,0.8833,9.92,0.9137,15.71,0.8434
2MASXJ01514608+3311127,99.999,99.999,99.999,99.999,2.358,117.7,0,0,1.896,126.3,-0.1154,1.96,0,0,1.236,0.11,22.27,0.7665,1264,0.0002686,13.27,4.449,5.282,1.133,16.85,0.8327,5.102,2.259,16.17,0.8382,4.997,3.374,15.72,0.9504,7.352,1.001,16.34,0.6923,7.965,0.504,16.9,0.712
2MASXJ02552895+1613347,99.999,99.999,99.999,99.999,4.809,179.7,0,0,3.645,193.4,-0.2196,2.26,0,0,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999
2MASXJ04295136-1257212,99.999,99.999,99.999,99.999,4.597,145.9,0,0,7.212,136.2,0.3257,2.973,0,0,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,9.414,0.9404,16,1.18,8.982,1.704,15.41,1.292,8.344,2.739,15.01,1.43,12.92,0.7455,15.6,1.084,11.06,0.6003,16.3,0.8171
2MASXJ04332373-1330550,99.999,99.999,99.999,99.999,5.087,153.2,0,0,4.62,170.1,-0.03301,1.548,0,0,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999
2MASXJ07084401+4818132,99.999,99.999,99.999,99.999,8.554,92.76,0,0,8.019,96.16,-0.2093,3.599,0,0,11.48,0.2145,17.2,0.8406,9.716,0.4917,16.78,0.6367,10.32,0.8037,15.76,1.289,8.852,1.482,15.49,1.129,6.657,3.01,15.55,0.8625,11.35,0.6799,16.04,0.7276,12.14,0.3335,16.68,0.7623
2MASXJ07085858+4832432,99.999,99.999,99.999,99.999,4.983,96.77,0,0,4.147,115.4,-0.1205,1.49,0,0,8.01,0.08487,20.04,0.3503,11.05,0.1382,18.48,0.7557,7.617,1.689,16.59,0.6175,7.418,2.925,16.02,0.6571,6.672,4.354,15.82,0.756,9.634,1.292,16.32,0.7002,10.54,0.6323,16.87,0.7504
2MASXJ07094626+4855469,99.999,99.999,99.999,99.999,4.382,98.26,0,0,4.025,106.7,-0.04876,1.822,0,0,9.666,0.2837,17.42,0.7012,10.37,0.3509,17.05,0.6795,7.324,1.538,16.06,0.9408,6.345,3.307,15.59,0.8479,5.887,4.615,15.37,0.8781,9.477,1.076,15.93,0.8634,10.45,0.5604,16.42,0.8719
2MASXJ08295740+3035298,99.999,99.999,99.999,99.999,2.562,181.7,0,0,3.13,180.5,0.03661,3.713,0,0,6.792,0.0582,19.88,0.2345,7.249,0.1123,18.97,0.3593,4.61,1.861,16.39,1.295,4.325,3.645,15.74,1.46,4.232,5.742,15.3,1.44,7.064,1.431,15.94,0.8426,7.066,0.8372,16.58,0.7457
2MASXJ08302827+3050296,99.999,99.999,99.999,99.999,2.163,264.7,0,0,2.834,253.2,0.2236,2.719,0,0,8.163,0.2196,18.3,0.5066,9.44,0.2886,17.56,0.6986,5.737,2.512,16.14,0.9847,5.248,4.99,15.56,1.047,5.227,7.033,15.15,1.155,7.9,2.464,15.6,0.7352,8.687,1.272,16.08,0.7876
2MASXJ08302832+3032006,99.999,99.999,99.999,99.999,2.958,243.7,0,0,4.658,200.4,0.3991,4.72,0,0,10.13,0.1138,18.8,0.4389,11.05,0.1513,18.2,0.5859,5.88,1.49,16.91,0.8807,5.398,2.643,16.42,0.9927,5.142,3.942,16.09,1.004,7.29,1.343,16.59,0.5846,9.695,0.4801,16.94,0.8287
2MASXJ10124183-0039407,99.999,99.999,99.999,99.999,4.217,150.7,0,0,3.214,173.2,-0.2,1.652,0,0,8.581,0.01741,21.27,0.2843,9.218,0.03087,20.2,0.6448,6.688,0.8302,17.09,1.082,6.517,1.61,16.43,1.072,5.792,3.048,16.01,1.048,9.916,0.7407,16.45,0.8928,9.506,0.4626,17.11,0.7821
2MASXJ10153570-0109462,99.999,99.999,99.999,99.999,1.258,201.2,0,0,1.823,191.4,0.2378,2.99,0,0,-24.66,0.003299,99.999,1,8.077,0.04939,19.54,0.4348,4.882,2.031,16.08,1.368,4.481,4.402,15.4,1.446,4.677,6.299,14.9,1.502,7.16,2.262,15.39,0.7841,7.621,1.171,15.99,0.7667
2MASXJ10581762+0108303,99.999,99.999,99.999,99.999,2.64,134.9,0,0,3.279,136.8,0.2038,2.142,0,0,6.972,0.1068,19.12,0.7433,8.01,0.1822,18.22,0.7736,5.398,2.456,16.14,0.9944,5.011,4.893,15.55,0.996,5.256,6.3,15.15,1.06,8.037,2.25,15.48,0.7802,8.553,1.267,15.96,0.8056
2MASXJ10581962+0133363,99.999,99.999,99.999,99.999,3.251,164.3,0,0,3.28,177.7,-0.003629,2.044,0,0,11.03,0.007643,21.26,0.9694,13.16,0.02137,19.61,1.138,6.106,1.726,16.48,1.271,5.499,3.72,15.8,1.495,5.454,6.134,15.32,1.371,9.275,1.659,15.78,0.9065,9.883,0.8495,16.36,0.9242
2MASXJ10590566+0136132,99.999,99.999,99.999,99.999,2.273,136.1,0,0,2.597,145.7,-0.1872,4.741,0,0,12.62,0.008133,20.96,0.2466,7.639,0.01961,20.78,0.8022,5.528,1.202,16.94,0.8881,4.96,2.798,16.21,0.9957,4.919,4.549,15.68,1.05,7.19,1.361,16.29,0.7935,7.942,0.68,16.8,0.8378
2MASXJ10590914+0123002,99.999,99.999,99.999,99.999,4.818,103.9,0,0,4.515,119.3,-0.195,2.186,0,0,11.3,0.1278,17.58,0.5755,12.19,0.141,17.18,0.789,8.362,0.9166,15.78,1.192,7.935,1.343,15.38,1.455,8.046,1.587,15.15,1.513,10.9,0.5476,15.82,1.052,10.75,0.3498,16.43,0.9412
2MASXJ10594067+0127116,99.999,99.999,99.999,99.999,3.035,119.6,0,0,2.698,131.1,-0.09175,1.907,0,0,8.398,0.1808,17.98,0.3557,8.349,0.2438,17.54,0.53,5.845,1.895,15.94,0.7584,5.353,3.353,15.45,0.8678,5.434,4.248,15.14,0.9199,7.499,1.395,15.76,0.7066,7.375,0.8578,16.37,0.6308
2MASXJ11142927+2915151,99.999,99.999,99.999,99.999,2.638,176.4,0,0,2.652,178.6,0.2017,1.705,0,0,99.999,99.999,99.999,99.999,10.28,0.009802,21.81,0.5883,8.558,0.9864,16.71,0.9468,7.717,2.316,15.94,1.079,7.067,4.49,15.35,1.255,10.32,1.544,15.85,0.8669,7.716,1.457,16.97,0.5675
2MASXJ11143885+2905260,99.999,99.999,99.999,99.999,3.885,206.4,0,0,3.749,210,-0.01119,2.333,0,0,451.2,5.584e-05,17.09,5.426,15.42,0.0256,19.48,0.6654,7.638,1.68,16.08,1.182,7.103,3.47,15.42,1.246,6.66,5.863,14.98,1.28,9.533,2.172,15.46,0.8719,10.34,1.145,15.96,0.8996
2MASXJ11150175+2909199,99.999,99.999,99.999,99.999,2.267,115.5,0,0,2.602,112.4,0.1639,2.741,0,0,-12.81,0.002882,99.999,1,11,0.01313,19.37,1.213,4.56,1.961,15.59,2.009,4.353,3.996,14.88,2.164,4.254,6.827,14.37,2.098,7.507,1.651,14.97,1.147,8.126,0.8043,15.57,1.172
2MASXJ11213103+3408334,99.999,99.999,99.999,99.999,2.943,156.2,0,0,2.858,160.1,-0.1344,3.199,0,0,99.999,99.999,99.999,99.999,71.88,0.0007224,18.44,4.057,10.03,0.3159,16.76,1.924,5.027,1.976,16.45,1.332,3.659,7.12,15.88,0.9892,8.303,0.8682,16.39,0.9936,8.672,0.4219,17.07,1.016
2MASXJ11225464+3403335,99.999,99.999,99.999,99.999,2.412,155.2,0,0,2.827,159.5,0.0812,2.318,0,0,0.539,0.01455,26.4,0.4117,17.74,0.008166,19.44,1.815,7.552,0.7569,16.14,2.116,4.733,3.66,15.64,1.446,3.459,9.711,15.2,1.395,7.112,1.647,15.8,0.9987,6.15,1.437,16.38,0.6346
2MASXJ11335627+4919532,99.999,99.999,99.999,99.999,6.357,111.5,0,0,6.292,132,-0.08898,1.754,0,0,6.995,0.1297,18.65,0.6087,7.643,0.1722,18.1,0.6893,6.958,1.057,16.07,1.236,5.304,2.623,15.75,1.041,4.792,3.626,15.61,1.088,7.247,1.082,16.23,0.6737,7.343,0.6719,16.77,0.5943
2MASXJ11372321+4910409,99.999,99.999,99.999,99.999,4.193,108.4,0,0,2.904,118.7,-0.1746,1.535,0,0,4.88,0.03778,20.53,0.7979,14.42,0.01076,19.1,2.074,25.53,0.04583,15.89,4.477,24.81,0.04802,15.7,6.543,34.85,0.06761,14.67,5.673,49.85,0.02793,15.08,3.666,148.4,0.003868,14.73,4.672
2MASXJ12541277-2843176,99.999,99.999,99.999,99.999,5.756,230.5,0,0,2.852,201.2,-0.1368,1.578,0,0,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999
2MASXJ12575986-1735230,99.999,99.999,99.999,99.999,3.12,114.5,0,0,2.941,187.6,-0.02223,0.8601,0,0,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999
2MASXJ12584437-1709104,99.999,99.999,99.999,99.999,7.658,157,0,0,4.311,122.6,-0.04216,1.936,0,0,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999
2MASXJ13245119-2624516,99.999,99.999,99.999,99.999,9.511,108.2,0,0,7.778,136,-0.1774,1.366,0,0,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999
2MASXJ13261261-2727365,99.999,99.999,99.999,99.999,1.629,71.47,0,0,1.888,70.29,0.085,3.576,0,0,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999
2MASXJ13261291-2729075,99.999,99.999,99.999,99.999,3.312,134.4,0,0,2.712,163,-0.07067,1.328,0,0,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999
2MASXJ13265397-3118388,99.999,99.999,99.999,99.999,5.573,183.9,0,0,6.839,175.1,0.1149,3.87,0,0,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999
2MASXJ13274771-2725488,99.999,99.999,99.999,99.999,3.4,125.6,0,0,3.36,130.5,-0.1998,4.178,0,0,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999
2MASXJ13280741-2701144,99.999,99.999,99.999,99.999,3.337,108.1,0,0,3.709,109.1,-0.1313,4.827,0,0,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999
2MASXJ13300526-3113531,99.999,99.999,99.999,99.999,6.078,146.9,0,0,5.721,162.3,-0.07133,1.87,0,0,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999
2MASXJ13310459-1506057,99.999,99.999,99.999,99.999,12.85,118.4,0,0,8.413,121.6,-0.06337,1.375,0,0,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999
2MASXJ13330102-3113288,99.999,99.999,99.999,99.999,3.705,65.22,0,0,3.908,68.35,-0.1661,3.98,0,0,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999
2MASXJ13343156-3205084,99.999,99.999,99.999,99.999,5.568,102.4,0,0,5.915,101.5,-0.03109,3.836,0,0,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999
2MASXJ14524547+1649237,99.999,99.999,99.999,99.999,4.162,178.9,0,0,4.138,179.7,-0.01186,2.852,0,0,104.7,0.003329,15.87,1.929,6.678,0.05357,20.02,0.1985,7.121,1.405,16.09,1.011,6.807,2.733,15.44,1.083,6.121,4.64,15.02,1.258,8.594,1.978,15.39,0.8556,8.544,1.225,15.94,0.8196
2MASXJ14534439+1642015,99.999,99.999,99.999,99.999,5.451,122.1,0,0,5.39,127.9,-0.02055,2.327,0,0,99.999,99.999,99.999,99.999,-42.17,0.002578,99.999,1,3.285,3.998,16.3,1.424,3.415,8.029,15.51,1.264,3.086,14.95,14.97,1.519,6.358,2.798,15.57,0.7111,6.712,1.346,16.24,0.7281
2MASXJ15044627+2821140,99.999,99.999,99.999,99.999,2.781,214.4,0,0,2.276,237.5,-0.09856,1.599,0,0,819.7,0.001327,13.34,2.581,12.24,0.09153,18.67,0.4889,8.112,1.74,16.01,0.8778,7.489,3.13,15.46,1.062,7.473,4.185,15.07,1.261,10.78,1.359,15.64,0.9282,11.22,0.7982,16.15,0.8763
2MASXJ15045771+2836450,99.999,99.999,99.999,99.999,7.84,241.4,0,0,3.926,196.8,-0.5837,5.014,0,0,99.999,99.999,99.999,99.999,5.345,0.03593,21.4,0.6617,6.425,0.8336,17.25,1.07,5.296,2.653,16.49,0.901,4.887,5.207,15.91,0.9602,6.779,1.49,16.71,0.5342,7.107,0.8205,17.25,0.551
2MASXJ15050119+2823030,99.999,99.999,99.999,99.999,4.423,152.6,0,0,2.93,250.3,0.0529,0.6864,0,0,1645,0.0001332,13.24,4.583,12.92,0.07717,17.58,0.6698,8.303,0.9464,15.78,0.8051,7.843,1.627,15.28,0.8709,7.722,2.11,14.96,1.026,9.366,0.9562,15.59,0.6692,9.498,0.5577,16.15,0.6553
2MASXJ15050966+2848480,99.999,99.999,99.999,99.999,3.342,214.4,0,0,3.404,226.9,0.06031,1.858,0,0,99.999,99.999,99.999,99.999,12.09,0.03079,19.73,0.4455,5.772,1.332,16.62,1.714,5.338,2.837,15.94,1.834,4.964,4.909,15.43,2.117,8.348,1.384,16.12,0.8438,8.551,0.7616,16.74,0.7922
2MASXJ15103031+0530066,99.999,99.999,99.999,99.999,3.92,149.1,0,0,3.398,156.3,-0.04293,2.028,0,0,-185.4,0.004645,99.999,1,7.084,0.05772,19.7,0.2641,4.684,1.211,16.62,1.614,4.457,2.385,15.95,1.762,4.268,3.949,15.54,1.596,7.225,1.014,16.14,0.9261,6.794,0.6983,16.79,0.7043
2MASXJ15111599+0541479,99.999,99.999,99.999,99.999,4.415,345.8,0,0,2.612,277.4,-0.4494,5.334,0,0,7.132,0.01708,21.49,0.4439,9.377,0.03044,20.39,0.5863,5.94,1.494,16.88,0.9904,5.366,3.732,16.2,0.8151,5.738,3.902,15.88,1.067,7.76,1.14,16.78,0.7373,8.173,0.6017,17.35,0.7513
2MASXJ15114298+0604059,99.999,99.999,99.999,99.999,2.045,175.3,0,0,0.1062,210.9,0.008043,0.5367,0,0,10.24,0.02039,20.53,0.2375,9.507,0.03923,19.79,0.4978,7.821,0.8564,16.01,2.7,7.037,1.973,15.33,2.721,6.813,3.553,14.83,2.381,10.01,1.46,15.35,1.063,10.37,0.7708,15.99,1.026
2MASXJ15114312+0540049,99.999,99.999,99.999,99.999,11.26,422.1,0,0,16.29,194.1,0.8356,11.42,0,0,6.772,0.1045,18.88,0.4259,7.13,0.1359,18.35,0.6016,4.115,1.813,16.65,0.7326,3.944,3.079,16.11,0.8381,3.928,4.621,15.67,0.8468,6.118,1.28,16.22,0.6432,6.054,0.7292,16.86,0.6329
2MASXJ15114720+0555519,99.999,99.999,99.999,99.999,2.527,113.3,0,0,1.529,133.2,-0.05307,1.148,0,0,6.042,0.1268,18.91,0.3916,6.167,0.1586,18.55,0.5171,4.782,1.733,16.42,0.6462,4.66,2.956,15.85,0.7087,4.605,4.388,15.44,0.7235,6.365,1.42,16.04,0.596,6.363,0.8464,16.63,0.5577
2MASXJ15132872+0659283,99.999,99.999,99.999,99.999,3.581,161.9,0,0,9.156,121.2,0.7024,3.481,0,0,11.7,0.0488,18.61,0.4411,12.37,0.06456,17.92,0.8593,8.188,0.8099,15.83,1.42,7.649,1.45,15.31,1.53,7.637,1.958,14.97,1.599,9.723,0.7884,15.65,1.016,8.942,0.578,16.27,0.8107
2MASXJ15141134+0711511,99.999,99.999,99.999,99.999,2.583,146.5,0,0,2.51,167.3,-0.001573,1.627,0,0,9.071,0.01571,20.43,0.8188,6.699,0.05418,19.94,0.4943,4.834,1.531,16.76,1.077,4.882,2.755,16.1,1.086,4.548,4.567,15.68,1.134,7.632,1.125,16.2,0.8774,8.087,0.6394,16.71,0.8216
2MASXJ15150755+0701165,99.999,99.999,99.999,99.999,0.6975,185.4,0,0,1.066,176.4,0.2791,3.078,0,0,73.49,0.001565,18.53,1.964,18.42,0.02114,19.13,0.8199,9.913,1.295,15.36,1.987,9.656,2.523,14.66,2.104,8.945,4.564,14.18,2.113,13.14,1.831,14.54,1.413,13.56,0.9918,15.13,1.43
2MASXJ15201967+0829180,99.999,99.999,99.999,99.999,3.508,118,0,0,3.37,121.1,-0.08666,2.76,0,0,3.968,0.1023,21.02,0.3397,7.371,0.06452,19.57,0.6477,5.888,0.9911,16.97,0.889,5.55,1.966,16.35,0.8958,5.25,3.357,15.85,0.9681,7.265,1.431,16.15,0.807,7.421,0.8742,16.66,0.7838
2MASXJ15224215+0822074,99.999,99.999,99.999,99.999,5.022,143.8,0,0,4.993,142.8,-0.04972,5.406,0,0,99.999,99.999,99.999,99.999,18.55,0.006768,20.56,0.9602,9.299,0.6617,17.09,0.8753,8.388,1.705,16.24,0.9558,7.758,3.924,15.5,0.9679,8.885,2.256,15.9,0.7009,10.3,1.071,16.28,0.8358
2MASXJ15224814+0831474,99.999,99.999,99.999,99.999,0.0591,2.4,0,0,-0.0001339,17.3,-0.0003396,0.1406,0,0,-21.82,0.009547,99.999,1,6.195,0.1821,18.64,0.5517,5.034,2.205,16.27,0.7318,5.012,3.395,15.8,0.7607,5.061,4.117,15.53,0.8178,9.149,0.959,15.86,0.7736,9.673,0.4949,16.44,0.7912
2MASXJ15235147+0850324,99.999,99.999,99.999,99.999,427,4223,0,0,1.924e+09,2.063e+10,-0.001348,0.215,0,0,99.999,99.999,99.999,99.999,8.729,0.03198,19.58,1.078,7.337,0.7774,16.36,1.455,6.724,1.569,15.83,1.312,7.3,1.873,15.43,1.411,12.93,0.3923,15.92,1.314,12.3,0.2355,16.61,1.231
