type,source_path,hub_link,exists,valid,error,size_bytes
summary_json,/Users/russelllicht/bec-dark-matter/analysis/results/summary_extended_rar_inversion.json,/Users/russelllicht/bec-dark-matter/bec_rar_identity/artifacts/summaries/analysis/results/summary_extended_rar_inversion.json,True,True,,53844
summary_json,/Users/russelllicht/bec-dark-matter/analysis/results/summary_forward_model_bunching.json,/Users/russelllicht/bec-dark-matter/bec_rar_identity/artifacts/summaries/analysis/results/summary_forward_model_bunching.json,True,True,,45133
summary_json,/Users/russelllicht/bec-dark-matter/analysis/results/summary_gpp_inversion.json,/Users/russelllicht/bec-dark-matter/bec_rar_identity/artifacts/summaries/analysis/results/summary_gpp_inversion.json,True,True,,1411
summary_json,/Users/russelllicht/bec-dark-matter/analysis/results/summary_gpp_universality.json,/Users/russelllicht/bec-dark-matter/bec_rar_identity/artifacts/summaries/analysis/results/summary_gpp_universality.json,True,True,,2385
summary_json,/Users/russelllicht/bec-dark-matter/analysis/results/summary_healing_length_acf.json,/Users/russelllicht/bec-dark-matter/bec_rar_identity/artifacts/summaries/analysis/results/summary_healing_length_acf.json,True,True,,28631
summary_json,/Users/russelllicht/bec-dark-matter/analysis/results/summary_healing_length_distance_diag.json,/Users/russelllicht/bec-dark-matter/bec_rar_identity/artifacts/summaries/analysis/results/summary_healing_length_distance_diag.json,True,True,,3362
summary_json,/Users/russelllicht/bec-dark-matter/analysis/results/summary_healing_length_kstar.json,/Users/russelllicht/bec-dark-matter/bec_rar_identity/artifacts/summaries/analysis/results/summary_healing_length_kstar.json,True,True,,19447
summary_json,/Users/russelllicht/bec-dark-matter/analysis/results/summary_healing_length_scaling.json,/Users/russelllicht/bec-dark-matter/bec_rar_identity/artifacts/summaries/analysis/results/summary_healing_length_scaling.json,True,True,,31444
summary_json,/Users/russelllicht/bec-dark-matter/analysis/results/summary_hierarchical_healing_length.json,/Users/russelllicht/bec-dark-matter/bec_rar_identity/artifacts/summaries/analysis/results/summary_hierarchical_healing_length.json,True,True,,9706
summary_json,/Users/russelllicht/bec-dark-matter/analysis/results/summary_injection_recovery.json,/Users/russelllicht/bec-dark-matter/bec_rar_identity/artifacts/summaries/analysis/results/summary_injection_recovery.json,True,True,,14116
summary_json,/Users/russelllicht/bec-dark-matter/analysis/results/summary_interface_oscillation.json,/Users/russelllicht/bec-dark-matter/bec_rar_identity/artifacts/summaries/analysis/results/summary_interface_oscillation.json,True,True,,11393
summary_json,/Users/russelllicht/bec-dark-matter/analysis/results/summary_interface_oscillation_controls.json,/Users/russelllicht/bec-dark-matter/bec_rar_identity/artifacts/summaries/analysis/results/summary_interface_oscillation_controls.json,True,True,,6664
summary_json,/Users/russelllicht/bec-dark-matter/analysis/results/summary_interface_oscillation_demeaned.json,/Users/russelllicht/bec-dark-matter/bec_rar_identity/artifacts/summaries/analysis/results/summary_interface_oscillation_demeaned.json,True,True,,19317
summary_json,/Users/russelllicht/bec-dark-matter/analysis/results/summary_interface_spectral_test.json,/Users/russelllicht/bec-dark-matter/bec_rar_identity/artifacts/summaries/analysis/results/summary_interface_spectral_test.json,True,True,,23524
