recno	PGC1	PGC1+	Nm	GLON	GLAT	SGLON	SGLAT	Ksmag	logK	HRV	VLS	Nd	Dist	e_Dist	sigmaL	sigmaV	R2t	Rg	logMK	logMd	CF3	_RA_icrs	_DE_icrs
2733	52599	52599	4	333.1429	31.7554	148.6935	16.7182	8.57	11.19	3523	3378	1	32.66	18	155	184	0.421	0.192	12.874	12.772	1	220.8958	-24.4559
2085	53516	53516	11	339.8925	34.344	145.4117	22.1139	7.82	11.45	3339	3224	4	52.48	10	195	173	0.528	0.549	13.173	13.176	1	224.5876	-19.2639
1964	52521	53549	3	337.3431	38.095	141.7247	19.5787	8.21	11.17	2920	2801	1	37.5	8	153	77	0.415	0.318	12.856	12.238	1	220.6145	-17.2483
1963	53549	53549	3	342.0416	36.3475	142.9733	23.5409	8.04	11.23	2882	2779	0			161	91	0.437	0.216	12.923	12.212	0	224.8796	-16.6165
1129	53630	53932	6	349.8172	43.3399	133.8366	27.6061	7.92	10.94	1937	1874	1	27.67	13	124	160	0.337	0.202	12.584	12.67	1	225.2319	-7.4373
1377	69713	69713	10	321.4523	-47.3959	227.5007	-1.8985	7.15	11.69	3247	3105	0			240	108	0.651	0.411	13.442	12.639	0	342.1772	-65.0782
1379	67023	69713	8	329.0951	-42.0594	223.1907	4.3712	7.66	11.47	3182	3049	4	42.64	11	198	168	0.536	0.387	13.19	12.999	1	324.6248	-63.9661
2438	61906	61906	7	322.9199	-23.9274	204.4079	2.4769	7.7	11.53	3525	3334	1	36.31	23	209	197	0.566	0.255	13.26	12.955	1	277.2423	-71.7023
3088	62836	62836	11	331.5155	-25.3967	207.2203	9.9165	5.76	11.0	894	744	5	9.18	5	131	273	0.356	0.306	12.656	13.32	1	285.5073	-64.3631
1378	66530	69713	6	330.6947	-39.6764	221.1327	6.0861	7.52	11.54	3236	3104	0			211	78	0.571	0.557	13.272	12.486	0	318.5636	-63.8002
2656	65600	65600	4	339.9312	-38.7559	222.2938	13.2066	8.51	11.2	3408	3309	0			156	90	0.423	0.187	12.882	12.14	0	313.0605	-57.1116
2258	66549	66549	7	350.4686	-43.9602	230.5649	18.3173	6.87	11.47	2166	2115	2	27.44	8	198	279	0.536	0.442	13.19	13.498	1	319.5866	-48.5063
2321	71948	71948	3	333.0576	-64.9579	245.9486	0.8035	7.91	11.36	3096	3032	2	45.77	11	180	207	0.489	0.221	13.068	12.938	0	354.4796	-47.6423
2405	71730	72300	4	338.9039	-66.2685	247.9906	2.6394	8.36	11.2	3145	3098	1	37.15	11	157	58	0.425	0.4	12.887	12.083	1	353.3231	-45.0157
1620	71001	71001	13	347.8306	-65.5046	248.9289	6.2427	6.17	11.48	1588	1558	5	21.86	7	200	81	0.542	0.383	13.207	12.356	1	349.449	-42.5576
1624	70094	71001	5	350.5659	-61.8015	246.3855	9.214	7.23	11.09	1645	1616	1	20.89	23	142	104	0.384	0.245	12.757	12.384	1	344.215	-43.2557
1946	69994	69994	5	358.0458	-62.8298	249.3105	11.4131	7.21	11.23	1900	1890	1	44.06	21	161	142	0.436	0.285	12.922	12.723	1	343.7492	-39.6508
2320	70090	70090	16	4.6869	-64.1254	252.3457	12.6979	6.53	11.51	1890	1899	5	24.41	7	205	292	0.555	0.393	13.236	13.486	1	344.31	-36.4468
2535	68020	68020	4	345.3836	-51.1238	235.5	11.9642	8.07	11.21	2808	2748	2	38.72	9	158	109	0.428	0.158	12.898	12.233	1	331.5286	-50.0978
1622	68165	71001	5	349.5686	-52.6164	238.0989	13.5378	6.97	11.16	1596	1553	1	21.68	18	151	164	0.408	0.383	12.834	12.975	1	332.3739	-47.1671
1621	68317	71001	9	351.132	-53.7906	239.6304	13.7381	7.36	11.2	1993	1955	0			157	160	0.424	0.202	12.886	12.676	0	333.5864	-45.918
2417	67817	67817	6	356.1125	-51.9612	239.7845	17.2526	7.97	11.13	2401	2379	1	38.55	23	147	130	0.398	0.205	12.802	12.498	1	330.0523	-43.4552
2860	67146	67146	4	358.3407	-48.4377	237.6735	20.4864	8.54	10.94	2528	2510	1	31.92	13	125	147	0.338	0.152	12.591	12.48	1	324.9992	-42.5623
2528	68455	68455	10	6.5468	-55.9305	247.1717	19.2782	8.54	11.22	3437	3450	1	42.46	7	160	89	0.433	0.295	12.911	12.324	1	334.0391	-36.8186
1724	67883	67883	30	14.8845	-53.093	249.2324	24.5478	6.73	11.71	2598	2638	4	33.92	7	246	206	0.666	0.457	13.473	13.248	1	330.5286	-32.018
2627	69398	69398	9	28.0177	-60.3143	259.8308	21.6409	8.77	11.09	3242	3312	1	51.76	18	143	224	0.386	0.578	12.763	13.423	1	339.6529	-25.715
3302	69638	69638	4	32.6951	-61.2689	262.4819	21.4485	9.4	10.86	3299	3378	0			116	110	0.314	0.226	12.496	12.394	0	341.1989	-23.6791
2221	62024	62024	4	337.5248	-20.659	203.7307	16.3561	8.69	11.08	3290	3157	2	49.49	13	141	125	0.383	0.521	12.751	12.872	1	278.8497	-57.8229
1700	62870	62870	16	340.1398	-25.2504	209.0127	17.5156	6.8	11.89	3443	3327	2	30.03	15	287	346	0.777	0.362	13.675	13.598	1	288.2054	-56.6797
1401	64192	64192	27	350.9138	-32.3519	219.6375	23.8948	6.25	11.97	2916	2856	11	33.85	4	309	286	0.838	0.387	13.773	13.461	1	302.0471	-48.3538
1404	64296	64192	3	353.6074	-32.9163	221.2951	25.6835	8.62	11.11	3179	3132	1	36.64	18	144	175	0.391	0.142	12.777	12.597	1	303.2249	-46.1572
1402	64614	64192	7	356.679	-34.6764	224.3868	27.0767	7.96	11.31	2952	2922	0			173	150	0.468	0.284	13.013	12.766	0	306.0858	-43.8078
2306	67904	67904	3	32.8923	-51.1125	259.4235	31.2303	7.85	11.27	2557	2658	1	35.48	14	167	213	0.451	0.407	12.966	13.225	1	330.6674	-20.8128
