SubhaloID,dataset,selected_by
266559,dev_clean_3000,quality_cut_bins8_dm10_OR_base
267323,dev_clean_3000,quality_cut_bins8_dm10_OR_base
268295,dev_clean_3000,quality_cut_bins8_dm10_OR_base
268908,dev_clean_3000,quality_cut_bins8_dm10_OR_base
269440,dev_clean_3000,quality_cut_bins8_dm10_OR_base
270079,dev_clean_3000,quality_cut_bins8_dm10_OR_base
270963,dev_clean_3000,quality_cut_bins8_dm10_OR_base
271729,dev_clean_3000,quality_cut_bins8_dm10_OR_base
272322,dev_clean_3000,quality_cut_bins8_dm10_OR_base
273141,dev_clean_3000,quality_cut_bins8_dm10_OR_base
273994,dev_clean_3000,quality_cut_bins8_dm10_OR_base
274790,dev_clean_3000,quality_cut_bins8_dm10_OR_base
275531,dev_clean_3000,quality_cut_bins8_dm10_OR_base
276219,dev_clean_3000,quality_cut_bins8_dm10_OR_base
277020,dev_clean_3000,quality_cut_bins8_dm10_OR_base
277687,dev_clean_3000,quality_cut_bins8_dm10_OR_base
278302,dev_clean_3000,quality_cut_bins8_dm10_OR_base
278854,dev_clean_3000,quality_cut_bins8_dm10_OR_base
279707,dev_clean_3000,quality_cut_bins8_dm10_OR_base
281072,dev_clean_3000,quality_cut_bins8_dm10_OR_base
281700,dev_clean_3000,quality_cut_bins8_dm10_OR_base
282377,dev_clean_3000,quality_cut_bins8_dm10_OR_base
283011,dev_clean_3000,quality_cut_bins8_dm10_OR_base
283637,dev_clean_3000,quality_cut_bins8_dm10_OR_base
284316,dev_clean_3000,quality_cut_bins8_dm10_OR_base
284948,dev_clean_3000,quality_cut_bins8_dm10_OR_base
285479,dev_clean_3000,quality_cut_bins8_dm10_OR_base
286066,dev_clean_3000,quality_cut_bins8_dm10_OR_base
286695,dev_clean_3000,quality_cut_bins8_dm10_OR_base
287335,dev_clean_3000,quality_cut_bins8_dm10_OR_base
288014,dev_clean_3000,quality_cut_bins8_dm10_OR_base
288743,dev_clean_3000,quality_cut_bins8_dm10_OR_base
289426,dev_clean_3000,quality_cut_bins8_dm10_OR_base
289945,dev_clean_3000,quality_cut_bins8_dm10_OR_base
290643,dev_clean_3000,quality_cut_bins8_dm10_OR_base
291113,dev_clean_3000,quality_cut_bins8_dm10_OR_base
291888,dev_clean_3000,quality_cut_bins8_dm10_OR_base
292355,dev_clean_3000,quality_cut_bins8_dm10_OR_base
292921,dev_clean_3000,quality_cut_bins8_dm10_OR_base
293439,dev_clean_3000,quality_cut_bins8_dm10_OR_base
294047,dev_clean_3000,quality_cut_bins8_dm10_OR_base
294510,dev_clean_3000,quality_cut_bins8_dm10_OR_base
295077,dev_clean_3000,quality_cut_bins8_dm10_OR_base
295674,dev_clean_3000,quality_cut_bins8_dm10_OR_base
296302,dev_clean_3000,quality_cut_bins8_dm10_OR_base
296787,dev_clean_3000,quality_cut_bins8_dm10_OR_base
297210,dev_clean_3000,quality_cut_bins8_dm10_OR_base
297712,dev_clean_3000,quality_cut_bins8_dm10_OR_base
298206,dev_clean_3000,quality_cut_bins8_dm10_OR_base
298892,dev_clean_3000,quality_cut_bins8_dm10_OR_base
299429,dev_clean_3000,quality_cut_bins8_dm10_OR_base
299935,dev_clean_3000,quality_cut_bins8_dm10_OR_base
300568,dev_clean_3000,quality_cut_bins8_dm10_OR_base
301746,dev_clean_3000,quality_cut_bins8_dm10_OR_base
302165,dev_clean_3000,quality_cut_bins8_dm10_OR_base
302773,dev_clean_3000,quality_cut_bins8_dm10_OR_base
303362,dev_clean_3000,quality_cut_bins8_dm10_OR_base
