recno	Name	r	e_r	r2	e_r2	Vrot	e_Vrot	NBins	Side
193	"UGC 3334"	7.63	0.21	28.3	0.8	260	15	21	a
194	"UGC 3334"	7.82	0.14	29.0	0.5	418	21	21	r
195	"UGC 3334"	8.26	0.1	30.7	0.4	432	28	21	r
196	"UGC 3334"	8.45	0.24	31.4	0.9	280	11	21	a
197	"UGC 3334"	8.71	0.16	32.3	0.6	408	20	21	r
198	"UGC 3334"	9.14	0.09	33.9	0.3	427	19	21	r
199	"UGC 3334"	9.33	0.25	34.6	0.9	301	13	21	a
200	"UGC 3334"	9.46	0.08	35.1	0.3	412	18	21	r
201	"UGC 3334"	9.75	0.09	36.2	0.3	411	15	21	r
202	"UGC 3334"	10.02	0.07	37.2	0.3	424	12	21	r
203	"UGC 3334"	10.1	0.21	37.5	0.8	304	11	21	a
204	"UGC 3334"	10.28	0.08	38.1	0.3	423	16	21	r
205	"UGC 3334"	10.56	0.07	39.2	0.2	443	14	21	r
206	"UGC 3334"	10.6	0.12	39.3	0.4	315	9	21	a
207	"UGC 3334"	10.92	0.13	40.5	0.5	432	14	21	r
208	"UGC 3334"	11.0	0.1	40.8	0.4	322	12	21	a
209	"UGC 3334"	11.32	0.07	42.0	0.3	324	13	21	a
210	"UGC 3334"	11.38	0.15	42.2	0.6	397	10	21	r
211	"UGC 3334"	11.61	0.1	43.1	0.4	323	13	21	a
212	"UGC 3334"	11.91	0.08	44.2	0.3	320	12	21	a
213	"UGC 3334"	11.94	0.19	44.3	0.7	405	14	21	r
214	"UGC 3334"	12.27	0.17	45.5	0.6	330	14	21	a
215	"UGC 3334"	12.48	0.18	46.3	0.7	374	12	21	r
216	"UGC 3334"	12.87	0.16	47.8	0.6	308	15	21	a
217	"UGC 3334"	13.02	0.18	48.3	0.7	373	20	21	r
218	"UGC 3334"	13.49	0.19	50.0	0.7	316	11	21	a
219	"UGC 3334"	13.74	0.2	51.0	0.7	344	18	21	r
220	"UGC 3334"	14.11	0.27	52.3	1.0	313	9	21	a
221	"UGC 3334"	14.48	0.25	53.7	0.9	354	23	21	r
222	"UGC 3334"	14.94	0.24	55.4	0.9	347	12	21	a
223	"UGC 3334"	15.49	0.42	57.5	1.6	318	16	21	r
224	"UGC 3334"	15.79	0.21	58.6	0.8	335	15	21	a
225	"UGC 3334"	16.57	0.28	61.5	1.0	359	13	21	a
226	"UGC 3334"	16.73	0.25	62.0	0.9	343	18	21	r
227	"UGC 3334"	17.39	0.21	64.5	0.8	344	16	21	a
228	"UGC 3334"	17.64	0.3	65.5	1.1	351	15	21	r
229	"UGC 3334"	18.07	0.19	67.0	0.7	403	14	21	a
230	"UGC 3334"	18.53	0.21	68.8	0.8	378	16	21	r
231	"UGC 3334"	18.59	0.14	68.9	0.5	375	25	21	a
232	"UGC 3334"	19.08	0.09	70.8	0.3	315	30	21	a
233	"UGC 3334"	19.14	0.09	71.0	0.3	402	16	21	r
234	"UGC 3334"	19.49	0.09	72.3	0.4	381	31	21	a
235	"UGC 3334"	19.51	0.13	72.4	0.5	392	17	21	r
237	"UGC 3334"	19.87	0.1	73.7	0.4	399	13	21	r
236	"UGC 3334"	19.87	0.1	73.7	0.4	400	31	21	a
238	"UGC 3334"	20.26	0.11	75.2	0.4	421	11	21	r
239	"UGC 3334"	20.26	0.14	75.2	0.5	464	23	21	a
240	"UGC 3334"	20.59	0.07	76.4	0.3	392	16	21	r
241	"UGC 3334"	20.61	0.08	76.5	0.3	451	28	21	a
242	"UGC 3334"	20.88	0.12	77.5	0.4	419	8	21	r
243	"UGC 3334"	20.91	0.1	77.6	0.4	437	31	21	a
244	"UGC 3334"	21.3	0.1	79.0	0.4	398	19	21	r
245	"UGC 3334"	21.32	0.09	79.1	0.3	460	26	21	a
246	"UGC 3334"	21.77	0.16	80.8	0.6	481	26	21	a
247	"UGC 3334"	21.84	0.2	81.0	0.8	428	12	21	r
248	"UGC 3334"	22.5	0.35	83.5	1.3	409	33	21	a
249	"UGC 3334"	22.62	0.31	83.9	1.1	413	13	21	r
250	"UGC 3334"	23.8	0.46	88.3	1.7	379	16	21	r
251	"UGC 3334"	24.77	1.34	91.9	5.0	367	39	15	a
252	"UGC 3334"	25.92	0.64	96.1	2.4	394	14	21	r
253	"UGC 3334"	27.51	0.36	102.0	1.3	410	16	21	r
254	"UGC 3334"	28.71	0.33	106.5	1.2	394	7	21	r
255	"UGC 3334"	29.9	0.43	110.9	1.6	377	12	21	r
256	"UGC 3334"	31.99	1.41	118.7	5.2	351	26	20	r
257	"UGC 3382"	5.45	0.9	17.9	3.0	255	12	23	r
258	"UGC 3382"	5.5	0.84	18.1	2.8	243	11	23	a
259	"UGC 3382"	8.66	1.49	28.4	4.9	281	14	22	r
260	"UGC 3382"	8.87	1.15	29.1	3.8	271	14	23	a
261	"UGC 3382"	12.83	0.94	42.1	3.1	337	15	12	a
262	"UGC 3463"	0.92	0.19	4.9	1.0	95	8	2	r
263	"UGC 3463"	1.11	0.19	5.9	1.0	81	5	5	a
264	"UGC 3463"	1.61	0.19	8.6	1.0	115	8	5	r
265	"UGC 3463"	1.69	0.12	9.0	0.6	106	8	6	a
266	"UGC 3463"	2.28	0.15	12.2	0.8	113	8	8	a
267	"UGC 3463"	2.29	0.15	12.2	0.8	118	11	7	r
268	"UGC 3463"	3.38	0.41	18.1	2.2	129	5	23	r
269	"UGC 3463"	3.4	0.42	18.2	2.2	119	3	23	a
270	"UGC 3463"	4.4	0.18	23.5	1.0	135	3	23	a
271	"UGC 3463"	4.61	0.35	24.6	1.9	148	4	23	r
272	"UGC 3463"	5.06	0.17	27.0	0.9	135	4	23	a
273	"UGC 3463"	5.62	0.15	30.0	0.8	136	4	23	a
274	"UGC 3463"	5.64	0.33	30.1	1.8	156	5	23	r
275	"UGC 3463"	6.04	0.14	32.3	0.7	145	3	23	a
276	"UGC 3463"	6.42	0.1	34.3	0.5	149	4	23	a
277	"UGC 3463"	6.65	0.29	35.5	1.5	164	4	23	r
278	"UGC 3463"	6.79	0.09	36.3	0.5	150	4	23	a
279	"UGC 3463"	7.12	0.13	38.0	0.7	159	4	23	a
280	"UGC 3463"	7.49	0.11	40.0	0.6	157	4	23	a
281	"UGC 3463"	7.63	0.27	40.8	1.4	170	4	23	r
282	"UGC 3463"	7.91	0.12	42.3	0.6	169	4	23	a
283	"UGC 3463"	8.29	0.12	44.3	0.6	165	4	23	a
284	"UGC 3463"	8.65	0.23	46.2	1.2	171	4	23	r
285	"UGC 3463"	8.77	0.17	46.9	0.9	155	4	23	a
286	"UGC 3463"	9.35	0.15	50.0	0.8	166	5	23	a
287	"UGC 3463"	9.36	0.18	50.0	1.0	176	3	23	r
288	"UGC 3463"	9.9	0.12	52.9	0.6	172	4	23	r
289	"UGC 3463"	9.91	0.15	53.0	0.8	155	5	23	a
290	"UGC 3463"	10.33	0.12	55.2	0.6	179	3	23	r
291	"UGC 3463"	10.58	0.22	56.5	1.2	162	4	23	a
292	"UGC 3463"	10.63	0.11	56.8	0.6	175	3	23	r
293	"UGC 3463"	11.02	0.1	58.9	0.5	170	4	23	r
294	"UGC 3463"	11.22	0.19	60.0	1.0	165	4	23	a
295	"UGC 3463"	11.32	0.1	60.5	0.5	172	3	23	r
296	"UGC 3463"	11.65	0.1	62.3	0.5	172	3	23	r
297	"UGC 3463"	11.81	0.16	63.1	0.9	162	5	23	a
298	"UGC 3463"	11.94	0.1	63.8	0.5	168	2	23	r
299	"UGC 3463"	12.28	0.08	65.6	0.4	164	3	23	r
300	"UGC 3463"	12.52	0.23	66.9	1.2	162	3	23	a
301	"UGC 3463"	12.59	0.14	67.3	0.7	166	3	23	r
302	"UGC 3463"	13.03	0.14	69.6	0.7	160	5	23	r
303	"UGC 3463"	13.3	0.23	71.1	1.2	165	5	23	a
304	"UGC 3463"	13.67	0.2	73.0	1.1	159	5	23	r
305	"UGC 3463"	14.2	0.3	75.9	1.6	161	4	23	a
306	"UGC 3463"	14.86	0.5	79.4	2.7	162	5	23	r
307	"UGC 3463"	15.19	0.33	81.2	1.8	164	4	23	a
308	"UGC 3463"	16.9	0.6	90.3	3.2	176	13	9	r
309	"UGC 3463"	17.31	1.43	92.5	7.6	164	5	22	a
310	"UGC 3521"	1.43	0.0	4.7	0.0	77	11	1	r
311	"UGC 3521"	1.78	0.05	5.9	0.2	92	11	4	r
312	"UGC 3521"	1.88	0.04	6.2	0.1	104	4	2	a
313	"UGC 3521"	2.29	0.16	7.5	0.5	109	7	2	r
314	"UGC 3521"	3.45	0.67	11.4	2.2	130	5	23	r
315	"UGC 3521"	4.05	0.94	13.3	3.1	137	5	23	a
316	"UGC 3521"	5.61	0.49	18.5	1.6	156	3	23	r
317	"UGC 3521"	7.35	0.73	24.2	2.4	157	7	12	r
318	"UGC 3521"	8.27	1.87	27.2	6.2	160	6	23	a
319	"UGC 3528"	0.44	0.0	1.5	0.0	91	24	1	r
320	"UGC 3528"	0.59	0.0	2.0	0.0	212	24	1	a
321	"UGC 3528"	1.48	0.0	4.9	0.0	147	24	1	r
322	"UGC 3528"	1.75	0.0	5.8	0.0	189	24	1	a
323	"UGC 3528"	2.19	0.0	7.3	0.0	216	24	1	a
324	"UGC 3528"	4.41	1.21	14.7	4.0	275	10	21	r
325	"UGC 3528"	4.67	1.1	15.6	3.7	257	13	21	a
326	"UGC 3528"	7.1	0.45	23.7	1.5	233	24	9	a
327	"UGC 3685"	0.1	0.04	0.8	0.3	41	19	5	a
328	"UGC 3685"	0.11	0.03	0.9	0.2	5	6	3	r
329	"UGC 3685"	0.23	0.05	1.8	0.4	-5	21	4	r
330	"UGC 3685"	0.26	0.04	2.0	0.3	27	12	6	a
331	"UGC 3685"	0.36	0.03	2.8	0.2	-12	13	2	r
332	"UGC 3685"	0.47	0.0	3.7	0.0	39	28	3	a
333	"UGC 3685"	0.52	0.03	4.1	0.2	-25	20	2	a
334	"UGC 3685"	0.71	0.04	5.6	0.3	41	11	4	a
335	"UGC 3685"	0.84	0.0	6.6	0.0	89	28	1	r
336	"UGC 3685"	0.9	0.05	7.1	0.4	45	15	2	a
337	"UGC 3685"	0.97	0.0	7.6	0.0	84	28	1	a
338	"UGC 3685"	1.39	0.0	10.9	0.0	92	28	1	r
339	"UGC 3685"	1.49	0.0	11.7	0.0	126	28	1	r
340	"UGC 3685"	2.37	0.35	18.6	2.7	34	15	25	a
341	"UGC 3685"	2.39	0.36	18.7	2.8	94	10	25	r
342	"UGC 3685"	2.99	0.11	23.4	0.9	80	9	25	a
343	"UGC 3685"	3.06	0.15	24.0	1.2	71	9	25	r
344	"UGC 3685"	3.37	0.11	26.4	0.9	59	12	25	a
345	"UGC 3685"	3.57	0.15	28.0	1.2	71	14	25	r
346	"UGC 3685"	3.75	0.13	29.4	1.0	95	9	25	a
347	"UGC 3685"	3.92	0.1	30.7	0.8	57	10	25	r
348	"UGC 3685"	4.07	0.09	31.9	0.7	72	11	25	a
349	"UGC 3685"	4.23	0.07	33.2	0.5	101	10	25	r
350	"UGC 3685"	4.31	0.05	33.8	0.4	109	12	25	a
351	"UGC 3685"	4.48	0.05	35.1	0.4	103	9	25	a
352	"UGC 3685"	4.49	0.07	35.2	0.5	85	9	25	r
353	"UGC 3685"	4.72	0.08	37.0	0.6	81	7	25	a
354	"UGC 3685"	4.76	0.09	37.3	0.7	88	10	25	r
355	"UGC 3685"	5.08	0.12	39.8	0.9	85	13	25	a
356	"UGC 3685"	5.17	0.13	40.5	1.0	97	12	25	r
357	"UGC 3685"	5.53	0.1	43.4	0.8	109	8	25	a
358	"UGC 3685"	5.66	0.16	44.4	1.3	99	13	25	r
359	"UGC 3685"	5.88	0.07	46.1	0.5	91	7	25	a
360	"UGC 3685"	6.0	0.1	47.1	0.8	89	8	25	r
361	"UGC 3685"	6.12	0.06	48.0	0.5	106	6	25	a
362	"UGC 3685"	6.32	0.1	49.6	0.8	94	13	25	r
363	"UGC 3685"	6.43	0.16	50.4	1.3	107	12	25	a
364	"UGC 3685"	6.71	0.16	52.6	1.3	102	11	25	r
365	"UGC 3685"	7.07	0.22	55.4	1.7	114	13	25	a
366	"UGC 3685"	7.25	0.17	56.9	1.3	97	13	25	r
367	"UGC 3685"	8.68	0.92	68.1	7.2	117	7	25	r
368	"UGC 3685"	10.45	2.56	82.0	20.1	125	15	24	a
369	"UGC 3685"	12.87	1.35	100.9	10.6	143	18	22	r
370	"UGC 3708"	0.37	0.02	1.1	0.1	74	44	2	r
371	"UGC 3708"	0.44	0.1	1.3	0.3	131	16	3	a
372	"UGC 3708"	0.87	0.17	2.6	0.5	112	9	10	a
373	"UGC 3708"	0.92	0.2	2.7	0.6	142	29	4	r
374	"UGC 3708"	1.26	0.07	3.7	0.2	160	21	5	r
375	"UGC 3708"	1.37	0.16	4.0	0.5	155	7	19	a
376	"UGC 3708"	1.94	0.13	5.7	0.4	180	5	22	a
377	"UGC 3708"	2.01	0.17	5.9	0.5	181	4	25	a
378	"UGC 3708"	2.03	0.16	6.0	0.5	182	21	5	r
379	"UGC 3708"	2.97	0.73	8.8	2.2	224	10	19	r
380	"UGC 3708"	3.23	1.21	9.5	3.6	227	8	22	a
381	"UGC 3709"	0.87	0.0	2.5	0.0	114	8	1	a
382	"UGC 3709"	1.61	0.0	4.7	0.0	175	8	1	a
383	"UGC 3709"	1.96	0.0	5.7	0.0	108	8	1	r
384	"UGC 3709"	2.25	0.0	6.6	0.0	138	8	1	r
385	"UGC 3709"	2.47	0.05	7.2	0.1	184	2	2	a
386	"UGC 3709"	4.01	0.77	11.7	2.2	183	7	24	a
387	"UGC 3709"	4.18	0.66	12.2	1.9	191	6	24	r
388	"UGC 3709"	5.24	0.22	15.3	0.6	202	5	24	a
389	"UGC 3709"	6.0	0.2	17.5	0.6	218	4	24	a
390	"UGC 3709"	6.61	0.12	19.3	0.4	234	4	24	a
391	"UGC 3709"	7.02	0.1	20.5	0.3	233	4	24	a
392	"UGC 3709"	7.05	1.29	20.6	3.8	221	8	21	r
393	"UGC 3709"	7.43	0.13	21.7	0.4	232	4	24	a
394	"UGC 3709"	7.9	0.14	23.0	0.4	237	4	24	a
395	"UGC 3709"	8.42	0.18	24.6	0.5	242	5	24	a
396	"UGC 3709"	9.13	0.28	26.6	0.8	239	5	24	a
397	"UGC 3709"	10.13	0.29	29.6	0.8	233	5	24	a
398	"UGC 3709"	11.24	0.28	32.8	0.8	236	6	24	a
399	"UGC 3709"	12.2	0.3	35.6	0.9	240	4	24	a
400	"UGC 3709"	13.51	0.58	39.4	1.7	241	7	20	a
430	"UGC 3740"	0.08	0.03	1.0	0.4	-6	2	5	r
431	"UGC 3740"	0.09	0.03	1.1	0.4	20	2	5	a
432	"UGC 3740"	0.21	0.04	2.5	0.5	5	1	15	r
433	"UGC 3740"	0.22	0.04	2.7	0.5	25	2	15	a
434	"UGC 3740"	0.35	0.04	4.2	0.5	28	3	15	a
435	"UGC 3740"	0.35	0.04	4.2	0.5	10	2	22	r
436	"UGC 3740"	0.48	0.04	5.8	0.5	11	2	19	r
437	"UGC 3740"	0.49	0.04	5.9	0.5	24	4	16	a
438	"UGC 3740"	0.62	0.04	7.5	0.5	34	3	16	a
439	"UGC 3740"	0.63	0.04	7.6	0.5	19	3	18	r
440	"UGC 3740"	0.76	0.04	9.2	0.5	32	3	15	a
441	"UGC 3740"	0.76	0.04	9.2	0.5	16	2	18	r
442	"UGC 3740"	0.89	0.04	10.7	0.5	35	4	18	a
443	"UGC 3740"	0.91	0.04	11.0	0.5	18	3	19	r
444	"UGC 3740"	1.04	0.04	12.5	0.5	27	3	22	r
445	"UGC 3740"	1.05	0.04	12.7	0.5	44	3	24	a
446	"UGC 3740"	1.17	0.03	14.1	0.4	26	2	21	r
447	"UGC 3740"	1.18	0.03	14.2	0.4	48	3	21	a
448	"UGC 3740"	1.27	0.03	15.3	0.4	48	3	21	a
449	"UGC 3740"	1.28	0.03	15.4	0.4	30	1	21	r
451	"UGC 3740"	1.37	0.03	16.5	0.4	27	3	21	r
450	"UGC 3740"	1.37	0.03	16.5	0.4	51	3	21	a
453	"UGC 3740"	1.45	0.02	17.5	0.2	33	3	21	r
452	"UGC 3740"	1.45	0.02	17.5	0.2	52	3	21	a
455	"UGC 3740"	1.51	0.01	18.2	0.1	30	2	21	r
454	"UGC 3740"	1.51	0.02	18.2	0.2	56	3	21	a
456	"UGC 3740"	1.56	0.02	18.8	0.2	30	2	21	r
457	"UGC 3740"	1.59	0.03	19.2	0.4	56	3	21	a
458	"UGC 3740"	1.63	0.02	19.7	0.2	30	3	21	r
459	"UGC 3740"	1.66	0.02	20.0	0.2	57	3	21	a
460	"UGC 3740"	1.69	0.02	20.4	0.2	26	2	21	r
461	"UGC 3740"	1.72	0.02	20.7	0.2	57	3	21	a
462	"UGC 3740"	1.74	0.02	21.0	0.2	26	2	21	r
463	"UGC 3740"	1.79	0.02	21.6	0.2	59	3	21	a
464	"UGC 3740"	1.8	0.02	21.7	0.2	28	2	21	r
465	"UGC 3740"	1.85	0.02	22.3	0.2	63	2	21	a
466	"UGC 3740"	1.86	0.01	22.4	0.1	29	3	21	r
467	"UGC 3740"	1.9	0.01	22.9	0.1	33	3	21	r
468	"UGC 3740"	1.92	0.02	23.2	0.2	56	2	21	a
469	"UGC 3740"	1.95	0.01	23.5	0.1	30	2	21	r
470	"UGC 3740"	2.0	0.02	24.1	0.2	61	4	21	a
471	"UGC 3740"	2.0	0.02	24.1	0.2	28	3	21	r
472	"UGC 3740"	2.06	0.01	24.8	0.1	32	2	21	r
473	"UGC 3740"	2.07	0.02	25.0	0.2	49	4	21	a
474	"UGC 3740"	2.11	0.02	25.5	0.2	31	2	21	r
475	"UGC 3740"	2.16	0.02	26.1	0.2	34	3	21	r
476	"UGC 3740"	2.17	0.03	26.2	0.4	60	2	21	a
477	"UGC 3740"	2.21	0.01	26.7	0.1	34	2	21	r
478	"UGC 3740"	2.25	0.03	27.1	0.4	60	4	21	a
479	"UGC 3740"	2.26	0.01	27.3	0.1	39	3	21	r
480	"UGC 3740"	2.31	0.01	27.9	0.1	42	3	21	r
481	"UGC 3740"	2.35	0.03	28.3	0.4	57	3	21	a
482	"UGC 3740"	2.36	0.01	28.5	0.1	39	2	21	r
483	"UGC 3740"	2.42	0.02	29.2	0.2	42	2	21	r
484	"UGC 3740"	2.44	0.02	29.4	0.2	56	4	21	a
485	"UGC 3740"	2.48	0.01	29.9	0.1	46	2	21	r
486	"UGC 3740"	2.52	0.03	30.4	0.4	55	2	21	a
487	"UGC 3740"	2.53	0.02	30.5	0.2	54	3	21	r
488	"UGC 3740"	2.58	0.02	31.1	0.2	56	3	21	r
489	"UGC 3740"	2.62	0.02	31.6	0.2	54	3	21	a
490	"UGC 3740"	2.63	0.01	31.7	0.1	46	3	21	r
491	"UGC 3740"	2.68	0.01	32.3	0.1	52	3	21	r
492	"UGC 3740"	2.71	0.03	32.7	0.4	54	4	21	a
493	"UGC 3740"	2.73	0.01	32.9	0.1	59	3	21	r
494	"UGC 3740"	2.77	0.01	33.4	0.1	55	3	21	r
495	"UGC 3740"	2.81	0.03	33.9	0.4	52	3	21	a
496	"UGC 3740"	2.82	0.01	34.0	0.1	61	3	21	r
497	"UGC 3740"	2.85	0.01	34.4	0.1	57	4	21	r
498	"UGC 3740"	2.88	0.01	34.7	0.1	63	4	21	r
499	"UGC 3740"	2.91	0.04	35.1	0.5	60	4	21	a
500	"UGC 3740"	2.92	0.01	35.2	0.1	67	3	21	r
501	"UGC 3740"	2.94	0.01	35.5	0.1	65	3	21	r
502	"UGC 3740"	2.97	0.01	35.8	0.1	66	3	21	r
503	"UGC 3740"	3.01	0.01	36.3	0.1	63	2	21	r
504	"UGC 3740"	3.02	0.03	36.4	0.4	57	4	21	a
505	"UGC 3740"	3.03	0.01	36.5	0.1	62	3	21	r
506	"UGC 3740"	3.06	0.01	36.9	0.1	63	4	21	r
507	"UGC 3740"	3.09	0.01	37.3	0.1	68	3	21	r
508	"UGC 3740"	3.12	0.01	37.6	0.1	66	2	21	r
510	"UGC 3740"	3.14	0.01	37.9	0.1	63	3	21	r
509	"UGC 3740"	3.14	0.03	37.9	0.4	57	4	21	a
511	"UGC 3740"	3.17	0.01	38.2	0.1	68	2	21	r
512	"UGC 3740"	3.2	0.01	38.6	0.1	69	3	21	r
513	"UGC 3740"	3.23	0.01	39.0	0.1	73	2	21	r
514	"UGC 3740"	3.24	0.03	39.1	0.4	57	3	21	a
515	"UGC 3740"	3.25	0.01	39.2	0.1	71	3	21	r
516	"UGC 3740"	3.28	0.01	39.6	0.1	69	3	21	r
517	"UGC 3740"	3.31	0.01	39.9	0.1	73	3	21	r
518	"UGC 3740"	3.34	0.03	40.3	0.4	65	5	21	a
519	"UGC 3740"	3.34	0.01	40.3	0.1	73	3	21	r
520	"UGC 3740"	3.38	0.01	40.8	0.1	75	2	21	r
521	"UGC 3740"	3.41	0.01	41.1	0.1	72	3	21	r
522	"UGC 3740"	3.42	0.03	41.3	0.4	56	3	21	a
523	"UGC 3740"	3.44	0.01	41.5	0.1	68	3	21	r
524	"UGC 3740"	3.49	0.01	42.1	0.1	69	2	21	r
525	"UGC 3740"	3.5	0.02	42.2	0.2	54	4	21	a
526	"UGC 3740"	3.53	0.01	42.6	0.1	67	4	21	r
527	"UGC 3740"	3.56	0.02	42.9	0.2	63	4	21	a
528	"UGC 3740"	3.57	0.01	43.1	0.1	73	4	21	r
529	"UGC 3740"	3.62	0.02	43.7	0.2	75	3	21	r
530	"UGC 3740"	3.66	0.02	44.1	0.2	59	3	21	a
531	"UGC 3740"	3.67	0.02	44.3	0.2	73	5	21	r
533	"UGC 3740"	3.74	0.01	45.1	0.1	72	4	21	r
532	"UGC 3740"	3.74	0.03	45.1	0.4	59	5	21	a
534	"UGC 3740"	3.79	0.02	45.7	0.2	79	3	21	r
535	"UGC 3740"	3.85	0.01	46.4	0.1	79	3	21	r
536	"UGC 3740"	3.86	0.04	46.6	0.5	63	4	21	a
537	"UGC 3740"	3.9	0.02	47.0	0.2	79	3	21	r
538	"UGC 3740"	3.95	0.02	47.6	0.2	77	4	21	r
539	"UGC 3740"	3.99	0.04	48.1	0.5	63	4	21	a
540	"UGC 3740"	4.02	0.02	48.5	0.2	75	4	21	r
541	"UGC 3740"	4.08	0.01	49.2	0.1	78	4	21	r
542	"UGC 3740"	4.13	0.04	49.8	0.5	63	4	21	a
543	"UGC 3740"	4.13	0.02	49.8	0.2	75	4	21	r
544	"UGC 3740"	4.21	0.03	50.8	0.4	73	4	21	r
545	"UGC 3740"	4.23	0.03	51.0	0.4	66	3	21	a
546	"UGC 3740"	4.3	0.03	51.9	0.4	81	4	21	r
547	"UGC 3740"	4.34	0.03	52.4	0.4	64	2	21	a
548	"UGC 3740"	4.38	0.03	52.8	0.4	79	4	21	r
549	"UGC 3740"	4.45	0.03	53.7	0.4	65	3	21	a
550	"UGC 3740"	4.5	0.02	54.3	0.2	79	4	21	r
551	"UGC 3740"	4.55	0.03	54.9	0.4	74	4	21	a
552	"UGC 3740"	4.59	0.03	55.4	0.4	87	4	21	r
553	"UGC 3740"	4.66	0.03	56.2	0.4	71	3	21	a
554	"UGC 3740"	4.69	0.03	56.6	0.4	112	4	21	r
555	"UGC 3740"	4.78	0.03	57.7	0.4	102	6	21	r
556	"UGC 3740"	4.8	0.04	57.9	0.5	67	3	21	a
557	"UGC 3740"	4.88	0.03	58.9	0.4	112	5	21	r
558	"UGC 3740"	4.93	0.04	59.5	0.5	66	4	21	a
559	"UGC 3740"	4.98	0.03	60.1	0.4	115	5	21	r
560	"UGC 3740"	5.09	0.03	61.4	0.4	117	5	21	r
561	"UGC 3740"	5.1	0.05	61.5	0.6	71	3	21	a
562	"UGC 3740"	5.21	0.04	62.8	0.5	130	3	21	r
563	"UGC 3740"	5.26	0.05	63.4	0.6	76	3	21	a
564	"UGC 3740"	5.38	0.07	64.9	0.8	127	4	21	r
565	"UGC 3740"	5.39	0.03	65.0	0.4	70	2	21	a
566	"UGC 3740"	5.49	0.03	66.2	0.4	78	3	21	a
567	"UGC 3740"	5.59	0.03	67.4	0.4	78	3	21	a
568	"UGC 3740"	5.72	0.03	69.0	0.4	82	3	21	a
569	"UGC 3740"	5.76	0.23	69.5	2.8	102	11	16	r
570	"UGC 3740"	5.83	0.03	70.3	0.4	85	3	21	a
571	"UGC 3740"	5.96	0.03	71.9	0.4	83	3	21	a
572	"UGC 3740"	6.08	0.05	73.3	0.6	86	3	21	a
573	"UGC 3740"	6.27	0.06	75.6	0.7	79	4	21	a
574	"UGC 3740"	6.55	0.1	79.0	1.2	87	4	21	a
575	"UGC 3740"	6.81	0.09	82.1	1.1	89	5	21	a
576	"UGC 3740"	7.09	0.07	85.5	0.8	83	4	21	a
577	"UGC 3740"	7.33	0.08	88.4	1.0	86	4	21	a
578	"UGC 3740"	7.55	0.07	91.1	0.8	93	6	21	a
579	"UGC 3740"	7.78	0.06	93.8	0.7	96	5	21	a
580	"UGC 3740"	7.99	0.07	96.4	0.8	79	4	21	a
581	"UGC 3740"	8.2	0.06	98.9	0.7	78	4	21	a
582	"UGC 3740"	8.48	0.13	102.3	1.6	95	5	21	a
583	"UGC 3740"	9.1	0.32	109.8	3.9	87	6	16	a
401	"UGC 3826"	0.7	0.04	5.6	0.3	51	11	2	r
402	"UGC 3826"	0.75	0.07	6.0	0.6	-22	19	2	a
403	"UGC 3826"	0.91	0.05	7.3	0.4	49	22	2	r
404	"UGC 3826"	1.06	0.03	8.5	0.2	5	2	2	r
405	"UGC 3826"	1.27	0.07	10.2	0.6	-9	20	3	a
406	"UGC 3826"	1.28	0.05	10.3	0.4	40	8	3	r
407	"UGC 3826"	1.52	0.03	12.2	0.2	29	9	3	a
408	"UGC 3826"	1.57	0.05	12.6	0.4	72	7	3	r
409	"UGC 3826"	1.64	0.0	13.2	0.0	18	31	1	r
410	"UGC 3826"	1.72	0.0	13.8	0.0	-25	31	1	a
411	"UGC 3826"	1.91	0.05	15.3	0.4	33	18	6	a
412	"UGC 3826"	1.94	0.05	15.6	0.4	42	21	3	r
413	"UGC 3826"	2.07	0.05	16.6	0.4	27	31	3	r
414	"UGC 3826"	2.08	0.06	16.7	0.5	10	16	3	a
415	"UGC 3826"	2.28	0.0	18.3	0.0	20	31	1	r
416	"UGC 3826"	2.3	0.0	18.5	0.0	-11	31	1	a
417	"UGC 3826"	2.53	0.04	20.3	0.3	4	13	4	r
418	"UGC 3826"	2.54	0.07	20.4	0.6	30	11	4	a
419	"UGC 3826"	3.07	0.3	24.6	2.4	43	8	24	r
420	"UGC 3826"	3.16	0.36	25.4	2.9	70	6	24	a
421	"UGC 3826"	4.05	0.27	32.5	2.2	72	4	24	r
422	"UGC 3826"	4.82	0.13	38.7	1.0	54	7	24	r
423	"UGC 3826"	5.04	0.73	40.5	5.9	65	8	24	a
424	"UGC 3826"	5.67	0.49	45.5	3.9	57	6	24	r
425	"UGC 3826"	6.34	0.13	50.9	1.0	53	7	24	a
426	"UGC 3826"	7.07	0.31	56.7	2.5	79	8	24	a
427	"UGC 3826"	7.4	0.34	59.4	2.7	73	5	23	r
428	"UGC 3826"	8.83	1.5	70.9	12.0	69	5	24	a
429	"UGC 3826"	11.71	0.16	94.0	1.3	65	4	20	a
584	"UGC 3876"	0.16	0.04	2.3	0.6	33	7	2	a
585	"UGC 3876"	0.16	0.04	2.3	0.6	20	16	3	r
586	"UGC 3876"	0.26	0.0	3.7	0.0	28	17	1	a
587	"UGC 3876"	0.3	0.0	4.3	0.0	13	17	1	r
588	"UGC 3876"	0.38	0.0	5.4	0.0	21	17	1	r
589	"UGC 3876"	0.4	0.02	5.7	0.3	43	8	3	a
590	"UGC 3876"	0.49	0.0	7.0	0.0	49	17	1	r
