recno	HRS	r	s_r	rang	s_rang	v	s_v	Nbins	side
150	66	3.32	0.01	40.2	0.1	156	1	24	a
151	66	3.34	0.04	40.5	0.4	159	2	24	r
152	66	3.36	0.02	40.8	0.2	151	2	24	a
153	66	3.41	0.02	41.4	0.2	155	2	24	a
154	66	3.47	0.02	42.1	0.2	157	1	24	a
155	66	3.48	0.05	42.2	0.6	162	1	24	r
156	66	3.52	0.01	42.7	0.2	157	2	24	a
157	66	3.56	0.02	43.2	0.2	162	1	24	a
158	66	3.61	0.01	43.8	0.2	156	2	24	a
159	66	3.64	0.04	44.2	0.5	163	2	24	r
160	66	3.68	0.02	44.6	0.3	160	1	24	a
161	66	3.74	0.02	45.4	0.3	164	1	24	a
162	66	3.8	0.05	46.1	0.6	163	3	24	r
163	66	3.82	0.02	46.3	0.3	169	2	24	a
164	66	3.88	0.02	47.1	0.2	168	1	24	a
165	66	3.96	0.02	48.1	0.3	166	1	24	a
166	66	4.02	0.08	48.8	1.0	168	2	24	r
167	66	4.06	0.03	49.2	0.4	171	1	24	a
168	66	4.16	0.03	50.4	0.4	171	2	24	a
169	66	4.32	0.07	52.4	0.9	168	2	24	a
170	66	4.47	0.26	54.2	3.2	165	2	20	r
171	66	4.54	0.09	55.1	1.1	174	2	24	a
172	66	5.14	0.35	62.3	4.2	179	4	19	a
173	67	0.08	0.0	1.0	0.0	19	22	1	r
174	67	0.11	0.0	1.3	0.0	-9	22	1	a
175	67	0.16	0.0	1.9	0.0	10	22	1	r
176	67	0.18	0.0	2.2	0.0	-21	22	1	a
177	67	0.29	0.03	3.5	0.4	2	3	4	a
178	67	0.3	0.02	3.6	0.3	-1	4	3	r
179	67	0.38	0.02	4.6	0.2	9	6	2	a
180	67	0.46	0.0	5.6	0.0	15	22	2	r
181	67	0.48	0.02	5.8	0.3	17	3	4	a
182	67	0.54	0.01	6.6	0.1	10	9	3	r
183	67	0.56	0.03	6.8	0.3	17	3	5	a
184	67	0.63	0.03	7.6	0.3	9	4	4	a
185	67	0.68	0.0	8.2	0.0	38	22	1	r
186	67	0.69	0.01	8.4	0.1	25	7	4	r
187	67	0.7	0.02	8.5	0.3	31	5	4	a
188	67	0.81	0.02	9.8	0.2	40	7	5	a
189	67	0.82	0.03	9.9	0.4	32	3	5	r
190	67	0.9	0.03	10.9	0.4	33	0	5	r
191	67	0.91	0.02	11.0	0.2	37	4	7	a
192	67	0.97	0.02	11.8	0.3	41	2	6	r
193	67	0.99	0.02	12.0	0.3	48	2	13	a
194	67	1.02	0.04	12.3	0.4	48	1	22	a
195	67	1.08	0.08	13.1	1.0	43	2	22	r
196	67	1.12	0.03	13.6	0.4	51	2	22	a
197	67	1.22	0.03	14.9	0.4	50	1	22	a
198	67	1.29	0.05	15.6	0.6	50	1	22	r
199	67	1.32	0.03	16.0	0.3	51	1	22	a
200	67	1.45	0.04	17.6	0.4	55	2	22	a
201	67	1.47	0.05	17.8	0.7	58	2	22	r
202	67	1.57	0.04	19.1	0.4	63	3	22	a
203	67	1.69	0.07	20.5	0.9	64	2	22	r
204	67	1.7	0.04	20.6	0.4	58	2	22	a
205	67	1.83	0.04	22.3	0.5	57	2	22	a
206	67	1.96	0.09	23.8	1.1	71	2	22	r
207	67	1.98	0.05	24.0	0.6	61	2	22	a
208	67	2.13	0.05	25.8	0.6	70	2	22	a
209	67	2.35	0.09	28.6	1.1	79	2	22	a
210	67	2.45	0.18	29.7	2.2	76	2	20	r
211	67	2.66	0.07	32.3	0.9	85	2	22	a
212	67	2.95	0.15	35.8	1.8	85	2	22	a
213	68	0.05	0.0	0.6	0.1	51	0	2	r
214	68	0.06	0.03	0.8	0.3	-11	5	3	a
215	68	0.13	0.03	1.5	0.3	74	8	7	r
216	68	0.14	0.02	1.6	0.3	31	9	6	a
217	68	0.21	0.01	2.5	0.1	38	7	6	a
218	68	0.22	0.03	2.6	0.3	71	10	11	r
219	68	0.29	0.03	3.5	0.3	93	12	11	a
220	68	0.3	0.02	3.7	0.3	73	10	11	r
221	68	0.39	0.08	4.7	0.9	89	9	17	a
222	68	0.42	0.09	5.0	1.1	87	6	25	r
223	70	0.13	0.0	1.6	0.0	3	4	3	a
224	70	0.13	0.02	1.6	0.3	0	4	3	r
225	70	0.24	0.01	2.9	0.1	5	5	3	r
226	70	0.24	0.0	2.9	0.0	37	8	1	a
227	70	0.28	0.02	3.3	0.2	26	8	5	a
228	70	0.3	0.03	3.6	0.3	9	2	3	r
229	70	0.38	0.03	4.6	0.4	17	3	5	a
230	70	0.4	0.02	4.8	0.3	14	3	5	r
231	70	0.46	0.03	5.6	0.3	37	3	7	r
232	70	0.47	0.02	5.8	0.2	18	5	4	a
233	70	0.56	0.03	6.8	0.3	25	5	6	a
234	70	0.56	0.01	6.8	0.2	39	5	7	r
235	70	0.63	0.02	7.6	0.2	40	6	6	a
236	70	0.64	0.02	7.8	0.2	38	4	7	r
237	70	0.72	0.06	8.7	0.8	44	2	23	r
238	70	0.75	0.08	9.1	1.0	40	2	23	a
239	70	0.9	0.05	10.9	0.5	60	3	23	r
240	70	1.02	0.08	12.4	1.0	64	3	23	a
241	70	1.04	0.04	12.6	0.5	62	3	23	r
242	70	1.17	0.04	14.3	0.5	70	3	23	r
243	70	1.28	0.07	15.5	0.8	80	3	23	a
244	70	1.32	0.05	16.0	0.6	76	2	23	r
245	70	1.48	0.04	17.9	0.5	83	2	23	r
246	70	1.56	0.1	19.0	1.3	90	3	23	a
247	70	1.62	0.04	19.6	0.5	85	2	23	r
248	70	1.75	0.04	21.3	0.5	89	2	23	r
249	70	1.9	0.04	23.1	0.5	98	3	23	r
250	70	1.96	0.14	23.8	1.7	98	4	23	a
251	70	2.06	0.04	25.0	0.5	99	2	23	r
252	70	2.27	0.07	27.5	0.8	109	1	23	r
253	70	2.47	0.24	30.0	2.9	107	3	22	a
254	70	2.51	0.07	30.4	0.9	108	2	23	r
255	70	2.81	0.12	34.1	1.5	112	3	22	r
256	72	0.09	0.0	1.1	0.0	-4	9	1	r
257	72	0.13	0.02	1.6	0.2	1	0	2	a
258	72	0.2	0.03	2.4	0.3	5	0	2	r
259	72	0.2	0.0	2.4	0.0	5	0	2	a
260	72	0.28	0.02	3.4	0.3	0	0	4	r
261	72	0.3	0.03	3.7	0.3	10	0	4	a
262	72	0.38	0.02	4.6	0.2	12	2	4	a
263	72	0.38	0.03	4.6	0.3	11	1	5	r
264	72	0.45	0.02	5.5	0.2	19	1	4	r
265	72	0.5	0.01	6.1	0.1	23	4	4	a
266	72	0.54	0.01	6.6	0.1	30	4	3	r
267	72	0.56	0.03	6.8	0.4	22	4	4	a
268	72	0.62	0.02	7.6	0.3	40	3	7	r
269	72	0.66	0.0	7.9	0.0	35	3	2	a
270	72	0.71	0.01	8.6	0.1	31	4	5	a
271	72	0.72	0.02	8.8	0.3	57	6	2	r
272	72	0.8	0.0	9.7	0.0	23	9	1	a
273	72	0.8	0.01	9.7	0.2	53	6	5	r
274	72	0.95	0.11	11.5	1.4	63	3	17	r
275	72	1.09	0.18	13.2	2.2	52	5	17	a
276	72	1.36	0.13	16.5	1.5	93	2	17	r
277	72	1.79	0.13	21.7	1.6	106	3	17	r
278	72	1.86	0.29	22.6	3.5	91	5	17	a
279	72	2.29	0.17	27.7	2.1	125	5	17	r
280	72	3.07	0.51	37.3	6.2	165	9	15	a
281	72	3.42	0.64	41.5	7.8	158	7	13	r
282	74	0.39	0.0	4.7	0.0	90	15	1	r
283	74	0.42	0.0	5.1	0.0	144	15	1	a
284	74	0.47	0.02	5.7	0.3	150	14	2	r
285	74	0.47	0.03	5.7	0.4	142	7	3	a
286	74	0.54	0.02	6.6	0.2	154	11	4	r
287	74	0.58	0.01	7.1	0.1	153	9	4	a
288	74	0.64	0.02	7.8	0.3	149	6	8	a
289	74	0.66	0.02	8.0	0.3	148	5	7	r
290	74	0.73	0.03	8.8	0.3	146	8	11	a
291	74	0.73	0.01	8.9	0.1	164	15	7	r
292	74	0.8	0.02	9.7	0.3	145	6	14	a
293	74	0.81	0.03	9.9	0.3	152	7	9	r
294	74	0.89	0.02	10.7	0.2	158	12	11	r
295	74	0.9	0.02	10.9	0.3	167	3	16	a
296	74	0.98	0.02	11.9	0.3	171	5	17	r
297	74	0.99	0.02	12.0	0.3	166	5	17	a
298	74	0.99	0.02	12.0	0.3	168	5	17	r
299	74	0.99	0.02	12.0	0.3	167	5	17	a
300	74	1.06	0.02	12.8	0.2	169	4	17	a
301	74	1.08	0.03	13.1	0.4	184	5	17	r
302	74	1.12	0.02	13.6	0.2	181	3	17	a
303	74	1.16	0.03	14.1	0.3	191	6	17	r
304	74	1.19	0.02	14.4	0.3	175	4	17	a
305	74	1.26	0.02	15.3	0.2	184	3	17	a
306	74	1.26	0.03	15.3	0.3	187	6	17	r
307	74	1.31	0.02	16.0	0.2	178	4	17	a
308	74	1.34	0.02	16.2	0.2	191	7	17	r
309	74	1.39	0.02	16.8	0.3	179	6	17	a
310	74	1.41	0.02	17.2	0.3	197	6	17	r
311	74	1.45	0.02	17.6	0.2	193	4	17	a
312	74	1.49	0.02	18.0	0.2	191	5	17	r
313	74	1.53	0.03	18.5	0.3	181	5	17	a
314	74	1.63	0.02	19.8	0.3	181	4	17	a
315	74	1.63	0.06	19.8	0.8	192	9	17	r
316	74	1.74	0.04	21.2	0.5	177	6	17	a
317	74	1.86	0.08	22.6	0.9	177	7	17	r
318	74	1.9	0.04	23.0	0.5	198	3	17	a
319	74	2.04	0.03	24.7	0.4	197	6	17	a
320	74	2.14	0.09	26.0	1.1	182	8	17	r
321	74	2.16	0.04	26.2	0.5	192	4	17	a
322	74	2.33	0.06	28.2	0.7	193	5	17	a
323	74	2.57	0.14	31.1	1.7	174	8	17	r
324	74	2.64	0.15	32.1	1.8	188	5	17	a
325	74	3.06	0.21	37.1	2.6	159	7	14	r
326	74	3.22	0.25	39.1	3.1	174	9	15	a
327	76	0.12	0.0	1.4	0.0	13	2	1	r
328	76	0.13	0.01	1.5	0.1	18	5	2	a
329	76	0.22	0.02	2.7	0.3	17	3	3	a
330	76	0.31	0.01	3.7	0.2	17	2	4	a
331	76	0.36	0.0	4.3	0.0	20	2	1	r
332	76	0.41	0.01	5.0	0.1	9	2	3	a
333	76	0.45	0.02	5.5	0.2	29	1	2	r
334	76	0.47	0.03	5.7	0.3	36	9	2	a
335	76	0.57	0.0	6.9	0.0	11	2	1	r
336	76	0.58	0.02	7.0	0.3	49	5	4	a
337	76	0.65	0.02	7.9	0.3	17	0	2	a
338	76	0.73	0.01	8.8	0.1	54	1	3	a
339	76	0.75	0.0	9.1	0.0	52	2	1	r
340	76	0.78	0.0	9.5	0.0	37	2	1	r
341	76	0.82	0.03	9.9	0.3	33	15	3	a
342	76	0.91	0.02	11.0	0.2	51	9	2	a
343	76	0.93	0.0	11.3	0.0	39	2	1	r
344	76	1.41	0.47	17.1	5.7	73	4	18	a
345	76	3.13	0.16	38.0	2.0	78	2	18	a
346	76	3.5	1.04	42.5	12.7	63	2	16	r
347	76	3.63	0.19	44.0	2.3	75	2	16	a
348	77	0.14	0.0	1.7	0.0	216	22	1	a
349	77	0.34	0.0	4.1	0.0	208	22	1	a
350	77	0.34	0.0	4.2	0.0	237	22	1	a
351	77	0.36	0.0	4.3	0.0	208	22	1	r
352	77	0.47	0.02	5.7	0.2	208	12	5	a
353	77	0.49	0.02	6.0	0.2	207	2	2	r
354	77	0.54	0.01	6.6	0.2	221	8	5	a
355	77	0.55	0.02	6.7	0.2	197	7	3	r
356	77	0.64	0.03	7.8	0.3	219	5	8	a
357	77	0.65	0.02	7.8	0.3	220	5	6	r
358	77	0.73	0.02	8.9	0.3	218	5	11	a
359	77	0.74	0.03	8.9	0.3	205	3	9	r
360	77	0.81	0.03	9.9	0.3	211	3	15	a
361	77	0.82	0.02	10.0	0.3	218	7	8	r
362	77	0.89	0.03	10.8	0.3	220	7	12	r
363	77	0.91	0.02	11.0	0.3	218	4	13	a
364	77	0.98	0.03	11.9	0.3	222	3	18	a
365	77	1.0	0.02	12.1	0.3	224	4	14	r
366	77	1.07	0.03	13.0	0.3	221	3	24	a
367	77	1.08	0.02	13.2	0.3	227	4	16	r
368	77	1.15	0.02	14.0	0.3	231	2	23	a
369	77	1.17	0.03	14.2	0.4	222	2	23	r
370	77	1.23	0.03	15.0	0.3	233	3	23	a
371	77	1.28	0.03	15.6	0.3	229	3	23	r
372	77	1.31	0.02	15.9	0.3	236	3	23	a
373	77	1.38	0.02	16.8	0.3	235	4	23	a
374	77	1.38	0.03	16.8	0.4	230	3	23	r
375	77	1.46	0.02	17.7	0.2	236	2	23	a
376	77	1.49	0.03	18.0	0.4	235	3	23	r
377	77	1.53	0.02	18.5	0.2	243	3	23	a
378	77	1.59	0.02	19.3	0.2	239	2	23	a
379	77	1.59	0.03	19.3	0.4	245	4	23	r
380	77	1.65	0.02	20.0	0.2	238	3	23	a
381	77	1.68	0.02	20.4	0.2	246	4	23	r
382	77	1.71	0.02	20.8	0.2	246	2	23	a
383	77	1.76	0.03	21.4	0.4	249	3	23	r
384	77	1.77	0.01	21.5	0.2	250	2	23	a
385	77	1.82	0.01	22.1	0.2	249	2	23	a
386	77	1.84	0.02	22.3	0.3	257	3	23	r
387	77	1.88	0.01	22.8	0.2	251	3	23	a
388	77	1.93	0.02	23.4	0.2	252	3	23	a
389	77	1.93	0.03	23.5	0.3	256	2	23	r
390	77	1.98	0.01	24.0	0.1	251	2	23	a
391	77	2.01	0.02	24.4	0.2	250	3	23	r
392	77	2.03	0.02	24.7	0.2	247	3	23	a
393	77	2.08	0.03	25.3	0.3	259	3	23	r
394	77	2.09	0.01	25.3	0.1	251	2	23	a
395	77	2.13	0.01	25.8	0.2	254	2	23	a
396	77	2.16	0.02	26.2	0.3	258	3	23	r
397	77	2.17	0.02	26.3	0.2	249	4	23	a
398	77	2.22	0.01	26.9	0.1	255	2	23	a
399	77	2.23	0.02	27.1	0.2	259	2	23	r
400	77	2.26	0.02	27.4	0.2	258	3	23	a
401	77	2.3	0.02	28.0	0.2	258	2	23	r
402	77	2.32	0.02	28.2	0.2	259	2	23	a
403	77	2.37	0.01	28.7	0.2	254	2	23	a
404	77	2.38	0.03	28.9	0.3	258	3	23	r
405	77	2.42	0.02	29.3	0.2	254	3	23	a
406	77	2.45	0.02	29.8	0.2	252	3	23	r
407	77	2.48	0.01	30.0	0.1	251	3	23	a
408	77	2.51	0.01	30.5	0.1	252	3	23	a
409	77	2.53	0.03	30.7	0.4	253	3	23	r
410	77	2.56	0.02	31.1	0.2	249	2	23	a
411	77	2.63	0.02	31.9	0.2	252	2	23	a
412	77	2.63	0.03	32.0	0.3	250	4	23	r
413	77	2.69	0.02	32.6	0.3	250	2	23	a
414	77	2.73	0.03	33.1	0.3	253	3	23	r
415	77	2.75	0.02	33.4	0.2	251	2	23	a
416	77	2.81	0.02	34.1	0.2	248	3	23	a
417	77	2.84	0.03	34.5	0.4	251	3	23	r
418	77	2.87	0.02	34.9	0.2	252	3	23	a
419	77	2.93	0.02	35.6	0.2	250	2	23	a
420	77	2.95	0.03	35.8	0.4	247	3	23	r
421	77	3.0	0.02	36.4	0.2	256	3	23	a
422	77	3.06	0.02	37.1	0.2	255	3	23	a
423	77	3.06	0.03	37.1	0.4	243	4	23	r
424	77	3.11	0.01	37.7	0.2	245	2	23	a
425	77	3.16	0.03	38.3	0.4	251	4	23	r
426	77	3.17	0.02	38.5	0.2	247	3	23	a
427	77	3.25	0.02	39.4	0.3	244	4	23	a
428	77	3.29	0.04	39.9	0.5	242	3	23	r
429	77	3.3	0.01	40.1	0.2	253	2	23	a
430	77	3.36	0.02	40.8	0.2	250	3	23	a
431	77	3.43	0.04	41.6	0.5	244	4	23	r
432	77	3.43	0.02	41.6	0.2	256	2	23	a
433	77	3.48	0.02	42.3	0.2	256	2	23	a
434	77	3.55	0.02	43.0	0.3	253	4	23	a
435	77	3.55	0.03	43.1	0.4	243	4	23	r
436	77	3.61	0.02	43.8	0.3	254	3	23	a
437	77	3.67	0.01	44.6	0.2	253	2	23	a
438	77	3.68	0.04	44.7	0.5	239	4	23	r
439	77	3.73	0.03	45.3	0.4	254	3	23	a
440	77	3.81	0.02	46.2	0.2	255	3	23	a
441	77	3.83	0.04	46.4	0.4	250	5	23	r
442	77	3.88	0.03	47.1	0.3	247	4	23	a
443	77	3.93	0.03	47.7	0.4	241	5	23	r
444	77	3.97	0.03	48.2	0.3	250	4	23	a
445	77	4.06	0.04	49.3	0.4	241	3	23	r
446	77	4.06	0.03	49.3	0.4	247	3	23	a
447	77	4.17	0.03	50.6	0.3	238	4	23	a
448	77	4.2	0.05	50.9	0.6	239	4	23	r
449	77	4.26	0.03	51.7	0.3	235	4	23	a
450	77	4.33	0.04	52.5	0.5	240	7	23	r
451	77	4.36	0.03	52.9	0.4	235	4	23	a
452	77	4.44	0.02	53.9	0.2	243	4	23	a
453	77	4.48	0.05	54.4	0.6	233	3	23	r
454	77	4.54	0.03	55.1	0.3	238	4	23	a
455	77	4.61	0.03	56.0	0.4	226	4	23	r
456	77	4.62	0.02	56.1	0.2	242	2	23	a
457	77	4.69	0.02	56.9	0.2	237	3	23	a
458	77	4.76	0.02	57.8	0.3	236	3	23	a
459	77	4.77	0.05	57.8	0.6	233	3	23	r
460	77	4.83	0.01	58.7	0.2	241	3	23	a
461	77	4.9	0.02	59.4	0.2	241	2	23	a
462	77	4.91	0.04	59.5	0.4	228	5	23	r
463	77	4.97	0.02	60.3	0.3	240	3	23	a
464	77	5.04	0.04	61.2	0.5	235	4	23	r
465	77	5.05	0.02	61.3	0.3	238	2	23	a
466	77	5.14	0.03	62.4	0.3	236	3	23	a
467	77	5.17	0.03	62.7	0.3	235	4	23	r
468	77	5.26	0.04	63.8	0.5	239	3	23	a
469	77	5.28	0.03	64.1	0.4	235	4	23	r
470	77	5.37	0.04	65.1	0.5	239	3	23	a
471	77	5.41	0.04	65.6	0.5	235	3	23	r
472	77	5.5	0.04	66.8	0.5	241	5	23	a
473	77	5.52	0.03	66.9	0.4	231	4	23	r
474	77	5.61	0.03	68.1	0.4	237	3	23	r
475	77	5.66	0.04	68.7	0.5	246	4	23	a
476	77	5.71	0.03	69.2	0.3	234	4	23	r
477	77	5.79	0.03	70.3	0.4	238	3	23	r
478	77	5.83	0.05	70.8	0.7	238	4	23	a
479	77	5.91	0.04	71.8	0.5	241	5	23	r
480	77	5.98	0.04	72.5	0.5	242	4	23	a
481	77	6.06	0.04	73.6	0.5	237	2	23	r
482	77	6.1	0.04	74.1	0.5	248	2	23	a
483	77	6.21	0.03	75.4	0.3	242	4	23	a
484	77	6.22	0.05	75.5	0.6	240	4	23	r
485	77	6.32	0.03	76.6	0.4	240	4	23	a
486	77	6.41	0.06	77.7	0.8	233	3	23	r
487	77	6.42	0.03	77.9	0.3	239	3	23	a
488	77	6.51	0.03	79.0	0.3	246	3	23	a
489	77	6.6	0.06	80.1	0.7	242	3	23	r
490	77	6.62	0.03	80.3	0.4	241	3	23	a
491	77	6.71	0.03	81.4	0.3	238	4	23	a
492	77	6.81	0.02	82.6	0.3	243	4	23	a
493	77	6.87	0.08	83.4	1.0	240	4	23	r
494	77	6.9	0.03	83.8	0.4	242	3	23	a
495	77	7.0	0.03	84.9	0.4	246	4	23	a
496	77	7.11	0.04	86.3	0.4	241	3	23	a
497	77	7.22	0.09	87.6	1.1	240	3	23	r
498	77	7.23	0.03	87.7	0.4	246	4	23	a
499	77	7.37	0.05	89.5	0.6	232	4	23	a
500	77	7.55	0.09	91.6	1.1	240	4	23	r
501	77	7.58	0.07	92.0	0.9	241	5	23	a
502	77	7.91	0.14	96.0	1.7	227	5	23	a
503	77	7.92	0.14	96.1	1.7	249	2	23	r
504	77	8.35	0.09	101.3	1.1	240	3	23	r
505	77	8.55	0.26	103.7	3.1	256	3	23	a
506	77	8.59	0.05	104.2	0.6	242	3	23	r
507	77	8.84	0.1	107.3	1.3	252	4	19	r
508	78	0.06	0.01	0.7	0.1	18	3	2	r
509	78	0.11	0.02	1.3	0.2	-9	8	2	a
510	78	0.16	0.01	2.0	0.1	17	1	4	r
511	78	0.23	0.02	2.7	0.3	9	6	4	a
512	78	0.23	0.01	2.8	0.1	28	8	2	r
513	78	0.3	0.01	3.7	0.2	32	5	5	r
514	78	0.3	0.02	3.7	0.2	24	3	7	a
515	78	0.38	0.03	4.7	0.3	24	5	8	r
516	78	0.39	0.03	4.8	0.4	17	4	6	a
517	78	0.46	0.02	5.6	0.3	18	3	4	r
518	78	0.48	0.02	5.8	0.2	26	3	9	a
519	78	0.55	0.03	6.7	0.3	29	4	9	r
520	78	0.56	0.02	6.8	0.3	28	4	10	a
521	78	0.64	0.02	7.8	0.2	38	2	10	a
522	78	0.65	0.02	7.8	0.3	27	9	7	r
523	78	0.72	0.02	8.8	0.3	30	3	11	a
524	78	0.72	0.02	8.8	0.3	37	4	11	r
525	78	0.82	0.02	10.0	0.3	31	4	7	a
526	78	0.83	0.02	10.0	0.3	26	5	13	r
527	78	0.9	0.06	10.9	0.7	31	3	25	r
528	78	0.97	0.12	11.8	1.4	31	3	25	a
529	78	1.16	0.08	14.1	0.9	28	2	25	r
530	78	1.38	0.12	16.8	1.5	35	2	25	a
531	78	1.44	0.09	17.5	1.1	29	2	25	r
532	78	1.72	0.07	20.8	0.9	41	2	25	a
533	78	1.92	0.06	23.3	0.8	45	2	25	a
534	78	1.99	0.27	24.2	3.3	33	3	25	r
535	78	2.1	0.04	25.5	0.5	50	2	25	a
536	78	2.24	0.04	27.2	0.4	47	3	25	a
537	78	2.4	0.06	29.1	0.7	50	2	25	a
538	78	2.59	0.05	31.4	0.6	53	3	25	a
539	78	2.69	0.12	32.6	1.5	53	3	25	r
540	78	2.81	0.08	34.1	1.0	47	2	25	a
541	78	3.1	0.09	37.7	1.0	61	3	25	a
542	78	3.18	0.21	38.6	2.5	62	2	21	r
543	78	3.41	0.14	41.4	1.7	58	3	23	a
544	79	0.14	0.0	1.7	0.0	-2	6	1	a
545	79	0.17	0.0	2.1	0.0	10	6	1	a
546	79	0.25	0.0	3.0	0.0	28	6	1	r
547	79	0.29	0.0	3.6	0.0	27	6	1	a
548	79	0.32	0.01	3.9	0.1	30	3	2	r
549	79	0.38	0.01	4.6	0.2	37	2	3	a
550	79	0.39	0.02	4.8	0.2	42	2	3	r
551	79	0.43	0.0	5.3	0.0	31	6	1	a
552	79	0.54	0.01	6.5	0.2	34	1	5	r
553	79	0.59	0.01	7.1	0.1	29	5	2	a
554	79	0.62	0.02	7.6	0.2	39	4	3	r
555	79	0.67	0.01	8.2	0.1	44	2	2	a
556	79	0.7	0.0	8.5	0.0	57	6	1	a
557	79	0.74	0.03	8.9	0.4	38	3	5	r
558	79	0.82	0.03	9.9	0.4	47	3	4	r
559	79	0.83	0.02	10.0	0.3	54	4	4	a
560	79	0.88	0.01	10.7	0.1	65	1	2	a
561	79	0.9	0.0	10.9	0.0	33	6	1	r
562	79	1.21	0.15	14.6	1.9	58	2	23	r
563	79	1.22	0.17	14.9	2.1	64	2	23	a
564	79	1.76	0.15	21.4	1.8	77	2	23	r
565	79	1.76	0.13	21.4	1.6	79	3	23	a
566	79	2.3	0.17	27.9	2.0	90	3	23	a
567	79	2.65	0.47	32.1	5.7	98	4	21	r
568	79	2.82	0.13	34.2	1.6	106	4	23	a
569	79	3.46	0.23	41.9	2.8	103	4	23	a
570	79	4.56	0.32	55.3	3.9	121	5	23	a
571	79	6.13	0.99	74.3	12.0	129	6	21	a
572	80	0.06	0.0	0.7	0.0	6	19	1	a
573	80	0.07	0.0	0.8	0.1	17	1	2	r
574	80	0.12	0.02	1.5	0.3	-22	3	3	a
575	80	0.13	0.01	1.6	0.2	17	6	2	r
576	80	0.21	0.02	2.6	0.3	12	10	5	r
577	80	0.23	0.01	2.8	0.1	9	5	3	a
578	80	0.26	0.0	3.2	0.0	32	19	1	a
579	80	0.3	0.02	3.7	0.3	22	1	2	r
580	80	0.37	0.02	4.5	0.2	15	5	4	a
581	80	0.48	0.01	5.8	0.1	19	7	2	r
582	80	0.56	0.0	6.8	0.0	11	19	1	a
583	80	0.64	0.01	7.8	0.1	7	19	2	r
584	80	0.67	0.0	8.2	0.0	30	10	2	a
585	80	0.76	0.0	9.2	0.0	35	19	1	r
586	80	0.82	0.03	9.9	0.4	10	4	3	r
587	80	0.92	0.02	11.1	0.2	-5	1	2	a
588	80	0.92	0.0	11.2	0.0	0	19	1	r
589	80	1.01	0.01	12.2	0.2	-19	6	3	r
590	80	1.05	0.0	12.7	0.0	-3	12	2	r
591	80	1.17	0.02	14.2	0.3	-3	6	2	r
592	80	1.23	0.02	14.9	0.2	-8	11	2	a
593	80	1.89	0.21	22.9	2.5	42	2	22	a
594	80	2.26	0.51	27.4	6.2	42	10	13	r
595	80	2.53	0.12	30.8	1.4	59	2	22	a
596	80	2.81	0.07	34.1	0.8	63	4	22	a
597	80	3.0	0.04	36.4	0.5	63	2	22	a
598	80	3.15	0.04	38.2	0.5	72	4	22	a
599	80	3.31	0.06	40.2	0.7	71	3	22	a
600	80	3.48	0.06	42.2	0.7	72	4	22	a
601	80	3.65	0.05	44.3	0.6	78	3	22	a
602	80	3.98	0.15	48.3	1.8	75	4	22	a
603	80	4.52	0.13	54.9	1.6	80	3	22	a
604	80	5.12	0.29	62.2	3.5	83	6	22	a
605	82	0.07	0.0	0.9	0.0	20	4	1	a
606	82	0.11	0.02	1.4	0.2	34	3	2	a
607	82	0.13	0.02	1.5	0.2	-1	4	2	r
608	82	0.2	0.02	2.4	0.2	41	2	6	a
609	82	0.22	0.02	2.7	0.2	28	8	4	r
610	82	0.31	0.02	3.7	0.3	47	2	10	a
611	82	0.33	0.02	4.0	0.2	55	8	4	r
612	82	0.38	0.02	4.7	0.3	59	4	11	a
613	82	0.4	0.0	4.9	0.0	44	13	2	r
614	82	0.53	0.04	6.5	0.5	66	2	23	a
615	82	0.71	0.05	8.6	0.6	74	3	23	a
616	82	0.75	0.2	9.1	2.4	86	3	23	r
617	82	1.03	0.18	12.5	2.1	64	3	22	a
618	83	0.03	0.0	0.4	0.0	-6	6	1	r
619	83	0.11	0.0	1.3	0.0	18	6	1	a
620	83	0.16	0.0	2.0	0.0	-8	6	1	r
621	83	0.19	0.0	2.3	0.0	7	6	1	a
622	83	0.29	0.02	3.6	0.2	12	1	4	r
623	83	0.34	0.0	4.1	0.0	25	6	1	a
624	83	0.38	0.02	4.6	0.3	13	6	3	a
625	83	0.42	0.0	5.0	0.1	14	0	2	r
626	83	0.46	0.0	5.6	0.0	31	6	1	a
627	83	0.47	0.04	5.7	0.5	27	4	2	r
628	83	0.55	0.0	6.7	0.0	35	6	1	r
629	83	0.59	0.01	7.1	0.1	32	5	3	a
630	83	0.65	0.01	7.9	0.2	34	6	3	r
631	83	0.67	0.01	8.2	0.1	37	2	2	a
632	83	0.71	0.01	8.6	0.1	39	5	2	r
633	83	0.72	0.01	8.7	0.1	41	6	3	a
634	83	0.98	0.26	11.9	3.1	59	5	9	r
635	83	1.12	0.38	13.6	4.6	61	4	23	a
636	84	0.48	0.0	5.9	0.0	153	5	1	a
637	84	0.51	0.0	6.2	0.0	184	5	1	r
638	84	0.66	0.0	8.1	0.0	156	5	1	a
639	84	0.87	0.08	10.6	1.0	167	3	18	a
640	84	1.07	0.05	13.0	0.6	176	3	18	a
641	84	1.22	0.22	14.8	2.7	178	4	18	r
642	84	1.24	0.06	15.0	0.7	184	2	18	a
643	84	1.41	0.04	17.1	0.5	182	3	18	a
644	84	1.54	0.04	18.7	0.5	183	3	18	a
645	84	1.66	0.04	20.2	0.5	186	2	18	a
646	84	1.8	0.18	21.8	2.1	186	5	11	r
647	84	1.81	0.03	21.9	0.4	182	4	18	a
