caliper,dm_threshold,min_pts,rmin_kpc,tng_gal,sparc_gal,massmatch_pairs,massmatch_mean_abs_dlogM,un_n_tng,un_n_sparc,un_mw_p,un_cliffs_delta,un_median_tng,un_median_sparc,un_median_diff,un_median_ratio,mm_n_tng,mm_n_sparc,mm_mw_p,mm_cliffs_delta,mm_median_tng,mm_median_sparc,mm_median_diff,mm_median_ratio,mm_score
0.05,-10.6,10,2.0,8310,50,34,0.0040512786079035,8310,50,0.0177946231086265,0.1940938628158843,0.0555908821286975,0.038969606865643,0.0166212752630545,1.4265189361637742,34,34,0.0026022300878557,0.42560553633218,0.0594823752836717,0.0322239207860857,0.027258454497586,1.845907444923841,1.1000431821300325
0.05,-10.5,10,2.0,10028,55,40,0.0026169564255938,10028,55,0.0345740447800097,0.1649816876382492,0.0508013936506978,0.0384778678881442,0.0123235257625535,1.3202756919478555,40,40,0.0151120595067359,0.3162499999999999,0.0514585985337048,0.0326113589754981,0.0188472395582067,1.5779348101490394,0.5757888940942548
0.05,-10.4,10,2.0,11522,59,45,0.0019845360135488,11522,59,0.0932720317329321,0.1264846321995651,0.0473805689351703,0.0370410791718402,0.01033948976333,1.279135759391978,45,45,0.0444994556417364,0.2464197530864198,0.0489038749735095,0.0315136731798897,0.0173902017936197,1.551830365643228,0.3330721014994337
0.1,-10.7,10,0.5,6540,50,30,0.0099936486477152,6540,50,0.1200188829953405,0.1274373088685014,0.0605272404144669,0.0477505123352961,0.0127767280791707,1.2675725862259806,30,30,0.0281286698972873,0.3311111111111111,0.0671240269834081,0.0375834942850138,0.0295405326983942,1.7859975039674083,0.5135039327340286
0.1,-10.6,10,2.0,8310,50,35,0.0061957980871545,8310,50,0.0177946231086265,0.1940938628158843,0.0555908821286975,0.038969606865643,0.0166212752630545,1.4265189361637742,35,35,0.0115563437997429,0.3518367346938775,0.0590725109525065,0.0329341683922816,0.0261383425602248,1.793654245308062,0.6815709261319169
0.1,-10.5,10,2.0,10028,55,42,0.0064773928938032,10028,55,0.0345740447800097,0.1649816876382492,0.0508013936506978,0.0384778678881442,0.0123235257625535,1.3202756919478555,42,42,0.0409362612747378,0.2596371882086168,0.05070171744849,0.0334987928009656,0.0172029246475243,1.513538644503884,0.360348330760719
0.1,-10.4,10,2.0,11522,59,46,0.0036611648041605,11522,59,0.0932720317329321,0.1264846321995651,0.0473805689351703,0.0370410791718402,0.01033948976333,1.279135759391978,46,46,0.1085522836958757,0.1947069943289225,0.0440567075325772,0.0322239207860857,0.0118327867464915,1.3672050594042229,0.1877678386768378
0.2,-10.7,10,1.0,6539,48,31,0.021212639883256,6539,48,0.0332459939984519,0.178091706173217,0.060516845835383,0.0445639007006844,0.0159529451346985,1.3579791015568234,31,31,0.0270818484860973,0.3277835587929241,0.0705493088439291,0.0378299983115514,0.0327193105323777,1.864903832744473,0.513742283279176
0.2,-10.6,10,1.0,8313,58,41,0.0212297590229702,8313,58,0.0139502068863301,0.187043973502242,0.0553699664844006,0.041800064708422,0.0135699017759786,1.3246382959126013,41,41,0.0180362341493178,0.303985722784057,0.0564563366490495,0.0351448661684553,0.0213114704805942,1.606389291068708,0.530106759733162
0.2,-10.5,10,2.0,10028,55,43,0.0106704610997476,10028,55,0.0345740447800097,0.1649816876382492,0.0508013936506978,0.0384778678881442,0.0123235257625535,1.3202756919478555,43,43,0.0825575600219219,0.2179556517036236,0.0501631863004158,0.0340634172096497,0.016099769090766,1.4726410445457367,0.2360989669394559
0.2,-10.4,10,2.0,11522,59,47,0.007557295888102,11522,59,0.0932720317329321,0.1264846321995651,0.0473805689351703,0.0370410791718402,0.01033948976333,1.279135759391978,47,47,0.188251016727576,0.1579900407424173,0.039209540091645,0.0329341683922816,0.0062753716993633,1.1905428922515031,0.1145842787085874
0.3,-10.8,10,1.0,4806,45,30,0.0422192619034781,4806,45,0.012227700133237,0.2166736024413926,0.0679388070958839,0.0462338458166073,0.0217049612792766,1.4694604330639556,30,30,0.0060971423451739,0.4133333333333333,0.073312809255185,0.0411539170711783,0.0321588921840067,1.7814296784528658,0.9154811151679666
0.3,-10.7,10,1.0,6539,48,33,0.0377601755073752,6539,48,0.0332459939984519,0.178091706173217,0.060516845835383,0.0445639007006844,0.0159529451346985,1.3579791015568234,33,33,0.0153580455068067,0.3480257116620753,0.0705493088439291,0.0378299983115514,0.0327193105323777,1.864903832744473,0.6312017216839834
0.3,-10.6,10,1.0,8313,58,43,0.0339212444304773,8313,58,0.0139502068863301,0.187043973502242,0.0553699664844006,0.041800064708422,0.0135699017759786,1.3246382959126013,43,43,0.0113855029258332,0.3174689021092483,0.0590725109525065,0.0362906112976126,0.0227818996548938,1.6277629072727304,0.6170477270460237
0.3,-10.5,10,2.0,10028,55,45,0.0232621765932073,10028,55,0.0345740447800097,0.1649816876382492,0.0508013936506978,0.0384778678881442,0.0123235257625535,1.3202756919478555,45,45,0.0517993184165591,0.2385185185185185,0.0512402485965643,0.0340634172096497,0.0171768313869145,1.5042603706256623,0.3066575240173473
0.3,-10.4,15,0.0,5877,42,30,0.0526685605410116,5877,42,0.3591713195438433,0.0819903254819027,0.0622151599985267,0.0536245982611322,0.0085905617373944,1.160198155621821,30,30,0.051877131053959,0.2933333333333332,0.0711636216628037,0.0482681037156338,0.0228955179471699,1.4743405310069004,0.3769403878787186
