caliper,dm_threshold,min_pts,rmin_kpc,pairs,median_ratio,ratio_ci95_lo,ratio_ci95_hi,ratio_boot_sd,ratio_p10,ratio_p90,mean_abs_dlogM,note
0.2,-10.7,15,2.0,14,4.128387912780127,2.1508495499295566,6.408329971112098,1.1244824834323335,2.7299785664789216,5.636910872671547,0.01212763811202855,top_mm_score_or_pairfloor
0.1,-10.7,15,2.0,13,4.037298425133001,1.8703975564511666,7.2516453959854905,1.430810450414106,2.2744772192109717,6.0466790077842045,0.005248902221325125,top_mm_score_or_pairfloor
0.3,-10.7,15,2.0,17,3.7435275243854402,2.0325974299190537,5.705143673648422,0.8621207970880785,2.7862379706313227,4.772813419622086,0.06065621667242487,top_mm_score_or_pairfloor
0.05,-10.6,15,2.0,15,3.5832716773135878,1.7346948813662018,4.774086953360113,0.8725683976275747,2.1274817038528675,4.264152790709185,0.004200717197323911,top_mm_score_or_pairfloor
0.1,-10.6,15,2.0,15,3.5832716773135878,1.6435549207117146,4.63447621922523,0.8683436574470692,2.1274817038528675,4.264152790709185,0.004200717197323911,top_mm_score_or_pairfloor
0.05,-10.6,10,2.0,34,1.845907444923841,1.228775231141886,2.5637901343921,0.38267968780646017,1.4350447507412591,2.3368249976256212,0.004051278607903598,top_mm_score_or_pairfloor
