caliper,dm_threshold,min_pts,rmin_kpc,massmatch_pairs,massmatch_mean_abs_dlogM,mm_median_ratio,mm_cliffs_delta,mm_mw_p,mm_score
0.05,-10.6,15,2.0,15,0.0042007171973239,3.583271677313588,0.8222222222222222,0.0001356422628156,3.1800307562621293
0.1,-10.6,15,2.0,15,0.0042007171973239,3.583271677313588,0.8222222222222222,0.0001356422628156,3.1800307562621293
0.2,-10.7,15,2.0,14,0.0121276381120285,4.128387912780127,0.8673469387755102,0.0001033544367922,3.4569594326343207
0.3,-10.7,15,2.0,17,0.0606562166724248,3.74352752438544,0.8685121107266436,1.6665302916648478e-05,4.149913092678189
