dm_threshold,rmin_kpc,min_pts_per_gal,tng_lowres0_only,style,tng_n_points,sparc_n_points,tng_n_gal,sparc_n_gal,n_tng,n_sparc,mw_p,u_stat,cliffs_delta,median_tng,median_sparc,median_diff,median_ratio,median_diff_ci95,score
-10.6,0.0,5,False,pooled_points,158723,1400,15715,106,158723,1400,3.517682275510355e-143,154976862.0,0.39485466594543417,0.06174106566196613,-0.029135217487075593,0.09087628314904173,-2.119121495810166,,56.248525258738276
-10.5,0.0,8,False,pooled_points,155523,1355,12795,87,155523,1355,2.1225147907874792e-141,147386827.0,0.39879716892884676,0.06738914686453157,-0.023555577865659316,0.09094472473019088,-2.8608572988046013,,56.10005367504885
-10.6,0.5,2,False,pooled_points,169117,1417,19107,123,169117,1417,1.9271730407594037e-143,166879182.0,0.3927560116321569,0.06114993641047306,-0.028283783421681363,0.08943371983215442,-2.1620140240360364,,56.05220534104624
-10.3,2.0,2,False,pooled_points,210530,1450,20517,121,210530,1450,9.31648524652557e-144,211918352.0,0.38840628495897866,0.06930479535140233,-0.013803462826289525,0.08310825817769185,-5.020826746416644,,55.55404142652642
-10.5,1.0,5,False,pooled_points,179845,1393,16812,110,179845,1393,2.8900018310193353e-140,174305749.0,0.3915288743595251,0.06598310245963823,-0.0215350667744314,0.08751816923406963,-3.063984112553578,,54.63358748903272
-10.3,2.0,3,False,pooled_points,209704,1444,20104,118,209704,1444,2.1534941159216443e-141,209841993.0,0.3859529598929208,0.06922954545180726,-0.013463460909776792,0.08269300636158405,-5.142031897722129,,54.29078955188509
-10.6,0.5,5,False,pooled_points,158723,1359,15715,106,158723,1359,1.8574082432323338e-135,149871614.0,0.3896008140430709,0.06174106566196613,-0.02760017958267902,0.08934124524464515,-2.23698057750004,,52.49134336609494
-10.3,0.0,10,False,pooled_points,178814,1460,13042,80,178814,1460,4.000755551085823e-135,179528904.0,0.3753397691425282,0.07273056655388022,-0.011318172995387066,0.08404873954926728,-6.425998841290279,,50.444860988777826
-10.7,0.0,2,False,pooled_points,148657,1355,18275,119,148657,1355,9.939847739253578e-132,139469498.0,0.3847920894298713,0.055455672877331,-0.03443761456632721,0.08989328744365821,-1.61032271182787,,50.40877197377673
-10.7,0.0,3,False,pooled_points,146389,1347,17141,115,146389,1347,2.4374625329995687e-131,136587747.0,0.38536973999820257,0.05554899078501663,-0.03522723058106614,0.09077622136608277,-1.5768764637113708,,50.33432176306112
-10.4,0.5,8,False,pooled_points,178374,1420,14214,90,178374,1420,5.002262806065571e-133,174459526.0,0.37754180684136207,0.07009833227355067,-0.014705115717782213,0.08480344799133288,-4.766935100604751,,49.94909572442895
-10.3,1.0,8,False,pooled_points,200066,1424,15555,88,200066,1424,1.9243193118996605e-131,195802928.0,0.37456695470270085,0.07244729127637495,-0.007951745270881716,0.08039903654725666,-9.110866710188485,,48.96179024405771
-10.4,2.0,2,False,pooled_points,197419,1367,20219,121,197419,1367,1.6844258656524804e-129,186128032.0,0.379381251554604,0.06659947800003074,-0.01605646083232415,0.08265593883235489,-4.147830502345552,,48.854269844650695
-10.4,0.0,10,False,pooled_points,156290,1330,11613,75,156290,1330,2.640599833950997e-127,143593334.0,0.38159719472717235,0.0712980361684723,-0.017334792421254797,0.0886328285897271,-4.113002015590984,,48.301923204373104
-10.5,0.0,10,False,pooled_points,132277,1204,10060,69,132277,1204,1.1352787587265236e-122,110981338.0,0.3936994493358683,0.0692339902570307,-0.021200449325772475,0.09043443958280317,-3.2656850424800155,,48.00963899026543
-10.6,0.0,8,False,pooled_points,132189,1253,11288,82,132189,1253,5.05163227483786e-124,114961777.0,0.3881521679366233,0.06415292965461994,-0.027013262122391524,0.09116619177701146,-2.374867920947727,,47.85783027342197
-10.7,0.5,2,False,pooled_points,148657,1313,18275,118,148657,1313,9.514656788753284e-126,134847409.0,0.38172785093422457,0.055455672877331,-0.03385608141397789,0.08931175429130889,-1.6379826182257304,,47.724229311935076
-10.5,0.5,8,False,pooled_points,155523,1290,12795,83,155523,1290,2.499776075198317e-124,138711772.0,0.38279875550698717,0.06738914686453157,-0.0193982718818404,0.08678741874637197,-3.473976819946399,,47.31472963421252
-10.6,1.0,2,False,pooled_points,169115,1343,19107,121,169115,1343,5.885510484289333e-126,156440251.0,0.37759119135579655,0.06114993641047306,-0.023503752963804914,0.08465368937427797,-2.6017094591081755,,47.28582640119703
-10.4,2.0,3,False,pooled_points,196171,1355,19595,115,196171,1355,6.807298777329325e-126,182828836.0,0.375626675281286,0.06650459954948396,-0.014763222114893892,0.08126782166437785,-4.504748288138991,,47.01607352601991
-10.7,0.5,3,False,pooled_points,146389,1307,17141,115,146389,1307,2.7435499343853572e-124,132052223.0,0.3803578221326569,0.05554899078501663,-0.0337424595510214,0.08929145033603803,-1.6462638326948853,,46.99765421616685
-10.6,1.0,3,False,pooled_points,167091,1339,18095,119,167091,1339,2.8339958306197e-125,154055510.0,0.3771257422664629,0.06112705726338419,-0.023503752963804914,0.0846308102271891,-2.600736033837577,,46.9701063965759
-10.3,2.0,5,False,pooled_points,204417,1385,18620,102,204417,1385,5.134786466670967e-126,194175518.0,0.371695406584569,0.06892604977105243,-0.0075179943232353,0.07644404409428773,-9.168143364783859,,46.56952332179804
-10.7,0.0,5,False,pooled_points,136347,1296,14310,100,136347,1296,1.1969327739364253e-122,121883468.0,0.3795079584071397,0.05636229567751627,-0.033946780326545856,0.09030907600406213,-1.6603134416680403,,46.270342830887735
-10.5,0.5,10,False,pooled_points,132277,1148,10060,66,132277,1148,2.506570689567545e-117,105848151.0,0.39407791415643745,0.0692339902570307,-0.01932930637022512,0.08856329662725582,-3.581814521998513,,45.9498473592801
-10.3,0.5,10,False,pooled_points,178814,1382,13042,76,178814,1382,1.1356469742868908e-123,169122076.0,0.3687392944122243,0.07273056655388022,-0.006764772701100874,0.07949533925498109,-10.75136885856406,,45.33456281948679
-10.4,0.5,10,False,pooled_points,156290,1258,11613,71,156290,1258,6.540891782473217e-118,135396188.0,0.37728748308477544,0.0712980361684723,-0.014244967472565762,0.08554300364103806,-5.0051385730282965,,44.212193386786296
-10.6,0.0,10,False,pooled_points,106887,1092,8313,63,106887,1092,5.833726219339323e-112,81403656.0,0.39484638033572894,0.0662811284177458,-0.023513389257240114,0.08979451767498592,-2.818867484079816,,43.920363574779614
-10.4,1.0,8,False,pooled_points,178343,1314,14214,84,178343,1314,8.782952226211813e-118,160387853.0,0.3688316438375794,0.07008998373726705,-0.010176749656746864,0.08026673339401391,-6.88726618039578,,43.17408948847872
