cluster,z,r_kpc,kappa,sigma_kg_m2,M_2D_Msun,M_3D_approx_Msun
macs1149,0.544,96.4458,1.410779e+00,5.959699e+00,9.385559e+13,1.195006e+14
macs1149,0.544,102.9943,1.383912e+00,5.846202e+00,1.054496e+14,1.342626e+14
macs1149,0.544,109.9874,1.351317e+00,5.708508e+00,1.183891e+14,1.507377e+14
macs1149,0.544,117.4554,1.340112e+00,5.661172e+00,1.329129e+14,1.692299e+14
macs1149,0.544,125.4304,1.279701e+00,5.405973e+00,1.490251e+14,1.897447e+14
macs1149,0.544,133.9470,1.239363e+00,5.235568e+00,1.666972e+14,2.122454e+14
macs1149,0.544,143.0418,1.187575e+00,5.016796e+00,1.861100e+14,2.369626e+14
macs1149,0.544,152.7541,1.136612e+00,4.801506e+00,2.073109e+14,2.639564e+14
macs1149,0.544,163.1258,1.087271e+00,4.593071e+00,2.304448e+14,2.934115e+14
macs1149,0.544,174.2018,1.038685e+00,4.387824e+00,2.556647e+14,3.255224e+14
macs1149,0.544,186.0298,9.937567e-01,4.198028e+00,2.831612e+14,3.605321e+14
macs1149,0.544,198.6610,9.390367e-01,3.966869e+00,3.129749e+14,3.984921e+14
macs1149,0.544,212.1498,8.937034e-01,3.775363e+00,3.452185e+14,4.395458e+14
macs1149,0.544,226.5544,8.542161e-01,3.608552e+00,3.802899e+14,4.842001e+14
macs1149,0.544,241.9371,7.849332e-01,3.315874e+00,4.177725e+14,5.319244e+14
macs1149,0.544,258.3642,7.220985e-01,3.050435e+00,4.570733e+14,5.819638e+14
macs1149,0.544,275.9067,6.636391e-01,2.803479e+00,4.982843e+14,6.344352e+14
macs1149,0.544,294.6404,5.987364e-01,2.529304e+00,5.410847e+14,6.889305e+14
macs1149,0.544,314.6460,5.396533e-01,2.279713e+00,5.851001e+14,7.449726e+14
macs1149,0.544,336.0100,4.815252e-01,2.034156e+00,6.301198e+14,8.022935e+14
macs1149,0.544,358.8245,4.114389e-01,1.738083e+00,6.749827e+14,8.594146e+14
macs1149,0.544,383.1881,3.492020e-01,1.475170e+00,7.185584e+14,9.148970e+14
macs1149,0.544,409.2060,2.902218e-01,1.226013e+00,7.603188e+14,9.680680e+14
macs1149,0.544,436.9904,2.188214e-01,9.243897e-01,7.981721e+14,1.016264e+15
macs1149,0.544,466.6614,1.565986e-01,6.615354e-01,8.299818e+14,1.056766e+15
macs1149,0.544,498.3470,9.880987e-02,4.174127e-01,8.546121e+14,1.088126e+15
