# SMACS J0723.3-7327 reconstructed radial profiles
# Source: Liu et al. 2023, A&A 670, A96 (eROSITA best-fit)
# Vikhlinin+2006 analytic models for T(r) and n_e(r)
# Cluster redshift z = 0.388
# Columns:
#   r_kpc         - radius [kpc]
#   n_e_cm3       - electron density [cm^-3]
#   T_keV         - temperature [keV]
#   rho_gas_kg_m3 - gas mass density [kg m^-3]
#   M_gas_Msun    - cumulative gas mass [M_sun]
#   M_HSE_Msun    - hydrostatic equilibrium mass [M_sun]
#   M_star_Msun   - stellar mass estimate (0.02 * M_HSE) [M_sun]
#   M_bar_Msun    - baryonic mass (M_gas + M_star) [M_sun]
#   g_bar_m_s2    - baryonic acceleration [m s^-2]
#   g_tot_m_s2    - total (observed) acceleration [m s^-2]
#   g_BEC_m_s2    - BEC/superfluid prediction [m s^-2]
#   log_g_bar     - log10(g_bar)
#   log_g_tot     - log10(g_tot)
#   log_g_BEC     - log10(g_BEC)
r_kpc,n_e_cm3,T_keV,rho_gas_kg_m3,M_gas_Msun,M_HSE_Msun,M_star_Msun,M_bar_Msun,g_bar_m_s2,g_tot_m_s2,g_BEC_m_s2,log_g_bar,log_g_tot,log_g_BEC
3.16539955e+01,2.96215706e-02,9.74441949e+00,5.79684553e-23,1.37008509e+11,9.21485255e+12,1.84297051e+11,3.21305560e+11,4.47077812e-11,1.28219260e-09,9.78596668e-11,-1.03496169e+01,-8.89204673e+00,-1.00093963e+01
3.35312669e+01,2.84686589e-02,9.67955628e+00,5.57122443e-23,1.58040457e+11,9.69463277e+12,1.93892655e+11,3.51933112e+11,4.36397398e-11,1.20213540e-09,9.63652779e-11,-1.03601178e+01,-8.92004662e+00,-1.00160794e+01
3.55198718e+01,2.73570121e-02,9.61651193e+00,5.35367876e-23,1.82067030e+11,1.01990061e+13,2.03980123e+11,3.86047153e+11,4.26598695e-11,1.12703401e-09,9.49855740e-11,-1.03699805e+01,-8.94806298e+00,-1.00223423e+01
3.76264129e+01,2.62848980e-02,9.55549617e+00,5.14386950e-23,2.09509386e+11,1.07289613e+13,2.14579226e+11,4.24088612e+11,4.17631189e-11,1.05655958e-09,9.37153566e-11,-1.03792071e+01,-8.97610601e+00,-1.00281892e+01
3.98578844e+01,2.52506405e-02,9.49675309e+00,4.94146865e-23,2.40848193e+11,1.12854544e+13,2.25709087e+11,4.66557281e+11,4.09447696e-11,9.90404283e-10,9.25496785e-11,-1.03878016e+01,-9.00418749e+00,-1.00336251e+01
4.22216956e+01,2.42526176e-02,9.44056616e+00,4.74615881e-23,2.76630404e+11,1.18693766e+13,2.37387533e+11,5.14017937e+11,4.02002619e-11,9.28278985e-10,9.14836098e-11,-1.03957711e+01,-9.03232148e+00,-1.00386567e+01
4.47256949e+01,2.32892599e-02,9.38726368e+00,4.55763281e-23,3.17478018e+11,1.24815288e+13,2.49630577e+11,5.67108595e+11,3.95251916e-11,8.69912434e-10,9.05122443e-11,-1.04031260e+01,-9.06052446e+00,-1.00432927e+01
4.73781964e+01,2.23590484e-02,9.33722480e+00,4.37559343e-23,3.64100836e+11,1.31226067e+13,2.62452134e+11,6.26552970e+11,3.89155070e-11,8.15051429e-10,8.96309956e-11,-1.04098773e+01,-9.08881499e+00,-1.00475418e+01
5.01880071e+01,2.14605138e-02,9.29088594e+00,4.19975312e-23,4.17299656e+11,1.37931359e+13,2.75862717e+11,6.93162373e+11,3.83669280e-11,7.63457843e-10,8.88347713e-11,-1.04160430e+01,-9.11721494e+00,-1.00514170e+01
5.31644564e+01,2.05922354e-02,9.24874743e+00,4.02983385e-23,4.77985354e+11,1.44934863e+13,2.89869727e+11,7.67855080e+11,3.78755070e-11,7.14911130e-10,8.81187944e-11,-1.04216415e+01,-9.14574794e+00,-1.00549315e+01
5.63174270e+01,1.97528401e-02,9.21138029e+00,3.86556691e-23,5.47190702e+11,1.52238516e+13,3.04477032e+11,8.51667734e+11,3.74374736e-11,6.69207625e-10,8.74783943e-11,-1.04266935e+01,-9.17443912e+00,-1.00580992e+01
5.96573875e+01,1.89410027e-02,9.17943266e+00,3.70669295e-23,6.26085312e+11,1.59842593e+13,3.19685186e+11,9.45770497e+11,3.70492353e-11,6.26160981e-10,8.69090234e-11,-1.04312208e+01,-9.20331400e+00,-1.00609351e+01
6.31954278e+01,1.81554456e-02,9.15363545e+00,3.55296197e-23,7.15996600e+11,1.67746296e+13,3.35492593e+11,1.05148919e+12,3.67075539e-11,5.85603377e-10,8.64065311e-11,-1.04352446e+01,-9.23239643e+00,-1.00634534e+01
6.69432950e+01,1.73949400e-02,9.13480656e+00,3.40413347e-23,8.18417990e+11,1.75948544e+13,3.51897088e+11,1.17031508e+12,3.64091533e-11,5.47385711e-10,8.59666016e-11,-1.04387894e+01,-9.26170654e+00,-1.00656702e+01
7.09134332e+01,1.66583065e-02,9.12385270e+00,3.25997669e-23,9.35034978e+11,1.84450113e+13,3.68900227e+11,1.30393520e+12,3.61510517e-11,5.11380132e-10,8.55852562e-11,-1.04418791e+01,-9.29125615e+00,-1.00676010e+01
7.51190243e+01,1.59444176e-02,9.12176762e+00,3.12027093e-23,1.06774790e+12,1.93256857e+13,3.86513713e+11,1.45426161e+12,3.59306117e-11,4.77481976e-10,8.52589405e-11,-1.04445354e+01,-9.32104302e+00,-1.00692601e+01
7.95740322e+01,1.52521991e-02,9.12962536e+00,2.98480601e-23,1.21869399e+12,2.02384639e+13,4.04769278e+11,1.62346327e+12,3.57455255e-11,4.45611884e-10,8.49845165e-11,-1.04467783e+01,-9.35104324e+00,-1.00706602e+01
8.42932487e+01,1.45806338e-02,9.14856657e+00,2.85338286e-23,1.39027831e+12,2.11866774e+13,4.23733549e+11,1.81401186e+12,3.55939746e-11,4.15718372e-10,8.47595118e-11,-1.04486235e+01,-9.38120078e+00,-1.00718116e+01
8.92923430e+01,1.39287645e-02,9.17977620e+00,2.72581415e-23,1.58519045e+12,2.21764244e+13,4.43528489e+11,2.02871894e+12,3.54744274e-11,3.87779669e-10,8.45818285e-11,-1.04500846e+01,-9.41141496e+00,-1.00727229e+01
9.45879136e+01,1.32956982e-02,9.22445019e+00,2.60192511e-23,1.80643120e+12,2.32179739e+13,4.64359478e+11,2.27079068e+12,3.53856975e-11,3.61805343e-10,8.44498380e-11,-1.04511722e+01,-9.44152502e+00,-1.00734012e+01
1.00197543e+02,1.26806101e-02,9.28374948e+00,2.48155438e-23,2.05735226e+12,2.43276133e+13,4.86552266e+11,2.54390452e+12,3.53271507e-11,3.37837074e-10,8.43626945e-11,-1.04518914e+01,-9.47129269e+00,-1.00738496e+01
1.06139857e+02,1.20827491e-02,9.35873986e+00,2.36455491e-23,2.34168177e+12,2.55299161e+13,5.10598322e+11,2.85228009e+12,3.52985707e-11,3.15947074e-10,8.43201398e-11,-1.04522429e+01,-9.50038566e+00,-1.00740687e+01
1.12434586e+02,1.15014417e-02,9.45031750e+00,2.25079493e-23,2.66356129e+12,2.68604485e+13,5.37208970e+11,3.20077026e+12,3.53001539e-11,2.96234309e-10,8.43224974e-11,-1.04522234e+01,-9.52836464e+00,-1.00740565e+01
1.19102630e+02,1.09360976e-02,9.55912145e+00,2.14015892e-23,3.02757424e+12,2.83687399e+13,5.67374798e+11,3.59494904e+12,3.53323058e-11,2.78817024e-10,8.43703692e-11,-1.04518280e+01,-9.55468071e+00,-1.00738101e+01
1.26166129e+02,1.03862136e-02,9.68543720e+00,2.03254840e-23,3.43874993e+12,3.01211179e+13,6.02422359e+11,4.04117229e+12,3.53951498e-11,2.63819854e-10,8.44639034e-11,-1.04510562e+01,-9.57869252e+00,-1.00733289e+01
1.33648536e+02,9.85137749e-03,9.82909783e+00,1.92788270e-23,3.90262617e+12,3.22034150e+13,6.44068299e+11,4.54669447e+12,3.54886359e-11,2.51359592e-10,8.46029556e-11,-1.04499107e+01,-9.59970454e+00,-1.00726145e+01
1.41574695e+02,9.33127053e-03,9.98939278e+00,1.82609945e-23,4.42526371e+12,3.47225762e+13,6.94451523e+11,5.11971524e+12,3.56120100e-11,2.41525295e-10,8.47863030e-11,-1.04484035e+01,-9.61703738e+00,-1.00716743e+01
