id	catalogue_id	name	ra	dec	freq	f_sum	err_f_sum	rms	w20	w50	kin_pa	rel	qflag	kflag	n_pix	f_min	f_max	ell_maj	ell_min	ell_pa	ell3s_maj	ell3s_min	ell3s_pa	x	err_x	y	err_y	z	err_z	x_min	x_max	y_min	y_max	z_min	z_max	comments	team_release	dist_h	log_m_hi
1	5843	WALLABY J100321-291708	150.838754090075	-29.2856143600128	1.35055488204651E9	3608.83947053987	634.477130140317	0.004161843859869	474090.261563014	435196.324690321	221.42043177081	0.837153297313005	0.0	0	1931.0	-0.007087035104632	0.022576590999961	6.06182663266344	4.83124509672712	-17.974746164381	5.6299282273289	4.25512857362692	8.96305187790603	7236.00103934727	0.339166141990331	1423.16043832819	0.387283671397269	2972.96363051423	0.904869338342384	1791.0	1804.0	816.0	829.0	805.0	833.0	No optical counterpart? False positive? (Tobias Westmeier)	Hydra TR2	221.50434193083527	9.944488440184053
2	5843	WALLABY J100336-262923	150.903417524457	-26.4899525051286	1.41615056626878E9	9561.18173978009	1312.53834162702	0.004799790359768	532207.054794837	244939.520422038	81.2713489724864	0.947242992874895	4.0	0	6213.0	-0.013497338630259	0.020171672105789	8.59140342476685	7.49182730436655	26.846619313103	5.34486369152227	4.16510312187258	38.2451931572564	7243.89607023118	0.330665765631941	3100.64976425096	0.351869419373389	6515.13057852051	0.637651975476422	1792.0	1814.0	253.0	276.0	1546.0	1579.0		Hydra TR2	12.868612686918116	7.89593142190572
3	5843	WALLABY J100342-270137	150.925581251107	-27.0271233410342	1.41588440268313E9	223979.669957672	3244.61539570995	0.003880673716117	934457.110944415	878868.02848142	236.449055457261	1.0	4.0	2	58081.0	-0.017361178994179	0.054538358002901	31.970546978407	11.7695820816275	56.0422663867539	35.6818369363527	13.2859705745635	55.2042495392413	7224.35618272415	0.166066104384125	2778.7496873355	0.135158991760395	6500.75774489546	0.179486683043718	1748.0	1821.0	1034.0	1094.0	1514.0	1577.0		Hydra TR2	13.676120058758036	9.318490798472174
4	5843	WALLABY J100351-263707	150.964352979355	-26.6186126212923	1.4162779431486E9	41787.13431873	2122.22117985972	0.003881131099795	725769.491888538	364646.092383804	31.5818636387107	1.0	4.0	1	24842.0	-0.013893693685532	0.040277618914843	19.1225473491213	11.3426865296583	8.80349435744384	15.6311006583697	11.3887187134962	22.813776978591	7209.42150741268	0.210907501690365	3024.27464027696	0.351398129218765	6522.00893003091	0.317791235122476	1747.0	1789.0	156.0	209.0	1546.0	1598.0		Hydra TR2	12.482274382348654	8.509986427631143
5	5843	WALLABY J100351-273417	150.966205246492	-27.5715028775967	1.4072979552379E9	73139.8317373718	2850.06339301412	0.003520469398751	1593269.12293363	1455284.43738326	12.4338631983665	1.0	4.0	2	54454.0	-0.014263059012592	0.028143471106887	27.144747180945	15.4975973522364	-8.7047944413829	26.4958361384957	15.5860954672419	-5.83646319968497	7194.87750349286	0.192764504273769	2452.73990067864	0.333358991030242	6037.08958285272	0.600042162027366	1730.0	1781.0	692.0	770.0	1034.0	1130.0		Hydra TR2	39.89020769600851	9.762242940721952
6	5843	WALLABY J100426-282638	151.109056583226	-28.444156643408	1.4152924818715E9	161361.426596455	2332.62355942297	0.002959179885522	1002122.24103427	924331.340002807	87.3022426056449	1.0	4.0	2	51626.0	-0.014277187176049	0.056374944746494	25.1025278592234	10.4713187344896	87.2794461341103	29.6631739118679	11.7630427644661	87.4872404354311	7106.81531084845	0.15446130522244	1931.09812309889	0.088904650210685	6468.79402106765	0.184395742684489	1635.0	1703.0	186.0	246.0	1478.0	1546.0		Hydra TR2	15.47302332328869	9.283306473897326
7	5843	WALLABY J100539-282633	151.414463079159	-28.442512016763	1.41548632146965E9	58214.5573042832	1303.76669991896	0.002251693375284	494696.143421599	428124.075534213	189.328074587748	1.0	4.0	2	27855.0	-0.007430194411427	0.040056057274342	20.7339128542747	8.64513077327804	8.29454631106924	21.5041894203852	9.33977927856957	3.81189697272276	6945.89049229115	0.110899293202394	1935.55830181802	0.208048448796787	6479.26135936763	0.151437317985248	1492.0	1525.0	178.0	245.0	1500.0	1544.0		Hydra TR2	14.884415934676365	8.806851583080046
8	5843	WALLABY J100555-291840	151.481614734558	-29.3113650818095	1.35660660263274E9	1413.87858641034	196.133128709653	0.002058857223506	156249.196826751	114154.301969222	207.138100486628	0.882238823382337	0.0	0	754.0	-0.002590260701254	0.010481828823686	4.59675406114304	3.55505663209498	30.7379966712825	4.49743148098968	3.30360701032389	21.7676765400253	6899.65699520557	0.28973440358864	1415.24896253006	0.297457159857713	3299.75654217144	0.375771497585888	1455.0	1466.0	810.0	820.0	1140.0	1155.0		Hydra TR2	201.41120288614377	9.454935752150764
9	5843	WALLABY J100634-295615	151.642100662074	-29.9377215523871	1.41513388188021E9	45600.2366877211	1450.39105761612	0.002401297276605	789163.58622927	533723.142454616	303.436848369699	1.0	0.0	1	30311.0	-0.008916640654206	0.032667111605406	11.1923448661831	10.4575916211487	86.5431158847733	12.4148566699179	11.7277654390454	-85.9117000199126	6808.28774299696	0.163394964810495	1041.40420603827	0.162464312766682	6460.2296215377	0.274326936466762	1352.0	1390.0	422.0	462.0	1477.0	1532.0		Hydra TR2	15.954743143322	8.761103119295049
10	5843	WALLABY J100640-273917	151.666962811008	-27.6549057937001	1.40046037933878E9	10389.7022576163	691.896014468181	0.00198180705947	994249.116136561	873418.434094149	52.6419039025092	1.0	4.0	0	10127.0	-0.007489312440157	0.014390015043318	8.67373901784096	5.63825900479935	61.1133426303692	9.13800007248954	5.48463406217371	49.9647398671523	6821.64436900173	0.216351486844951	2410.57867147887	0.170976817447863	5667.86048429953	0.718846709706126	1370.0	1400.0	683.0	701.0	683.0	746.0		Hydra TR2	60.99496498740606	9.283547463391741
