id	catalogue_id	name	ra	dec	freq	f_sum	err_f_sum	f_sum_corr	err_f_sum_corr	rms	w20	w50	kin_pa	rel	qflag	kflag	n_pix	f_min	f_max	ell_maj	ell_min	ell_pa	ell3s_maj	ell3s_min	ell3s_pa	x	err_x	y	err_y	z	err_z	x_min	x_max	y_min	y_max	z_min	z_max	dist_h	log_m_hi	log_m_hi_corr	team_release	comments
1	28971	WALLABY J101655-485238	154.2297749022268	-48.8773454083931	1.407512971336861E9	227186.6580322475	6769.435699764403	266287.04696905543	7934.502218353405	0.005805636959464781	1809946.485445322	1703609.096101342	17.03254677715239	1.0	4.0	1.0	111531.0	-0.0228363610804081	0.03936710581183434	38.21051728375561	21.87322711006504	17.80994806306344	35.05102884060642	21.22445087574163	16.93488593657295	582.7314569382793	0.213329602120186	457.38563828030976	0.31400255242739	6048.450452176541	0.5104859296974741	249.0	317.0	116.0	203.0	770.0	895.0	39.22986672308076	10.239972898827773	10.308940095628625	Vela TR1	
2	28971	WALLABY J101457-433710	153.7377914732147	-43.61965737500125	1.406170682468304E9	124265.3841315244	3206.423628209021	148872.72636837367	3841.3676564844145	0.003085121603194475	2059180.950489479	1693051.334084061	261.8878261505604	1.0	0.0	1.0	88611.0	-0.01486574858427048	0.02518730796873569	36.50557562826244	8.699923970089253	80.2409382853523	47.0131309797914	9.872117288944528	81.27144613505763	607.9459532241225	0.3264957943756828	3617.122318940015	0.1068377352265667	5975.966853274389	0.5146111522673321	258.0	357.0	790.0	844.0	683.0	828.0	43.355499961478735	10.064794974690047	10.143259928052432	Vela TR1	
3	28971	WALLABY J094919-475749	147.3313894420345	-47.96376325069142	1.41132363823963E9	94818.6104673656	2073.309002724818	114789.8178584514	2510.000532743324	0.001981910100245848	1209143.254291085	904070.6856968071	342.9061779872182	1.0	0.0	0.0	89774.0	-0.008474993519484997	0.02383403666317463	53.86839615851112	11.70581139443884	-16.04467143476631	51.86816598646262	12.13707042311078	-15.99577146216838	3318.053585733082	0.1484170783409875	1048.1602791302485	0.3772011120844029	6254.2264649262615	0.2674933726892746	1327.0	1384.0	690.0	790.0	988.0	1085.0	27.560237968620207	9.553815922734787	9.636825681832978	Vela TR1	
4	28971	WALLABY J101219-471739	153.0816577346399	-47.29432561544795	1.408504689806484E9	85697.28076081812	1442.687848404327	104165.09266693084	1753.5878861538006	0.001889055690451049	1683575.311574849	1594388.19309628	110.9704365015977	1.0	0.0	1.0	47846.0	-0.007548931054770947	0.03813161700963974	21.22829513715651	4.978383603912969	-69.21860969227984	26.5072388784298	6.10259099654529	-68.78397148083157	990.4311749727067	0.1370935059177018	1428.803906619394	0.07370456480574149	6102.003249536247	0.3518050027351072	664.0	717.0	1112.0	1146.0	829.0	943.0	36.18679091238752	9.746423594087654	9.831178735412287	Vela TR1	
5	28971	WALLABY J100550-441338	151.4598550789682	-44.22724474526973	1.404805486536646E9	65502.91643352644	1683.788473834425	80495.92777561101	2069.192072031308	0.001635744182445099	1684640.162474464	1483012.711570298	39.82955415387087	1.0	0.0	0.0	86923.0	-0.007007533218711615	0.01692946068942547	24.14870549949509	15.23638494418089	23.51043660567325	26.88337521086257	16.15865489530358	25.87364522403493	1604.529694591668	0.1558419795324871	3291.0926050976323	0.2037380776102924	5902.246272964786	0.4003297282255009	1271.0	1334.0	1286.0	1349.0	623.0	752.0	47.559626945557696	9.867093926283049	9.95660717781554	Vela TR1	
6	28971	WALLABY J094622-463856	146.5939203377487	-46.64899043738142	1.407728766453765E9	63008.10005985601	1261.948164821616	77555.34549318874	1553.3054611115278	0.00177539670941066	1362683.182638477	1305852.137697381	3.494507345053933	1.0	0.0	0.0	41446.0	-0.006779939867556095	0.03321383148431778	22.39211363904855	4.780447935310531	4.178411690416738	27.93587259222094	5.635715499180248	4.526606241816069	3643.4417940531243	0.05764967765377034	1826.7654497100225	0.1785972942526034	6060.103388489385	0.3240367057230126	831.0	852.0	661.0	724.0	789.0	891.0	38.567337108937515	9.668192102411753	9.758407433479919	Vela TR1	
7	28971	WALLABY J101232-451408	153.1359537820738	-45.23571521552709	1.401156772240987E9	62785.840094726	1423.772491053978	77293.17276828368	1752.7501896563579	0.001870533981552435	960381.7715128803	870219.9978544828	161.5479253729439	1.0	0.0	0.0	47527.0	-0.009101970121264458	0.024018919095397	17.4637940306281	12.91200089149992	-12.65770639142245	19.1068819308876	13.89747793705463	-9.041038040798483	911.785668760022	0.1134611054944	2661.554437202768	0.1515670187909585	5705.215700999017	0.2788244799061501	595.0	631.0	669.0	718.0	445.0	528.0	58.83606677532095	10.0335053849293	10.12378478791454	Vela TR1	
8	28971	WALLABY J100656-450242	151.7347815011327	-45.04507462855512	1.402156411117183E9	48433.76296795446	1146.916970379768	60285.99657754133	1427.57919917943	0.001541952567604062	1744277.169042638	1657892.853575447	69.22275925730472	1.0	0.0	1.0	45385.0	-0.006975795142352581	0.02419243380427361	13.34714256818088	7.220198554547014	69.27864555063123	16.55573669453816	8.66140029625888	69.27694103258038	1499.8488997042525	0.1188946189630966	2797.5702734968427	0.09376585015966295	5759.196200313622	0.4858157236173346	347.0	387.0	815.0	846.0	477.0	600.0	55.74082185951775	9.873851358482609	9.968919568875581	Vela TR1	
9	28971	WALLABY J100916-431959	152.3183582804295	-43.33309955638129	1.398945263095882E9	46926.90938473547	1624.693530365038	58490.39543548974	2025.0420984136717	0.002143222505935202	1054179.638139269	826120.8421465999	79.00035911486742	1.0	0.0	1.0	47141.0	-0.00843594316393137	0.02030295319855213	20.13936026508464	13.27797708289223	77.46833559097253	21.41822890515536	12.98166310547663	78.34890115674409	1217.4915136303812	0.2309035932613667	3815.962571006295	0.1617080501831018	5585.794207163187	0.4082749875872074	894.0	945.0	990.0	1032.0	318.0	413.0	65.69942016345645	10.00290143679573	10.098564019575427	Vela TR1	
10	28971	WALLABY J095710-485624	149.2946729781148	-48.94016897211922	1.402966700413852E9	33342.61796544451	2599.785445280683	42193.39258566047	3289.896673527495	0.004411811806888975	218646.9186834462	167585.5616888102	175.6619986338148	1.0	0.0	0.0	28486.0	-0.01714730262756348	0.03000362403690815	18.3465464027312	14.95748661503005	20.42490688176076	14.2561491999864	12.24156139856276	36.62378074667703	2527.9208621381545	0.2853163631585434	474.7083645441021	0.3360310806657215	5802.951822333834	0.2773387947681326	542.0	578.0	152.0	197.0	568.0	604.0	53.23510871833313	9.671752397853833	9.77399712590062	Vela TR1	
11	28971	WALLABY J094524-480828	146.3525983751377	-48.1411600342557	1.416232866162747E9	33184.01468388426	1118.839741503492	42001.762977290564	1416.1409365282398	0.002251629686764364	403947.0713962211	337669.5556692739	212.0343982759849	1.0	0.0	1.0	20255.0	-0.008718958124518394	0.04282533749938011	17.11859566889198	6.236088125646935	32.38599651134831	21.32219574369628	5.941967520371572	33.32625225983634	3706.5186196605605	0.1462755896473469	928.8595418608571	0.1930347939445844	6519.324772774863	0.210038014885958	883.0	919.0	607.0	652.0	1265.0	1323.0	12.618986161440862	8.419334262387553	8.521672836713119	Vela TR1	
12	28971	WALLABY J101330-434301	153.3753450044368	-43.71700135586159	1.399102516883459E9	29950.92727795757	1318.512930882967	38087.25985395146	1676.6941521804943	0.002238880073585611	2143817.032237541	1987677.764238858	311.1824367948447	1.0	4.0	1.0	28451.0	-0.007824546657502651	0.01811038702726364	12.38873250555175	5.129741244698808	-50.23218161582556	14.09225299633851	6.795507957805758	-55.02682495313843	767.7095799854237	0.1502330048494917	3566.781485086044	0.1426294903056365	5594.285911692392	0.9716573940790624	454.0	484.0	751.0	779.0	304.0	442.0	65.21067111123729	9.801404023151315	9.905773457164832	Vela TR1	
13	28971	WALLABY J100239-452950	150.6627853167272	-45.49748415018546	1.403949710400569E9	29384.80476551793	1010.732848068983	37400.13306871182	1286.431654603228	0.001599873392840162	1259253.691074715	1190636.713541028	219.3091312746696	1.0	0.0	1.0	32741.0	-0.005901401396840811	0.01634014956653118	12.24329632117951	7.685132517047687	33.99131868537404	13.86883308246527	8.776056509987761	36.81521781793566	1958.007517776171	0.1264640815837977	2535.794138038264	0.1461690647077266	5856.034361616561	0.4756702800229904	810.0	839.0	1385.0	1417.0	592.0	684.0	50.199162394614625	9.565872161774957	9.670622477589315	Vela TR1	
14	28971	WALLABY J101331-434904	153.3795323541981	-43.81792670205889	1.400711267775331E9	28689.57089983911	1418.262749730264	36555.569778994504	1807.116707800047	0.002204513817385474	1433200.291200504	1296719.348474922	48.70189033078114	1.0	4.0	1.0	33953.0	-0.007551801390945911	0.02030079625546932	14.13579770248878	9.63670406096056	43.24335516974674	14.34001642632536	9.038658777163018	45.76793673681345	768.7319601828067	0.1900545231750286	3506.2399610616576	0.1948140377917609	5681.158459853548	0.6313871002294139	453.0	485.0	686.0	722.0	415.0	513.0	60.21693355854669	9.713517735755111	9.818747218338068	Vela TR1	
15	28971	WALLABY J101442-445108	153.6759889734361	-44.85238050340688	1.415193366336369E9	28618.69899524163	1271.478391908052	36469.42935628186	1620.2725148141574	0.002496365509700806	563596.3270103808	398413.2225175705	215.2094876511675	1.0	0.0	1.0	21281.0	-0.008262674324214458	0.02869507670402527	10.46006767642978	8.076917059842696	6.711898968997957	10.61259328076877	8.431899542669836	11.11631794735317	672.2913046570573	0.1441066341371314	2880.1173761150067	0.2006428669715944	6463.191782150386	0.3265702975319942	359.0	385.0	59.0	94.0	1215.0	1273.0	15.77405647130448	8.548893077654824	8.654172139160544	Vela TR1	
16	28971	WALLABY J094944-471059	147.4335267815356	-47.1830618949566	1.395420229485814E9	28218.4670793786	1135.92855129977	35982.810129840494	1448.480573643708	0.001735089125529735	887827.7064015288	821681.0754181092	169.0269768245647	1.0	0.0	1.0	35160.0	-0.007711436599493027	0.01767969131469727	15.19537720148657	13.22829609639313	-21.55595015238299	15.62810995869815	13.04951829192859	-21.49756907001681	3289.514574467025	0.186563608356721	1517.238353663405	0.1834687504348533	5395.442392219319	0.3837434917489409	466.0	506.0	1198.0	1237.0	1258.0	1334.0	76.68423141671117	9.916301967147179	10.021863604182158	Vela TR1	
17	28971	WALLABY J100123-434533	150.3485208613377	-43.75939165205764	1.40378842855988E9	28204.72419903721	1068.220567119039	35966.09602062994	1362.1733443338055	0.001681472108107721	619534.1097057759	519452.1822047828	67.04220299499201	1.0	0.0	1.0	33108.0	-0.005864875391125679	0.01965589821338654	14.87485677809187	12.95258066286848	40.88820730551893	14.29443377853245	12.1661979681456	43.20496709985358	2079.3066186466353	0.1882401571619026	3580.0438224542204	0.1946940927007176	5847.3251422193525	0.2894892927810634	93.0	133.0	758.0	800.0	596.0	658.0	50.696976657151474	9.556642389496444	9.662213809556405	Vela TR1	
18	28971	WALLABY J100944-434707	152.4366479448742	-43.78530910977535	1.373824802621069E9	24257.9116912273	1395.021951902619	31151.56483272792	1791.4615788418855	0.001822475815497681	3095900.416975209	2914107.061939857	32.22876461866841	1.0	0.0	0.0	48065.0	-0.007302615325897932	0.008890809491276741	39.38431998244421	8.015109144720878	31.08141017266547	39.42614415410768	6.637378427186051	31.93075561852146	1175.510798890327	0.3264144930809924	3543.141222065384	0.5168137134759789	4229.289341521942	1.685166761334051	855.0	907.0	702.0	776.0	1154.0	1336.0	145.211038846092	10.405209087001591	10.513835520928183	Vela TR1	
19	28971	WALLABY J101628-455103	154.1188859446588	-45.85088194573986	1.411395009247875E9	24256.19619516195	2057.819773725972	31149.4655521507	2642.623173001745	0.004116175048889662	551553.8672515881	190701.5992717875	201.8727866860085	1.0	0.0	0.0	20503.0	-0.0160695742815733	0.02915919572114944	17.4277649858255	7.904065767997454	7.158707316706597	14.90338373835451	6.491872848560558	15.28737948087343	518.779580087587	0.2073602327354655	2271.692461264224	0.3938894237793927	6258.080499371503	0.4258494385959012	205.0	230.0	1116.0	1156.0	1013.0	1070.0	27.342275502735355	8.954848416469963	9.06347629831358	Vela TR1	
