recno	WALLABY	Group	DL	r/R200	dv/sigma	log(M*)	log(MHI)	dHI	dopt	dNUV	SFR	f_SFR	SimbadName	_RA	_DE
1	"J100336-262923"	"field  "	13.329388758733	5.31400204250587	4.25465171985232	6.40078255203291	8.004066596959	97.8319445171537	10.0130699465689	8.45206366736547		1	"                      "	150.9	-26.4897
2	"J100342-270137"	"field  "	14.167803856409	5.24778411580031	4.171034076611	8.54794596539052	9.42658418957133	425.453449297985	88.3555864387061	163.844334278147	-0.870418815644679	0	"WALLABY J100342-270137"	150.925	-27.0269
3	"J100351-263707"	"field  "	12.9283483916657	5.26348160626049	4.29465717263963	7.23777043003895	8.61814017369177	151.425979781491	27.8040828398345	44.4265966909417	-1.68582017152071	1	"                      "	150.962	-26.6186
4	"J100351-273417"	"field  "	41.5158107313099	5.19728463197061	1.45655707339242	10.3514363145057	9.86906779274754	248.019350019963	126.266365591086	111.075521538342	0.253076310455871	0	"WALLABY J100351-273417"	150.962	-27.5714
5	"J100426-282638"	"field  "	16.0343487985797	5.12841795188947	3.98496417993459	9.01649567835553	9.39130957021716	332.740189922636	149.934208281628	161.600846124625	-0.748069462830461	0	"WALLABY J100426-282638"	151.108	-28.4439
6	"J100634-295615"	"field  "	16.5349410780098	5.02137636273252	3.93508194173783	8.86727861240806	8.86908197346205	150.440975079916	59.2713093647104	70.7211205385117	-0.104783208800652	0	"                      "	151.642	-29.9375
7	"J100640-273917"	"field  "	63.7167962773769	4.75268521839702	0.728847170343012	9.40715444348405	9.38936738729788	101.115922108975	37.0003697988853	43.3066140345422	-0.652448383066693	0	"WALLABY J100640-273917"	151.667	-27.6547
8	"J100656-251731"	"field  "	43.0362075574143	5.01850868533084	1.3063795183849	8.66374365789198	8.94477197718698	88.4526413893878	32.6125865384573	43.4153575246084	-0.989812091446541	0	"                      "	151.733	-25.2919
9	"J100700-273944"	"field  "	63.3347843155386	4.69803644197506	0.691378040892313	8.54877850999746	9.11332829400832	80.5041308108118	12.1243141771672	42.4791567684108	-1.13553988522745	0	"                      "	151.75	-27.6622
10	"J100713-262336"	"field  "	68.6895082652854	4.75843556842987	1.21616219069719	8.79250065003376	9.44482324765813	100.18121745953	23.0724396076411	38.3618530404489	-0.810812106565879	1	"                      "	151.804	-26.3933
