id	catalogue_id	name	ra	dec	freq	team_release	team_release_kin	vsys_model	e_vsys_model	x_model	e_x_model	y_model	e_y_model	ra_model	e_ra_model	dec_model	e_dec_model	inc_model	e_inc_model	pa_model	e_pa_model	pa_model_g	e_pa_model_g	qflag_model	rad	vrot_model	e_vrot_model	e_vrot_model_inc	rad_sd	sd_model	e_sd_model	sd_fo_model	e_sd_fo_model_inc
74	5844	WALLABY J172007-600928	260.030921217703	-60.1579911660123	1.39934182597459E9	Norma TR1	Norma Kin TR1	4505.6	0.5	31.936	0.3455	31.895	0.6676	260.032272	0.001391	-60.156022	0.001046	77.3	2.5	263.6	1.4	257.5	1.4	1	7.5,22.56,37.61,52.67,67.73,82.78,97.84,112.9,127.95	121.4,191.1,161.1,158.7,167.5,171.2,171.1,169.2,165.5	62.2,47.6,5.7,1.0,1.4,0.0,1.0,0.4,4.3	1.2,1.9,1.6,1.6,1.7,1.7,1.7,1.7,1.6	7.5,22.56,37.61,52.67,67.73,82.78,97.84,112.9,127.95,143.01,158.07	15.53,14.43,12.15,10.67,8.88,7.46,5.6,4.04,2.51,1.43,0.63	0.24,0.91,1.61,1.79,1.51,1.47,1.37,1.39,1.12,0.95,0.63	3.418,3.175,2.673,2.348,1.953,1.64,1.231,0.888,0.551,0.315,0.139	0.662,0.615,0.518,0.455,0.378,0.318,0.239,0.172,0.107,0.061,0.027
75	5844	WALLABY J104311-261500	160.797597500392	-26.2500041960311	1.39925176066809E9	Hydra TR1	Hydra Kin TR1	4518.8	1.3	29.729	0.1529	24.401	0.0688	160.798176	2.93E-4	-26.249756	1.0E-4	68.0	1.0	251.9	0.5	248.7	0.5	0	7.5,22.5,37.5,52.5,67.5,82.5,97.5	134.0,201.2,198.3,194.6,193.4,192.8,191.7	86.1,9.3,1.2,0.6,1.9,2.2,0.5	0.9,1.4,1.4,1.3,1.3,1.3,1.3	7.5,22.5,37.5,52.5,67.5,82.5,97.5,112.5,127.5	6.62,7.28,7.55,6.42,4.46,2.61,1.37,0.56,0.21	0.59,0.86,0.87,0.66,0.67,0.54,0.32,0.19,0.1	2.482,2.727,2.83,2.406,1.67,0.978,0.513,0.208,0.078	0.104,0.115,0.119,0.101,0.07,0.041,0.022,0.009,0.003
76	5844	WALLABY J104339-285157	160.913222063472	-28.8660800505563	1.40412054487006E9	Hydra TR1	Hydra Kin TR1	3456.0	1.3	37.54	0.0638	23.97	0.3898	160.911677	1.69E-4	-28.866232	6.43E-4	83.1	6.6	62.7	1.2	59.1	1.2	1	7.5,22.5,37.5,52.5,67.5,82.5,97.5	101.6,147.0,123.0,124.5,134.5,132.9,122.1	37.9,29.0,4.6,2.5,4.9,5.4,3.5	1.4,2.1,1.7,1.8,1.9,1.9,1.7	7.5,22.5,37.5,52.5,67.5,82.5,97.5,112.5,127.5	13.14,11.41,10.35,8.16,5.12,5.25,3.36,1.97,2.21	0.31,1.11,1.96,2.57,1.6,3.16,2.56,1.93,1.86	1.583,1.375,1.248,0.984,0.617,0.633,0.404,0.237,0.267	1.496,1.3,1.179,0.93,0.583,0.598,0.382,0.224,0.252
77	5844	WALLABY J104309-300301	160.790627248321	-30.0503181994784	1.40541954855463E9	Hydra TR1	Hydra Kin TR1	3199.0	0.5	32.253	0.0012	41.958	0.3411	160.790606	4.5E-5	-30.049113	5.68E-4	40.2	7.7	120.0	3.0	116.3	3.0	0	7.5,22.5,37.5,52.5,67.5,82.5	57.4,91.3,105.1,106.2,104.8,93.2	7.3,1.1,0.8,0.9,4.8,3.4	9.5,15.0,17.3,17.5,17.3,15.4	7.5,22.5,37.5,52.5,67.5,82.5,97.5,112.5	5.39,5.27,4.86,3.96,2.5,1.11,0.22,0.11	0.55,0.8,0.47,0.41,0.28,0.22,0.11,0.07	4.115,4.023,3.712,3.022,1.905,0.844,0.166,0.083	0.465,0.454,0.419,0.341,0.215,0.095,0.019,0.009
78	5844	WALLABY J104059-270456	160.247074894085	-27.0823217307486	1.39829530019466E9	Hydra TR1	Hydra Kin TR1	4742.0	3.2	31.002	0.2329	25.938	0.005	160.246307	4.38E-4	-27.082682	1.3E-5	59.1	0.3	212.0	0.2	208.9	0.2	0	7.5,22.5,37.5,52.5,67.5,82.5	107.6,153.6,176.0,189.3,196.5,199.7	7.0,1.7,3.3,0.6,6.2,11.5	0.4,0.5,0.6,0.6,0.6,0.7	7.5,22.5,37.5,52.5,67.5,82.5	5.88,6.38,6.04,5.0,3.27,1.61	0.48,0.56,0.47,0.49,0.45,0.41	3.017,3.274,3.096,2.566,1.679,0.826	0.028,0.03,0.028,0.024,0.015,0.008
79	5844	WALLABY J104016-274630	160.069775662017	-27.7752270654251	1.40183468208975E9	Hydra TR1	Hydra Kin TR1	3970.1	1.0	35.694	0.3202	25.035	5.0E-4	160.069969	6.06E-4	-27.77683	2.7E-5	47.9	1.0	114.6	0.0	111.5	0.0	0	7.5,22.5,37.5,52.5,67.5,82.5,97.5,112.5	180.7,202.8,205.3,201.9,197.6,189.1,183.4,163.5	34.2,13.6,2.3,0.2,1.3,0.4,1.8,9.3	2.8,3.2,3.2,3.1,3.1,2.9,2.9,2.5	7.5,22.5,37.5,52.5,67.5,82.5,97.5,112.5	4.3,6.32,7.69,6.97,5.12,3.11,1.7,0.88	0.46,0.76,0.56,0.67,0.65,0.52,0.32,0.22	2.879,4.234,5.149,4.67,3.432,2.08,1.136,0.589	0.055,0.081,0.098,0.089,0.066,0.04,0.022,0.011
80	5844	WALLABY J104000-292445	160.001253396214	-29.4126851446177	1.40276676743003E9	Hydra TR1	Hydra Kin TR1	3766.5	0.2	24.691	0.1807	20.135	0.1648	160.001033	3.65E-4	-29.412904	2.59E-4	71.1	8.6	79.1	0.6	75.9	0.6	0	7.5,22.5,37.5,52.5,67.5	52.6,76.0,87.2,93.0,94.0	7.8,2.5,3.8,2.8,0.4	2.8,4.0,4.6,4.9,4.9	7.5,22.5,37.5,52.5,67.5,82.5	8.81,7.84,6.21,3.85,1.96,0.8	0.14,0.44,0.88,0.96,0.75,0.42	2.857,2.542,2.016,1.25,0.637,0.258	1.245,1.107,0.878,0.544,0.278,0.112
81	5844	WALLABY J103918-265030	159.826015972787	-26.8416846281841	1.4060093979318E9	Hydra TR1	Hydra Kin TR1	3076.0	0.6	22.719	0.1381	24.806	0.0791	159.826008	2.66E-4	-26.840377	1.2E-4	72.0	2.3	19.5	0.6	16.6	0.6	0	7.5,22.5,37.5,52.5,67.5	119.7,166.9,162.3,166.6,167.1	61.5,9.4,3.6,3.7,0.5	1.6,2.2,2.1,2.2,2.2	7.5,22.5,37.5,52.5,67.5,82.5	5.01,5.61,5.52,4.44,2.55,1.22	0.32,0.63,0.75,0.69,0.77,0.66	1.553,1.737,1.709,1.375,0.79,0.376	0.191,0.214,0.21,0.169,0.097,0.046
82	5844	WALLABY J104004-301606	160.017631893931	-30.2683574403773	1.40452739069249E9	Hydra TR1	Hydra Kin TR1	3396.8	2.4	26.167	0.9951	25.735	0.0559	160.015755	0.001933	-30.265279	7.0E-6	64.7	10.4	20.2	3.9	16.9	3.9	0	7.5,22.5,37.5,52.5,67.5	72.5,120.1,135.3,141.4,81.2	3.3,1.0,6.2,8.3,65.9	6.4,10.7,12.0,12.6,7.2	7.5,22.5,37.5,52.5,67.5	13.04,11.22,7.19,3.93,1.55	1.04,2.0,2.46,1.91,1.11	5.564,4.787,3.067,1.678,0.663	2.132,1.834,1.175,0.643,0.254
83	5844	WALLABY J103922-293505	159.84194101907	-29.5847525912456	1.40226761020714E9	Hydra TR1	Hydra Kin TR1	3875.2	0.7	24.541	0.1922	23.663	0.1303	159.842748	3.83E-4	-29.584478	2.01E-4	53.1	3.4	118.3	1.2	115.1	1.2	0	7.5,22.5,37.5,52.5	91.7,113.8,130.4,130.0	8.4,1.0,3.9,1.8	4.1,5.1,5.9,5.9	7.5,22.5,37.5,52.5,67.5	9.15,7.93,5.24,2.22,0.53	0.42,0.61,0.79,0.55,0.24	5.499,4.764,3.147,1.336,0.318	0.437,0.378,0.25,0.106,0.025
