  603013
       0.00      0.00
       0.28     28.24
       0.58    115.75
       0.92    121.52
       1.29    168.44
       1.69    189.63
       2.14    201.24
       2.63    203.82
       3.17    203.61
       3.76    192.12
       4.41    196.67
       5.13    206.11
       5.92    211.93
       6.79    209.85
       7.75    204.78
       8.80    194.70
       9.95    192.87
      11.23    195.09
      12.63    194.14
      14.16    201.28
      15.86    202.92
      17.72    197.70
      19.77    190.72
      22.02    195.21
