  601913
       0.00      0.00
       0.11      0.01
       0.23     10.40
       0.36     13.97
       0.50     12.47
       0.66     14.95
       0.84     16.64
       1.03     18.86
       1.24     20.88
       1.47     24.95
       1.72     28.44
       2.01     33.32
       2.31     43.73
       2.65     54.80
       3.03     63.62
       3.44     70.90
       3.89     77.57
       4.39     87.20
       4.93     98.61
       5.54    105.57
       6.20    107.76
       6.93    119.32
       7.73    122.62
       8.61    118.16
