     612343
       0.00      0.00
       0.27     95.09
       0.56    114.10
       0.89    105.59
       1.25     64.71
       1.64     59.58
       2.07     66.65
       2.55     72.63
       3.07     74.58
       3.65     89.45
       4.28    109.97
       4.98    127.63
       5.75    155.68
       6.59    178.73
       7.52    197.78
       8.54    216.68
       9.66    228.13
      10.89    236.09
      12.25    242.80
      13.75    240.82
      15.39    232.57
      17.20    226.17
      19.19    222.40
