  603429
       0.00      0.00
       0.10     31.95
       0.21     81.58
       0.33     88.63
       0.47    106.28
       0.62    131.04
       0.78    152.15
       0.96    175.00
       1.15    190.55
       1.37    203.93
       1.61    208.34
       1.87    211.42
       2.16    212.26
       2.47    218.36
       2.82    236.33
       3.20    244.48
       3.62    257.85
       4.09    280.51
       4.60    307.42
       5.16    300.54
       5.77    304.76
       6.45    323.08
       7.20    325.98
       8.02    330.95
       8.92    327.60
