recno	Galaxy	Type	Dist	PA	eps	Incl	Re	Rmax	Rmax/Re	Vsys	(M/L)dyn	E_(M/L)dyn	e_(M/L)dyn	betaz	E_betaz	e_betaz	CVC	_RA	_DE
112	"NGC 5888"	"Sb "	121	152	0.39	68	16	31	1.9	8583	5.749	0.013	0.011	-0.888	0.06	0.023	2	228.28073	41.26462
113	"NGC 5908"	"Sa "	47	154	0.56	81	34	42	1.2	3327	8.192	0.02	0.016	-0.026	0.006	0.005	2	229.18008	55.40925
114	"NGC 5971"	"Sb "	61	131	0.55	68	12	27	2.2	3385	6.655	0.047	0.033	0.429	0.006	0.008	0	233.90377	56.4617
115	"NGC 5980"	"Sbc"	57	193	0.62	71	17	40	2.4	4045	4.474	0.022	0.014	0.401	0.008	0.012	2	235.37673	15.7877
116	"NGC 5987"	"Sa "	44	61	0.61	75	33	37	1.1	2994	6.452	0.024	0.014	0.308	0.004	0.006	1	234.98909	58.07955
117	"NGC 6020"	"E4 "	60	133	0.29	50	19	25	1.3	4272	6.52	0.037	0.027	0.417	0.005	0.008	3	239.28383	22.40455
118	"NGC 6021"	"E5 "	66	156	0.3	48	9	27	3.0	4698	6.203	0.029	0.025	0.475	0.003	0.005	2	239.37782	15.95621
119	"NGC 6032"	"Sbc"	60	179	0.48	76	27	39	1.4	4331	3.198	0.063	0.028	0.757	0.004	0.018	0	240.75468	20.95597
120	"NGC 6060"	"Sb "	62	100	0.58	65	28	35	1.2	4407	4.937	0.02	0.017	0.325	0.01	0.021	1	241.46658	21.48498
121	"NGC 6063"	"Sbc"	40	155	0.45	59	20	36	1.8	2853	5.875	0.025	0.025	-0.073	0.025	0.031	0	241.80417	7.97901
122	"NGC 6081"	"S0a"	72	129	0.6	71	12	30	2.5	5073	6.046	0.025	0.022	0.197	0.008	0.012	2	243.23687	9.86712
123	"NGC 6125"	"E1 "	69	199	0.04	26	21	28	1.3	4678	6.507	0.018	0.012	0.389	0.006	0.008	3	244.79814	57.98411
124	"NGC 6132"	"Sbc"	69	126	0.66	72	14	31	2.2	4911	5.884	0.025	0.027	0.384	0.011	0.018	0	245.91167	11.78636
125	"NGC 6146"	"E5 "	123	79	0.35	49	15	26	1.7	8700	5.968	0.024	0.018	0.27	0.005	0.006	2	246.29302	40.89287
126	"NGC 6150"	"E7 "	122	58	0.46	61	11	29	2.6	8645	6.897	0.019	0.019	0.633	0.002	0.005	2	246.45835	40.48873
127	"NGC 6168"	"Sc "	36	109	0.77	77	26	34	1.3	2539	7.706	0.078	0.07	0.548	0.011	0.017	0	247.83949	20.18372
128	"NGC 6173"	"E6 "	122	145	0.39	53	38	32	0.8	8694	6.146	0.017	0.017	0.544	0.002	0.004	3	247.43715	40.81161
129	"NGC 6186"	"Sb "	42	55	0.36	69	20	35	1.8	2937	2.341	0.014	0.012	0.218	0.013	0.019	1	248.60619	21.54084
130	"NGC 6278"	"S0a"	41	126	0.45	57	11	33	3.0	2869	5.284	0.015	0.017	0.517	0.003	0.008	2	255.20968	23.01104
131	"NGC 6301"	"Sbc"	117	108	0.42	57	24	39	1.6	8219	5.787	0.017	0.014	-0.119	0.014	0.017	0	257.13641	42.33913
132	"NGC 6310"	"Sb "	50	248	0.72	76	23	33	1.4	3393	6.152	0.022	0.022	0.347	0.012	0.026	0	256.98932	60.99006
133	"NGC 6314"	"Sab"	93	171	0.44	60	12	37	3.1	6548	3.258	0.02	0.013	0.712	0.003	0.006	2	258.16121	23.27007
134	"NGC 6478"	"Sc "	96	215	0.58	69	23	38	1.7	6701	5.026	0.012	0.014	0.612	0.005	0.012	1	267.15976	51.15728
135	"NGC 6497"	"Sab"	87	114	0.45	61	13	34	2.6	5981	5.385	0.012	0.013	-0.199	0.01	0.013	3	267.82488	59.47087
136	"NGC 6515"	"E3 "	97	193	0.33	62	19	28	1.5	6764	5.769	0.021	0.019	0.163	0.004	0.006	3	269.35497	50.72812
137	"NGC 6762"	"Sab"	43	118	0.7	78	9	31	3.4	2932	4.733	0.016	0.021	0.12	0.008	0.011	0	286.40451	63.93409
138	"NGC 6941"	"Sb "	87	131	0.28	53	20	32	1.6	6171	4.154	0.013	0.01	-0.27	0.02	0.022	1	309.09781	-4.61873
139	"NGC 6945"	"S0 "	54	129	0.33	55	13	31	2.4	3750	3.622	0.011	0.008	-0.326	0.013	0.014	2	309.75251	-4.97254
140	"NGC 6978"	"Sb "	84	128	0.62	70	18	34	1.9	5876	5.003	0.011	0.014	0.38	0.007	0.008	2	313.14764	-5.71112
141	"NGC 7025"	"S0a"	71	66	0.31	46	13	31	2.4	4916	5.381	0.014	0.01	0.033	0.007	0.011	2	316.9472	16.33586
142	"NGC 7047"	"Sbc"	82	108	0.52	61	18	29	1.6	5729	4.719	0.021	0.022	0.23	0.013	0.023	0	319.11514	-0.8265
143	"NGC 7194"	"E3 "	113	20	0.31	47	17	22	1.3	8037	7.426	0.036	0.027	0.117	0.007	0.012	2	330.87891	12.63678
144	"NGC 7311"	"Sa "	64	11	0.46	61	12	37	3.1	4474	2.752	0.011	0.011	0.294	0.011	0.028	2	338.52817	5.57031
145	"NGC 7321"	"Sbc"	100	15	0.34	56	15	32	2.1	7060	4.272	0.015	0.01	-0.634	0.031	0.02	0	339.11673	21.62177
146	"NGC 7364"	"Sab"	68	62	0.34	49	12	32	2.7	4797	3.906	0.013	0.016	0.758	0.003	0.013	2	341.10154	-0.16212
147	"NGC 7466"	"Sbc"	106	206	0.58	67	13	31	2.4	7417	5.28	0.016	0.017	0.087	0.015	0.017	0	345.51431	27.0526
148	"NGC 7489"	"Sbc"	88	169	0.43	67	20	39	2.0	6170	3.516	0.022	0.016	0.134	0.011	0.018	0	346.88617	22.99805
149	"NGC 7549"	"Sbc"	67	196	0.58	72	20	34	1.7	4616	7.854	0.042	0.038	-0.514	0.019	0.015	2	348.82202	19.04164
150	"NGC 7550"	"E4 "	72	138	0.08	22	24	25	1.0	5029	7.122	0.024	0.023	0.318	0.014	0.016	3	348.81708	18.96137
151	"NGC 7562"	"E4 "	51	83	0.35	66	20	36	1.8	3588	5.285	0.028	0.012	0.22	0.003	0.005	2	348.9896	6.68749
152	"NGC 7563"	"Sa "	59	146	0.4	55	9	31	3.4	4310	6.571	0.015	0.015	0.048	0.005	0.006	2	348.98312	13.19629
153	"NGC 7591"	"Sbc"	70	151	0.49	62	16	33	2.1	4950	3.785	0.012	0.012	-0.048	0.011	0.011	2	349.56778	6.58586
154	"NGC 7608"	"Sbc"	50	18	0.71	75	20	33	1.6	3522	4.043	0.033	0.039	0.734	0.007	0.014	0	349.8139	8.35016
155	"NGC 7611"	"S0 "	47	136	0.49	63	11	21	1.9	3204	7.129	0.068	0.062	0.086	0.017	0.019	2	349.90259	8.06321
156	"NGC 7619"	"E3 "	54	42	0.16	47	35	34	1.0	3732	5.679	0.016	0.013	0.366	0.003	0.008	3	350.06052	8.20629
157	"NGC 7623"	"S0 "	53	7	0.27	44	10	31	3.1	3660	4.314	0.013	0.03	0.714	0.002	0.008	2	350.12501	8.39578
158	"NGC 7625"	"Sa "	25	211	0.1	41	14	34	2.4	1615	2.273	0.02	0.017	0.51	0.011	0.109	0	350.12555	17.2256
159	"NGC 7631"	"Sb "	54	76	0.6	68	17	33	1.9	3706	4.15	0.012	0.01	0.179	0.015	0.018	0	350.36115	8.21761
160	"NGC 7653"	"Sb "	61	167	0.17	35	12	38	3.2	4239	2.832	0.019	0.011	-0.73	0.071	0.068	0	351.20567	15.27559
161	"NGC 7671"	"S0 "	59	136	0.38	56	11	26	2.4	3885	6.004	0.017	0.014	0.311	0.006	0.009	2	351.83054	12.46739
162	"NGC 7683"	"S0 "	53	141	0.48	62	14	33	2.4	3725	5.646	0.018	0.021	0.309	0.006	0.018	2	352.26587	11.4451
163	"NGC 7711"	"E7 "	58	92	0.58	65	15	42	2.8	4049	4.564	0.019	0.011	0.345	0.004	0.013	2	353.91418	15.30215
164	"NGC 7716"	"Sb "	37	35	0.19	55	21	38	1.8	2565	2.485	0.007	0.007	-0.176	0.012	0.019	1	354.13107	0.29731
165	"NGC 7722"	"Sab"	57	148	0.19	54	21	24	1.1	4024	6.66	0.033	0.03	0.102	0.01	0.012	3	354.67163	15.95485
166	"NGC 7738"	"Sb "	94	43	0.37	72	14	37	2.6	6708	3.685	0.019	0.02	0.508	0.008	0.041	1	356.00843	0.5166
167	"NGC 7787"	"Sab"	93	115	0.48	62	11	23	2.1	6622	5.48	0.048	0.048	-0.1	0.022	0.021	0	359.03256	0.54943
168	"NGC 7819"	"Sc "	70	100	0.4	54	23	37	1.6	4908	3.754	0.021	0.019	0.175	0.023	0.025	1	1.10206	31.47203
169	"NGC 7824"	"Sab"	86	146	0.35	54	11	38	3.5	6071	6.052	0.031	0.027	0.25	0.011	0.017	2	1.276	6.92014
170	"UGC 00005"	"Sbc"	101	227	0.49	65	16	33	2.1	7166	5.291	0.015	0.014	-0.626	0.032	0.02	2	0.77355	-1.91387
171	"UGC 00029"	"E1 "	123	172	0.26	45	17	13	0.8	8687	7.69	0.075	0.066	-0.504	0.065	0.056	3	1.14056	28.30166
172	"UGC 00036"	"Sab"	88	17	0.59	66	10	20	2.0	6249	7.877	0.029	0.032	-0.099	0.013	0.013	2	1.30783	6.772
173	"UGC 00148"	"Sc "	60	95	0.66	76	20	36	1.8	4148	4.755	0.041	0.035	0.705	0.006	0.016	0	3.96364	16.0898
174	"UGC 00312"	"Sd "	61	8	0.56	75	20	38	1.9	4288	8.364	0.064	0.057	-0.357	0.03	0.035	0	7.84933	8.46703
175	"UGC 00809"	"Scd"	60	22	0.79	78	20	36	1.8	4154	13.184	0.101	0.098	0.532	0.008	0.01	0	18.96605	33.81079
176	"UGC 00987"	"Sa "	66	31	0.69	75	12	34	2.8	4615	4.65	0.028	0.017	0.262	0.011	0.016	2	21.38107	32.13625
177	"UGC 01057"	"Sc "	89	152	0.69	77	14	27	1.9	6308	5.074	0.034	0.038	0.42	0.009	0.012	0	22.22264	13.79257
178	"UGC 01271"	"S0a"	71	101	0.42	60	9	29	3.2	5017	4.959	0.035	0.03	-0.423	0.031	0.028	2	27.25023	13.21111
179	"UGC 02222"	"S0a"	71	98	0.56	66	10	23	2.3	4949	5.06	0.024	0.019	0.314	0.007	0.011	2	41.29032	32.98972
180	"UGC 02229"	"S0a"	100	172	0.38	59	19	25	1.3	7219	8.181	0.031	0.027	0.597	0.004	0.005	2	41.36483	0.91434
181	"UGC 02403"	"Sb "	57	150	0.62	70	19	26	1.4	4144	4.777	0.04	0.037	0.569	0.008	0.01	0	43.98868	0.69254
182	"UGC 03253"	"Sb "	59	84	0.36	62	15	33	2.2	4093	5.915	0.022	0.019	-0.455	0.024	0.02	0	79.92344	84.05253
183	"UGC 03539"	"Sc "	47	117	0.78	84	20	38	1.9	3257	11.785	0.09	0.09	-0.555	0.058	0.06	0	102.22522	66.26136
184	"UGC 03995"	"Sb "	64	90	0.53	62	25	39	1.6	4746	5.642	0.023	0.025	0.345	0.007	0.009	1	116.03803	29.24744
185	"UGC 04029"	"Sc "	60	63	0.8	81	26	37	1.4	4411	7.837	0.045	0.037	0.394	0.009	0.018	0	117.07914	34.33215
186	"UGC 04132"	"Sbc"	71	29	0.71	76	22	35	1.6	5111	7.697	0.029	0.019	0.024	0.011	0.016	2	119.80449	32.91481
187	"UGC 04145"	"Sa "	62	138	0.48	81	9	29	3.2	4609	7.279	0.028	0.03	0.077	0.009	0.007	0	119.91721	15.38684
188	"UGC 04197"	"Sab"	61	131	0.74	82	18	41	2.3	4490	7.807	0.026	0.022	0.303	0.012	0.013	0	120.85629	10.05062
189	"UGC 04280"	"Sb "	49	1	0.68	75	11	36	3.3	3512	5.942	0.023	0.029	0.291	0.009	0.01	0	123.63898	54.79944
190	"UGC 04308"	"Sc "	48	125	0.23	58	24	33	1.4	3538	4.002	0.03	0.03	-0.404	0.04	0.037	0	124.3574	21.68557
191	"UGC 05108"	"Sb "	110	151	0.56	64	9	19	2.1	8001	7.372	0.039	0.029	-0.337	0.015	0.016	1	143.85949	29.81266
192	"UGC 05113"	"S0a"	95	41	0.71	78	8	22	2.8	6752	5.324	0.024	0.024	0.51	0.006	0.008	2	144.23788	66.54865
193	"UGC 05598"	"Sb "	76	36	0.73	76	15	27	1.8	5597	5.574	0.071	0.057	0.713	0.007	0.012	0	155.55833	20.58932
194	"UGC 05771"	"E6 "	102	57	0.31	47	12	27	2.2	7360	7.771	0.034	0.032	0.501	0.004	0.009	3	159.33059	43.58758
195	"UGC 05990"	"Sc "	21	16	0.7	78	12	33	2.8	1566	8.605	0.137	0.114	0.656	0.01	0.011	0	163.15984	34.48279
196	"UGC 06036"	"Sa "	89	100	0.74	81	11	38	3.5	6492	7.644	0.017	0.017	0.005	0.008	0.007	2	163.98023	36.86153
