recno	Galaxy	Type	Dist	PA	eps	Incl	Re	Rmax	Rmax/Re	Vsys	(M/L)dyn	E_(M/L)dyn	e_(M/L)dyn	betaz	E_betaz	e_betaz	CVC	_RA	_DE
18	"MCG-02-02-030"	"Sb "	49	170	0.57	69	19	38	2.0	3482	3.686	0.015	0.013	0.478	0.006	0.01	0	7.53045	-11.11366
19	"MCG-02-02-040"	"Scd"	50	51	0.63	81	20	34	1.7	3458	7.08	0.064	0.05	0.569	0.005	0.007	0	7.8988	-10.50634
20	"MCG-02-03-015"	"Sab"	80	22	0.73	76	12	37	3.1	5773	4.886	0.021	0.029	0.45	0.008	0.015	1	11.94341	-9.83509
21	"MCG-02-51-004"	"Sb "	79	160	0.63	69	17	34	2.0	5587	6.556	0.018	0.02	0.259	0.01	0.013	0	303.91623	-13.6219
22	"NGC 0001"	"Sbc"	65	105	0.31	47	12	30	2.5	4498	3.129	0.02	0.014	0.163	0.012	0.012	0	1.81606	27.70806
23	"NGC 0023"	"Sb "	65	157	0.33	63	17	26	1.5	4570	1.801	0.034	0.018	0.519	0.011	0.023	1	2.47255	25.92374
24	"NGC 0155"	"E1 "	86	170	0.18	48	15	25	1.7	6182	4.534	0.018	0.016	0.342	0.006	0.01	2	8.66702	-10.76654
25	"NGC 0160"	"Sa "	74	51	0.47	59	22	35	1.6	5183	5.868	0.034	0.016	0.494	0.004	0.006	3	9.01708	23.95792
26	"NGC 0171"	"Sb "	54	84	0.04	23	26	32	1.2	3879	1.683	0.034	0.012	0.457	0.035	0.194	1	9.33967	-19.93425
27	"NGC 0177"	"Sab"	53	190	0.75	77	13	37	2.8	3810	5.498	0.023	0.026	0.079	0.011	0.013	2	9.39306	-22.54925
28	"NGC 0192"	"Sab"	58	166	0.57	72	22	39	1.8	4192	3.791	0.011	0.009	0.507	0.005	0.011	1	9.8058	0.86414
29	"NGC 0214"	"Sbc"	64	52	0.29	56	18	31	1.7	4501	2.608	0.015	0.013	-0.03	0.024	0.019	0	10.36676	25.4994
30	"NGC 0216"	"Sd "	21	208	0.65	73	20	35	1.8	1544	3.301	0.039	0.039	0.559	0.014	0.017	0	10.36202	-21.04803
31	"NGC 0217"	"Sa "	55	113	0.76	79	23	41	1.8	3989	5.593	0.016	0.014	0.349	0.004	0.006	2	10.39122	-10.02141
32	"NGC 0237"	"Sc "	58	178	0.38	52	15	35	2.3	4125	2.732	0.017	0.015	0.595	0.009	0.024	0	10.86617	-0.12487
33	"NGC 0257"	"Sc "	74	89	0.38	52	21	40	1.9	5273	3.448	0.012	0.01	0.056	0.016	0.03	1	12.00629	8.29708
34	"NGC 0429"	"Sa "	78	14	0.72	78	6	29	4.8	5650	3.948	0.029	0.018	0.432	0.006	0.008	2	18.23939	-0.34491
35	"NGC 0444"	"Scd"	68	159	0.76	78	23	32	1.4	4770	6.327	0.065	0.052	0.694	0.009	0.017	0	18.9566	31.08023
36	"NGC 0499"	"E5 "	62	71	0.34	54	21	31	1.5	4359	6.672	0.1	0.029	0.727	0.002	0.013	3	20.79792	33.4602
37	"NGC 0504"	"S0 "	60	48	0.66	76	8	30	3.8	4236	7.243	0.02	0.02	0.122	0.006	0.007	2	20.86627	33.20436
38	"NGC 0517"	"S0 "	60	17	0.52	66	10	34	3.4	4122	5.136	0.042	0.023	0.712	0.002	0.006	2	21.18252	33.42959
39	"NGC 0528"	"S0 "	68	58	0.49	61	12	28	2.3	4773	5.408	0.017	0.015	0.517	0.005	0.012	2	21.38989	33.67141
40	"NGC 0529"	"E4 "	68	179	0.18	35	12	37	3.1	4791	5.811	0.022	0.014	0.063	0.013	0.014	2	21.41792	34.71293
41	"NGC 0551"	"Sbc"	73	140	0.62	67	19	44	2.3	5124	4.714	0.032	0.021	0.388	0.007	0.023	0	21.9193	37.183
42	"NGC 0681"	"Sa "	24	67	0.32	86	30	37	1.2	1743	6.745	0.05	0.041	-0.01	0.01	0.011	1	27.29506	-10.42634
43	"NGC 0741"	"E1 "	77	86	0.21	38	35	32	0.9	5524	8.999	0.024	0.021	0.265	0.007	0.009	3	29.08733	5.62882
44	"NGC 0755"	"Scd"	23	49	0.67	76	28	39	1.4	1655	4.933	0.044	0.042	0.447	0.009	0.011	0	29.09452	-9.06143
45	"NGC 0768"	"Sc "	97	35	0.55	67	15	34	2.3	6898	7.081	0.041	0.036	0.093	0.014	0.014	2	29.67064	0.52921
46	"NGC 0774"	"S0 "	64	169	0.18	49	12	26	2.2	4595	4.691	0.027	0.013	0.554	0.005	0.008	2	29.89473	14.00821
47	"NGC 0776"	"Sb "	69	67	0.05	29	19	32	1.7	4866	1.976	0.02	0.015	-0.334	0.084	0.089	1	29.97716	23.64429
48	"NGC 0781"	"Sa "	49	12	0.71	79	8	32	4.0	3482	2.738	0.011	0.01	0.413	0.005	0.009	0	30.0374	12.65611
49	"NGC 0810"	"E5 "	106	28	0.32	61	17	20	1.2	7716	12.168	0.047	0.058	0.275	0.007	0.008	2	31.36901	13.25163
50	"NGC 0932"	"S0a"	57	71	0.1	29	18	33	1.8	4066	3.314	0.014	0.01	0.036	0.026	0.034	1	36.97785	20.33264
51	"NGC 1056"	"Sa "	22	154	0.32	70	14	37	2.6	1556	3.115	0.029	0.018	0.252	0.008	0.016	0	40.7012	28.57427
52	"NGC 1060"	"E3 "	72	81	0.17	42	27	26	1.0	5132	5.797	0.043	0.024	0.788	0.002	0.008	3	40.81269	32.42501
53	"NGC 1167"	"S0 "	69	73	0.18	38	24	30	1.2	4885	5.198	0.016	0.015	0.591	0.003	0.008	3	45.42649	35.20565
54	"NGC 1349"	"E6 "	90	43	0.14	32	17	21	1.2	6525	5.395	0.031	0.034	0.44	0.012	0.032	3	52.86476	4.38087
55	"NGC 1542"	"Sab"	50	130	0.54	70	15	23	1.5	3687	5.259	0.046	0.033	0.776	0.004	0.007	0	64.30898	4.78166
56	"NGC 1645"	"S0a"	66	85	0.59	66	13	39	3.0	4749	6.579	0.017	0.015	-0.05	0.007	0.01	2	71.02665	-5.46567
57	"NGC 1677"	"Scd"	36	133	0.73	77	12	29	2.4	2725	4.317	0.06	0.053	0.465	0.015	0.025	0	72.71699	-4.89271
58	"NGC 2253"	"Sbc"	50	5	0.25	41	15	36	2.4	3527	9.701	0.067	0.043	0.815	0.001	0.001	2	100.81119	65.67749
59	"NGC 2347"	"Sbc"	62	5	0.38	56	18	42	2.3	4408	4.306	0.021	0.032	0.599	0.005	0.024	2	109.01703	64.71154
60	"NGC 2410"	"Sb "	64	34	0.71	76	21	37	1.8	4638	5.487	0.018	0.016	0.205	0.01	0.012	2	113.75941	32.82216
61	"NGC 2449"	"Sab"	66	134	0.56	66	16	33	2.1	4842	4.078	0.014	0.011	-0.095	0.013	0.018	0	116.83456	26.93016
62	"NGC 2476"	"E6 "	51	140	0.28	51	9	22	2.4	3628	4.097	0.026	0.023	0.398	0.009	0.021	2	119.18828	39.92788
63	"NGC 2481"	"S0 "	29	20	0.5	74	9	34	3.8	2147	4.241	0.016	0.013	0.447	0.004	0.035	2	119.30718	23.76769
64	"NGC 2486"	"Sab"	63	93	0.42	56	15	29	1.9	4602	5.837	0.034	0.032	-0.019	0.028	0.031	1	119.48537	25.16088
65	"NGC 2553"	"Sb "	64	65	0.46	61	9	19	2.1	4622	7.403	0.035	0.035	-0.264	0.017	0.016	2	124.39598	20.90323
66	"NGC 2554"	"S0a"	56	146	0.35	49	19	38	2.0	4064	5.097	0.013	0.01	-0.029	0.006	0.008	3	124.47282	23.47211
67	"NGC 2592"	"E4 "	26	49	0.2	51	9	28	3.1	1937	6.868	0.013	0.013	-0.029	0.006	0.007	2	126.78355	25.97031
68	"NGC 2604"	"Sd "	28	179	0.08	22	26	36	1.4	2048	4.619	0.047	0.044	0.552	0.024	0.034	0	128.34607	29.53862
69	"NGC 2639"	"Sa "	46	128	0.38	61	17	38	2.2	3149	4.334	0.011	0.023	0.579	0.003	0.02	2	130.90872	50.20554
70	"NGC 2730"	"Scd"	51	77	0.23	49	24	39	1.6	3762	4.926	0.045	0.031	0.377	0.015	0.021	0	135.566	16.8382
71	"NGC 2880"	"E7 "	22	140	0.36	54	18	36	2.0	1553	4.365	0.01	0.008	0.032	0.006	0.008	1	142.39424	62.49062
72	"NGC 2906"	"Sbc"	28	81	0.45	58	19	33	1.7	2110	5.364	0.021	0.018	0.39	0.01	0.014	1	143.02603	8.44191
73	"NGC 2916"	"Sbc"	50	18	0.36	56	26	40	1.5	3678	4.48	0.01	0.009	-0.403	0.022	0.019	1	143.73997	21.70526
74	"NGC 2918"	"E6 "	93	74	0.34	53	12	28	2.3	6653	6.008	0.018	0.015	0.424	0.003	0.006	2	143.93347	31.70541
75	"NGC 3057"	"Sdm"	23	191	0.38	81	32	34	1.1	1508	6.614	0.107	0.101	-0.307	0.036	0.046	0	151.41377	80.28567
