recno	Galaxy	D	Re	logM*	logSFR	dSFR	Type	Bar	QS	f_QS	NA	f_NA	_RA	_DE
97	"NGC 5056"	77.0	13.2				"Sc "	"AB"	"SF "	1	"nonA"	S	199.05137	30.9503
98	"NGC 5218"	41.9	16.1	10.445	0.083	-0.429	"Sab"	"B "	"MX "	1	"nonA"	S	203.04345	62.76781
99	"NGC 5378"	42.7	16.6	10.341	-0.976	-1.408	"Sb "	"B "	"MX "	2	"nonA"	S	209.21259	37.79723
100	"NGC 5480"	27.0	15.1	9.716	0.172	0.221	"Scd"	"A "	"SF "	1	"nonA"	S	211.58967	50.725
101	"NGC 5485"	28.1	12.8	10.53	-1.78	-2.358	"E5 "	"A "	"fR "	1	"nonA"	S	211.79713	55.00152
102	"NGC 5520"	27.3	11.0	9.691	-0.041	0.027	"Sbc"	"A "	"SF "	1	"nonA"	S	213.09502	50.34846
103	"NGC 5614"	54.4	12.3	11.109	-0.098	-1.122	"Sa "	"A "	"nR "	1	"wAGN"	S	216.03163	34.85889
104	"NGC 5630"	37.7	13.3	9.513	0.284	0.49	"Sdm"	"B "	"SF "	1	"nonA"	S	216.90242	41.25782
105	"NGC 5633"	33.5	11.2	10.012	0.325	0.146	"Sbc"	"A "	"SF "	1	"nonA"	S	216.86817	46.14653
106	"NGC 5657"	54.5	10.7	10.26	0.19	-0.179	"Sbc"	"B "	"SF "	1	"nonA"	S	217.68184	29.18064
107	"NGC 5682"	32.8	25.2	9.109	-0.483	0.034	"Scd"	"B "	"SF "	1	"nonA"	S	218.68735	48.67026
108	"NGC 5720"	108.4	12.4	10.947	0.12	-0.779	"Sbc"	"B "	"cQ "	1	"nonA"	S	219.63868	50.81525
109	"NGC 5732"	52.7	13.2	9.726	0.026	0.067	"Sbc"	"A "	"SF "	1	"nonA"	S	220.1623	38.63783
110	"NGC 5784"	75.1	8.6	11.054	-0.068	-1.048	"S0 "	"A "	"nR "	1	"nonA"	S	223.56857	42.55777
111	"NGC 5876"	46.9	11.6	10.654	-0.833	-1.506	"S0a"	"B "	"nR "	2	"nonA"	S	227.38158	54.50649
112	"NGC 5888"	121.3	12.0	11.273	0.36	-0.789	"Sb "	"B "	"cQ "	2	"nonA"	S	228.28072	41.26463
113	"NGC 5908"	47.3	16.2	10.941	-0.051	-0.945	"Sa "	"A "	"MX "	1	"nonA"	S	229.18008	55.40925
114	"NGC 5971"	61.2	9.8	10.079	-0.421	-0.651	"Sb "	"AB"	"MX "	2	"wAGN"	S	233.90377	56.4617
115	"NGC 5980"	57.1	13.2	10.666	0.848	0.166	"Sbc"	"A "	"SF "	1	"nonA"	S	235.37673	15.7877
116	"NGC 5987"	43.5	19.7	10.753	-0.796	-1.545	"Sa "	"A "	"nR "	1	"nonA"	S	234.98909	58.07955
117	"NGC 6020"	60.4	7.3	10.808	-1.451	-2.242	"E4 "	"A "	"fR "	1	"nonA"	S	239.28383	22.40455
118	"NGC 6021"	66.2	5.9	10.896	-1.282	-2.142	"E5 "	"A "	"fR "	1	"nonA"	S	239.37782	15.95621
119	"NGC 6032"	60.1	14.8	10.281	-0.297	-0.683	"Sbc"	"B "	"MX "	2	"nonA"	S	240.75468	20.95597
120	"NGC 6060"	62.3	22.3	10.795	0.676	-0.106	"Sb "	"A "	"SF "	1	"nonA"	S	241.46658	21.48498
121	"NGC 6063"	40.0	17.9	9.924	-0.372	-0.483	"Sbc"	"A "	"SF "	1	"nonA"	S	241.80417	7.97901
122	"NGC 6081"	72.0	10.0	10.935	-0.546	-1.435	"S0a"	"A "	"nR "	1	"sAGN"	U	243.23687	9.86712
123	"NGC 6125"	68.6	8.0	11.202	-1.426	-2.521	"E1 "	"A "	"fR "	1	"nonA"	S	244.79814	57.98411
124	"NGC 6132"	69.2	14.2	10.099	0.325	0.08	"Sbc"	"A "	"SF "	1	"nonA"	S	245.91167	11.78636
125	"NGC 6146"	123.0	7.9	11.463	-0.767	-2.063	"E5 "	"A "	"nR "	1	"wAGN"	U	246.29302	40.89287
126	"NGC 6150"	121.6	7.2	11.252	-0.744	-1.878	"E7 "	"A "	"fR "	1	"nonA"	S	246.45819	40.48872
127	"NGC 6168"	36.1	18.1	9.596	-0.031	0.111	"Sc "	"AB"	"SF "	1	"nonA"	S	247.83949	20.18372
128	"NGC 6173"	122.5	13.9	11.681	-0.576	-2.04	"E6 "	"A "	"nR "	2	"nonA"	S	247.43715	40.81161
129	"NGC 6186"	41.9	11.9	10.454	0.183	-0.336	"Sb "	"B "	"MX "	1	"nonA"	S	248.60619	21.54084
130	"NGC 6278"	40.7	8.4	10.676	-1.97	-2.66	"S0a"	"AB"	"fR "	1	"nonA"	S	255.20968	23.01104
131	"NGC 6301"	116.8	21.5	10.87	0.524	-0.315	"Sbc"	"A "	"SF "	1	"nonA"	S	257.13641	42.33913
132	"NGC 6310"	49.5	15.3	10.451	-0.353	-0.87	"Sb "	"A "	"cQ "	1	"nonA"	S	256.98932	60.99006
133	"NGC 6314"	92.9	9.4	10.921	-0.195	-1.073	"Sab"	"A "	"nR "	1	"nonA"	S	258.16121	23.27007
134	"NGC 6478"	95.6	15.5	10.986	0.796	-0.133	"Sc "	"A "	"SF "	1	"nonA"	S	267.15976	51.15728
135	"NGC 6497"	87.2	12.3	10.885	-0.05	-0.901	"Sab"	"B "	"cQ "	1	"nonA"	S	267.82488	59.47087
136	"NGC 6515"	96.7	10.8	11.086	-0.945	-1.951	"E3 "	"A "	"nR "	1	"nonA"	S	269.35497	50.72812
137	"NGC 6762"	43.0	10.3	10.205	-1.714	-2.042	"Sab"	"A "	"nR "	1	"wAGN"	S	286.40451	63.93409
138	"NGC 6941"	87.2	16.6	10.982	0.072	-0.853	"Sb "	"B "	"QnR"	1	"nonA"	S	309.09781	-4.61873
139	"NGC 6945"	53.9	8.8	9.385	-2.882	-2.578	"S0 "	"B "	"fR "	1	"nonA"	S	309.75251	-4.97254
140	"NGC 6978"	84.5	14.9	10.814	0.198	-0.598	"Sb "	"AB"	"MX "	2	"nonA"	S	313.14764	-5.71112
141	"NGC 7025"	70.8	13.0	11.242	-0.629	-1.754	"S0a"	"A "	"nR "	1	"nonA"	S	316.9472	16.33586
142	"NGC 7047"	81.7	17.3	10.721	0.324	-0.401	"Sbc"	"B "	"cQ "	1	"nonA"	S	319.11518	-0.82647
143	"NGC 7194"	112.7	3.6	11.345	-1.158	-2.363	"E3 "	"A "	"fR "	1	"nonA"	S	330.87891	12.63678
144	"NGC 7311"	64.3	8.6	11.117	0.105	-0.925	"Sa "	"A "	"cQ "	1	"nonA"	S	338.52817	5.57031
145	"NGC 7321"	100.5	13.0	11.028	0.495	-0.466	"Sbc"	"B "	"QnR"	1	"wAGN"	U	339.11673	21.62177
146	"NGC 7364"	68.5	8.0	10.706	0.483	-0.23	"Sab"	"A "	"SF "	1	"nonA"	S	341.10154	-0.16212
147	"NGC 7466"	105.5	12.7	10.709	0.455	-0.26	"Sbc"	"A "	"SF "	1	"sAGN"	S	345.51431	27.0526
148	"NGC 7489"	88.0	16.2	10.493	0.748	0.199	"Sbc"	"A "	"SF "	1	"nonA"	S	346.88617	22.99805
149	"NGC 7549"	67.3	19.1	10.51	0.78	0.218	"Sbc"	"B "	"SF "	2	"nonA"	S	348.82202	19.04164
