recno	ID	eps	PA	Incl	Reff	Type	M*	rMAG	C90/50	u-r	SFR	l0_5Re	lRe	l2Re	lRe90	(V/sig)e	SimbadName	_RA	_DE
14	16	0.468	53.4	61.5	20	"Scd"	0.99	-20.19	2.23	2.24	1.19	0.51	0.61		0.63	0.74	"MCG-02-02-040"	7.89879	-10.50633
15	17	0.49	149.8	63.2	18	"E4 "	6.07	-21.39	3.23	3.58	0.1	0.25	0.28		0.29	0.29	"UGC 335 S"	8.48879	7.26828
16	18	0.143	167.6	41.8	15	"E1 "	15.0	-22.41	3.01	2.7	0.1	0.06	0.1		0.13	0.1	"NGC0155"	8.667	-10.76656
17	20	0.473	49.8	61.6	22	"Sa "	10.72	-22.18	2.98	3.02	0.34	0.33	0.45		0.47	0.43	"NGC0160"	9.01708	23.95792
18	22	0.473	90.7	61.7	34	"Sab"	39.9	-21.87	2.69	3.8	1.82	0.63	0.65		0.67	0.81	"NGC0169"	9.21504	23.99094
19	23	0.055	32.0	20.7	26	"Sb "	5.26	-21.84	1.98	2.64	0.69	0.29	0.53		0.8	0.47	"NGC0171"	9.33967	-19.93425
20	24	0.417	8.2	57.4	13	"Sab"	2.34	-20.7	3.79	3.1		0.56	0.68	0.86	0.7	0.82	"NGC0177"	9.39304	-22.54925
21	25	0.339	167.1	51.1	28	"Sb "	8.36	-22.31	2.18	3.01	2.35	0.64	0.8		0.83	1.18	"NGC0180"	9.49037	8.63522
22	26	0.574	168.7	68.9	22	"Sab"	7.05	-21.59	2.63	2.7	2.69	0.56	0.75		0.76	0.91	"NGC0192"	9.80579	0.86414
23	27	0.711	25.8	77.3	20	"Sd "	0.19	-18.99	2.45	1.63	0.26	0.34	0.52		0.52	0.54	"NGC0216"	10.362	-21.04803
24	28	0.261	50.5	44.5	18	"Sbc"	6.65	-22.16	2.44	2.44	4.87	0.62	0.71		0.77	1.12	"NGC0214"	10.36675	25.49939
25	29	0.742	112.9	79.0	23	"Sa "	12.5	-21.9	2.98	3.02		0.45	0.63		0.63	0.65	"NGC0217"	10.39121	-10.02142
26	30	0.324	175.3	50.0	15	"Sc "	2.04	-21.14	2.42	1.88	2.18	0.5	0.63	0.66	0.68	0.82	"NGC0237"	10.86617	-0.12486
27	31	0.205	64.3	39.1	20	"Sc "	4.5	-21.91	1.91	2.45	5.75	0.54	0.64		0.73	0.83	"NGC0234"	10.88492	14.34261
28	32	0.743	22.7	79.0	12	"Sab"	4.24	-21.41	3.13	2.64		0.55	0.67	0.82	0.68	0.75	"MCG-02-03-015"	11.94342	-9.83508
29	33	0.359	88.9	52.7	21	"Sc "	6.22	-22.15	2.11	2.54	5.76	0.64	0.75		0.78	1.08	"NGC0257"	12.00629	8.29708
30	35	0.275	35.4	45.7	15	"E7 "	9.16	-21.56	3.1	3.06	0.04	0.43	0.57		0.63	0.6	"NGC0364"	16.17029	-0.80267
31	36	0.777	15.8	80.6	6	"Sa "	6.22	-21.26	3.16	2.65	3.31	0.43	0.56	0.66	0.56	0.57	"NGC0429"	18.23937	-0.34492
32	37	0.724	171.5	78.3	11	"S0a"	4.09	-21.2		2.58	0.22	0.39	0.58	0.73	0.58	0.62	"IC1652"	18.73437	31.9485
33	38	0.126	74.9	30.4	28	"Sa "	13.52	-22.4	3.33	2.86	1.16	0.25	0.3		0.42	0.28	"NGC0447"	18.90687	33.06778
34	39	0.739	158.7	79.1	23	"Scd"	0.74	-20.23	2.25	2.09	0.67	0.62	0.76		0.76	1.12	"NGC0444"	18.95658	31.08022
35	40	0.808	23.6	82.2	20	"Scd"	0.49	-19.72	2.31	2.22	0.64	0.55	0.68		0.68	0.84	"UGC00809"	18.96604	33.81078
36	41	0.774	54.5	80.4	17	"Sbc"	1.03	-20.26	2.52	2.3	0.87	0.81	0.85		0.85	1.51	"UGC00841"	19.79171	33.03056
37	42	0.5	128.4	64.0	21	"Sbc"	3.14	-21.69		2.52	2.25	0.69	0.82		0.83	1.3	"NGC0477"	20.33475	40.48817
38	43	0.355	15.6	52.7	13	"Sb "	3.88	-21.11	2.59	2.66	3.17	0.5	0.64		0.68	0.74	"IC1683"	20.66196	34.437
39	44	0.328	72.2	67.4	21	"E5 "	25.18	-22.48	2.96	3.0	0.12	0.05	0.1		0.11	0.1	"NGC0499"	20.79792	33.46019
40	45	0.455	32.7	60.2	19	"Scd"	2.59	-21.4	2.03	2.49	4.14	0.78	0.83		0.84	1.53	"NGC0496"	20.79842	33.52925
41	46	0.597	44.2	70.5	8	"S0 "	2.95	-20.76	3.17	2.83	0.02	0.37	0.46	0.59	0.47	0.45	"NGC0504"	20.86629	33.20436
42	47	0.485	24.2	62.6	10	"S0 "	6.64	-21.35	3.46	2.79	0.02	0.43	0.5	0.52	0.51	0.51	"NGC0517"	21.18254	33.42958
43	49	0.64	30.3	73.8	12	"Sa "	4.11	-21.21	3.0	2.57	1.39	0.61	0.76	0.83	0.76	1.0	"UGC00987"	21.38108	32.13625
44	50	0.516	57.7	65.1	12	"S0 "	7.48	-21.68	3.06	3.03	0.46	0.53	0.66	0.74	0.67	0.72	"NGC0528"	21.38987	33.67142
45	51	0.095	13.9	26.6	12	"E4 "	12.25	-22.27	3.13	2.87	0.06	0.28	0.34	0.41	0.52	0.35	"NGC0529"	21.41792	34.71294
46	52	0.564	137.5	68.2	19	"Sbc"	4.38	-21.52	2.12	3.25	1.82	0.67	0.81	0.86	0.81	1.28	"NGC0551"	21.91929	37.183
47	53	0.686	152.4	75.9	14	"Sc "	1.27	-20.81	2.44	2.1	2.17	0.62	0.72		0.72	0.97	"UGC01057"	22.22262	13.79258
48	59	0.465	99.7	60.9	9	"S0a"	6.71	-21.42	3.06	2.89	0.03	0.33	0.44	0.57	0.45	0.45	"UGC01271"	27.25025	13.21111
49	61	0.328	65.1	50.2	30	"Sa "	3.1	-20.71	2.44	3.15	0.35	0.29	0.28		0.32	0.34	"NGC0681"	27.29504	-10.42633
50	68	0.223	85.2	54.0	35	"E1 "	32.89	-23.47	2.8	3.05	0.2	0.07	0.07		0.08	0.07	"NGC0741"	29.08733	5.62883
51	69	0.61	49.2	71.9	28	"Scd"	0.24	-19.43	2.16	1.77	0.36	0.43	0.53		0.54	0.6	"NGC0755"	29.0945	-9.06144
52	70	0.748	155.0	79.4	11	"Sb "	8.43	-21.69	2.97	2.97	0.55	0.52	0.67	0.84	0.67	0.77	"IC1755"	29.29087	14.54978
53	71	0.607	33.6	71.5	15	"Sc "	3.48	-21.78	2.54	2.17	4.33	0.57	0.73	0.77	0.73	0.94	"NGC0768"	29.67062	0.52922
54	72	0.177	164.2	36.2	12	"S0 "	8.39	-21.55	3.01	2.8	0.13	0.4	0.52	0.55	0.64	0.58	"NGC0774"	29.89475	14.00822
55	73	0.101	41.3	27.2	19	"Sb "	4.94	-21.82	2.1	2.9	3.19	0.24	0.37		0.54	0.34	"NGC0776"	29.97717	23.64428
56	74	0.702	11.9	76.9	8	"Sa "	2.96	-20.8	3.38	2.55	0.61	0.36	0.51	0.69	0.52	0.49	"NGC0781"	30.03737	12.65611
57	76	0.344	27.3	69.0	17	"E5 "	35.65	-22.84	2.98	3.06	0.3	0.1	0.14		0.15	0.16	"NGC0810"	31.369	13.25164
58	77	0.507	50.6	64.3	12	"Sa "	2.64	-20.7	3.18	2.68	0.12	0.22	0.25	0.33	0.25	0.28	"NGC0825"	32.13471	6.32361
59	87	0.084	65.3	24.7	18	"S0a"	9.2	-22.1	3.2	3.14	0.36	0.24	0.31		0.5	0.29	"NGC0932"	36.97783	20.33264
60	100	0.318	153.8	49.4	14	"Sa "	1.05	-19.94	3.17	2.85	1.09	0.22	0.22	0.24	0.25	0.28	"NGC1056"	40.70121	28.57428
61	101	0.18	75.0	47.5	27	"E3 "	70.15	-23.62	3.03	3.52	0.24	0.04	0.05		0.06	0.06	"NGC1060"	40.81271	32.425
62	103	0.575	96.8	69.0	10	"S0a"	5.53	-21.42	3.1	3.0	0.1	0.42	0.53	0.68	0.54	0.54	"UGC02222"	41.29033	32.98972
63	104	0.521	177.2	65.4	19	"S0a"	7.76	-22.03	3.18	2.73	0.35	0.57	0.58		0.59	0.68	"UGC02229"	41.36483	0.91433
64	108	0.39	99.1	55.2	13	"Sbc"	3.25	-21.49	2.61	2.7	1.18	0.59	0.71	0.77	0.74	0.98	"NGC1093"	42.06721	34.41981
65	115	0.587	153.5	69.8	19	"Sb "	3.19	-20.8	2.04	2.84	3.1	0.56	0.7		0.71	1.01	"UGC02403"	43.98867	0.69253
66	119	0.228	62.5	41.3	24	"S0 "	49.2	-22.98	2.75	3.77	1.33	0.32	0.44		0.52	0.44	"NGC1167"	45.4265	35.20564
67	127	0.119	50.6	29.6	17	"E6 "	8.47	-22.44	2.59	3.28	0.65	0.25	0.38		0.54	0.37	"NGC1349"	52.86475	4.38086
68	131	0.589	131.3	70.1	15	"Sab"	2.74	-20.74	2.52	3.05	0.72	0.48	0.62		0.63	0.73	"NGC1542"	64.30896	4.78167
69	134	0.568	84.4	68.7	13	"S0a"	6.78	-21.81	3.23	2.77	0.35	0.44	0.54	0.75	0.55	0.57	"NGC1645"	71.02667	-5.46567
70	135	0.725	93.5	78.5	20	"Sa "	5.71	-21.41	2.43	10.64	0.82	0.56	0.77		0.77	1.3	"UGC03151"	71.33175	11.06792
71	143	0.71	137.0	77.7	12	"Scd"	0.38	-19.46	2.51	1.69	0.63	0.44	0.56	0.6	0.57	0.65	"NGC1677"	72.717	-4.89272
72	144	0.724	144.2	78.0	25	"Scd"	1.74	-20.81	2.48	2.11	1.86	0.67	0.76		0.76	1.03	"IC2101"	72.92604	-6.23147
73	146	0.475	87.7	61.7	15	"Sb "	2.69	-21.16	2.26	2.54		0.52	0.7		0.71	0.89	"UGC03253"	79.92346	84.05253
74	147	0.323	109.7	49.8	15	"Sbc"	3.34	-21.55	2.14	2.54	2.81	0.46	0.65	0.75	0.7	0.8	"NGC2253"	100.81121	65.67747
75	148	0.693	117.9	76.8	20	"Sc "	0.7	-19.69	2.82	2.5	0.21	0.63	0.74		0.75	1.03	"UGC03539"	102.22521	66.26136
76	149	0.36	9.1	52.8	18	"Sbc"	8.71	-22.12	2.57	2.34	2.65	0.76	0.79	0.82	0.82	1.29	"NGC2347"	109.01704	64.71153
77	150	0.698	44.0	77.1	9	"Sd "	0.17	-19.23	2.89	1.36	0.5	0.33	0.34	0.35	0.34	0.37	"UGC03899"	113.15729	35.61467
78	151	0.684	34.6	76.1	21	"Sb "	7.62	-21.86	3.09	2.62	2.66	0.63	0.73		0.73	0.9	"NGC2410"	113.75942	32.82217
79	152	0.569	120.9	68.6	17	"Sbc"	0.99	-20.42	2.16	2.01	0.69	0.66	0.71		0.71	1.01	"UGC03944"	114.65217	37.63339
80	153	0.781	134.3	80.7	15	"Sb "	4.78	-21.19	2.36	2.47	2.24	0.6	0.79		0.79	1.18	"UGC03969"	115.30987	27.61406
81	155	0.555	90.7	67.7	25	"Sb "	8.36	-22.12	2.43	3.45	1.31	0.54	0.65		0.66	0.75	"UGC03995"	116.03804	29.24744
82	156	0.519	135.7	65.4	16	"Sab"	7.28	-21.68	2.74	2.97	0.94	0.62	0.76		0.77	1.03	"NGC2449"	116.83454	26.93017
83	171	0.269	174.5	60.4	26	"E2 "	34.59	-22.86	3.08	3.14	0.1	0.08	0.1		0.11	0.1	"NGC2513"	120.60275	9.41358
84	174	0.79	130.7	81.2	18	"Sab"	5.15	-20.92		3.0	0.66	0.71	0.81	0.89	0.81	1.2	"UGC04197"	120.85629	10.05061
85	183	0.394	131.5	55.6	14	"Sbc"	3.32	-21.62	2.17	2.08	2.91	0.65	0.78	0.83	0.8	1.2	"NGC2540"	123.19342	26.36086
86	185	0.682	3.7	75.9	11	"Sb "	1.37	-20.29	2.58	2.43	0.48	0.53	0.69	0.83	0.7	0.86	"UGC04280"	123.639	54.79944
87	186	0.787	148.5	81.4	21	"Sab"	3.24	-20.75		3.29	1.2	0.63	0.7		0.7	0.88	"IC2247"	123.99608	23.19953
88	187	0.141	113.9	32.8	24	"Sc "	1.84	-21.29	2.06	3.96	1.11	0.5	0.68		0.8	0.94	"UGC04308"	124.35742	21.68558
89	188	0.499	67.6	63.7	9	"Sb "	6.89	-21.3	3.22	2.76	0.03	0.41	0.49		0.51	0.52	"NGC2553"	124.396	20.90322
90	189	0.192	160.4	37.9	19	"S0a"	16.33	-22.59	2.97	2.99	0.5	0.29	0.36		0.44	0.36	"NGC2554"	124.47283	23.47211
91	201	0.217	45.9	40.2	9	"E4 "	4.15	-20.72	3.25	2.81	0.01	0.36	0.44	0.56	0.52	0.43	"NGC2592"	126.78354	25.97031
92	209	0.118	48.4	29.4	26	"Sd "	0.46	-20.24	1.98	1.95	0.57	0.21	0.29		0.42	0.34	"NGC2604"	128.34608	29.53861
93	219	0.35	130.3	52.2	17	"Sa "	14.72	-22.33	2.71	2.77	3.58	0.5	0.65	0.72	0.69	0.81	"NGC2639"	130.90871	50.20553
94	231	0.793	31.7	81.2	32	"Sdm"	0.05	-18.18	2.13	3.15	0.09	0.48	0.45		0.45	0.48	"UGC04722"	135.10058	25.61481
95	232	0.115	80.8	29.2	24	"Scd"	1.31	-20.94	1.88	1.95	1.46	0.48	0.56		0.72	0.72	"NGC2730"	135.566	16.83819
96	272	0.356	142.9	52.7	18	"E7 "	4.69	-21.1	3.26	2.73	0.01	0.42	0.53		0.57	0.55	"NGC2880"	142.39425	62.49061
97	273	0.791	162.9	81.2	25	"Sc "	2.48	-21.05	2.51	3.22	1.43	0.79	0.84		0.85	1.42	"IC2487"	142.53829	20.09092
98	274	0.63	170.0	72.8	14	"Sab"	0.75	-19.27	2.67	2.74	0.08	0.5	0.65		0.66	0.79	"IC0540"	142.54275	7.90253
99	275	0.437	82.6	59.1	19	"Sbc"	2.46	-20.79	2.08	3.07	0.84	0.59	0.76		0.78	1.04	"NGC2906"	143.02604	8.44192
100	277	0.356	19.9	52.3	26	"Sbc"	5.66	-22.09	2.16	2.24	1.35	0.59	0.77		0.8	1.12	"NGC2916"	143.73996	21.70525
101	278	0.595	138.1	70.3	9	"Sb "	7.74	-22.12	2.81	2.48	4.87	0.32	0.47		0.47	0.54	"UGC05108"	143.8595	29.81267
102	279	0.307	75.1	48.5	12	"E6 "	27.73	-22.78	3.01	2.8	0.16	0.26	0.3	0.31	0.34	0.32	"NGC2918"	143.93346	31.70542
103	281	0.738	41.9	78.7	8	"S0a"	12.62	-21.76	3.44	2.93	0.12	0.44	0.52	0.71	0.53	0.53	"UGC05113"	144.23787	66.54864
104	311	0.102	116.1	27.6	21	"Sab"	16.29	-22.79	3.06	3.02	0.92	0.2	0.25		0.39	0.23	"NGC3106"	151.02187	31.18547
105	312	0.269	23.2	44.9	32	"Sdm"	0.12	-19.17	1.9	2.03	0.22	0.31	0.43		0.49	0.51	"NGC3057"	151.41379	80.28567
106	314	0.785	61.4	81.2	13	"Sa "	6.38	-21.36	3.1	2.69	1.11	0.58	0.68	0.81	0.68	0.81	"UGC05498"	153.01479	23.08544
107	318	0.188	165.7	37.5	32	"E3 "	54.7	-23.7	3.11	3.14	0.32	0.25	0.26		0.34	0.29	"NGC3158"	153.46054	38.76492
108	319	0.756	140.8	79.6	15	"Sab"	8.99	-21.51	2.71	2.79	0.79	0.49	0.65	0.81	0.65	0.7	"NGC3160"	153.47929	38.84297
109	326	0.738	35.6	79.2	15	"Sb "	1.71	-20.75	2.46	2.23	1.32	0.47	0.68		0.69	0.87	"UGC05598"	155.55833	20.58933
110	339	0.459	173.3	60.5	13	"S0a"	5.78	-21.41	2.69	2.92	0.02	0.41	0.56	0.76	0.59	0.62	"NGC3300"	159.16012	14.17156
111	340	0.508	159.6	79.1	15	"S0a"	11.51	-22.33	2.97	2.76	1.86	0.2	0.19		0.19	0.21	"NGC3303"	159.25037	18.13578
112	341	0.329	60.4	50.6	12	"E6 "	20.75	-22.35	3.35	2.76	0.86	0.39	0.48	0.54	0.52	0.49	"UGC05771"	159.33058	43.58758
113	353	0.141	43.1	32.4	24	"Sd "	0.48	-20.08	2.03	1.89	0.3	0.21	0.25		0.35	0.29	"NGC3381"	162.10333	34.71142
114	361	0.742	15.1	78.9	12	"Sc "	0.16	-18.32	2.78	1.9		0.16	0.17	0.34	0.17	0.2	"UGC05990"	163.15983	34.48278
115	364	0.726	100.6	78.6	11	"Sa "	14.86	-21.93	3.41	2.79	0.5	0.43	0.56	0.8	0.57	0.55	"UGC06036"	163.98025	36.86153
116	381	0.635	117.0	73.1	9	"Sab"	8.09	-22.07	2.91	2.6	0.86	0.54	0.61	0.77	0.62	0.7	"IC0674"	167.7765	43.633
117	386	0.636	49.6	73.3	13	"Sab"	10.74	-21.91	3.0	2.77	0.83	0.4	0.5	0.63	0.51	0.51	"UGC06312"	169.50087	7.84486
118	387	0.416	42.9	57.6	15	"E5 "	24.15	-22.98	3.34	2.94	0.12	0.31	0.35		0.37	0.35	"NGC3615"	169.52775	23.39728
119	414	0.058	151.0	20.5	17	"Sb "	1.88	-20.97	2.21	2.46	0.42	0.36	0.52		0.77	0.56	"NGC3687"	172.00254	29.51106
120	436	0.233	171.5	41.7	21	"Sbc"	2.65	-21.4	2.14	2.34	2.0	0.45	0.64		0.71	0.76	"NGC3811"	175.31937	47.69072
121	437	0.499	67.8	63.8	14	"Sbc"	2.25	-21.05	2.65	2.12		0.57	0.66	0.65	0.67	0.88	"NGC3815"	175.41379	24.80053
122	476	0.492	8.1	63.5	9	"Sbc"	2.65	-21.22	2.72	1.89	3.71	0.54	0.67	0.71	0.69	0.84	"NGC3994"	179.40362	32.27761
123	479	0.279	168.8	46.1	14	"S0a"	11.83	-22.0	2.77	2.75	1.32	0.49	0.6		0.66	0.72	"NGC4003"	179.49592	23.12489
124	486	0.507	12.1	64.4	14	"Scd"	0.28	-19.91	2.72	1.48	0.69	0.62	0.71	0.63	0.73	1.0	"UGC07012"	180.51317	29.84808
125	489	0.258	97.6	44.0	16	"Sbc"	4.86	-21.9	2.29	2.17	3.42	0.61	0.66		0.73	0.94	"NGC4047"	180.71121	48.63619
126	500	0.632	151.3	72.9	16	"Sbc"	2.26	-21.14	2.31	2.43	1.23	0.71	0.83		0.83	1.4	"UGC07145"	182.46225	38.21853
127	502	0.597	85.4	70.7	18	"Sa "	2.3	-20.63	2.62	2.3	0.42	0.56	0.72		0.73	0.93	"NGC4149"	182.63687	58.30383
128	515	0.334	164.4	50.7	30	"Sbc"	4.69	-21.88	1.96	3.16	0.89	0.75	0.8		0.83	1.34	"NGC4185"	183.34254	28.51092
129	518	0.244	97.7	42.7	21	"Sb "	1.93	-20.98	1.87	2.55	0.55	0.64	0.79		0.84	1.25	"NGC4210"	183.81604	65.98531
130	548	0.325	179.5	49.9	15	"Sc "	0.98	-20.72	2.01	1.56	0.87	0.37	0.5		0.55	0.59	"NGC4470"	187.40754	7.82425
131	569	0.706	57.0	77.3	12	"Sb "	2.82	-21.03	2.78	2.4	0.8	0.58	0.73	0.83	0.74	0.96	"NGC4644"	190.67771	55.14553
132	577	0.847	2.3	83.5	38	"Sdm"	6.5	-22.17	2.8	2.41	2.09	0.49	0.54		0.54	0.62	"NGC4676A"	191.54192	30.73183
133	580	0.475	41.4	62.0	17	"Sbc"	2.05	-21.05	2.04	2.38		0.73	0.76		0.78	1.19	"NGC4711"	192.19108	35.33275
134	588	0.309	80.6	65.4	30	"E1 "	32.06	-23.03	2.87	2.91	0.18	0.07	0.08		0.08	0.08	"NGC4816"	194.05058	27.74556
135	589	0.107	42.9	28.0	20	"E3 "	35.16	-22.83	3.22	2.84	0.21	0.08	0.1		0.17	0.12	"NGC4841A"	194.38325	28.47692
136	592	0.235	46.5	55.7	55	"E0 "	49.54	-24.11	2.72	3.0	0.13	0.05	0.06		0.07	0.07	"NGC4874"	194.89879	27.95939
137	593	0.681	53.2	75.8	16	"Sa "	11.64	-22.56	2.49	3.17	6.4	0.34	0.44		0.45	0.44	"UGC08107"	194.91525	53.34131
