recno	ID	eps	PA	Incl	Reff	Type	M*	rMAG	C90/50	u-r	SFR	l0_5Re	lRe	l2Re	lRe90	(V/sig)e	SimbadName	_RA	_DE
176	791	0.359	154.0	52.8	34	"Sa "	16.71	-22.17	2.69	3.8	2.63	0.6	0.71		0.75	0.99	"NGC5908"	229.18008	55.40925
177	795	0.537	161.8	66.5	16	"Sab"	4.3	-21.36	2.77	2.7	2.23	0.59	0.72	0.78	0.73	0.92	"NGC5930"	231.53333	41.67603
178	796	0.591	24.1	70.4	13	"Sb "	8.75	-21.8	2.29	2.65	1.24	0.52	0.66	0.76	0.66	0.81	"NGC5934"	232.05317	42.92983
179	797	0.746	126.0	79.2	21	"Sb "	1.25	-20.38	2.44	2.51	1.19	0.56	0.71		0.71	0.9	"UGC09873"	232.46104	42.62897
180	798	0.695	101.0	76.7	16	"Sbc"	1.98	-20.71	2.5	2.29	0.89	0.64	0.8		0.8	1.22	"UGC09892"	233.2165	41.19153
181	801	0.102	43.3	27.4	10	"Sa "	3.01	-21.09	3.12	2.15	2.59	0.31	0.24	0.23	0.38	0.32	"NGC5953"	233.635	15.19383
182	804	0.555	132.4	68.0	12	"Sb "	2.07	-20.8	2.96	2.28	0.12	0.38	0.51	0.62	0.52	0.53	"NGC5971"	233.90375	56.46169
183	806	0.386	83.9	54.8	18	"E4 "	10.21	-22.08	2.83	2.83	0.1	0.21	0.25		0.27	0.25	"NGC5966"	233.96712	39.76889
184	807	0.411	161.0	57.1	15	"Sb "	8.99	-21.96	2.24	2.95	0.7	0.49	0.62		0.65	0.71	"IC4566"	234.17567	43.53931
185	809	0.655	62.7	74.7	33	"Sa "	16.22	-22.15	3.01	3.08	0.1	0.44	0.57		0.57	0.55	"NGC5987"	234.98908	58.07956
186	810	0.596	11.7	70.2	17	"Sbc"	5.25	-21.81	2.32	2.38	5.71	0.7	0.79	0.85	0.8	1.21	"NGC5980"	235.37675	15.78769
187	813	0.205	91.3	39.4	22	"Sbc"	4.86	-21.86	1.97	3.55	1.41	0.5	0.66		0.75	0.82	"NGC6004"	237.59454	18.93911
188	814	0.178	114.1	36.4	14	"E5 "	28.71	-22.73	3.29	2.86	0.59	0.26	0.31		0.4	0.3	"UGC10097"	238.93046	47.86733
189	815	0.306	133.5	65.1	19	"E4 "	10.02	-22.08	3.03	3.14	0.04	0.04	0.06		0.06	0.06	"NGC6020"	239.28383	22.40456
190	816	0.273	157.1	45.4	9	"E5 "	10.14	-21.88	3.28	2.92	0.1	0.27	0.3	0.34	0.35	0.32	"NGC6021"	239.37783	15.95622
191	817	0.626	28.9	72.5	22	"Scd"	0.7	-20.26	2.14	2.01	0.55	0.61	0.68		0.69	0.91	"IC1151"	239.63471	17.44156
192	818	0.775	53.6	80.5	18	"Sab"	3.32	-20.55	2.49	2.79	1.65	0.6	0.73		0.73	0.99	"UGC10123"	239.7615	51.3045
193	820	0.382	0.1	55.1	27	"Sbc"	3.37	-21.3	1.96	3.21	0.56	0.59	0.68		0.71	0.92	"NGC6032"	240.75467	20.95597
194	821	0.566	102.0	68.9	28	"Sb "	8.59	-22.23	2.22	2.93	3.26	0.67	0.78		0.79	1.11	"NGC6060"	241.46658	21.48497
195	822	0.38	133.6	54.1	19	"S0a"	9.93	-22.32	2.55	2.79	1.76	0.29	0.42		0.45	0.46	"UGC10205"	241.66758	30.099
196	823	0.443	156.6	59.4	20	"Sbc"	1.38	-20.55	1.89	2.47	0.47	0.75	0.83		0.85	1.6	"NGC6063"	241.80417	7.979
197	824	0.57	157.3	68.9	20	"Sb "	4.67	-21.46	2.12	2.35	1.46	0.64	0.82		0.83	1.43	"IC1199"	242.64312	10.04042
198	825	0.776	162.2	80.5	20	"Sbc"	1.21	-20.47	2.54	2.1		0.75	0.82		0.82	1.31	"UGC10257"	242.78142	38.25136
199	826	0.587	128.2	69.7	12	"S0a"	13.12	-21.95	3.39	2.96	0.6	0.32	0.4	0.57	0.41	0.39	"NGC6081"	243.23687	9.86711
200	827	0.826	179.9	82.8	18	"Sc "	0.29	-19.11	2.36	2.02	0.19	0.46	0.6	0.75	0.6	0.7	"UGC10297"	243.87004	18.90483
201	828	0.761	140.8	79.8	19	"Sc "	0.77	-20.43	2.41	1.76	2.23	0.39	0.48	0.56	0.49	0.51	"UGC10331"	244.338	59.32017
202	829	0.043	4.8	17.7	21	"E1 "	24.21	-22.86	3.19	2.77	0.06	0.09	0.1		0.23	0.1	"NGC6125"	244.79812	57.98411
203	830	0.716	63.9	77.8	17	"Sb "	10.79	-22.17	2.4	2.68	3.04	0.73	0.82		0.82	1.41	"UGC10337"	244.86925	7.27878
204	831	0.644	125.0	73.7	14	"Sbc"	1.63	-21.04	2.48	2.07	1.71	0.68	0.73	0.79	0.74	1.06	"NGC6132"	245.91167	11.78636
205	832	0.242	73.3	42.6	15	"E5 "	42.56	-23.48	3.36	2.75	1.12	0.23	0.26		0.31	0.25	"NGC6146"	246.29304	40.89286
206	834	0.791	108.2	81.3	12	"Sb "	10.21	-21.85	2.78	2.86	1.64	0.4	0.59	0.66	0.59	0.68	"UGC10380"	246.45804	16.57614
207	835	0.447	58.7	59.9	11	"E7 "	26.67	-22.65	2.91	2.88	0.09	0.37	0.51	0.65	0.53	0.51	"NGC6150"	246.45833	40.48872
208	837	0.729	92.8	78.7	11	"Sb "	1.87	-20.73	2.56	1.97	4.59	0.67	0.8	0.86	0.8	1.21	"UGC10384"	246.69454	11.58017
209	838	0.696	128.4	76.8	11	"Sa "	6.56	-21.19	3.11	2.67	0.12	0.45	0.58	0.78	0.58	0.6	"UGC10388"	246.76237	16.38219
210	840	0.371	144.5	71.4	38	"E6 "	53.09	-23.85	3.15	2.92	0.21	0.1	0.09		0.1	0.12	"NGC6173"	247.43717	40.81161
211	841	0.769	110.2	80.3	26	"Sc "	0.73	-20.0	2.02	2.24	0.71	0.44	0.67		0.67	0.81	"NGC6168"	247.8395	20.18372
212	842	0.228	49.6	41.3	20	"Sb "	3.71	-21.24	2.44	2.77	2.09	0.47	0.6		0.68	0.66	"NGC6186"	248.60621	21.54083
213	843	0.782	22.3	80.5	23	"Scd"	0.2	-19.32		2.46	0.5	0.25	0.33		0.33	0.22	"UGC10650"	255.06075	23.10633
214	844	0.416	126.4	57.3	11	"S0a"	8.3	-21.49	3.4	3.11	0.06	0.28	0.41	0.63	0.43	0.37	"NGC6278"	255.20967	23.01106
215	845	0.371	103.8	71.2	22	"E7 "	32.14	-23.39	3.28	2.99	0.16	0.09	0.13		0.14	0.14	"UGC10693"	256.22071	41.86547
216	846	0.354	110.8	69.8	24	"E5 "	19.95	-22.7	2.8	2.78	0.55	0.06	0.06		0.07	0.07	"UGC10695"	256.27333	43.04325
217	847	0.652	147.2	74.4	20	"Sb "	9.68	-22.12	2.83	2.73		0.65	0.75		0.75	1.0	"UGC10710"	256.71892	43.12222
218	848	0.72	69.9	78.1	23	"Sb "	3.64	-20.99	2.33	2.78	0.44	0.58	0.78		0.79	1.08	"NGC6310"	256.98933	60.99006
219	849	0.395	108.5	55.8	24	"Sbc"	10.42	-22.76	2.04	2.22	3.51	0.82	0.88		0.89	1.96	"NGC6301"	257.13642	42.33914
220	850	0.466	173.4	61.1	12	"Sab"	16.26	-22.46	3.34	2.66	0.59	0.29	0.35	0.42	0.36	0.32	"NGC6314"	258.16121	23.27006
221	851	0.375	15.1	71.5	28	"E5 "	49.09	-23.48	2.81	3.27	0.47	0.09	0.09		0.09	0.1	"NGC6338"	258.84583	57.41111
222	852	0.416	59.0	57.6	20	"Scd"	0.28	-19.56	2.41	1.8	0.26	0.19	0.24		0.26	0.28	"UGC10796"	259.1985	61.92011
223	854	0.662	91.6	75.2	12	"Sb "	7.48	-21.92	2.69	2.48	1.22	0.55	0.66	0.82	0.67	0.79	"UGC10811"	259.68221	58.13511
224	856	0.358	89.1	52.7	17	"Sb "	2.0	-21.18	2.19	2.32	1.49	0.69	0.76		0.79	1.18	"IC1256"	260.94717	26.48653
225	857	0.64	42.6	73.6	14	"Sbc"	7.87	-21.87	2.1	2.6	3.51	0.7	0.81		0.81	1.29	"NGC6394"	262.58921	59.63986
226	858	0.555	173.1	67.8	15	"S0a"	40.46	-22.92	3.47	2.95	0.64	0.5	0.6		0.61	0.64	"UGC10905"	263.52679	25.34394
227	859	0.355	65.3	70.0	34	"E4 "	12.08	-22.42	3.0	3.23	0.06	0.09	0.08		0.09	0.09	"NGC6411"	263.88675	60.81339
228	860	0.569	34.6	68.7	8	"S0 "	5.64	-21.37	3.25	2.64	0.05	0.34	0.39	0.55	0.4	0.37	"NGC6427"	265.91079	25.49392
229	861	0.78	54.1	80.6	24	"Sbc"	2.66	-21.22	2.34	2.57	0.83	0.71	0.85		0.85	1.4	"UGC10972"	266.59117	26.54372
230	862	0.632	34.2	73.2	23	"Sc "	10.33	-22.57	2.05	2.4	7.0	0.67	0.82		0.82	1.25	"NGC6478"	267.15975	51.15728
231	863	0.513	112.3	64.6	13	"Sab"	10.89	-22.09	2.66	3.16	1.45	0.43	0.57	0.79	0.59	0.62	"NGC6497"	267.82487	59.47086
232	864	0.349	12.0	69.2	19	"E3 "	15.6	-22.73	3.13	2.85	0.14	0.04	0.06		0.06	0.07	"NGC6515"	269.35496	50.72811
