recno	Name	ID	z	PA	eps	Type	M*	rMAG	Reff	Rmax	SimbadName	_RA	_DE
127	"NGC 5480"	707	0.006	41	0.18	"Scd"	1.38	-20.76	25	41	"NGC 5480"	211.58967	50.725
128	"NGC 5485"	708	0.006	174	0.32	"E5 "	10.57	-21.95	31	38	"NGC 5485"	211.79713	55.00152
129	"NGC 5520"	715	0.006	63	0.49	"Sbc"	0.73	-20.18	12	34	"NGC 5520"	213.09491	50.34843
130	"NGC 5614"	740	0.013	128	0.19	"Sa "	19.86	-22.77	18	35	"NGC 5614"	216.03163	34.85889
131	"NGC 5630"	749	0.009	93	0.7	"Sdm"	0.47	-20.37	22	38	"NGC 5630"	216.90242	41.25782
132	"NGC 5631"	744	0.007	30	0.06	"S0 "	8.47	-21.74	19	34	"NGC 5631"	216.63869	56.58266
133	"NGC 5633"	748	0.008	16	0.26	"Sbc"	1.82	-20.94	13	35	"NGC 5633"	216.86827	46.14655
134	"NGC 5657"	754	0.013	164	0.63	"Sbc"	1.92	-20.98	10	39	"NGC 5657"	217.68184	29.18064
135	"NGC 5682"	758	0.008	125	0.76	"Scd"	0.25	-19.39	26	38	"NGC 5682"	218.68735	48.67026
136	"NGC 5720"	764	0.026	131	0.44	"Sbc"	7.05	-22.29	16	27	"NGC 5720"	219.63869	50.81534
137	"NGC 5732"	768	0.013	43	0.48	"Sbc"	0.85	-20.46	14	32	"NGC 5732"	220.16247	38.63769
138	"NGC 5784"	778	0.018	19	0.13	"S0 "	16.44	-22.61	13	29	"NGC 5784"	223.56857	42.55777
139	"NGC 5797"	780	0.013	130	0.45	"E7 "	7.01	-22.13	18	31	"NGC 5797"	224.10027	49.69604
140	"NGC 5876"	787	0.011	51	0.59	"S0a"	7.96	-21.41	12	31	"NGC 5876"	227.38153	54.50635
141	"NGC 5888"	789	0.029	150	0.38	"Sb "	16.07	-22.74	16	31	"NGC 5888"	228.28075	41.26463
142	"NGC 5908"	791	0.011	154	0.36	"Sa "	16.71	-22.17	34	42	"NGC 5908"	229.18008	55.40925
143	"NGC 5930"	795	0.009	161	0.54	"Sab"	4.3	-21.36	16	37	"NGC 5930"	231.53328	41.67609
144	"NGC 5934"	796	0.019	24	0.59	"Sb "	8.75	-21.8	13	36	"NGC 5934"	232.05317	42.92984
145	"NGC 5947"	4034	0.02	61	0.15	"Sbc"	3.48	-21.56	13	32	"NGC 5947"	232.65235	42.71719
146	"NGC 5953"	801	0.007	43	0.1	"Sa "	3.01	-21.09	10	34	"NGC 5953"	233.63501	15.19383
147	"NGC 5966"	806	0.015	83	0.39	"E4 "	10.21	-22.08	18	34	"NGC 5966"	233.96713	39.76895
148	"NGC 5971"	804	0.011	132	0.56	"Sb "	2.07	-20.8	12	27	"NGC 5971"	233.90369	56.46179
149	"NGC 5980"	810	0.014	11	0.6	"Sbc"	5.25	-21.81	17	40	"NGC 5980"	235.37665	15.78769
150	"NGC 5987"	809	0.01	62	0.65	"Sa "	16.22	-22.15	33	37	"NGC 5987"	234.98909	58.07955
151	"NGC 6004"	813	0.013	91	0.2	"Sbc"	4.86	-21.86	22	37	"NGC 6004"	237.59456	18.9391
152	"NGC 6020"	815	0.014	133	0.31	"E4 "	10.02	-22.08	19	25	"NGC 6020"	239.28383	22.40455
153	"NGC 6021"	816	0.016	157	0.27	"E5 "	10.14	-21.88	9	27	"NGC 6021"	239.37782	15.95621
154	"NGC 6032"	820	0.014	0	0.38	"Sbc"	3.37	-21.3	27	39	"NGC 6032"	240.75468	20.95597
155	"NGC 6060"	821	0.015	102	0.57	"Sb "	8.59	-22.23	28	35	"NGC 6060"	241.46658	21.48498
156	"NGC 6063"	823	0.01	156	0.44	"Sbc"	1.38	-20.55	20	36	"NGC 6063"	241.80402	7.97901
157	"NGC 6081"	826	0.017	128	0.59	"S0a"	13.12	-21.95	12	30	"NGC 6081"	243.23687	9.86712
158	"NGC 6125"	829	0.015	4	0.04	"E1 "	24.21	-22.86	21	28	"NGC 6125"	244.79814	57.98411
159	"NGC 6132"	831	0.017	125	0.64	"Sbc"	1.63	-21.04	14	31	"NGC 6132"	245.91167	11.78636
160	"NGC 6146"	832	0.029	73	0.24	"E5 "	42.56	-23.48	15	26	"NGC 6146"	246.293	40.8929
161	"NGC 6150"	835	0.029	58	0.45	"E7 "	26.67	-22.65	11	29	"NGC 6150"	246.45835	40.48873
162	"NGC 6168"	841	0.009	110	0.77	"Sc "	0.73	-20.0	26	34	"NGC 6168"	247.83672	20.18549
163	"NGC 6173"	840	0.029	144	0.37	"E6 "	53.09	-23.85	38	32	"NGC 6173"	247.43689	40.81171
164	"NGC 6186"	842	0.01	49	0.23	"Sb "	3.71	-21.24	20	35	"NGC 6186"	248.60619	21.54084
165	"NGC 6278"	844	0.009	126	0.42	"S0a"	8.3	-21.49	11	33	"NGC 6278"	255.20976	23.01096
166	"NGC 6301"	849	0.028	108	0.4	"Sbc"	10.42	-22.76	24	39	"NGC 6301"	257.13641	42.33913
167	"NGC 6310"	848	0.011	69	0.72	"Sb "	3.64	-20.99	23	33	"NGC 6310"	256.98932	60.99006
168	"NGC 6314"	850	0.022	173	0.47	"Sab"	16.26	-22.46	12	37	"NGC 6314"	258.16137	23.27015
169	"NGC 6338"	851	0.027	15	0.38	"E5 "	49.09	-23.48	28	26	"NGC 6338"	258.8457	57.4112
170	"NGC 6394"	857	0.028	42	0.64	"Sbc"	7.87	-21.87	14	24	"NGC 6394"	262.5892	59.63987
171	"NGC 6411"	859	0.012	65	0.35	"E4 "	12.08	-22.42	34	33	"NGC 6411"	263.88675	60.81339
172	"NGC 6427"	860	0.011	34	0.57	"S0 "	5.64	-21.37	8	34	"NGC 6427"	265.91083	25.49389
173	"NGC 6478"	862	0.023	34	0.63	"Sc "	10.33	-22.57	23	38	"NGC 6478"	267.15979	51.15724
174	"NGC 6497"	863	0.01	112	0.51	"Sab"	10.89	-22.09	13	34	"NGC 6497"	267.82504	59.47082
175	"NGC 6515"	864	0.023	12	0.35	"E3 "	15.6	-22.73	19	28	"NGC 6515"	269.35492	50.72799
176	"NGC 6762"	867	0.01	119	0.72	"Sab"	2.42	-20.46	9	31	"NGC 6762"	286.40451	63.93398
177	"NGC 6941"	869	0.021	131	0.26	"Sb "	8.77	-22.39	20	32	"NGC 6941"	309.09775	-4.61884
178	"NGC 6945"	870	0.013	127	0.36	"S0 "	24.49	-21.91	13	31	"NGC 6945"	309.75269	-4.97264
179	"NGC 6978"	871	0.02	126	0.57	"Sb "	10.79	-22.15	18	34	"NGC 6978"	313.1478	-5.71111
