Title: High-resolution mass models of dwarf galaxies from LITTLE THINGS 
Authors: Oh S.-H., Hunter D.A., Brinks E., Elmegreen B.G., Schruba A., 
         Walter F., Rupen M.P., Young L.M., Simpson C.E., Johnson M., 
         Herrmann K.A., Ficut-Vicas D., Cigan P., Heesen V., Ashley T., 
         Zhang H. 
Figure: Rotation curves (DM + baryons) of the first nine LITTE THINGS
================================================================================
Byte-by-byte Description of file: dbf2A.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label  Explanations
--------------------------------------------------------------------------------
   1-  8 A8     ---     Name   Galaxy identifier
  10- 14 A5     ---     Type   Data type (1)
  16- 23 F8.6   kpc     R0.3   The R_0.3_ value
  25- 33 F9.6   km/s    V0.3   The V_0.3 value
  35- 42 F8.6   ---     R      Radius scaled by R0.3
  44- 52 F9.6   ---     V      Velocity scaled by V0.3
  54- 61 F8.6   ---   e_V      Uncertainty in V
--------------------------------------------------------------------------------
Note (1): 
    Data = The scaled total rotation velocity which is corrected 
           for the asymmetric drift.
   Model = Pseudo-isothermal halo model fit to the total rotation velocity.
--------------------------------------------------------------------------------
DDO_53   Data  1.204556 31.441326 0.282262  0.299924 0.093826 
DDO_53   Data  1.204556 31.441326 0.373582  0.396930 0.101777 
DDO_53   Data  1.204556 31.441326 0.464902  0.507294 0.089055 
DDO_53   Data  1.204556 31.441326 0.556222  0.549595 0.071880 
DDO_53   Data  1.204556 31.441326 0.647542  0.659959 0.071244 
DDO_53   Data  1.204556 31.441326 0.738862  0.786226 0.102413 
DDO_53   Data  1.204556 31.441326 0.838483  0.881006 0.106866 
DDO_53   Data  1.204556 31.441326 0.929803  0.955748 0.117998 
DDO_53   Data  1.204556 31.441326 1.021123  1.013316 0.131992 
DDO_53   Data  1.204556 31.441326 1.112443  1.017769 0.111637 
DDO_53   Data  1.204556 31.441326 1.203763  0.911221 0.124677 
DDO_53   Data  1.204556 31.441326 1.295083  0.930304 0.162525 
DDO_53   Model 1.450000 33.137901 0.075862  0.098323 0.047076 
DDO_53   Model 1.450000 33.137901 0.151724  0.195386 0.078158 
DDO_53   Model 1.450000 33.137901 0.234483  0.298474 0.089022 
DDO_53   Model 1.450000 33.137901 0.310345  0.389358 0.096566 
DDO_53   Model 1.450000 33.137901 0.386207  0.476017 0.084495 
DDO_53   Model 1.450000 33.137901 0.462069  0.557962 0.068200 
DDO_53   Model 1.450000 33.137901 0.537931  0.634920 0.067596 
DDO_53   Model 1.450000 33.137901 0.613793  0.706810 0.097170 
DDO_53   Model 1.450000 33.137901 0.696552  0.779542 0.101394 
DDO_53   Model 1.450000 33.137901 0.772414  0.841185 0.111956 
DDO_53   Model 1.450000 33.137901 0.848276  0.898280 0.125234 
DDO_53   Model 1.450000 33.137901 0.924138  0.951113 0.105921 
DDO_53   Model 1.450000 33.137901 1.000000  1.000000 0.118294 
DDO_70   Data  0.559981 23.289692 0.142862  0.281240 0.079434 
DDO_70   Data  0.559981 23.289692 0.303582  0.453420 0.059683 
DDO_70   Data  0.559981 23.289692 0.446443  0.588672 0.075141 
DDO_70   Data  0.559981 23.289692 0.589305  0.726931 0.097039 
DDO_70   Data  0.559981 23.289692 0.750025  0.798207 0.127524 
DDO_70   Data  0.559981 23.289692 0.892887  0.957505 0.153716 
DDO_70   Data  0.559981 23.289692 1.035749  1.014183 0.155863 
DDO_70   Data  0.559981 23.289692 1.196469  1.135266 0.134824 
DDO_70   Data  0.559981 23.289692 1.339330  1.113368 0.118078 
DDO_70   Data  0.559981 23.289692 1.482192  1.082883 0.105626 
DDO_70   Data  0.559981 23.289692 1.642912  1.073866 0.105626 
DDO_70   Data  0.559981 23.289692 1.785774  1.069142 0.115931 
DDO_70   Data  0.559981 23.289692 1.928636  1.040804 0.129242 
DDO_70   Data  0.559981 23.289692 2.071498  1.048962 0.128383 
DDO_70   Data  0.559981 23.289692 2.232218  1.051109 0.125807 
DDO_70   Data  0.559981 23.289692 2.375079  1.097481 0.134394 
DDO_70   Data  0.559981 23.289692 2.517941  1.179492 0.140835 
DDO_70   Data  0.559981 23.289692 2.678661  1.304869 0.137829 
DDO_70   Data  0.559981 23.289692 2.821523  1.446992 0.127954 
DDO_70   Data  0.559981 23.289692 2.964385  1.586539 0.112925 
DDO_70   Data  0.559981 23.289692 3.125104  1.721362 0.111208 
DDO_70   Data  0.559981 23.289692 3.267967  1.784051 0.118078 
DDO_70   Data  0.559981 23.289692 3.410828  1.816254 0.135253 
