Title: High-resolution mass models of dwarf galaxies from LITTLE THINGS 
Authors: Oh S.-H., Hunter D.A., Brinks E., Elmegreen B.G., Schruba A., 
         Walter F., Rupen M.P., Young L.M., Simpson C.E., Johnson M., 
         Herrmann K.A., Ficut-Vicas D., Cigan P., Heesen V., Ashley T., 
         Zhang H. 
Figure: Density profiles (DM only) of the first nine LITTE THINGS
================================================================================
Byte-by-byte Description of file: dbf2D.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label  Explanations
--------------------------------------------------------------------------------
   1-  8 A8     ---     Name   Galaxy identifier
  10- 14 A5     ---     Type   Data type (1)
  16- 23 F8.5   [-]     R      Log radius scaled by R0.3
  25- 35 E11.4  [-]     rho    Log density scaled by {rho}0.3
  37- 42 F6.4   [-]   e_rho    Uncertainty in rho
--------------------------------------------------------------------------------
Note (1): 
    Data = The scaled DM (baryon subtracted) rotation velocity which is 
           corrected for the asymmetric drift.
   Model = Pseudo-isothermal halo model fit to the DM rotation velocity.
--------------------------------------------------------------------------------
UGC_8508 Data  -0.09633 -4.2726E+00 0.0277 
UGC_8508 Data  -0.07639 -4.2500E+00 0.0244 
UGC_8508 Data  -0.05467 -4.2409E+00 0.0205 
UGC_8508 Data  -0.03652 -4.2414E+00 0.0233 
UGC_8508 Data  -0.01909 -4.2530E+00 0.0232 
UGC_8508 Data   0.00000 -4.2811E+00 0.0178 
UGC_8508 Model -1.42447 -4.0790E+00 0.5695 
UGC_8508 Model -1.09340 -4.0812E+00 0.3306 
UGC_8508 Model -0.92709 -4.0842E+00 0.1671 
UGC_8508 Model -0.79239 -4.0890E+00 0.1267 
UGC_8508 Model -0.70130 -4.0942E+00 0.1170 
UGC_8508 Model -0.61631 -4.1014E+00 0.0936 
UGC_8508 Model -0.55351 -4.1087E+00 0.0705 
UGC_8508 Model -0.49867 -4.1168E+00 0.0661 
UGC_8508 Model -0.44344 -4.1271E+00 0.0581 
UGC_8508 Model -0.40028 -4.1369E+00 0.0467 
UGC_8508 Model -0.35570 -4.1491E+00 0.0411 
UGC_8508 Model -0.32013 -4.1604E+00 0.0420 
UGC_8508 Model -0.28274 -4.1741E+00 0.0370 
UGC_8508 Model -0.25248 -4.1867E+00 0.0342 
UGC_8508 Model -0.22030 -4.2017E+00 0.0312 
UGC_8508 Model -0.19397 -4.2154E+00 0.0284 
UGC_8508 Model -0.16914 -4.2294E+00 0.0294 
UGC_8508 Model -0.14241 -4.2458E+00 0.0291 
UGC_8508 Model -0.12029 -4.2605E+00 0.0265 
UGC_8508 Model -0.09633 -4.2776E+00 0.0272 
UGC_8508 Model -0.07639 -4.2926E+00 0.0244 
UGC_8508 Model -0.05467 -4.3099E+00 0.0207 
UGC_8508 Model -0.03652 -4.3251E+00 0.0237 
UGC_8508 Model -0.01909 -4.3401E+00 0.0239 
UGC_8508 Model  0.00000 -4.3571E+00 0.0190 
WLM      Data  -2.22330 -3.5002E+00 2.8454 
WLM      Data  -1.62160 -3.8686E+00 0.9806 
WLM      Data  -1.44551 -3.7495E+00 0.6982 
WLM      Data  -1.32048 -3.8391E+00 0.5961 
WLM      Data  -1.18224 -3.8203E+00 0.3431 
WLM      Data  -1.10969 -3.7244E+00 0.1873 
WLM      Data  -1.01950 -3.8430E+00 0.2062 
WLM      Data  -0.96835 -3.9143E+00 0.2256 
WLM      Data  -0.90139 -4.0219E+00 0.2761 
WLM      Data  -0.86189 -3.8998E+00 0.1764 
WLM      Data  -0.82568 -3.8482E+00 0.1349 
WLM      Data  -0.77645 -3.8260E+00 0.1188 
WLM      Data  -0.74649 -3.7592E+00 0.0850 
WLM      Data  -0.70509 -3.8300E+00 0.0857 
WLM      Data  -0.67954 -3.8056E+00 0.0710 
WLM      Data  -0.64382 -3.8313E+00 0.0646 
WLM      Data  -0.62155 -3.8237E+00 0.0562 
WLM      Data  -0.60036 -3.8189E+00 0.0482 
WLM      Data  -0.57039 -3.8322E+00 0.0507 
WLM      Data  -0.55151 -3.8396E+00 0.0448 
WLM      Data  -0.52463 -3.8794E+00 0.0503 
WLM      Data  -0.50760 -3.9061E+00 0.0499 
WLM      Data  -0.48325 -3.9050E+00 0.0509 
WLM      Data  -0.46773 -3.9342E+00 0.0543 
WLM      Data  -0.45275 -3.9534E+00 0.0535 
WLM      Data  -0.43122 -3.9666E+00 0.0492 
WLM      Data  -0.41743 -3.9724E+00 0.0475 
WLM      Data  -0.39754 -3.9830E+00 0.0428 
WLM      Data  -0.38476 -3.9919E+00 0.0410 
WLM      Data  -0.36628 -4.0299E+00 0.0419 
WLM      Data  -0.35438 -4.0248E+00 0.0419 
WLM      Data  -0.34279 -4.0283E+00 0.0479 
WLM      Data  -0.32598 -4.0464E+00 0.0552 
WLM      Data  -0.31513 -4.0685E+00 0.0550 
WLM      Data  -0.29933 -4.1362E+00 0.0573 
WLM      Data  -0.28911 -4.1181E+00 0.0673 
WLM      Data  -0.27913 -4.1379E+00 0.0686 
WLM      Data  -0.26457 -4.1717E+00 0.0728 
WLM      Data  -0.25513 -4.1773E+00 0.0702 
WLM      Data  -0.24134 -4.1951E+00 0.0634 
WLM      Data  -0.23238 -4.2012E+00 0.0608 
WLM      Data  -0.21929 -4.2218E+00 0.0606 
WLM      Data  -0.21077 -4.2121E+00 0.0605 
WLM      Data  -0.20242 -4.2207E+00 0.0594 
WLM      Data  -0.19018 -4.2420E+00 0.0573 
WLM      Data  -0.18222 -4.2624E+00 0.0523 
WLM      Data  -0.17053 -4.2769E+00 0.0510 
WLM      Data  -0.16291 -4.2918E+00 0.0468 
WLM      Data  -0.15172 -4.2977E+00 0.0470 
WLM      Data  -0.14443 -4.3032E+00 0.0518 
WLM      Data  -0.13725 -4.3282E+00 0.0567 
WLM      Data  -0.12670 -4.3630E+00 0.0519 
WLM      Data  -0.11980 -4.3920E+00 0.0503 
WLM      Data  -0.10967 -4.4231E+00 0.0499 
WLM      Data  -0.10303 -4.4342E+00 0.0504 
WLM      Data  -0.09328 -4.4415E+00 0.0526 
WLM      Data  -0.08689 -4.4564E+00 0.0545 
WLM      Data  -0.08059 -4.4536E+00 0.0483 
WLM      Data  -0.07132 -4.4731E+00 0.0480 
WLM      Data  -0.06524 -4.4890E+00 0.0498 
WLM      Data  -0.05629 -4.5000E+00 0.0493 
WLM      Data  -0.05042 -4.5218E+00 0.0538 
WLM      Data  -0.04177 -4.5162E+00 0.0479 
WLM      Data  -0.03609 -4.5147E+00 0.0469 
WLM      Data  -0.03049 -4.5152E+00 0.0475 
WLM      Data  -0.02221 -4.5260E+00 0.0516 
WLM      Data  -0.01678 -4.5252E+00 0.0490 
WLM      Data  -0.00877 -4.5217E+00 0.0463 
WLM      Data  -0.00350 -4.5192E+00 0.0472 
WLM      Data   0.00170 -4.5134E+00 0.0445 
WLM      Data   0.00939 -4.5259E+00 0.0483 
WLM      Data   0.01444 -4.5271E+00 0.0484 
WLM      Data   0.02190 -4.5253E+00 0.0440 
WLM      Data   0.02681 -4.5240E+00 0.0428 
WLM      Data   0.03407 -4.5215E+00 0.0415 
WLM      Data   0.03884 -4.5387E+00 0.0455 
WLM      Data   0.04356 -4.5353E+00 0.0458 
WLM      Data   0.05055 -4.5457E+00 0.0444 
WLM      Data   0.05515 -4.5392E+00 0.0426 
WLM      Data   0.06195 -4.5389E+00 0.0416 
WLM      Data   0.06643 -4.5243E+00 0.0408 
WLM      Data   0.07305 -4.5235E+00 0.0412 
WLM      Data   0.07742 -4.5294E+00 0.0471 
WLM      Data   0.08174 -4.5356E+00 0.0455 
WLM      Data   0.08815 -4.5455E+00 0.0435 
WLM      Data   0.09236 -4.5431E+00 0.0428 
WLM      Data   0.09861 -4.5513E+00 0.0417 
WLM      Data   0.10273 -4.5603E+00 0.0416 
WLM      Data   0.10883 -4.5618E+00 0.0400 
WLM      Data   0.11285 -4.5589E+00 0.0404 
WLM      Data   0.11684 -4.5556E+00 0.0409 
WLM      Data   0.12274 -4.5530E+00 0.0432 
WLM      Data   0.12664 -4.5654E+00 0.0446 
WLM      Data   0.13242 -4.5676E+00 0.0421 
WLM      Data   0.13623 -4.5777E+00 0.0421 
WLM      Data   0.14000 -4.5879E+00 0.0428 
WLM      Data   0.14561 -4.6206E+00 0.0449 
WLM      Data   0.14930 -4.6376E+00 0.0433 
WLM      Data   0.15479 -4.6727E+00 0.0462 
WLM      Data   0.15841 -4.6750E+00 0.0462 
WLM      Data   0.16378 -4.6922E+00 0.0457 
WLM      Data   0.16733 -4.6991E+00 0.0464 
WLM      Data   0.17084 -4.7277E+00 0.0467 
WLM      Data   0.17607 -4.7657E+00 0.0467 
WLM      Data   0.17951 -4.8244E+00 0.0544 
WLM      Data   0.18463 -4.8878E+00 0.0523 
WLM      Data   0.18801 -4.9261E+00 0.0575 
WLM      Data   0.19303 -5.0159E+00 0.0710 
WLM      Data   0.19635 -5.0908E+00 0.0832 
WLM      Data   0.19964 -5.1951E+00 0.1073 
WLM      Data   0.20453 -5.4569E+00 0.2069 
WLM      Data   0.20776 -5.8165E+00 0.4986 
WLM      Model -2.30803 -3.5855E+00 4.4681 
WLM      Model -1.70620 -3.5932E+00 0.9448 
WLM      Model -1.53018 -3.5987E+00 0.7930 
WLM      Model -1.40528 -3.6045E+00 0.5900 
WLM      Model -1.26696 -3.6138E+00 0.3462 
WLM      Model -1.19436 -3.6204E+00 0.2172 
WLM      Model -1.10419 -3.6306E+00 0.1987 
WLM      Model -1.05306 -3.6377E+00 0.1927 
WLM      Model -0.98611 -3.6487E+00 0.1944 
WLM      Model -0.94661 -3.6564E+00 0.1543 
WLM      Model -0.91038 -3.6643E+00 0.1291 
WLM      Model -0.86116 -3.6765E+00 0.1186 
WLM      Model -0.83121 -3.6849E+00 0.0949 
WLM      Model -0.78982 -3.6978E+00 0.0864 
WLM      Model -0.76427 -3.7067E+00 0.0750 
WLM      Model -0.72855 -3.7203E+00 0.0664 
WLM      Model -0.70626 -3.7296E+00 0.0591 
WLM      Model -0.68508 -3.7390E+00 0.0516 
WLM      Model -0.65512 -3.7534E+00 0.0541 
WLM      Model -0.63624 -3.7631E+00 0.0478 
WLM      Model -0.60937 -3.7780E+00 0.0514 
WLM      Model -0.59232 -3.7881E+00 0.0496 
WLM      Model -0.56796 -3.8034E+00 0.0518 
WLM      Model -0.55245 -3.8137E+00 0.0536 
WLM      Model -0.53748 -3.8240E+00 0.0520 
WLM      Model -0.51594 -3.8398E+00 0.0481 
WLM      Model -0.50214 -3.8504E+00 0.0468 
WLM      Model -0.48225 -3.8664E+00 0.0426 
WLM      Model -0.46948 -3.8771E+00 0.0410 
WLM      Model -0.45100 -3.8933E+00 0.0406 
WLM      Model -0.43910 -3.9042E+00 0.0418 
WLM      Model -0.42751 -3.9151E+00 0.0484 
WLM      Model -0.41070 -3.9315E+00 0.0558 
WLM      Model -0.39984 -3.9424E+00 0.0548 
WLM      Model -0.38405 -3.9589E+00 0.0532 
WLM      Model -0.37383 -3.9699E+00 0.0654 
WLM      Model -0.36384 -3.9810E+00 0.0661 
WLM      Model -0.34928 -3.9975E+00 0.0687 
WLM      Model -0.33985 -4.0085E+00 0.0670 
WLM      Model -0.32606 -4.0251E+00 0.0607 
WLM      Model -0.31711 -4.0361E+00 0.0588 
WLM      Model -0.30401 -4.0525E+00 0.0585 
WLM      Model -0.29549 -4.0635E+00 0.0601 
WLM      Model -0.28714 -4.0745E+00 0.0593 
WLM      Model -0.27491 -4.0908E+00 0.0570 
WLM      Model -0.26694 -4.1017E+00 0.0514 
WLM      Model -0.25525 -4.1179E+00 0.0503 
WLM      Model -0.24763 -4.1287E+00 0.0459 
WLM      Model -0.23644 -4.1448E+00 0.0467 
WLM      Model -0.22915 -4.1555E+00 0.0517 
WLM      Model -0.22197 -4.1661E+00 0.0556 
WLM      Model -0.21142 -4.1819E+00 0.0497 
WLM      Model -0.20452 -4.1924E+00 0.0472 
WLM      Model -0.19438 -4.2080E+00 0.0459 
WLM      Model -0.18776 -4.2183E+00 0.0462 
WLM      Model -0.17800 -4.2337E+00 0.0487 
WLM      Model -0.17160 -4.2438E+00 0.0502 
WLM      Model -0.16531 -4.2539E+00 0.0451 
WLM      Model -0.15604 -4.2689E+00 0.0444 
WLM      Model -0.14997 -4.2788E+00 0.0458 
WLM      Model -0.14101 -4.2934E+00 0.0455 
WLM      Model -0.13514 -4.3031E+00 0.0490 
WLM      Model -0.12648 -4.3175E+00 0.0445 
WLM      Model -0.12081 -4.3269E+00 0.0442 
WLM      Model -0.11520 -4.3362E+00 0.0451 
WLM      Model -0.10693 -4.3501E+00 0.0492 
WLM      Model -0.10150 -4.3592E+00 0.0474 
WLM      Model -0.09349 -4.3728E+00 0.0456 
WLM      Model -0.08822 -4.3817E+00 0.0471 
WLM      Model -0.08302 -4.3904E+00 0.0452 
WLM      Model -0.07533 -4.4034E+00 0.0491 
WLM      Model -0.07028 -4.4120E+00 0.0497 
WLM      Model -0.06282 -4.4245E+00 0.0459 
WLM      Model -0.05791 -4.4328E+00 0.0452 
WLM      Model -0.05065 -4.4451E+00 0.0446 
WLM      Model -0.04588 -4.4531E+00 0.0484 
WLM      Model -0.04115 -4.4610E+00 0.0492 
WLM      Model -0.03417 -4.4727E+00 0.0478 
WLM      Model -0.02957 -4.4803E+00 0.0465 
WLM      Model -0.02277 -4.4916E+00 0.0460 
WLM      Model -0.01829 -4.4990E+00 0.0463 
WLM      Model -0.01166 -4.5100E+00 0.0473 
WLM      Model -0.00730 -4.5172E+00 0.0540 
WLM      Model -0.00298 -4.5243E+00 0.0522 
WLM      Model  0.00343 -4.5347E+00 0.0497 
WLM      Model  0.00764 -4.5416E+00 0.0493 
WLM      Model  0.01389 -4.5518E+00 0.0479 
WLM      Model  0.01801 -4.5585E+00 0.0476 
WLM      Model  0.02411 -4.5684E+00 0.0461 
WLM      Model  0.02813 -4.5749E+00 0.0471 
WLM      Model  0.03211 -4.5814E+00 0.0482 
WLM      Model  0.03802 -4.5909E+00 0.0517 
WLM      Model  0.04192 -4.5973E+00 0.0530 
WLM      Model  0.04770 -4.6066E+00 0.0505 
WLM      Model  0.05151 -4.6129E+00 0.0503 
WLM      Model  0.05528 -4.6191E+00 0.0509 
WLM      Model  0.06089 -4.6284E+00 0.0520 
WLM      Model  0.06458 -4.6345E+00 0.0496 
WLM      Model  0.07007 -4.6437E+00 0.0515 
WLM      Model  0.07369 -4.6499E+00 0.0521 
WLM      Model  0.07906 -4.6591E+00 0.0516 
WLM      Model  0.08261 -4.6653E+00 0.0525 
WLM      Model  0.08612 -4.6716E+00 0.0516 
WLM      Model  0.09134 -4.6810E+00 0.0500 
WLM      Model  0.09479 -4.6873E+00 0.0548 
WLM      Model  0.09991 -4.6970E+00 0.0489 
WLM      Model  0.10329 -4.7035E+00 0.0506 
WLM      Model  0.10831 -4.7135E+00 0.0534 
WLM      Model  0.11163 -4.7202E+00 0.0537 
WLM      Model  0.11492 -4.7271E+00 0.0551 
WLM      Model  0.11981 -4.7378E+00 0.0581 
WLM      Model  0.12303 -4.7450E+00 0.0597 
WLM      Model  0.12783 -4.7562E+00 0.0569 
WLM      Model  0.13101 -4.7638E+00 0.0516 
WLM      Model  0.13572 -4.7759E+00 0.0517 
WLM      Model  0.13883 -4.7841E+00 0.0516 
WLM      Model  0.14192 -4.7926E+00 0.0533 
WLM      Model  0.14652 -4.8060E+00 0.0525 
WLM      Model  0.14955 -4.8153E+00 0.0522 
WLM      Model  0.15407 -4.8297E+00 0.0573 
WLM      Model  0.15705 -4.8400E+00 0.0611 
WLM      Model  0.16149 -4.8562E+00 0.0578 
WLM      Model  0.16443 -4.8674E+00 0.0547 
WLM      Model  0.16734 -4.8791E+00 0.0549 
WLM      Model  0.17168 -4.8978E+00 0.0544 
WLM      Model  0.17455 -4.9111E+00 0.0599 
