Title: High-resolution mass models of dwarf galaxies from LITTLE THINGS 
Authors: Oh S.-H., Hunter D.A., Brinks E., Elmegreen B.G., Schruba A., 
         Walter F., Rupen M.P., Young L.M., Simpson C.E., Johnson M., 
         Herrmann K.A., Ficut-Vicas D., Cigan P., Heesen V., Ashley T., 
         Zhang H. 
Figure: Rotation curves (DM only) of the first nine LITTE THINGS
================================================================================
Byte-by-byte Description of file: dbf2C.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label  Explanations
--------------------------------------------------------------------------------
   1-  8 A8     ---     Name   Galaxy identifier
  10- 14 A5     ---     Type   Data type (1)
  16- 23 F8.6   kpc     R0.3   The R_0.3_ value
  25- 33 F9.6   km/s    V0.3   The V_0.3 value
  35- 42 F8.6   ---     R      Radius scaled by R0.3
  44- 51 F8.6   ---     V      Velocity scaled by V0.3
  53- 60 F8.6   ---   e_V      Uncertainty in V
--------------------------------------------------------------------------------
Note (1): 
    Data = The scaled DM (baryon subtracted) rotation velocity which is 
           corrected for the asymmetric drift.
   Model = Pseudo-isothermal halo model fit to the DM rotation velocity.
--------------------------------------------------------------------------------
DDO_53   Data  1.204760 26.903658 0.556127 0.470159 0.084003 
DDO_53   Data  1.204760 26.903658 0.647432 0.570480 0.083260 
DDO_53   Data  1.204760 26.903658 0.738736 0.710610 0.119686 
DDO_53   Data  1.204760 26.903658 0.838341 0.850033 0.124890 
DDO_53   Data  1.204760 26.903658 0.929645 0.948904 0.137899 
DDO_53   Data  1.204760 26.903658 1.020950 1.015215 0.154254 
DDO_53   Data  1.204760 26.903658 1.112255 0.996556 0.130466 
DDO_53   Data  1.204760 26.903658 1.203559 0.812975 0.145705 
DDO_53   Data  1.204760 26.903658 1.294863 0.443769 0.189937 
DDO_53   Model 1.450000 27.705500 0.075862 0.084572 0.056307 
DDO_53   Model 1.450000 27.705500 0.151724 0.168774 0.093483 
DDO_53   Model 1.450000 27.705500 0.234483 0.259786 0.106477 
DDO_53   Model 1.450000 27.705500 0.310345 0.342075 0.115501 
DDO_53   Model 1.450000 27.705500 0.386207 0.422956 0.101063 
DDO_53   Model 1.450000 27.705500 0.462069 0.502146 0.081572 
DDO_53   Model 1.450000 27.705500 0.537931 0.579416 0.080850 
DDO_53   Model 1.450000 27.705500 0.613793 0.654567 0.116222 
DDO_53   Model 1.450000 27.705500 0.696552 0.733948 0.121276 
DDO_53   Model 1.450000 27.705500 0.772414 0.804212 0.133908 
DDO_53   Model 1.450000 27.705500 0.848276 0.871997 0.149790 
DDO_53   Model 1.450000 27.705500 0.924138 0.937265 0.126690 
DDO_53   Model 1.450000 27.705500 1.000000 1.000000 0.141488 
DDO_70   Data  1.366338 30.632708 0.058551 0.120820 0.060393 
DDO_70   Data  1.366338 30.632708 0.124420 0.250614 0.045376 
DDO_70   Data  1.366338 30.632708 0.182971 0.356459 0.057128 
DDO_70   Data  1.366338 30.632708 0.241522 0.451335 0.073777 
DDO_70   Data  1.366338 30.632708 0.307391 0.544549 0.096955 
DDO_70   Data  1.366338 30.632708 0.365942 0.616123 0.116869 
DDO_70   Data  1.366338 30.632708 0.424492 0.678255 0.118501 
DDO_70   Data  1.366338 30.632708 0.490362 0.738443 0.102505 
DDO_70   Data  1.366338 30.632708 0.548912 0.784629 0.089773 
DDO_70   Data  1.366338 30.632708 0.607463 0.825036 0.080306 
DDO_70   Data  1.366338 30.632708 0.673333 0.864693 0.080306 
DDO_70   Data  1.366338 30.632708 0.731883 0.895615 0.088141 
DDO_70   Data  1.366338 30.632708 0.790434 0.923098 0.098261 
DDO_70   Data  1.366338 30.632708 0.848985 0.947650 0.097608 
DDO_70   Data  1.366338 30.632708 0.914854 0.972291 0.095649 
DDO_70   Data  1.366338 30.632708 0.973405 0.991920 0.102178 
DDO_70   Data  1.366338 30.632708 1.031955 1.009708 0.107075 
DDO_70   Data  1.366338 30.632708 1.097825 1.027813 0.104790 
DDO_70   Data  1.366338 30.632708 1.156376 1.042435 0.097282 
DDO_70   Data  1.366338 30.632708 1.214926 1.055842 0.085856 
DDO_70   Data  1.366338 30.632708 1.280796 1.069648 0.084550 
DDO_70   Data  1.366338 30.632708 1.339347 1.080920 0.089773 
DDO_70   Data  1.366338 30.632708 1.397897 1.091353 0.102831 
DDO_70   Data  1.366338 30.632708 1.463767 1.102201 0.107075 
