name,logMs,xi_kpc,Vflat,N_pts,X_med,chi2_nfw,chi2_burk,chi2_sol,chi2_comp,chi2_con,aic_nfw,aic_burk,aic_sol,aic_comp,aic_con,daic_burk_nfw,daic_comp_nfw,daic_sol_nfw,daic_con_nfw,winner,fitted_rc_kpc,r_transition_kpc,comp_log_rc
UGC06917,9.53,1.992,108.7,11,3.067,4.16,1.18,4.83,0.91,3.75,8.16,5.18,8.83,8.91,9.75,2.98,-0.75,-0.67,-1.59,Burkert,3.057,4.817,0.485
UGC06930,9.65,2.278,107.2,10,4.213,2.22,1.4,9.18,0.69,1.34,6.22,5.4,13.18,8.69,7.34,0.81,-2.47,-6.96,-1.12,Burkert,2.931,5.276,0.467
UGC06983,9.42,1.754,109.0,17,4.971,8.55,5.36,19.55,5.91,8.35,12.55,9.36,23.55,13.91,14.35,3.19,-1.36,-11.0,-1.8,Burkert,2.766,4.099,0.442
UGC07089,9.25,1.443,0.0,12,3.933,2.25,1.15,1.74,0.62,2.25,6.25,5.15,5.74,8.62,8.25,1.09,-2.38,0.51,-2.0,Burkert,6.525,10.288,0.815
UGC07323,9.31,1.545,0.0,10,2.075,3.5,1.39,1.62,0.37,3.5,7.5,5.39,5.62,8.37,9.5,2.11,-0.87,1.88,-2.0,Burkert,4.157,24.895,0.619
UGC07399,8.76,0.819,103.0,10,4.119,2.41,3.51,20.8,0.05,1.71,6.41,7.51,24.8,8.05,7.71,-1.1,-1.63,-18.39,-1.29,NFW,1.139,1.807,0.056
UGC07524,9.09,1.189,79.5,31,4.632,10.07,2.86,9.24,1.62,10.07,14.07,6.86,13.24,9.62,16.07,7.21,4.45,0.83,-2.0,Burkert,3.647,6.186,0.562
UGC07577,7.35,0.162,0.0,9,5.815,0.55,0.36,0.42,0.27,0.55,4.55,4.36,4.42,8.27,6.55,0.19,-3.72,0.13,-2.0,Burkert,15.0,,1.176
UGC07603,8.27,0.467,61.6,12,4.751,5.06,0.68,1.41,0.64,5.06,9.06,4.68,5.41,8.64,11.06,4.38,0.42,3.65,-2.0,Burkert,1.409,2.881,0.149
UGC08490,8.71,0.769,78.6,30,6.825,1.71,10.09,68.18,0.99,1.57,5.71,14.09,72.18,8.99,7.57,-8.38,-3.28,-66.46,-1.86,NFW,1.09,,0.038
UGC08699,10.4,5.405,182.4,41,1.325,19.2,28.34,57.98,17.38,19.2,23.2,32.34,61.98,25.38,25.2,-9.14,-2.18,-38.78,-2.0,NFW,2.462,2.596,0.391
UGC08837,8.4,0.539,0.0,8,4.375,6.18,0.71,2.47,0.71,6.18,10.18,4.71,6.47,8.71,12.18,5.47,1.46,3.71,-2.0,Burkert,6.967,,0.843
UGC09037,10.54,6.313,152.3,22,2.402,103.09,67.6,64.54,64.54,103.12,107.09,71.6,68.54,72.54,109.12,35.5,34.55,38.55,-2.03,Soliton,16.223,,1.21
UGC09133,11.15,12.819,226.8,68,0.984,39.11,40.49,174.74,25.51,36.6,43.11,44.49,178.74,33.51,42.6,-1.38,9.6,-135.63,0.51,Composite,8.84,16.988,0.946
UGC11557,9.78,2.651,0.0,12,1.597,14.84,10.68,10.73,10.72,14.85,18.84,14.68,14.73,18.72,20.85,4.16,0.12,4.12,-2.0,Burkert,13.539,,1.132
UGC11820,8.69,0.751,0.0,10,4.177,4.15,17.13,44.94,1.2,1.93,8.15,21.13,48.94,9.2,7.93,-12.98,-1.04,-40.79,0.22,Constrained,1.193,2.358,0.077
UGC11914,10.88,9.335,288.1,65,0.41,20.47,30.42,79.71,3.59,9.49,24.47,34.42,83.71,11.59,15.49,-9.94,12.88,-59.24,8.98,Composite,0.751,1.649,-0.124
UGC12632,8.81,0.869,71.7,15,6.546,2.89,0.48,5.84,0.27,2.9,6.89,4.48,9.84,8.27,8.9,2.41,-1.38,-2.95,-2.0,Burkert,2.582,4.002,0.412
UGC12732,8.92,0.984,0.0,16,8.293,1.42,9.11,33.83,0.56,1.42,5.42,13.11,37.83,8.56,7.42,-7.69,-3.15,-32.41,-2.0,NFW,2.08,,0.318
UGCA442,7.85,0.285,56.4,8,11.836,1.57,0.54,7.08,0.03,1.57,5.57,4.54,11.08,8.03,7.57,1.03,-2.46,-5.51,-2.0,Burkert,3.076,13.17,0.488
UGCA444,6.78,0.083,37.0,36,16.351,1.1,3.28,5.6,0.97,1.1,5.1,7.28,9.6,8.97,7.1,-2.18,-3.87,-4.5,-2.0,NFW,4.857,,0.686
