name,ra,dec,Vsys,D_use,dist_source,sigma_D_dex,Inc,n_pts,n_gas_dom,rms_all,rms_gas,env_class,env_dense,logMh,team_release
WALLABY J101655-485238,154.229775,-48.877345,2738.2,39.23,Hubble,0.0610,58.6,14,14,0.3029,0.3029,field,field,11.0,Vela TR1
WALLABY J101457-433710,153.737791,-43.619657,3032.5,43.36,Hubble,0.0582,83.6,16,16,0.2691,0.2691,field,field,11.0,Vela TR1
WALLABY J101219-471739,153.081658,-47.294326,2523.0,36.19,Hubble,0.0634,81.4,10,10,0.1357,0.1357,field,field,11.0,Vela TR1
WALLABY J100656-450242,151.734782,-45.045075,3904.0,55.74,Hubble,0.0523,71.7,6,6,0.1385,0.1385,field,field,11.0,Vela TR1
WALLABY J100916-431959,152.318358,-43.333100,4585.4,65.70,Hubble,0.0492,56.3,8,8,0.1399,0.1399,field,field,11.0,Vela TR1
WALLABY J094524-480828,146.352598,-48.141160,874.9,12.62,Hubble,0.1197,75.9,8,8,0.0349,0.0349,field,field,11.0,Vela TR1
WALLABY J101330-434301,153.375345,-43.717001,4564.0,65.21,Hubble,0.0493,82.1,6,6,0.1537,0.1537,field,field,11.0,Vela TR1
WALLABY J100239-452950,150.662785,-45.497484,3507.6,50.20,Hubble,0.0546,57.2,6,6,0.1860,0.1860,field,field,11.0,Vela TR1
WALLABY J101331-434904,153.379532,-43.817927,4216.0,60.22,Hubble,0.0508,50.2,6,6,0.3177,0.3177,field,field,11.0,Vela TR1
WALLABY J094944-471059,147.433527,-47.183062,5360.5,76.68,Hubble,0.0466,39.7,6,6,0.2550,0.2550,field,field,11.0,Vela TR1
WALLABY J100123-434533,150.348521,-43.759392,3548.7,50.70,Hubble,0.0544,31.8,6,6,0.2115,0.2115,field,field,11.0,Vela TR1
WALLABY J100437-490338,151.155000,-49.060543,3401.4,48.59,Hubble,0.0554,84.9,4,4,0.0960,0.0960,field,field,11.0,Vela TR1
WALLABY J100542-480241,151.427393,-48.044885,4007.7,57.39,Hubble,0.0517,82.2,6,6,0.2404,0.2404,field,field,11.0,Vela TR1
WALLABY J100801-473847,152.005766,-47.646555,3344.6,47.92,Hubble,0.0557,81.0,4,4,0.0268,0.0268,field,field,11.0,Vela TR1
WALLABY J100036-465940,150.152727,-46.994553,3692.9,52.75,Hubble,0.0535,44.9,4,4,0.1321,0.1321,field,field,11.0,Vela TR1
WALLABY J125548+041805,193.952317,4.301584,756.3,10.82,Hubble,0.1335,66.0,20,20,0.2179,0.2179,field,field,11.0,NGC 4808 TR1
WALLABY J125549+040049,193.956351,4.013833,703.4,10.24,Hubble,0.1390,56.9,8,8,0.0799,0.0799,field,field,11.0,NGC 4808 TR1
WALLABY J125451+023900,193.714221,2.650154,936.6,13.30,Hubble,0.1154,60.2,5,5,0.1017,0.1017,field,field,11.0,NGC 4808 TR1
WALLABY J130315+074816,195.813065,7.804480,2919.8,41.77,Hubble,0.0592,32.2,7,7,0.2250,0.2250,field,field,11.0,NGC 4808 TR1
WALLABY J125604+034843,194.019327,3.812094,613.8,8.85,Hubble,0.1549,39.0,6,6,0.0794,0.0794,field,field,11.0,NGC 4808 TR1
WALLABY J130305+035925,195.774859,3.990380,2857.6,40.92,Hubble,0.0598,36.9,5,5,0.1401,0.1401,field,field,11.0,NGC 4808 TR1
WALLABY J131122+032431,197.843777,3.408681,3043.3,43.59,Hubble,0.0581,67.4,6,6,0.0564,0.0564,field,field,11.0,NGC 4808 TR1
WALLABY J131232+071059,198.137402,7.183158,897.5,12.92,Hubble,0.1178,81.1,6,6,0.0125,0.0125,field,field,11.0,NGC 4808 TR1
WALLABY J124950+025100,192.459588,2.850217,1148.9,16.64,Hubble,0.0993,74.9,6,6,0.0578,0.0578,field,field,11.0,NGC 4808 TR1
WALLABY J130739+062006,196.913104,6.335179,7149.5,102.17,Hubble,0.0428,44.2,5,5,0.1438,0.1438,field,field,11.0,NGC 4808 TR1
WALLABY J130558+035723,196.495525,3.956555,7010.5,100.07,Hubble,0.0430,78.7,6,6,0.2387,0.2387,field,field,11.0,NGC 4808 TR1
WALLABY J130906+051433,197.277407,5.242738,3598.4,51.46,Hubble,0.0541,50.2,5,5,0.2014,0.2014,poor_group,field,11.2,NGC 4808 TR1
WALLABY J131208+025916,198.035133,2.988027,3031.5,43.41,Hubble,0.0582,81.9,4,4,0.0492,0.0492,field,field,11.0,NGC 4808 TR1
WALLABY J134019-235122,205.082737,-23.856174,6505.2,93.00,Hubble,0.0439,34.3,4,4,0.1745,0.1745,field,field,11.0,NGC 5044 TR1
WALLABY J133801-225524,204.506192,-22.923507,6964.3,99.55,Hubble,0.0431,70.6,5,5,0.2894,0.2894,field,field,11.0,NGC 5044 TR1
WALLABY J133541-240428,203.922097,-24.074488,2579.0,36.87,Hubble,0.0629,77.7,6,6,0.1429,0.1429,field,field,11.0,NGC 5044 TR1
WALLABY J133440-234722,203.667147,-23.789527,7807.7,111.42,Hubble,0.0418,33.3,4,4,0.3928,0.3928,field,field,11.0,NGC 5044 TR1
WALLABY J133209-245132,203.038146,-24.858912,7784.6,111.20,Hubble,0.0418,81.6,4,4,0.1730,0.1730,field,field,11.0,NGC 5044 TR1
WALLABY J133058-215044,202.742842,-21.845812,7356.2,105.12,Hubble,0.0425,67.9,5,5,0.1431,0.1431,field,field,11.0,NGC 5044 TR1
WALLABY J133041-233009,202.674017,-23.502665,12877.1,184.39,Hubble,0.0376,69.5,4,4,0.1560,0.1560,field,field,11.0,NGC 5044 TR1
WALLABY J132635-221419,201.649244,-22.238773,1414.5,20.37,Hubble,0.0873,59.7,6,6,0.0668,0.0668,field,field,11.0,NGC 5044 TR1
WALLABY J132519-210812,201.332560,-21.136919,1761.3,24.93,Hubble,0.0774,51.2,4,4,0.0343,0.0343,field,field,11.0,NGC 5044 TR1
WALLABY J132441-194214,201.174457,-19.704041,1955.3,28.31,Hubble,0.0721,53.3,8,8,0.2275,0.2275,field,field,11.0,NGC 5044 TR1
WALLABY J132433-210813,201.138445,-21.137191,2655.7,38.07,Hubble,0.0619,51.5,8,8,0.2630,0.2630,field,field,11.0,NGC 5044 TR1
WALLABY J132402-243938,201.011453,-24.660711,2053.2,29.25,Hubble,0.0708,53.4,6,6,0.0518,0.0518,field,field,11.0,NGC 5044 TR1
WALLABY J130943-163617,197.431718,-16.604940,2564.3,36.85,Hubble,0.0629,65.4,10,10,0.1289,0.1289,field,field,11.0,NGC 5044 TR2
WALLABY J131658-163757,199.244780,-16.632747,1736.0,24.88,Hubble,0.0775,60.5,12,12,0.1288,0.1288,field,field,11.0,NGC 5044 TR2
WALLABY J131234-173225,198.145213,-17.540429,2750.8,39.73,Hubble,0.0606,60.7,6,6,0.2838,0.2838,field,field,11.0,NGC 5044 TR2
WALLABY J130618-173039,196.576841,-17.510961,1469.0,20.99,Hubble,0.0857,49.5,7,7,0.1143,0.1143,field,field,11.0,NGC 5044 TR2
WALLABY J131830-143635,199.628009,-14.609983,2900.3,41.53,Hubble,0.0594,57.4,4,4,0.1107,0.1107,field,field,11.0,NGC 5044 TR2
WALLABY J131706-161516,199.275886,-16.254521,2635.8,37.65,Hubble,0.0622,77.0,6,6,0.1703,0.1703,field,field,11.0,NGC 5044 TR2
WALLABY J130515-165316,196.314425,-16.887961,2836.2,40.59,Hubble,0.0600,61.0,5,5,0.0940,0.0940,field,field,11.0,NGC 5044 TR2
WALLABY J130806-144640,197.025210,-14.777920,2589.1,37.06,Hubble,0.0627,35.3,5,5,0.0278,0.0278,field,field,11.0,NGC 5044 TR2
WALLABY J130854-163609,197.228340,-16.602640,2578.9,36.95,Hubble,0.0628,79.1,6,6,0.0292,0.0292,field,field,11.0,NGC 5044 TR2
WALLABY J133010-240841,202.542962,-24.144630,4940.9,70.60,Hubble,0.0479,35.5,5,5,0.1190,0.1190,field,field,11.0,NGC 5044 TR2
WALLABY J131712-171511,199.301031,-17.253285,2518.6,35.95,Hubble,0.0636,52.3,5,5,0.1413,0.1413,field,field,11.0,NGC 5044 TR2
WALLABY J130818-143213,197.075536,-14.537099,2669.9,38.21,Hubble,0.0618,52.0,4,4,0.1079,0.1079,field,field,11.0,NGC 5044 TR2
WALLABY J131400-164707,198.502263,-16.785316,3078.4,44.01,Hubble,0.0578,63.2,4,4,0.0781,0.0781,field,field,11.0,NGC 5044 TR2
WALLABY J131237-142630,198.156667,-14.441895,6221.0,88.80,Hubble,0.0445,79.1,7,7,0.1825,0.1825,field,field,11.0,NGC 5044 TR2
WALLABY J130516-172641,196.317314,-17.444843,10739.2,153.38,Hubble,0.0389,75.0,4,4,0.0974,0.0974,field,field,11.0,NGC 5044 TR2
WALLABY J131430-173154,198.626623,-17.531811,2477.6,35.49,Hubble,0.0641,59.6,4,4,0.1032,0.1032,field,field,11.0,NGC 5044 TR2
WALLABY J131840-150339,199.666738,-15.061068,3182.2,45.71,Hubble,0.0569,78.6,4,4,0.1087,0.1087,field,field,11.0,NGC 5044 TR2
WALLABY J130314-172514,195.811884,-17.420712,740.5,10.62,Hubble,0.1353,78.2,24,24,0.0601,0.0601,field,field,11.0,NGC5044 TR3
WALLABY J132947-175747,202.448549,-17.963106,1506.8,21.69,Hubble,0.0840,84.4,22,22,0.1514,0.1514,field,field,11.0,NGC5044 TR3
WALLABY J130415-102023,196.062561,-10.339842,3108.3,44.40,Hubble,0.0576,66.6,14,14,0.2286,0.2286,field,field,11.0,NGC5044 TR3
WALLABY J130053-132655,195.223030,-13.448608,2554.3,36.51,Hubble,0.0632,37.8,12,12,0.2451,0.2451,field,field,11.0,NGC5044 TR3
WALLABY J130059-143042,195.247702,-14.511922,2630.3,37.47,Hubble,0.0624,34.2,8,8,0.3383,0.3383,field,field,11.0,NGC5044 TR3
WALLABY J130017-122041,195.071759,-12.344942,1573.2,22.59,Hubble,0.0820,50.5,6,6,0.0648,0.0648,field,field,11.0,NGC5044 TR3
WALLABY J131920-145037,199.835725,-14.843867,2749.3,39.24,Hubble,0.0610,80.4,10,10,0.1595,0.1595,field,field,11.0,NGC5044 TR3
WALLABY J125907-121329,194.779284,-12.224818,1316.4,18.69,Hubble,0.0921,41.4,4,4,0.1725,0.1725,field,field,11.0,NGC5044 TR3
WALLABY J132148-131222,200.453571,-13.206150,2897.3,41.45,Hubble,0.0595,50.0,5,5,0.1654,0.1654,field,field,11.0,NGC5044 TR3
WALLABY J130221-154600,195.590276,-15.766894,4821.2,69.28,Hubble,0.0483,81.1,8,8,0.2247,0.2247,field,field,11.0,NGC5044 TR3
WALLABY J131035-214450,197.646017,-21.747439,2955.6,42.16,Hubble,0.0590,65.4,5,5,0.0266,0.0266,field,field,11.0,NGC5044 TR3
