galaxy,source,R_m,R_kpc,g_dm,sigma_gdm,rho_dm,sigma_rho_dm,M_dm_enc,cs2,sigma_cs2,xi_eff,X_TF,g_star,log_gbar,env_dense,logMh,sigma_log_gobs,T
004-005,Catinella2005,7.527127406e+19,2.439121,2.5630536495749716e-11,1.0346648341985805e-11,2.678337909941977e-21,7.299749506397373e-22,2.1758553923314096e+39,1895872178.5358157,765875130.3360188,3.478704127547573e+19,2.163773385150319,5.4499379913415435e-11,-10.714344,field,11.0,0.1,
004-005,Catinella2005,1.3855886948000001e+20,4.489918,4.3867819131201005e-11,1.3141492414254761e-11,9.392633776723135e-22,2.465155084109259e-22,1.2619103556003235e+40,3735013705.5085635,1120417373.9242792,8.377544247011649e+19,1.6539318133643437,4.4583634480246155e-11,-10.879263,field,11.0,0.1,
004-005,Catinella2005,2.018464649e+20,6.540715,4.974667607776123e-11,1.358703482978538e-11,5.828837989648351e-22,1.45464057377848e-22,3.0368277608010975e+40,6069026540.821657,1660819493.3964915,1.2996085460497493e+20,1.5531327915126933,4.669888143832915e-11,-11.033339,field,11.0,0.1,
004-005,Catinella2005,2.6513406032e+20,8.591512,4.9851160292394884e-11,1.3012768051707904e-11,4.1912990223555283e-22,1.0128940400051543e-22,5.250735167204897e+40,10723900011.551445,2808003976.302761,1.7088838098284475e+20,1.551504314073971,6.275382767321086e-11,-11.176358,field,11.0,0.1,
004-005,Catinella2005,3.284216866e+20,10.64231,4.743696343241163e-11,1.205470782598799e-11,2.996533374050594e-22,7.154704525815898e-23,7.666450443527916e+40,16502695580.73477,4215117822.543849,2.0649029488918138e+20,1.5904945400763577,7.991995744686882e-11,-11.308391,field,11.0,0.1,
005-019,Catinella2005,2.1461432699999998e+19,0.695445,6.41084100896529e-11,1.94672985249313e-11,3.288111905342954e-20,8.83255864735701e-21,4.424316890157039e+38,2185160645.097041,663575122.390137,1.5686483280441391e+19,1.3681481257662813,1.3930213713494326e-10,-10.689583,field,11.0,0.1,
005-019,Catinella2005,9.499059803999999e+19,3.078114,1.0051573135938323e-10,2.6634017986644777e-11,2.0242967298229563e-21,5.322542348499503e-22,1.3589675245361725e+40,4149690678.8970537,1099640362.8231044,8.69374739815653e+19,1.0926312174671915,4.7731898442057065e-11,-10.819463,field,11.0,0.1,
005-019,Catinella2005,1.6851976338e+20,5.460783,8.077555080527755e-11,2.1219966243729874e-11,8.647618812191869e-22,2.221288491131341e-22,3.4371256367926844e+40,6618387765.166732,1739242026.875165,1.3826115536655735e+20,1.2188511150020493,4.78687433764031e-11,-10.943797,field,11.0,0.1,
005-019,Catinella2005,2.4204895958e+20,7.843453,6.783782047591308e-11,1.7614839430937808e-11,5.242696571001558e-22,1.3170814138687655e-22,5.955142037131413e+40,14063348960.263372,3659923500.975029,1.8199042547117474e+20,1.330009306551887,7.727521337374339e-11,-11.062359,field,11.0,0.1,
005-019,Catinella2005,3.1557812492e+20,10.226122,6.077253296938271e-11,1.55323328505607e-11,3.7702798478406107e-22,9.216413769757038e-23,9.068488745466543e+40,16637279277.46463,4267061540.4421916,2.2457941039352447e+20,1.4051961591983029,7.408194388039212e-11,-11.174994,field,11.0,0.1,
005-019,Catinella2005,3.8910732112e+20,12.608792,5.684487318105625e-11,1.429291097606118e-11,3.024911299204792e-22,7.241606737947067e-23,1.289566979218549e+41,19590125684.46667,4941595475.799065,2.6780854509805748e+20,1.452930939815715,7.314974089902094e-11,-11.281627,field,11.0,0.1,
005-019,Catinella2005,4.6263648646e+20,14.991461,5.460209951160039e-11,1.3527473402400602e-11,2.543480972723544e-22,6.001706830522969e-23,1.751067557617172e+41,21129572105.578194,5241492563.695662,3.120713711041248e+20,1.4824701311855937,6.770749918783214e-11,-11.382269,field,11.0,0.1,
005-019,Catinella2005,5.3616565180000004e+20,17.37413,5.332771828696069e-11,1.3046880623769945e-11,2.0410627600062753e-22,4.78880532687788e-23,2.2970200007157308e+41,22930809113.342735,5613708704.037719,3.574249511526486e+20,1.5000789678250948,6.41555913748995e-11,-11.477013,field,11.0,0.1,
006-026,Catinella2005,3.79570285e+19,1.229975,6.111862389368948e-11,2.233349484347275e-11,1.6241232152977105e-20,4.337499208948954e-21,1.3193857129326622e+39,2557716047.8389025,934718409.3488585,2.7088712667998495e+19,1.4012119721304028,9.441999253292255e-11,-10.445214,field,11.0,0.1,
006-026,Catinella2005,1.06829605e+20,3.46175,1.0473375038310123e-10,2.9230731834686864e-11,2.203710938080744e-21,5.753730034659053e-22,1.7909509769864228e+40,5148751982.720464,1437306018.1326098,9.98031680375903e+19,1.0704029451225758,5.158906359346444e-11,-10.653379,field,11.0,0.1,
006-026,Catinella2005,1.757021815e+20,5.693525,9.563630122442575e-11,2.5309040961609872e-11,9.280906175712237e-22,2.332610562674237e-22,4.423753062377092e+40,7227009926.618377,1913363146.3866014,1.5685483718581092e+20,1.1201578775148797,4.6074511033773405e-11,-10.845288,field,11.0,0.1,
006-026,Catinella2005,2.44574758e+20,7.9253,8.008847308580384e-11,2.063767118667624e-11,5.3751867972197355e-22,1.3099398023890154e-22,7.178059871176894e+40,13076151755.772743,3374615430.3144145,1.9980484557903534e+20,1.224068201605528,6.544461781133484e-11,-11.020461,field,11.0,0.1,
006-026,Catinella2005,3.134473345e+20,10.157075,6.68215878058808e-11,1.6910820848749183e-11,3.450746494996435e-22,8.29821505824231e-23,9.83693384759068e+40,25994828327.575634,6626647442.892137,2.339011480996837e+20,1.3400846342422201,1.1113595866787789e-10,-11.179065,field,11.0,0.1,
006-036,Catinella2005,3.767894904e+19,1.220964,1.8847159305952123e-11,7.082452796594729e-12,6.703921717225313e-21,1.7257029288675912e-21,4.009195743463206e+38,1003945532.0683864,377337174.72469527,1.4932451348174954e+19,2.52329293840995,6.72324663017294e-11,-10.924032,field,11.0,0.1,
006-036,Catinella2005,1.1820497132e+20,3.830362,4.2308545926796805e-11,1.1242183990123947e-11,9.20543790176263e-22,2.2802137725979086e-22,8.857545281559633e+39,2689818534.4131346,715020755.0362135,7.018740224637241e+19,1.6841337268057865,3.8323380668389907e-11,-11.186043,field,11.0,0.1,
006-036,Catinella2005,1.987309936e+20,6.43976,4.4396401871888206e-11,1.1095571815111157e-11,4.950498342254664e-22,1.1794336450935145e-22,2.6271978462478655e+40,4604835799.569686,1151483991.4688427,1.2087844592074804e+20,1.6440564906856487,3.809476341703442e-11,-11.42124,field,11.0,0.1,
006-036,Catinella2005,2.7925701588e+20,9.049158,4.258608157171883e-11,1.0346529222480342e-11,3.364872555328675e-22,7.860670328141418e-23,4.976106481436509e+40,11984711029.773676,2915337634.8614025,1.6635938671319204e+20,1.6786369642095786,7.204108686957132e-11,-11.629242,field,11.0,0.1,
006-036,Catinella2005,3.5978303816000006e+20,11.658556,4.066560770054218e-11,9.719136658908287e-12,2.2855800764447045e-22,5.304328608752118e-23,7.887192380833412e+40,79826800454.5143,19447564675.334576,2.094419608341855e+20,1.7178173691987113,3.8114043688558143e-10,-11.811334,field,11.0,0.1,
008-082,Catinella2005,3.07546131e+19,0.996585,1.7549062663480747e-11,4.243074807886876e-12,4.524503322424243e-21,1.0629667830867817e-21,2.4870714273933986e+38,616412392.6189023,149038633.61136556,1.1761063835960144e+19,2.6149516343892265,5.2411278538781944e-11,-12.056319,field,11.0,0.1,
008-082,Catinella2005,9.551913726e+19,3.095241,2.3259391634316244e-11,5.4845460675555294e-12,4.860949015011246e-22,1.1393989784510018e-22,3.179749673165609e+39,960759903.5889366,226546939.32692233,4.205318984998569e+19,2.2713886295127863,2.2846302670884395e-11,-12.252053,field,11.0,0.1,
008-082,Catinella2005,1.6028369228e+20,5.193898,1.9221769298118374e-11,4.51077005517379e-12,1.847460586599781e-22,4.312525253740807e-23,7.399218199632907e+39,1225193873.8726954,287517432.04740554,6.414981310985378e+19,2.498583932045462,1.9098946894429824e-11,-12.43385,field,11.0,0.1,
008-082,Catinella2005,2.2504821644e+20,7.292554,1.5188044451590337e-11,3.5548533452043294e-12,9.985819460589522e-23,2.3225070774904463e-23,1.1525686645439246e+40,2118822668.6461747,495932647.19724846,8.00637416227749e+19,2.8108630933129266,2.6464197471923485e-11,-12.601214,field,11.0,0.1,
008-082,Catinella2005,2.898127406e+20,9.39121,1.2228718922044922e-11,2.856325444873015e-12,6.206691624989644e-23,1.4411556942010965e-23,1.5389684199396838e+40,4205419555.1978445,982385704.3974966,9.25161032590068e+19,3.132565363120021,4.5456081774482115e-11,-12.75413,field,11.0,0.1,
009-016,Catinella2005,2.370770124e+19,0.768234,2.8488498622694384e-11,7.2552217142890665e-12,1.0465326463106278e-20,2.5041280329383144e-21,2.399176788683797e+38,838581124.9341241,213564769.24980223,1.1551372893757282e+19,2.052370870376141,7.259579728287701e-11,-11.519917,field,11.0,0.1,
009-016,Catinella2005,8.170758996000001e+19,2.647686,3.907023087535254e-11,9.41036976607626e-12,9.270669333537821e-22,2.2059676138221295e-22,3.908270160289332e+39,1360679742.9952853,327733962.9977268,4.662241507559338e+19,1.7525387697638504,2.918509778588443e-11,-11.745093,field,11.0,0.1,
009-016,Catinella2005,1.3970744781999999e+20,4.527137,3.1475272628402754e-11,7.50491345982285e-12,3.4857143259597486e-22,8.214303793612292e-23,9.204970822434464e+39,1729719712.0715191,412440968.905424,7.1550666936635195e+19,1.9525666747973711,2.417475316621923e-11,-11.951499,field,11.0,0.1,
009-016,Catinella2005,1.9770730568e+20,6.406588,2.4760021999906535e-11,5.868575398502729e-12,1.8976914905753614e-22,4.435689275861189e-23,1.4501410923356064e+40,3224076399.0668983,764242317.7999773,8.9806466221573e+19,2.201481853124151,3.5900270155518286e-11,-12.138539,field,11.0,0.1,
009-016,Catinella2005,2.557071944e+20,8.28604,2.014549409147896e-11,4.752363905186813e-12,1.1814205347556877e-22,2.751505562673028e-23,1.9736839776016084e+40,8320416338.429016,1964576068.4992518,1.0477104747381762e+20,2.440628404177227,7.94152252845262e-11,-12.306484,field,11.0,0.1,
009-018,Catinella2005,2.2869447973999998e+20,7.410709,1.8356461567610853e-11,2.5773576535207646e-11,8.548609504069453e-22,3.2747767929265965e-22,1.4385141241089506e+40,3447748842.6616282,4853625487.32987,8.944571568043907e+19,2.5567963540819796,3.8545712518857045e-11,-10.028832,field,11.0,0.1,
009-018,Catinella2005,2.7433348804e+20,8.889614,3.430409751439693e-11,2.633544666791822e-11,6.328953092975814e-22,2.317877244562361e-22,3.868275941740876e+40,6697311349.885761,5185455562.025375,1.4667672399753424e+20,1.8703273468571044,4.566035542216193e-11,-10.096534,field,11.0,0.1,
009-018,Catinella2005,3.1997249634e+20,10.368519,4.469920193191792e-11,2.6141511130323e-11,5.297882482132543e-22,1.783222043852642e-22,6.857074469559114e+40,10063678125.527334,5988503087.160428,1.9528636027177612e+20,1.6384784676958526,5.1532928933295263e-11,-10.16221,field,11.0,0.1,
009-018,Catinella2005,3.6561147377999997e+20,11.847423,5.083230783054631e-11,2.539350728861161e-11,4.406463460962153e-22,1.3923683860377738e-22,1.0181066125302529e+41,11270677636.048552,5709627001.789438,2.3795734092526797e+20,1.5364580573911464,4.7364277950929784e-11,-10.225846,field,11.0,0.1,
009-018,Catinella2005,4.1125048208e+20,13.326328,5.372997525923194e-11,2.4250778711571463e-11,3.4910876186543937e-22,1.0604789172206189e-22,1.3615803601036717e+41,9633935716.796774,4363754573.842171,2.7518459445936626e+20,1.4944531429455628,3.500899363833872e-11,-10.287436,field,11.0,0.1,
009-018,Catinella2005,4.5688949038e+20,14.805233,5.4207392174774713e-11,2.2838611066790923e-11,2.649556650817071e-22,7.872192418789423e-23,1.6954877209611711e+41,9199615494.383345,3881872492.1694674,3.070787772121737e+20,1.4878575931814257,2.9958486802319593e-11,-10.346986,field,11.0,0.1,
009-018,Catinella2005,5.0252849867999995e+20,16.284138,5.290943280260622e-11,2.125488153248553e-11,1.9838969533870116e-22,5.790968737284914e-23,2.0020194632640373e+41,9329558576.0241,3750694950.50484,3.336849549328451e+20,1.5059968729520186,2.795918257058277e-11,-10.404511,field,11.0,0.1,
009-018,Catinella2005,5.4816750698e+20,17.763043,5.0344427352389036e-11,1.957553718723913e-11,1.59062855925889e-22,4.5868139336547714e-23,2.266688183898359e+41,8902679218.289526,3462884298.5358596,3.550572364579365e+20,1.543884902751281,2.5073926973304267e-11,-10.460033,field,11.0,0.1,
009-091,Catinella2005,6.371343256e+19,2.064596,7.228028400716032e-11,2.1437477852053898e-11,7.350838425414333e-21,1.9139893508264084e-21,4.396384364601188e+39,4528113004.082188,1343117207.9540217,4.9448179313759306e+19,1.2884889483134374,9.157289645287725e-11,-10.681488,field,11.0,0.1,
009-091,Catinella2005,1.2554810831999998e+20,4.068312,1.0313744896922676e-10,2.7686030226073194e-11,2.175395946620993e-21,5.594621746319186e-22,2.4358499377421355e+40,7386027364.456381,1982961442.2325847,1.1639323607384798e+20,1.0786546757780968,6.34575308119294e-11,-10.766967,field,11.0,0.1,
009-091,Catinella2005,1.8738278408000002e+20,6.072028,1.0796767899315552e-10,2.8113032113893054e-11,1.2622629342914236e-21,3.1889416724740803e-22,5.680243293338359e+40,11738243154.933273,3057230778.5934725,1.7774031558179714e+20,1.0542503171924738,6.604153433907495e-11,-10.849991,field,11.0,0.1,
009-091,Catinella2005,2.4921749069999997e+20,8.075745,1.0270879243016067e-10,2.6351824452275435e-11,8.271546043276627e-22,2.066806163559613e-22,9.558251610700142e+40,15971822576.50703,4099209817.470483,2.3056411120303168e+20,1.080903222100088,6.927280439774279e-11,-10.93049,field,11.0,0.1,
009-091,Catinella2005,3.1105216646e+20,10.079461,9.421038346647396e-11,2.3951167540932952e-11,5.471342860395984e-22,1.3558096421413093e-22,1.3657745955421186e+41,15148012771.165625,3851886509.771232,2.75608110225493e+20,1.12860309591582,5.496214446944992e-11,-11.00841,field,11.0,0.1,
009-091,Catinella2005,3.7288684222e+20,12.083177,8.53080941740434e-11,2.1541834683401936e-11,3.783873134392331e-22,9.303128080939571e-23,1.777289419218945e+41,15154425195.080278,3827693626.7131767,3.143992894376412e+20,1.1860295323407828,4.8201206886270806e-11,-11.083709,field,11.0,0.1,
009-091,Catinella2005,4.3472154883999996e+20,14.086894,7.707764457760332e-11,1.935417611799546e-11,2.735353246184336e-22,6.671520168002216e-23,2.182551845761724e+41,15660570037.896776,3933649671.2270594,3.4840530777881084e+20,1.2477466305306346,4.494928661603247e-11,-11.156364,field,11.0,0.1,
009-091,Catinella2005,4.9655622460000004e+20,16.09061,6.983865091705362e-11,1.7448202330190213e-11,2.0592607464623616e-22,4.9821717511981376e-23,2.580159178747776e+41,16215047661.482964,4052778735.353335,3.7881374445940507e+20,1.3108189231851186,4.2804802884391173e-11,-11.226365,field,11.0,0.1,
009-091,Catinella2005,5.5839090036e+20,18.094326,6.360188340582548e-11,1.5815709840883982e-11,1.606047670130363e-22,3.8555193889257896e-23,2.971395345273268e+41,16825363728.037949,4185922395.5547442,4.06520730655828e+20,1.3735853014412431,4.138869794141637e-11,-11.29372,field,11.0,0.1,
009-091,Catinella2005,6.2022560698e+20,20.098043,5.826465807957441e-11,1.442463022022133e-11,1.2904518799635866e-22,3.075695577370974e-23,3.3582914630168923e+41,17455229550.43269,4323551417.601302,4.321770202915963e+20,1.435119355863772,4.038907376115321e-11,-11.358455,field,11.0,0.1,
009-091,Catinella2005,6.8206028274e+20,22.101759,5.369578429235996e-11,1.3238100953908188e-11,1.0627120184393763e-22,2.5167813068279065e-23,3.742824893540828e+41,18061422766.58997,4454999612.814392,4.5624932273457935e+20,1.4949288661997313,3.958673879960389e-11,-11.42061,field,11.0,0.1,
009-091,Catinella2005,7.438949584999999e+20,24.105475,4.976855792076578e-11,1.2221673817053591e-11,8.934158124721686e-23,2.1046310094762873e-23,4.126597260048493e+41,18438853106.086502,4529854042.781299,4.790694983817035e+20,1.552791319449217,3.848888975059555e-11,-11.480238,field,11.0,0.1,
009-091,Catinella2005,8.0572966512e+20,26.109192,4.637260464032107e-11,1.134573638667012e-11,7.626692952701016e-23,1.787903416276685e-23,4.510804394885556e+41,18825580326.49849,4607186012.567336,5.008751385613834e+20,1.6086437578719153,3.758537582953196e-11,-11.537407,field,11.0,0.1,
009-091,Catinella2005,8.6756434088e+20,28.112908,4.341599663344988e-11,1.0585775727552973e-11,6.581121959868894e-23,1.5388892490863382e-23,4.896288041034331e+41,18572356805.926537,4529300355.101746,5.218383081781105e+20,1.6625156246365274,3.559025183637445e-11,-11.592194,field,11.0,0.1,
011-059,Catinella2005,2.980279812e+19,0.965742,1.479144383142154e-10,4.2240562093076976e-11,4.366113915274205e-20,1.1282311429869204e-20,1.968513730095853e+39,5255405298.414685,1500809223.0659342,3.308809029779411e+19,0.900710734641185,1.5883072281040797e-10,-10.449356,field,11.0,0.1,
011-059,Catinella2005,9.435775202e+19,3.057607,2.1437159578063888e-10,5.582075274879852e-11,4.616476685058531e-21,1.1922642800280486e-21,2.859803609255049e+40,8935263322.15253,2326675449.6252456,1.2611611477843277e+20,0.7481815641543709,7.084949721017379e-11,-10.551992,field,11.0,0.1,
011-059,Catinella2005,1.5891270592e+20,5.149472,1.8005822269244185e-10,4.660061934341706e-11,1.856262210673603e-21,4.793558398421681e-22,6.813088059041656e+40,12585392462.456583,3257216922.2271204,1.9465899608041924e+20,0.8163645612060415,6.465353626532213e-11,-10.651195,field,11.0,0.1,
011-059,Catinella2005,2.2346762896000002e+20,7.241336,1.4456882926776786e-10,3.7412668746528996e-11,9.948693834942885e-22,2.5636266731497547e-22,1.0817270847022146e+41,17675286792.18334,4574484326.767645,2.4527954397827016e+20,0.911073240497371,7.206180550363886e-11,-10.746848,field,11.0,0.1,
011-059,Catinella2005,2.8802258286000003e+20,9.333201,1.1885409328963216e-10,3.0704193100189083e-11,5.952833758964851e-22,1.5185991573929363e-22,1.477341923294914e+41,17551193471.224537,4536017715.139331,2.8664408820100488e+20,1.0048090810720942,6.122991610040472e-11,-10.838856,field,11.0,0.1,
011-059,Catinella2005,3.5257753675999995e+20,11.425066,1.0096601564502091e-10,2.597135978958225e-11,4.0843939118943055e-22,1.0246702977144362e-22,1.8806080664952133e+41,19323420265.651524,4976494301.708779,3.234086454702607e+20,1.090192057937491,5.97492384211121e-11,-10.927156,field,11.0,0.1,
011-059,Catinella2005,4.1713249066e+20,13.516931,8.82623338571275e-11,2.256444669968216e-11,3.0559514589264215e-22,7.531912867014743e-23,2.3011092692684036e+41,21700102637.843586,5558273256.93016,3.577429624639424e+20,1.166011730285382,6.065836344727755e-11,-11.011717,field,11.0,0.1,
011-059,Catinella2005,4.8168744456e+20,15.608796,7.891826172771284e-11,2.003229415153822e-11,2.4137526251619716e-22,5.856153705299344e-23,2.7436073723643595e+41,23431361684.060867,5959688773.86561,3.9062807975489654e+20,1.2331101360205328,5.998381298846491e-11,-11.092541,field,11.0,0.1,
011-059,Catinella2005,5.4624239846e+20,17.700661,7.179831178163096e-11,1.8090130036840385e-11,1.97655146970517e-22,4.733994030465886e-23,3.209954252857736e+41,24829413698.63831,6266700006.204928,4.2252450307223336e+20,1.2928064395986432,5.876443500459797e-11,-11.16966,field,11.0,0.1,
011-059,Catinella2005,6.1079735236e+20,19.792526,6.620049814746509e-11,1.655867905849036e-11,1.6609472295962117e-22,3.9380658316142574e-23,3.700576161162779e+41,26198748956.96292,6561924686.376705,4.53666960258297e+20,1.3463562610163196,5.774885819775495e-11,-11.243141,field,11.0,0.1,
011-059,Catinella2005,6.7535230626e+20,21.884391,6.168218414506107e-11,1.5322643196254374e-11,1.4234187156166304e-22,3.3497479502131147e-23,4.2153565603137766e+41,26636224992.54412,6622848034.365101,4.8419425925563993e+20,1.3947961863451883,5.501144320358618e-11,-11.313077,field,11.0,0.1,
011-059,Catinella2005,7.3990726016e+20,23.976256,5.795526738254824e-11,1.4305488372622823e-11,1.2395559213695092e-22,2.899025562619307e-23,4.754023114930502e+41,26454406179.84566,6532936273.550861,5.142012435892373e+20,1.4389449060746826,5.144757331815869e-11,-11.379585,field,11.0,0.1,
011-059,Catinella2005,8.0446221406e+20,26.068121,5.482582192765339e-11,1.345475173687222e-11,1.0713496881729943e-22,2.4980000534461132e-23,5.316309405992647e+41,25974167091.01828,6376103289.584114,5.437604326630963e+20,1.4794423531703154,4.776766666123238e-11,-11.442803,field,11.0,0.1,
012-002,Catinella2005,6.542360118e+19,2.120013,6.212148678642551e-11,2.0636245636092692e-11,6.7213495877948185e-21,1.8121755003885027e-21,3.9840477103578225e+39,4035223082.552961,1340786192.9887328,4.7072226789378425e+19,1.3898556673924434,8.572407463552342e-11,-10.560658,field,11.0,0.1,
012-002,Catinella2005,1.3066364708000001e+20,4.234078,9.426854955382005e-11,2.6624330068365178e-11,1.9399779522232136e-21,5.120024870609206e-22,2.411516149691986e+40,7003860484.349059,1978842027.0689101,1.1581040102629065e+20,1.1282548538134969,6.047695562990997e-11,-10.67041,field,11.0,0.1,
012-002,Catinella2005,1.9590372384e+20,6.348144,9.97364764074696e-11,2.682234156698726e-11,1.1196786473427132e-21,2.865459525195352e-22,5.735261195852759e+40,11285614806.681938,3037311051.593241,1.7859902300292992e+20,1.0968913521816197,6.318967829122333e-11,-10.775947,field,11.0,0.1,
012-002,Catinella2005,2.6114376974e+20,8.462209,9.501569629241275e-11,2.493364022951122e-11,7.303840643173479e-22,1.8330017476153962e-22,9.708865643488e+40,15401068391.49016,4045420820.057936,2.323735665271169e+20,1.1238101374560852,6.627719590340293e-11,-10.877138,field,11.0,0.1,
012-002,Catinella2005,3.2638381564e+20,10.576274,8.705180884636706e-11,2.2489649586358592e-11,4.798936036648305e-22,1.1865693880228825e-22,1.3894688918727148e+41,14527016116.597446,3755095495.8961563,2.7798853969721033e+20,1.1740909031555853,5.2257607930242416e-11,-10.973896,field,11.0,0.1,
012-002,Catinella2005,3.916238924e+20,12.69034,7.866631085636706e-11,2.0090728681694395e-11,3.2971024432774417e-22,8.049317551181261e-23,1.8077607002373032e+41,14456874735.039593,3694085986.0005074,3.170829927293452e+20,1.2350832475404354,4.5593346431480323e-11,-11.066178,field,11.0,0.1,
012-002,Catinella2005,4.5686393829999994e+20,14.804405,7.091064597398071e-11,1.794298477812097e-11,2.368599534833444e-22,5.719742686381142e-23,2.2176806020251107e+41,14886328114.238188,3768672439.3943152,3.5119795388920365e+20,1.3008730069200003,4.238728600034653e-11,-11.153988,field,11.0,0.1,
012-002,Catinella2005,5.2210398419999995e+20,16.91847,6.409107922060496e-11,1.6090542571005726e-11,1.7711448735188042e-22,4.2322310375124865e-23,2.6177332962493423e+41,15571248592.728607,3910874150.4559073,3.815620528298565e+20,1.368333093733545,4.080921694713711e-11,-11.237377,field,11.0,0.1,
012-002,Catinella2005,5.8734406096e+20,19.032536,5.821513369315642e-11,1.4515690132102025e-11,1.3834334446070902e-22,3.2870190078207837e-23,3.009087801951251e+41,15355372873.507162,3830191099.1274543,4.090909840754932e+20,1.4357296636281092,3.7535349032951306e-11,-11.316439,field,11.0,0.1,
012-046,Catinella2005,2.2680464420000002e+19,0.734947,1.3193185709490575e-10,3.832275199973851e-11,5.373812026093364e-20,1.382803116577718e-20,1.0168745071310197e+39,4343952107.186916,1261815610.3887775,2.3781331019296813e+19,0.953708789537325,1.826622783923287e-10,-10.462159,field,11.0,0.1,
012-046,Catinella2005,1.0258913239999999e+20,3.32434,1.6749145737624066e-10,4.320576396086209e-11,2.600685716624899e-21,6.6294549138706585e-22,2.64124795085731e+40,6522595468.639842,1682594092.4320219,1.2120124045027236e+20,0.8464363237444857,5.3816243500544014e-11,-10.695751,field,11.0,0.1,
012-046,Catinella2005,1.8249783123999998e+20,5.913734,1.1239601993696589e-10,2.871571859279933e-11,8.159059087085964e-22,2.0406182118510055e-22,5.608931625947069e+40,7638521898.39913,1951815859.5365558,1.7662108611273536e+20,1.0332731796446635,4.3248074544868004e-11,-10.909574,field,11.0,0.1,
012-046,Catinella2005,2.6240649921999998e+20,8.503127,8.00112241236993e-11,2.0240055017954684e-11,3.81721588443861e-22,9.347430621760179e-23,8.254939358757388e+40,9877593078.873894,2500081317.428417,2.142690389836004e+20,1.2246589636316234,4.609902170527726e-11,-11.102911,field,11.0,0.1,
012-046,Catinella2005,3.4231519806e+20,11.092521,6.130716951409408e-11,1.533605610555545e-11,2.0881793887050728e-22,4.9795384880993265e-23,1.076409261929084e+41,9641185876.329447,2413593632.299781,2.4467589811344835e+20,1.3990556515757815,3.940390512783216e-11,-11.276013,field,11.0,0.1,
012-046,Catinella2005,4.2222386604000005e+20,13.681914,4.942702244376934e-11,1.223642883325577e-11,1.3248913157754087e-22,3.11253897273962e-23,1.3202731838157515e+41,9965045373.45249,2470038014.1071754,2.70978216049223e+20,1.5581468953331046,3.677434119516953e-11,-11.430028,field,11.0,0.1,
012-079,Catinella2005,5.958146372e+19,1.930702,2.6567269934435325e-11,7.81737037589043e-12,3.334262280352194e-21,8.3156581690543035e-22,1.413133078555774e+39,1571680237.2489026,462510038.2772429,2.803457711214438e+19,2.1252849109034617,5.6062206002317823e-11,-11.131759,field,11.0,0.1,
012-079,Catinella2005,1.332377414e+20,4.31749,3.967006237020878e-11,1.0230283964537511e-11,7.44860169305481e-22,1.8298773643681345e-22,1.0551913079971669e+40,2730295026.007847,704203857.3782095,7.660693392013704e+19,1.7392386639426238,3.5640311996485696e-11,-11.322439,field,11.0,0.1,
012-079,Catinella2005,2.0689404993999998e+20,6.704279,3.96903643285279e-11,9.868785025073428e-12,3.736934440397784e-22,8.973973285799472e-23,2.5456276825147607e+40,4057783436.396131,1009181641.3813384,1.1898711118262457e+20,1.73879378937483,3.410271411807063e-11,-11.499047,field,11.0,0.1,
012-079,Catinella2005,2.8055035848e+20,9.091068,3.5965720356995356e-11,8.783724155182461e-12,2.384626070982281e-22,5.63369149004699e-23,4.241546346645061e+40,7145980967.455105,1746198356.61247,1.5359058216979848e+20,1.8266117265565418,4.6526166295502626e-11,-11.661243,field,11.0,0.1,
012-079,Catinella2005,3.5420663616e+20,11.477856,3.1656627815111694e-11,7.646517533405413e-12,1.606502190007791e-22,3.7705581608412443e-23,5.951025827102801e+40,11906114346.120785,2880185345.75649,1.819275184656518e+20,1.946965688024128,6.544427388739806e-11,-11.809171,field,11.0,0.1,
012-097,Catinella2005,6.766385202000001e+19,2.192607,6.627850563490673e-11,3.0976381809489136e-11,8.28121221772218e-21,2.4928329386667054e-21,4.5467381294480074e+39,4436714814.5449295,2074855262.034654,5.028662038416713e+19,1.345563720589665,8.82285343626282e-11,-10.165896,field,11.0,0.1,
012-097,Catinella2005,1.29264825e+20,4.18875,1.1765305240515312e-10,3.910323506779025e-11,2.635151714043785e-21,7.621526578383581e-22,2.9456267957876315e+40,8963553917.061235,2983126742.9337263,1.279945091110248e+20,1.009924768631077,7.003076912686999e-11,-10.282578,field,11.0,0.1,
012-097,Catinella2005,1.9086579798e+20,6.184893,1.3089984575742614e-10,3.9426995990204344e-11,1.5887000887799813e-21,4.335224302248988e-22,7.1451139160118785e+40,14956202684.52582,4516968211.919196,1.9934578474655387e+20,0.9574609175843108,7.50264305991771e-11,-10.394378,field,11.0,0.1,
012-097,Catinella2005,2.5246680182e+20,8.181037,1.2802928916461162e-10,3.6741991190118894e-11,1.058987525202949e-21,2.7868603774463356e-22,1.2227331565799202e+41,20247435160.372627,5828957371.019903,2.6077642223135618e+20,0.9681350777794473,7.764289036226391e-11,-10.50115,field,11.0,0.1,
012-097,Catinella2005,3.140677748e+20,10.17718,1.1902682911337058e-10,3.315352330366382e-11,7.00333551546537e-22,1.7960686380077323e-22,1.759160305404893e+41,18746974517.563038,5229372819.86373,3.127916755908563e+20,1.0040797096237717,5.993437799183893e-11,-10.602806,field,11.0,0.1,
