galaxy,source,R_m,R_kpc,g_dm,sigma_gdm,rho_dm,sigma_rho_dm,M_dm_enc,cs2,sigma_cs2,xi_eff,X_TF,g_star,log_gbar,env_dense,logMh,sigma_log_gobs,T
UGCA444,SPARC,2.12934e+19,0.69,1.692808600351798e-11,7.527569801028371e-12,2.073981934184965e-21,7.667552084293004e-22,1.15003664603877e+38,153369866.22701502,73875363.82564579,7.997574932264754e+18,2.6624820874257358,1.917704648296227e-11,-11.378722,dense,12.5,0.154871,10.0
UGCA444,SPARC,2.34536e+19,0.76,1.5159721042833877e-11,6.134214653263967e-12,1.6394277038187985e-21,3.963877543758876e-22,1.2494648283679673e+38,131590573.11393476,55182058.79849202,8.336130329539306e+18,2.813487682275255,1.5785570511972438e-11,-11.324671,dense,12.5,0.133907,10.0
UGCA444,SPARC,2.56138e+19,0.83,1.580134715000337e-11,5.622302871636733e-12,1.3133297176420313e-21,3.6007698650993742e-22,1.5533021392383979e+38,118092747.38656275,42024524.76283048,9.294594521045133e+18,2.755773793252021,1.270552976992952e-11,-11.267934,dense,12.5,0.115191,10.0
UGCA444,SPARC,2.7774e+19,0.9,1.5926325175257453e-11,5.752006239523652e-12,9.583107740051137e-22,3.24775265307982e-22,1.8407984445562537e+38,102701156.0117208,41606285.06365919,1.0118254468602954e+19,2.7449398595561125,1.0150086295062409e-11,-11.245062,dense,12.5,0.115576,10.0
UGCA444,SPARC,2.99342e+19,0.97,1.3999188598812665e-11,5.364010606431766e-12,6.351605606112992e-22,8.707978221100817e-23,1.879541737157658e+38,125173665.67697911,72800524.78781888,1.0224179491850926e+19,2.9277850632276885,1.2242905729183203e-11,-11.22976,dense,12.5,0.117117,10.0
UGCA444,SPARC,3.20944e+19,1.04,1.3933805520647608e-11,4.383380993238755e-12,5.720853833100425e-22,3.1721374616391306e-23,2.150512961002976e+38,470537192.8162294,163276089.2437222,1.0936377943105698e+19,2.9346462025146396,4.3024957190040825e-11,-11.220973,dense,12.5,0.095442,10.0
UGCA444,SPARC,4.3204e+19,1.4,1.3495871759434811e-11,4.42244138174203e-12,9.381382720131642e-22,3.1491328224619966e-22,3.774528034393412e+38,1662293783.8326123,6394402008.481623,1.4488846314073696e+19,2.9818799277368226,1.147292025741172e-10,-11.264524,dense,12.5,0.101437,10.0
UGCA444,SPARC,4.56728e+19,1.48,1.3067769230345836e-11,4.062702090167657e-12,9.628726708759019e-22,4.551778752817707e-22,4.0844212628431505e+38,219602678.7994493,227196726.62636155,1.5071890919914236e+19,3.0303297869315986,1.457034687726488e-11,-11.282262,dense,12.5,0.096476,10.0
UGCA444,SPARC,4.7833e+19,1.55,1.427143410591567e-11,5.262818316876371e-12,7.09786951296002e-22,5.217143067101112e-22,4.89256556255161e+38,325372036.8596859,163086059.41191626,1.6495702108041517e+19,2.8997250124128886,1.9724655230108075e-11,-11.296622,dense,12.5,0.118288,10.0
UGCA444,SPARC,5.4005e+19,1.75,1.5574530645068812e-11,4.937783092736366e-12,7.476867598470791e-22,1.1665221922516254e-22,6.806074617460632e+38,328072894.58485353,304255688.99724936,1.945587786011643e+19,2.775767836757833,1.6862405127315607e-11,-11.337977,dense,12.5,0.106336,10.0
UGCA444,SPARC,5.64738e+19,1.83,1.3799555879572588e-11,4.945603442667621e-12,6.096501679797301e-22,2.7746246766232045e-22,6.5943642139639915e+38,161424412.9553824,75259719.2110564,1.9150889179529777e+19,2.948886574956758,8.429081879285667e-12,-11.351834,dense,12.5,0.117706,10.0
UGCA444,SPARC,5.8634e+19,1.9,1.4176797325557804e-11,4.8933377947604835e-12,5.483463051473727e-22,2.2151096953419546e-22,7.302826346184159e+38,86415251.36222108,29986562.771514356,2.0153383304553992e+19,2.909387427110101,4.287878122314784e-12,-11.368006,dense,12.5,0.115108,10.0
UGCA444,SPARC,6.07942e+19,1.97,1.5107216717987313e-11,5.5135601948001495e-12,3.4787819695458623e-22,6.260057850728573e-23,8.36609039538216e+38,88796601.9599694,32415853.75246944,2.1570675947294073e+19,2.818372504809072,4.116542391946158e-12,-11.383632,dense,12.5,0.124447,10.0
UGCA444,SPARC,7.19038e+19,2.33,1.462768968980288e-11,5.493083205790675e-12,9.753675573005059e-22,6.8176109474612e-22,1.1331651822487235e+39,125108210.03366198,88531170.29503144,2.510435623938599e+19,2.864196130518209,4.983525920389103e-12,-11.456126,dense,12.5,0.131612,10.0
UGCA444,SPARC,7.4064e+19,2.4,1.5455549641049443e-11,5.414979418878438e-12,5.549636221535964e-22,4.33896658948346e-22,1.2703183713892436e+39,92132386.12937364,32432218.72900059,2.6580232019698102e+19,2.786431658877642,3.4661994696320215e-12,-11.49071,dense,12.5,0.125852,10.0
UGCA444,SPARC,7.65328e+19,2.48,1.5544963015392895e-11,6.977008578913985e-12,3.314727847519204e-22,1.6875214560109923e-22,1.3642648692406735e+39,363031547.2461366,336732664.9885883,2.754557395982195e+19,2.7784064369699086,1.3179305966746433e-11,-11.533218,dense,12.5,0.164015,10.0
WALLABY J094524-480828,WALLABY,4.959202e+19,1.607,7.944669456279958e-12,4.045020853374244e-12,3.547384558062879e-22,5.962759291487427e-23,2.92761003716289e+38,407971123.1220373,222550257.34419015,1.27602473160545e+19,3.886446615937063,3.197203886548047e-11,-11.785081,field,11.0,0.18328,
