sparc_galaxy,analog_rank,eagle_galaxy_id,match_distance,eagle_log_Mstar,eagle_log_Rhalf,eagle_Vflat
NGC0289,1,17336996,0.0512,10.501,1.053,196.9
NGC0289,2,18337519,0.0530,10.572,1.036,195.8
NGC0289,3,18271268,0.0606,10.603,1.068,200.4
NGC0289,4,17267398,0.0695,10.603,1.035,196.4
NGC0289,5,16106437,0.0718,10.615,1.037,240.7
NGC0300,1,13393989,0.0069,9.170,0.466,95.0
NGC0300,2,12594496,0.0084,9.156,0.469,100.3
NGC0300,3,13099527,0.0092,9.158,0.470,99.3
NGC0300,4,12976507,0.0141,9.172,0.464,97.5
NGC0300,5,12400247,0.0146,9.149,0.466,98.2
NGC0801,1,20796004,0.0134,11.208,1.166,364.0
NGC0801,2,14338940,0.0475,11.142,1.166,331.5
NGC0801,3,14164096,0.0687,11.125,1.156,313.5
NGC0801,4,19182761,0.0687,11.123,1.173,377.0
NGC0801,5,14227199,0.0896,11.182,1.135,321.7
NGC1003,1,12054824,0.0106,9.541,0.434,117.7
NGC1003,2,11578588,0.0146,9.538,0.436,107.8
NGC1003,3,11761009,0.0175,9.514,0.433,120.5
NGC1003,4,11222150,0.0215,9.510,0.430,123.8
NGC1003,5,10369264,0.0244,9.506,0.431,122.0
NGC1090,1,17508359,0.0087,10.554,0.775,197.1
NGC1090,2,16680962,0.0183,10.566,0.778,199.8
NGC1090,3,17871231,0.0194,10.553,0.766,223.2
NGC1090,4,17354418,0.0212,10.576,0.777,199.7
NGC1090,5,17317485,0.0262,10.575,0.779,220.6
NGC2403,1,11336692,0.0505,9.726,0.383,132.4
NGC2403,2,12079007,0.0604,9.680,0.387,122.5
NGC2403,3,11810069,0.0649,9.645,0.382,127.9
NGC2403,4,10974361,0.0854,9.790,0.377,132.3
NGC2403,5,12024953,0.0903,9.707,0.399,117.0
NGC2683,1,18002122,0.0211,10.603,0.570,227.6
NGC2683,2,16757693,0.0336,10.575,0.570,224.6
NGC2683,3,18285454,0.0381,10.626,0.574,219.7
NGC2683,4,18317745,0.0415,10.645,0.557,215.6
NGC2683,5,18283362,0.0569,10.661,0.571,214.3
NGC2841,1,15507372,0.0457,10.937,0.775,252.7
NGC2841,2,16952404,0.0517,10.928,0.796,266.3
NGC2841,3,15410273,0.0524,10.989,0.803,292.3
NGC2841,4,16978214,0.0695,10.961,0.809,268.7
NGC2841,5,14793103,0.0697,11.009,0.765,293.4
NGC2903,1,17144123,0.0206,10.635,0.593,237.1
NGC2903,2,18310326,0.0314,10.646,0.593,212.5
NGC2903,3,18477102,0.0383,10.582,0.601,212.2
NGC2903,4,16185808,0.0425,10.657,0.588,261.7
NGC2903,5,8719657,0.0490,10.604,0.609,216.5
NGC2915,1,6911562,0.6539,8.292,0.179,61.0
NGC2915,2,7562584,0.7607,7.726,0.058,49.1
NGC2915,3,5484223,0.7881,8.112,0.206,52.3
NGC2915,4,1584695,0.7967,7.872,0.153,44.6
NGC2915,5,716103,0.8183,7.999,0.197,39.2
NGC2955,1,20845348,0.2250,11.448,1.487,443.6
NGC2955,2,19835441,0.3268,11.331,1.393,388.1
NGC2955,3,18737995,0.4294,11.495,1.382,475.4
NGC2955,4,19076566,0.4490,11.346,1.351,438.0
NGC2955,5,20629167,0.4993,11.180,1.327,345.7
NGC2976,1,12429273,0.3335,9.279,0.342,94.8
NGC2976,2,11793099,0.3446,9.339,0.342,111.0
NGC2976,3,13045783,0.3657,9.159,0.353,87.1
NGC2976,4,3265665,0.3694,9.155,0.354,82.9
NGC2976,5,3830440,0.3813,9.200,0.360,91.1
NGC2998,1,15451066,0.0162,10.861,1.015,271.9
NGC2998,2,15522088,0.0363,10.905,1.008,271.0
NGC2998,3,16018177,0.0393,10.919,1.013,275.6
NGC2998,4,14143265,0.0423,10.894,1.004,317.4
NGC2998,5,17491004,0.0430,10.860,1.031,232.5
NGC3109,1,7450822,0.0058,7.992,0.419,59.5
NGC3109,2,7909230,0.0060,7.987,0.420,46.3
NGC3109,3,6534015,0.0089,7.990,0.415,60.9
NGC3109,4,6370148,0.0106,7.996,0.416,53.9
NGC3109,5,7769690,0.0154,7.970,0.417,54.7
NGC3198,1,9201925,0.0056,10.283,0.724,162.8
NGC3198,2,10908161,0.0087,10.280,0.725,158.2
NGC3198,3,10135222,0.0094,10.272,0.723,158.9
NGC3198,4,9638853,0.0110,10.292,0.724,159.0
NGC3198,5,8986032,0.0176,10.301,0.720,161.1
NGC3521,1,8719657,0.0240,10.604,0.609,216.5
NGC3521,2,17144123,0.0361,10.635,0.593,237.1
NGC3521,3,18310326,0.0396,10.646,0.593,212.5
NGC3521,4,18477102,0.0430,10.582,0.601,212.2
NGC3521,5,16185808,0.0566,10.657,0.588,261.7
NGC3726,1,18094330,0.0126,10.555,0.760,201.8
NGC3726,2,8772511,0.0210,10.554,0.763,186.7
NGC3726,3,16715858,0.0264,10.537,0.765,186.8
NGC3726,4,18056321,0.0292,10.576,0.760,192.3
NGC3726,5,17871231,0.0292,10.553,0.766,223.2
NGC3741,1,62348546,0.5053,7.146,-0.301,31.6
NGC3741,2,51123860,0.5053,7.148,-0.301,31.5
NGC3741,3,62605432,0.5053,7.148,-0.301,34.0
NGC3741,4,62217067,0.5053,7.152,-0.301,36.7
NGC3741,5,62454268,0.5053,7.153,-0.301,34.9
NGC3769,1,9908119,0.0091,9.961,0.753,144.2
NGC3769,2,10398750,0.0114,9.975,0.750,132.5
NGC3769,3,10553166,0.0132,9.976,0.750,140.5
NGC3769,4,10760338,0.0178,9.951,0.755,141.3
NGC3769,5,10475307,0.0227,9.946,0.756,140.5
NGC3877,1,18410128,0.0270,10.560,0.637,202.9
NGC3877,2,16413979,0.0277,10.580,0.635,212.7
NGC3877,3,9088198,0.0316,10.554,0.617,196.4
NGC3877,4,9382018,0.0327,10.559,0.617,197.8
NGC3877,5,18447769,0.0328,10.595,0.630,199.0
NGC3893,1,9146095,0.0155,10.449,0.601,185.0
NGC3893,2,18419292,0.0200,10.481,0.607,189.3
NGC3893,3,8681166,0.0259,10.491,0.597,198.0
NGC3893,4,9845892,0.0359,10.434,0.594,185.3
NGC3893,5,18475201,0.0516,10.483,0.618,198.2
NGC3917,1,11013972,0.0123,10.028,0.646,153.9
NGC3917,2,10913697,0.0125,10.040,0.640,136.4
NGC3917,3,10437670,0.0130,10.041,0.640,149.2
NGC3917,4,10510724,0.0149,10.057,0.643,146.3
NGC3917,5,11118587,0.0179,10.045,0.651,130.7
NGC3972,1,10909101,0.0171,9.840,0.560,133.9
