sparc_galaxy,analog_rank,eagle_galaxy_id,match_distance,eagle_log_Mstar,eagle_log_Rhalf,eagle_Vflat
UGC11914,1,16462660,0.0150,10.866,0.617,247.5
UGC11914,2,16369838,0.0185,10.856,0.610,253.3
UGC11914,3,17131843,0.0270,10.866,0.621,254.2
UGC11914,4,17978268,0.0703,10.799,0.609,242.6
UGC11914,5,16614949,0.0780,10.957,0.605,272.3
UGC12632,1,12960268,0.0127,8.800,0.608,82.6
UGC12632,2,4068409,0.0128,8.812,0.604,82.5
UGC12632,3,3866690,0.0130,8.819,0.613,82.2
UGC12632,4,12922053,0.0134,8.800,0.610,94.3
UGC12632,5,3757833,0.0150,8.801,0.605,74.1
UGC12732,1,4062584,0.0080,8.926,0.519,81.3
UGC12732,2,12380059,0.0080,8.913,0.520,86.7
UGC12732,3,3822288,0.0090,8.918,0.524,82.8
UGC12732,4,3922662,0.0094,8.925,0.524,82.2
UGC12732,5,3788886,0.0095,8.912,0.523,88.9
UGCA444,1,953493,0.0141,6.769,0.148,37.1
UGCA444,2,63640104,0.0245,6.755,0.140,35.3
UGCA444,3,65048338,0.0351,6.762,0.133,32.2
UGCA444,4,62232666,0.0360,6.812,0.150,41.7
UGCA444,5,63090603,0.0448,6.821,0.151,33.6
