galaxy,galaxy_key,source,n_points,sigma_res,mean_res,median_res,mean_log_gbar,env_dense,logMh
3289/421-029,3289/421-029,Vogt2004,1,0.0,-0.111807,-0.111807,-10.304497,dense,14.3
3291/421-032,3291/421-032,Vogt2004,1,0.0,-0.272926,-0.272926,-10.509726,dense,14.3
330-025,330-025,Catinella2005,5,0.156408,0.117175,0.171879,-10.508996,field,11.0
330564/476-075,330564/476-075,Vogt2004,1,0.0,-0.222155,-0.222155,-10.103797,dense,14.5
330581,330581,Vogt2004,1,0.0,-0.203075,-0.203075,-10.246126,dense,14.5
330598/476-080,330598/476-080,Vogt2004,1,0.0,-0.234662,-0.234662,-10.104635,dense,14.5
330630/476-083,330630/476-083,Vogt2004,1,0.0,-0.297593,-0.297593,-10.335241,dense,14.5
330633,330633,Vogt2004,1,0.0,0.268301,0.268301,-10.894282,dense,14.5
330712,330712,Vogt2004,1,0.0,-0.240641,-0.240641,-10.507047,dense,14.5
330721,330721,Vogt2004,1,0.0,-0.250853,-0.250853,-10.14135,dense,14.5
330765/476-111,330765/476-111,Vogt2004,1,0.0,-0.086856,-0.086856,-9.86679,dense,14.5
330768/476-112,330768/476-112,Vogt2004,1,0.0,-0.112893,-0.112893,-9.979796,dense,14.5
330778/476-116,330778/476-116,Vogt2004,1,0.0,-0.133995,-0.133995,-9.968106,dense,14.5
330781/476-117B,330781/476-117B,Vogt2004,1,0.0,-0.196261,-0.196261,-10.185397,dense,14.5
330918/498-012,330918/498-012,Vogt2004,1,0.0,0.303077,0.303077,-10.811351,dense,14.5
330923/477-006,330923/477-006,Vogt2004,1,0.0,-0.164488,-0.164488,-10.007642,dense,14.5
330925,330925,Vogt2004,1,0.0,0.075433,0.075433,-10.47154,dense,13.8
330958/477-020,330958/477-020,Vogt2004,1,0.0,-0.162603,-0.162603,-10.07213,dense,13.8
330980/477-024,330980/477-024,Vogt2004,1,0.0,-0.240348,-0.240348,-10.109343,dense,13.8
330992/477-027,330992/477-027,Vogt2004,1,0.0,-0.300691,-0.300691,-10.274947,dense,13.8
330996/477-028,330996/477-028,Vogt2004,1,0.0,-0.199128,-0.199128,-10.005195,dense,13.8
331013/478-003,331013/478-003,Vogt2004,1,0.0,-0.166277,-0.166277,-10.072347,dense,13.8
331021/478-004,331021/478-004,Vogt2004,1,0.0,-0.040027,-0.040027,-10.34592,dense,13.8
331095/F2526,331095/F2526,Vogt2004,1,0.0,-0.289839,-0.289839,-10.357038,dense,14.5
331185/F2532,331185/F2532,Vogt2004,1,0.0,0.069988,0.069988,-11.345827,dense,14.5
347-018,347-018,Catinella2005,11,0.084631,0.327824,0.36522,-10.766554,field,11.0
372-016,372-016,Catinella2005,7,0.091122,0.307138,0.345167,-10.479405,field,11.0
374-028,374-028,Catinella2005,6,0.175365,0.534396,0.45448,-11.227877,field,11.0
375-011,375-011,Catinella2005,5,0.105223,0.339021,0.389652,-11.058988,field,11.0
3757,3757,Catinella2005,6,0.130811,0.285249,0.341293,-10.859933,field,11.0
3783/F620,3783/F620,Vogt2004,1,0.0,-0.180886,-0.180886,-10.048157,field,11.0
379-034,379-034,Catinella2005,8,0.110007,0.475853,0.431291,-11.76836,field,11.0
382-021,382-021,Catinella2005,7,0.073122,0.364596,0.385534,-10.599601,field,11.0
384-060,384-060,Catinella2005,5,0.166146,0.291817,0.352072,-11.116503,field,11.0
384-064,384-064,Catinella2005,5,0.14884,0.098368,0.142092,-10.655736,field,11.0
3843/086-027,3843/086-027,Vogt2004,1,0.0,-0.182407,-0.182407,-10.682264,field,11.0
385-037,385-037,Catinella2005,6,0.072043,0.444041,0.404753,-10.99726,field,11.0
385-072,385-072,Catinella2005,5,0.151103,0.135043,0.178922,-11.569686,field,11.0
385-093,385-093,Catinella2005,5,0.113331,0.288363,0.33969,-10.444825,field,11.0
385-094,385-094,Catinella2005,5,0.099571,0.342946,0.370906,-12.311672,field,11.0
385-135,385-135,Catinella2005,5,0.142882,0.113977,0.167604,-9.986912,field,11.0
385-156,385-156,Catinella2005,6,0.090586,0.325175,0.362962,-10.573186,field,11.0
386-007,386-007,Catinella2005,5,0.116042,0.278981,0.337642,-10.7746,field,11.0
386-010,386-010,Catinella2005,7,0.086544,0.323457,0.308802,-10.67525,field,11.0
386-011,386-011,Catinella2005,5,0.117167,0.257596,0.321184,-10.242855,field,11.0
388-065,388-065,Catinella2005,5,0.081922,0.377706,0.407857,-11.086759,field,11.0
388-074,388-074,Catinella2005,5,0.066583,0.39725,0.403235,-10.863259,field,11.0
389-026,389-026,Catinella2005,5,0.169999,0.17516,0.241516,-10.763136,field,11.0
389-029,389-029,Catinella2005,7,0.097337,0.332764,0.37681,-10.950053,field,11.0
390-041,390-041,Catinella2005,9,0.082217,0.351587,0.3829,-10.94178,field,11.0
390-060,390-060,Catinella2005,7,0.146378,-0.089081,-0.060886,-10.279158,field,11.0
393-015,393-015,Catinella2005,5,0.076827,0.409467,0.43946,-11.207767,field,11.0
394-039,394-039,Catinella2005,8,0.098634,0.455675,0.430173,-10.397328,field,11.0
394-051,394-051,Catinella2005,13,0.079517,0.31142,0.347033,-10.619631,field,11.0
400662,400662,Catinella2005,6,0.112069,0.241574,0.294927,-10.545064,field,11.0
400814,400814,Catinella2005,6,0.116245,0.230851,0.291344,-10.565018,field,11.0
400848,400848,Catinella2005,5,0.081504,0.403698,0.442751,-11.452561,field,11.0
410490,410490,Catinella2005,5,0.132869,-0.199554,-0.180508,-10.37661,field,11.0
410491,410491,Catinella2005,5,0.103614,0.32166,0.379911,-11.55298,field,11.0
410519,410519,Catinella2005,5,0.139259,0.14123,0.184608,-11.125199,field,11.0
410526,410526,Catinella2005,5,0.108653,0.316855,0.374978,-11.096117,field,11.0
410752,410752,Catinella2005,5,0.064655,0.42737,0.428557,-10.39085,field,11.0
410955,410955,Catinella2005,5,0.084822,0.365797,0.40128,-10.880415,field,11.0
410956,410956,Catinella2005,7,0.120881,0.327093,0.375758,-11.463058,field,11.0
412-044,412-044,Catinella2005,5,0.076937,0.403057,0.427022,-11.729931,field,11.0
416-011,416-011,Catinella2005,8,0.060899,0.427711,0.41773,-10.513644,field,11.0
420428,420428,Catinella2005,7,0.067414,0.365886,0.381612,-10.45666,field,11.0
420434,420434,Catinella2005,6,0.127457,0.299229,0.353858,-10.913949,field,11.0
420451,420451,Catinella2005,5,0.136341,0.215747,0.28017,-10.348236,field,11.0
420612,420612,Catinella2005,5,0.148482,0.22941,0.285915,-11.858179,field,11.0
421-020,421-020,Catinella2005,9,0.12186,0.165645,0.210922,-10.281497,field,11.0
4257/118-069,4257/118-069,Vogt2004,1,0.0,-0.189654,-0.189654,-10.328718,dense,13.8
426-015,426-015,Catinella2005,5,0.057954,0.490214,0.494393,-10.984022,field,11.0
4275/N2540,4275/N2540,Vogt2004,1,0.0,-0.201988,-0.201988,-10.136992,dense,13.8
4287/N2545,4287/N2545,Vogt2004,1,0.0,-0.167792,-0.167792,-9.899699,dense,13.8
4299/119-020,4299/119-020,Vogt2004,1,0.0,-0.198203,-0.198203,-10.158993,dense,13.8
4308/119-029,4308/119-029,Vogt2004,1,0.0,-0.223449,-0.223449,-10.508448,dense,13.8
4324/119-041,4324/119-041,Vogt2004,1,0.0,-0.203423,-0.203423,-10.141335,dense,13.8
4329/119-046,4329/119-046,Vogt2004,1,0.0,-0.250251,-0.250251,-10.52417,dense,13.8
4331/N2558,4331/N2558,Vogt2004,1,0.0,-0.125028,-0.125028,-9.97395,dense,13.8
4334/N2565,4334/N2565,Vogt2004,1,0.0,-0.077213,-0.077213,-10.069436,dense,13.8
4354/N2570,4354/N2570,Vogt2004,1,0.0,-0.106221,-0.106221,-10.420521,dense,13.8
4361/119-070,4361/119-070,Vogt2004,1,0.0,-0.233199,-0.233199,-10.80092,dense,13.8
4383/I2339,4383/I2339,Vogt2004,1,0.0,-0.180886,-0.180886,-10.379561,dense,13.8
4386/119-083,4386/119-083,Vogt2004,1,0.0,-0.142313,-0.142313,-9.852349,dense,13.8
4399/119-092,4399/119-092,Vogt2004,1,0.0,-0.195778,-0.195778,-10.502277,dense,13.8
4400/119-093,4400/119-093,Vogt2004,1,0.0,-0.209493,-0.209493,-10.770577,dense,13.8
440578,440578,Catinella2005,6,0.065187,0.389881,0.396975,-10.814474,field,11.0
440604,440604,Catinella2005,5,0.170263,0.109532,0.164204,-10.559201,field,11.0
440628,440628,Catinella2005,6,0.07713,0.359007,0.390276,-10.89245,field,11.0
441-009,441-009,Catinella2005,11,0.054236,0.397815,0.399224,-10.385604,field,11.0
4424,4424,Vogt2004,1,0.0,-0.202006,-0.202006,-10.673555,dense,13.8
4464/119-124,4464/119-124,Vogt2004,1,0.0,-0.08746,-0.08746,-10.616218,dense,13.8
4484/N2608,4484/N2608,Vogt2004,1,0.0,-0.246894,-0.246894,-10.546464,dense,13.8
450231,450231,Catinella2005,7,0.128946,0.146878,0.189055,-10.50423,field,11.0
453-037,453-037,Catinella2005,5,0.121772,0.172822,0.222059,-10.187834,field,11.0
454-039,454-039,Catinella2005,10,0.066915,0.381576,0.403582,-11.253296,field,11.0
454-077,454-077,Catinella2005,5,0.144142,0.286764,0.345664,-11.327612,field,11.0
4575/120-031,4575/120-031,Vogt2004,1,0.0,0.047898,0.047898,-9.95675,field,11.0
459-067,459-067,Catinella2005,11,0.057357,0.343216,0.352095,-10.320257,field,11.0
4607/I2407,4607/I2407,Vogt2004,1,0.0,-0.168781,-0.168781,-9.971195,dense,13.8
463-039,463-039,Catinella2005,12,0.05956,0.350362,0.365255,-10.538848,field,11.0
4655/F808,4655/F808,Vogt2004,1,0.0,-0.206085,-0.206085,-10.365397,field,11.0
485 G 15,485G15,Catinella2005,6,0.095109,0.345451,0.390909,-11.022771,field,11.0
4865/181-003,4865/181-003,Vogt2004,1,0.0,0.331311,0.331311,-10.742905,dense,14.0
4895/151-043,4895/151-043,Vogt2004,1,0.0,0.020686,0.020686,-10.068184,field,11.0
490154,490154,Catinella2005,5,0.087324,-0.122667,-0.111151,-10.772546,field,11.0
490235,490235,Catinella2005,10,0.054369,0.426081,0.401464,-11.451561,field,11.0
490302,490302,Catinella2005,7,0.067176,0.394911,0.410586,-11.043047,field,11.0
490308,490308,Catinella2005,5,0.129699,0.249885,0.313496,-10.753423,field,11.0
4926/181-013,4926/181-013,Vogt2004,1,0.0,-0.068836,-0.068836,-9.851217,dense,14.0
4941/N2830,4941/N2830,Vogt2004,1,0.0,0.003715,0.003715,-10.037132,dense,14.0
4949/M+621020,4949/M+621020,Vogt2004,1,0.0,-0.078504,-0.078504,-10.276382,dense,14.0
500-014,500-014,Catinella2005,5,0.114986,0.315809,0.379723,-11.271359,field,11.0
500362,500362,Catinella2005,7,0.126955,0.223229,0.269387,-11.219867,field,11.0
508-003,508-003,Catinella2005,5,0.128183,0.506945,0.426329,-11.473254,field,11.0
510365,510365,Catinella2005,8,0.083018,0.383307,0.358185,-10.576248,field,11.0
510377,510377,Catinella2005,5,0.005123,0.438693,0.43856,-11.763089,field,11.0
510381,510381,Catinella2005,6,0.066471,0.457323,0.484045,-11.608249,field,11.0
510383,510383,Catinella2005,5,0.099021,0.229589,0.261546,-11.982144,field,11.0
510389,510389,Catinella2005,6,0.112719,0.540842,0.51273,-11.432614,field,11.0
510394,510394,Catinella2005,5,0.139867,0.092855,0.13016,-11.055814,field,11.0
5166/N2955,5166/N2955,Vogt2004,1,0.0,-0.074217,-0.074217,-9.905589,dense,14.0
519-019,519-019,Catinella2005,9,0.128172,0.496722,0.44244,-10.718658,field,11.0
5240/122-084,5240/122-084,Vogt2004,1,0.0,0.07182,0.07182,-10.53832,field,11.0
5250/N2998,5250/N2998,Vogt2004,1,0.0,-0.062415,-0.062415,-10.128999,field,11.0
530603,530603,Catinella2005,5,0.080881,0.524195,0.532124,-10.264582,field,11.0
530628,530628,Catinella2005,5,0.153796,0.249333,0.314735,-11.008071,field,11.0
530631,530631,Catinella2005,5,0.153857,0.188874,0.241981,-11.59953,field,11.0
532 G 15,532G15,Catinella2005,5,0.165654,0.059443,0.09676,-12.109479,field,11.0
540233,540233,Catinella2005,5,0.148989,0.227511,0.288711,-11.003433,field,11.0
540235,540235,Catinella2005,5,0.379573,-0.068345,0.006217,-11.581305,field,11.0
5607/037-014,5607/037-014,Vogt2004,1,0.0,-0.063271,-0.063271,-10.080179,field,11.0
565 G 31,565G31,Catinella2005,5,0.063091,0.468312,0.452561,-10.831066,field,11.0
5656/183-025,5656/183-025,Vogt2004,1,0.0,-0.191613,-0.191613,-10.105311,field,11.0
583 G 7,583G7,Catinella2005,9,0.073312,0.28658,0.31648,-10.441043,field,11.0
596 G 36,596G36,Catinella2005,5,0.093133,0.358441,0.402986,-11.279237,field,11.0
597 G 20,597G20,Catinella2005,8,0.056215,0.393443,0.386911,-10.604702,field,11.0
610499,610499,Catinella2005,5,0.092347,0.019956,0.057005,-10.62721,field,11.0
620266,620266,Catinella2005,6,0.098356,0.338041,0.386076,-11.703728,field,11.0
6246/126-006,6246/126-006,Vogt2004,1,0.0,-0.257181,-0.257181,-10.22056,dense,14.8
6437/094-042,6437/094-042,Vogt2004,1,0.0,-0.249291,-0.249291,-10.33699,dense,14.8
6551/F1274,6551/F1274,Vogt2004,1,0.0,-0.235441,-0.235441,-10.298334,field,11.0
6556/097-015,6556/097-015,Vogt2004,1,0.0,-0.271395,-0.271395,-10.214663,dense,14.8
6559/097-016,6559/097-016,Vogt2004,1,0.0,-0.163294,-0.163294,-10.545183,dense,14.8
6697/097-087,6697/097-087,Vogt2004,1,0.0,-0.07981,-0.07981,-9.913518,dense,14.8
6702/N3840,6702/N3840,Vogt2004,1,0.0,-0.203757,-0.203757,-10.26766,dense,14.8
6718/N3860,6718/N3860,Vogt2004,1,0.0,-0.181795,-0.181795,-9.947731,dense,14.8
6719/097-121,6719/097-121,Vogt2004,1,0.0,-0.135893,-0.135893,-10.064952,dense,14.8
6721/N3859,6721/N3859,Vogt2004,1,0.0,-0.183987,-0.183987,-9.982155,dense,14.8
6724/N3861,6724/N3861,Vogt2004,1,0.0,-0.122853,-0.122853,-9.87938,dense,14.8
6731/N3867,6731/N3867,Vogt2004,1,0.0,-0.207329,-0.207329,-10.106776,dense,14.8
6746/N3884,6746/N3884,Vogt2004,1,0.0,-0.111632,-0.111632,-9.878914,dense,14.8
6911/098-008,6911/098-008,Vogt2004,1,0.0,-0.182527,-0.182527,-10.088743,dense,14.8
6928/N3987,6928/N3987,Vogt2004,1,0.0,0.41112,0.41112,-10.542798,dense,14.8
7315/N4237,7315/N4237,Vogt2004,1,0.0,-0.268173,-0.268173,-10.307535,dense,14.9
7724/I3516,7724/I3516,Vogt2004,1,0.0,-0.176254,-0.176254,-10.09212,dense,15.0
7791/I3598,7791/I3598,Vogt2004,1,0.0,-0.051356,-0.051356,-9.859362,dense,15.0
7845/159-055,7845/159-055,Vogt2004,1,0.0,-0.115843,-0.115843,-10.359271,dense,15.0
7877,7877,Vogt2004,1,0.0,0.004908,0.004908,-10.454189,dense,15.0
7955/M+530080,7955/M+530080,Vogt2004,1,0.0,-0.151192,-0.151192,-10.058627,dense,15.0
8004/159-096,8004/159-096,Vogt2004,1,0.0,-0.20076,-0.20076,-10.287705,dense,15.0
8013/159-099,8013/159-099,Vogt2004,1,0.0,-0.223243,-0.223243,-10.029157,dense,15.0
8017/159-102,8017/159-102,Vogt2004,1,0.0,-0.139159,-0.139159,-9.714466,dense,15.0
8069/160-038,8069/160-038,Vogt2004,1,0.0,-0.208467,-0.208467,-9.981023,dense,15.0
8082/N4848,8082/N4848,Vogt2004,1,0.0,-0.021005,-0.021005,-10.106736,dense,15.0
809/520-033,809/520-033,Vogt2004,1,0.0,-0.228252,-0.228252,-10.204036,dense,13.5
8096/I3949,8096/I3949,Vogt2004,1,0.0,-0.141127,-0.141127,-10.003494,dense,15.0
8108/N4892,8108/N4892,Vogt2004,1,0.0,-0.140076,-0.140076,-9.886376,dense,15.0
8118/I842,8118/I842,Vogt2004,1,0.0,-0.164116,-0.164116,-10.042452,dense,15.0
8128/N4911,8128/N4911,Vogt2004,1,0.0,-0.192822,-0.192822,-10.097441,dense,15.0
8140/I4088,8140/I4088,Vogt2004,1,0.0,-0.098561,-0.098561,-9.858129,dense,15.0
8161/160-121,8161/160-121,Vogt2004,1,0.0,-0.110685,-0.110685,-10.214502,dense,15.0
8194/N4966,8194/N4966,Vogt2004,1,0.0,0.334093,0.334093,-10.736101,dense,15.0
8220/I4202,8220/I4202,Vogt2004,1,0.0,-0.093557,-0.093557,-9.785819,dense,15.0
8229/160-148,8229/160-148,Vogt2004,1,0.0,-0.137801,-0.137801,-10.198371,dense,15.0
8244/M+531146,8244/M+531146,Vogt2004,1,0.0,-0.287917,-0.287917,-10.308281,dense,15.0
8328,8328,Vogt2004,1,0.0,-0.178418,-0.178418,-10.505802,dense,15.0
8337/N5056,8337/N5056,Vogt2004,1,0.0,-0.084551,-0.084551,-10.286337,dense,15.0
8356/N5065,8356/N5065,Vogt2004,1,0.0,-0.185593,-0.185593,-10.343161,dense,15.0
841/502-025,841/502-025,Vogt2004,1,0.0,-0.253254,-0.253254,-10.254417,dense,13.5
8460/N5159,8460/N5159,Vogt2004,1,0.0,-0.205618,-0.205618,-10.202432,field,11.0
8488/N5185,8488/N5185,Vogt2004,1,0.0,-0.006019,-0.006019,-9.795789,field,11.0
8705/132-006,8705/132-006,Vogt2004,1,0.0,-0.029271,-0.029271,-10.183929,field,11.0
8943/N5417,8943/N5417,Vogt2004,1,0.0,-0.024449,-0.024449,-9.8189,field,11.0
916/I1683,916/I1683,Vogt2004,1,0.0,0.27988,0.27988,-10.866827,dense,13.5
927/N496,927/N496,Vogt2004,1,0.0,-0.246283,-0.246283,-10.176762,dense,13.5
940/521-016,940/521-016,Vogt2004,1,0.0,-0.20882,-0.20882,-10.190557,dense,13.5
944/N512,944/N512,Vogt2004,1,0.0,-0.06635,-0.06635,-9.829883,dense,13.5
975/521-021,975/521-021,Vogt2004,1,0.0,0.179359,0.179359,-11.100658,dense,13.5
9807/077-062,9807/077-062,Vogt2004,1,0.0,0.35331,0.35331,-10.688792,dense,14.3
9838/049-158,9838/049-158,Vogt2004,1,0.0,0.414985,0.414985,-10.532814,dense,14.3
9844/049-162,9844/049-162,Vogt2004,1,0.0,0.365673,0.365673,-10.658058,dense,14.3
A168-33,A168-33,Catinella2005,5,0.130588,0.177691,0.227786,-10.430007,field,11.0
AGC 260268,AGC260268,Yu2020,1,0.0,-0.931508,-0.931508,-12.164869,field,11.0
AM0605-341,AM0605-341,LVHIS,1,0.0,0.634225,0.634225,-11.918769,field,11.0
AM0704-582,AM0704-582,LVHIS,2,0.168996,0.022934,0.022934,-11.971437,field,11.0
CamB,CAMB,SPARC,9,0.263604,-0.688744,-0.677848,-11.6734,field,9.5
Circinus,CIRCINUS,LVHIS,1,0.0,0.322994,0.322994,-12.249716,field,11.0
D512-2,D512-2,SS20_S,1,0.0,-0.041526,-0.041526,-11.350651,field,11.0
D564-8,D564-8,SPARC,6,0.098918,-0.192992,-0.145748,-12.060358,field,10.0
D631-7,D631-7,SPARC,16,0.224374,-0.146086,-0.089536,-11.451441,field,10.0
DDO 101,DDO101,LITTLETHINGS,1,0.0,0.480142,0.480142,-11.434885,field,11.0
DDO 105,DDO105,Yu2020,1,0.0,-0.687618,-0.687618,-12.80379,field,11.0
DDO 210,DDO210,LITTLETHINGS,1,0.0,-0.126583,-0.126583,-11.537377,field,11.0
DDO 43,DDO43,LITTLETHINGS,1,0.0,-0.268794,-0.268794,-11.733502,field,11.0
DDO 46,DDO46,LITTLETHINGS,1,0.0,0.33018,0.33018,-11.44245,field,11.0
DDO 53,DDO53,LITTLETHINGS,1,0.0,-0.183874,-0.183874,-11.276961,field,11.0
DDO 70,DDO70,LITTLETHINGS,1,0.0,0.275831,0.275831,-11.697321,field,11.0
DDO 80,DDO80,Yu2020,1,0.0,-1.306392,-1.306392,-13.095376,field,11.0
DDO064,DDO064,SPARC,14,0.165909,-0.127903,-0.157959,-11.663982,field,10.0
DDO154,DDO154,SPARC,12,0.025922,-0.048577,-0.039672,-11.626737,field,12.0
DDO161,DDO161,SPARC,31,0.039894,-0.21687,-0.206364,-11.381907,field,10.0
DDO168,DDO168,SPARC,10,0.141216,-0.116384,-0.066027,-11.133635,field,12.0
DDO170,DDO170,SPARC,8,0.064192,-0.29097,-0.310459,-11.600052,field,10.5
DDO185,DDO185,deBlok2002,8,0.250952,-0.196198,-0.220933,-11.697992,field,11.0
DDO189,DDO189,deBlok2002,11,0.200273,0.148583,0.081982,-11.563305,field,11.0
DDO47,DDO47,deBlok2002,8,0.122325,0.214577,0.262982,-11.576209,field,11.0
DDO64,DDO64,deBlok2002,14,0.124106,0.252974,0.321275,-11.763235,field,11.0
ESO 115- G 021,ESO115-G021,Yu2020,1,0.0,-0.809244,-0.809244,-13.351981,field,11.0
ESO059-G001,ESO059-G001,LVHIS,2,0.004041,0.437335,0.437335,-12.187678,field,11.0
ESO079-G014,ESO079-G014,SPARC,15,0.094554,-0.022187,-0.017658,-11.166268,field,11.0
ESO116-G012,ESO116-G012,SPARC,15,0.041503,-0.006484,-0.000269,-11.069446,field,11.0
ESO121-G020,ESO121-G020,LVHIS,1,0.0,0.291013,0.291013,-11.942132,field,11.0
ESO137-G018,ESO137-G018,LVHIS,2,0.045831,0.257655,0.257655,-11.794518,field,11.0
ESO154-G023,ESO154-G023,LVHIS,1,0.0,-0.07839,-0.07839,-12.113631,field,11.0
ESO174-G001,ESO174-G001,LVHIS,1,0.0,0.359879,0.359879,-12.17092,field,11.0
ESO215-G009,ESO215-G009,LVHIS,1,0.0,-0.149668,-0.149668,-11.855375,field,11.0
ESO245-G005,ESO245-G005,LVHIS,2,0.028481,-0.092115,-0.092115,-11.784086,field,11.0
ESO308-G022,ESO308-G022,LVHIS,1,0.0,0.129846,0.129846,-12.167399,field,11.0
ESO325-G011,ESO325-G011,LVHIS,2,0.027264,0.181997,0.181997,-11.894672,dense,12.5
ESO349-G031,ESO349-G031,LVHIS,1,0.0,-0.141461,-0.141461,-12.263892,field,11.0
ESO381-G020,ESO381-G020,LVHIS,2,0.035006,0.006463,0.006463,-11.859536,field,11.0
ESO444-G084,ESO444-G084,SPARC,7,0.091099,0.094766,0.089548,-11.096161,dense,12.5
ESO461-G036,ESO461-G036,LVHIS,1,0.0,0.224183,0.224183,-12.366849,field,11.0
ESO563-G021,ESO563-G021,SPARC,30,0.253674,-0.062646,0.013807,-9.970703,field,11.0
F564-V3,F564-V3,LITTLETHINGS,1,0.0,-0.01568,-0.01568,-12.35395,field,11.0
F565-V2,F565-V2,SPARC,7,0.102014,-0.041462,-0.01508,-11.508542,field,11.0
F568-3,F568-3,SPARC,18,0.177167,-0.035427,0.016474,-11.034525,field,11.0
F568-V1,F568-V1,SPARC,15,0.118184,0.133362,0.161422,-10.860334,field,11.0
F571-8,F571-8,SPARC,13,0.341296,-0.129807,-0.013382,-10.664365,field,0.0
F571-V1,F571-V1,SPARC,7,0.073924,-0.028611,-0.008906,-11.267535,field,11.7436
F574-1,F574-1,SPARC,14,0.111676,-0.032957,-0.011667,-11.041342,field,11.0
F583-1,F583-1,SPARC,25,0.227305,-0.100683,0.015829,-11.265289,field,11.0
F583-4,F583-4,SPARC,12,0.031163,0.004748,-0.007626,-11.298826,field,11.0
FGC0471,FGC0471,Catinella2005,9,0.055949,0.426656,0.418254,-11.160064,field,11.0
FGC1062,FGC1062,Catinella2005,5,0.134781,0.074528,0.110143,-11.044879,field,11.0
FGC1263,FGC1263,Catinella2005,5,0.152038,-0.052044,-0.010229,-10.547891,field,11.0
FGC1282,FGC1282,Catinella2005,6,0.166701,0.122985,0.177264,-10.674341,field,11.0
FGC1395,FGC1395,Catinella2005,5,0.149026,0.21974,0.276267,-11.401489,field,11.0
FGC495,FGC495,Catinella2005,5,0.157086,0.198761,0.25473,-11.392249,field,11.0
Haro 36,HARO36,LITTLETHINGS,1,0.0,0.283747,0.283747,-11.625376,field,11.0
I 1048,I1048,Catinella2005,5,0.136933,0.148372,0.219495,-10.509655,field,11.0
I 1055,I1055,Catinella2005,5,0.074556,0.325064,0.349612,-10.39024,field,11.0
I 1058,I1058,Catinella2005,9,0.056764,0.226046,0.233059,-10.333731,field,11.0
I 1125,I1125,Catinella2005,5,0.090807,0.362748,0.401622,-11.227967,field,11.0
I 1417,I1417,Catinella2005,8,0.078386,0.271398,0.295601,-10.409641,field,11.0
I 1524,I1524,Catinella2005,6,0.109244,0.498063,0.473249,-10.696307,field,11.0
I 1546,I1546,Catinella2005,5,0.118526,0.265232,0.327022,-10.534547,field,11.0
I 1681,I1681,Catinella2005,5,0.116808,0.34626,0.392548,-11.567555,field,11.0
I 1755,I1755,Catinella2005,6,0.075969,0.344571,0.372543,-10.286451,field,11.0
I 1856,I1856,Catinella2005,6,0.04885,0.406283,0.38711,-10.516153,field,11.0
I 217,I217,Catinella2005,5,0.147652,0.145731,0.19356,-11.070938,field,11.0
I 2974,I2974,Catinella2005,14,0.049728,0.412565,0.392326,-10.827035,field,11.0
I 34,I34,Catinella2005,7,0.061567,0.359096,0.35874,-10.054567,field,11.0
I 344,I344,Catinella2005,5,0.133668,0.238442,0.298918,-11.065788,field,11.0
I 4218,I4218,Catinella2005,5,0.115694,0.291909,0.350607,-10.55369,field,11.0
I 4221,I4221,Catinella2005,5,0.126526,0.288925,0.349668,-10.999194,field,11.0
I 531,I531,Catinella2005,7,0.07904,0.381421,0.38533,-10.888944,field,11.0
I 5334,I5334,Catinella2005,5,0.099711,0.397618,0.363719,-10.442133,field,11.0
I 562,I562,Catinella2005,5,0.080688,0.318683,0.342361,-10.863128,field,11.0
I 594,I594,Catinella2005,6,0.068079,0.375737,0.387207,-10.756914,field,11.0
I 609,I609,Catinella2005,7,0.172343,0.538318,0.45592,-10.928459,field,11.0
I 624,I624,Catinella2005,10,0.115487,0.455034,0.409446,-10.565081,field,11.0
I 653,I653,Catinella2005,6,0.068643,0.498878,0.474733,-10.537706,field,11.0
I 728,I728,Catinella2005,9,0.079596,0.51382,0.491451,-11.132484,field,11.0
I 944,I944,Catinella2005,9,0.062033,0.352187,0.370035,-10.217967,field,11.0
IC 10,IC10,LITTLETHINGS,1,0.0,-0.190398,-0.190398,-10.191426,field,11.0
IC 1654,IC1654,Noordermeer2005,1,0.0,-0.026308,-0.026308,-10.523922,field,12.5
IC 167,IC167,Yu2020,1,0.0,-0.919322,-0.919322,-12.855361,field,11.0
IC 1959,IC1959,LVHIS,1,0.0,0.275868,0.275868,-11.830383,field,11.0
IC 2387,IC2387,Yu2020,1,0.0,-0.69054,-0.69054,-12.333014,field,11.0
IC 356,IC356,Noordermeer2005,1,0.0,0.080985,0.080985,-9.82019,field,12.0
IC 357,IC357,Noordermeer2005,1,0.0,-0.844804,-0.844804,-10.085222,field,12.5
IC 476,IC476,GHASP,3,0.047388,-0.383686,-0.37947,-9.984255,field,11.0
IC 5052,IC5052,LVHIS,1,0.0,0.285769,0.285769,-12.255483,field,11.0
IC 5152,IC5152,LVHIS,2,0.01219,0.378825,0.378825,-11.940194,field,11.0
IC 529,IC529,Yu2020,1,0.0,-0.614455,-0.614455,-12.311268,field,11.0
IC1954,IC1954,PHANGS,34,0.112801,-0.107767,-0.106641,-9.897272,field,11.0
IC2233,IC2233,deBlok2002,25,0.331631,0.444618,0.440772,-12.132122,field,11.0
IC2574,IC2574,SPARC,34,0.056761,-0.090122,-0.09282,-11.874626,field,12.0
IC4202,IC4202,SS20_S,1,0.0,0.076648,0.076648,-9.929447,field,11.0
IC5273,IC5273,PHANGS,33,0.226069,-0.251583,-0.152241,-9.868428,field,11.0
IZw 18,IZW18,Yu2020,1,0.0,-0.673756,-0.673756,-13.133935,field,11.0
