galaxy,galaxy_key,source,n_points,sigma_res,mean_res,median_res,mean_log_gbar,env_dense,logMh
110158/520-032,110158/520-032,Vogt2004,1,0.0,0.071935,0.071935,-11.341527,dense,13.5
110177/N451,110177/N451,Vogt2004,1,0.0,0.079591,0.079591,-11.324606,dense,13.5
110334/521-028,110334/521-028,Vogt2004,1,0.0,-0.189831,-0.189831,-10.568586,dense,13.5
110363/502-093,110363/502-093,Vogt2004,1,0.0,-0.138348,-0.138348,-10.486635,dense,13.5
110579/522-025,110579/522-025,Vogt2004,1,0.0,-0.392371,-0.392371,-11.021029,dense,14.0
110618/522-062,110618/522-062,Vogt2004,1,0.0,0.03982,0.03982,-11.151428,dense,14.0
110759/N507-A1,110759/N507-A1,Vogt2004,1,0.0,0.327785,0.327785,-10.751511,dense,13.5
11091/199-034,11091/199-034,Vogt2004,1,0.0,-0.271649,-0.271649,-10.338253,field,11.0
11102,11102,Catinella2005,15,0.097407,0.284585,0.333337,-11.427293,field,11.0
111140,111140,Catinella2005,7,0.078769,0.393162,0.428355,-11.810135,field,11.0
11348/N6701,11348/N6701,Vogt2004,1,0.0,-0.180603,-0.180603,-11.884977,field,11.0
11413/280-019,11413/280-019,Vogt2004,1,0.0,0.184501,0.184501,-11.08892,field,11.0
11429/N6792,11429/N6792,Vogt2004,1,0.0,-0.067822,-0.067822,-9.756792,field,11.0
11455/341-028,11455/341-028,Vogt2004,1,0.0,-0.021631,-0.021631,-9.808439,field,11.0
11579/M+052026,11579/M+052026,Vogt2004,1,0.0,-0.191216,-0.191216,-9.951603,field,11.0
11633/N6969,11633/N6969,Vogt2004,1,0.0,-0.031071,-0.031071,-9.976704,field,11.0
118-069,118-069,Catinella2005,8,0.124412,0.364583,0.397919,-11.840158,field,11.0
11809/402-022,11809/402-022,Vogt2004,1,0.0,-0.091472,-0.091472,-9.687204,field,11.0
11810/I1401,11810/I1401,Vogt2004,1,0.0,-0.190638,-0.190638,-10.042332,field,11.0
119-029,119-029,Catinella2005,6,0.117499,0.50156,0.440803,-11.752577,field,11.0
120852/M+108036,120852/M+108036,Vogt2004,1,0.0,-0.347174,-0.347174,-10.490033,dense,14.2
120871,120871,Vogt2004,1,0.0,0.092493,0.092493,-11.296011,dense,14.2
12173/514-103,12173/514-103,Vogt2004,1,0.0,-0.166076,-0.166076,-10.036907,field,11.0
1234/521-078,1234/521-078,Vogt2004,1,0.0,-0.280366,-0.280366,-10.362272,dense,14.0
1238/N668,1238/N668,Vogt2004,1,0.0,-0.061811,-0.061811,-10.393503,dense,14.0
1248/N669,1248/N669,Vogt2004,1,0.0,-0.043543,-0.043543,-9.687904,dense,14.0
1257/522-007,1257/522-007,Vogt2004,1,0.0,-0.080433,-0.080433,-10.245275,dense,14.0
12631/476-054,12631/476-054,Vogt2004,1,0.0,-0.132609,-0.132609,-9.816897,dense,14.5
12678/476-072,12678/476-072,Vogt2004,1,0.0,-0.041062,-0.041062,-9.889846,dense,14.5
12701/M+555040,12701/M+555040,Vogt2004,1,0.0,-0.130943,-0.130943,-10.196189,dense,14.5
12712/N7718,12712/N7718,Vogt2004,1,0.0,-0.023622,-0.023622,-10.041849,dense,14.5
12721/476-098,12721/476-098,Vogt2004,1,0.0,-0.021816,-0.021816,-10.124594,dense,14.5
12746/476-119,12746/476-119,Vogt2004,1,0.0,-0.168349,-0.168349,-9.872543,dense,14.5
12755/498-004,12755/498-004,Vogt2004,1,0.0,-0.064977,-0.064977,-9.84939,dense,14.5
12772/N7747,12772/N7747,Vogt2004,1,0.0,-0.069625,-0.069625,-9.816749,dense,13.8
12792/477-013,12792/477-013,Vogt2004,1,0.0,-0.181558,-0.181558,-9.889412,dense,13.8
12803/498-018,12803/498-018,Vogt2004,1,0.0,0.102237,0.102237,-10.166203,dense,13.8
130014/415-058,130014/415-058,Vogt2004,1,0.0,0.16467,0.16467,-11.134073,dense,14.2
1302/N688,1302/N688,Vogt2004,1,0.0,-0.048613,-0.048613,-10.111634,dense,14.0
130204/540-115,130204/540-115,Vogt2004,1,0.0,-0.181323,-0.181323,-9.903396,dense,14.8
1307/522-021,1307/522-021,Vogt2004,1,0.0,-0.108591,-0.108591,-9.976831,dense,14.0
1316/522-023,1316/522-023,Vogt2004,1,0.0,-0.296181,-0.296181,-10.500647,dense,14.0
132-040,132-040,Catinella2005,5,0.10074,0.303079,0.358486,-10.445667,field,11.0
1350/522-042,1350/522-042,Vogt2004,1,0.0,-0.106499,-0.106499,-9.833999,dense,14.0
1366/522-055,1366/522-055,Vogt2004,1,0.0,-0.176308,-0.176308,-9.929093,dense,14.0
139-034,139-034,Catinella2005,16,0.067186,0.365967,0.376516,-10.857556,field,11.0
1404/522-073,1404/522-073,Vogt2004,1,0.0,0.081472,0.081472,-11.320443,dense,14.0
1405/522-074,1405/522-074,Vogt2004,1,0.0,-0.211589,-0.211589,-10.461988,dense,14.0
1416/522-081,1416/522-081,Vogt2004,1,0.0,-0.144017,-0.144017,-10.024441,dense,14.0
