caliper_z,xi_pairs,xi_cliffs_delta,xi_perm_p,xi_median_delta,xi_frac_delta_lt0,xi_spearman_dMetric_dGext,xi_spearman_p,rs_pairs,rs_cliffs_delta,rs_perm_p,rs_median_delta,rs_frac_delta_lt0,rs_spearman_dMetric_dGext,rs_spearman_p
0.75,12,-0.6805555555555556,0.008991008991008992,-0.10348440412476353,0.9166666666666666,-0.5454545454545454,0.06640749153661352,15,0.03111111111111111,0.7402597402597403,-0.006310524735380241,0.5333333333333333,-0.19642857142857142,0.4905662941224924
1.0,16,-0.578125,0.005994005994005994,-0.0780159622898926,0.8125,-0.4441176470588235,0.08523182726515643,18,0.1111111111111111,0.3836163836163836,0.0033077620611748765,0.4444444444444444,-0.21362229102167182,0.4007418094125974
1.25,21,-0.6643990929705216,0.002997002997002997,-0.09948548875255571,0.9047619047619048,-0.34285714285714286,0.12951713588810865,19,0.11911357340720222,0.3936063936063936,0.005107229325942347,0.47368421052631576,-0.18596491228070175,0.4516800703841972
1.5,22,-0.6198347107438017,0.002997002997002997,-0.09918586132561613,0.8636363636363636,-0.4624505928853755,0.029161389193136156,22,0.0371900826446281,0.5574425574425574,0.005420118298043113,0.45454545454545453,-0.34839073969508755,0.11297913474147192
2.0,26,-0.5443786982248521,0.006993006993006993,-0.1032617971500723,0.8846153846153846,-0.27452991452991454,0.17661332589296208,22,0.0743801652892562,0.5304695304695305,0.005420118298043113,0.4090909090909091,-0.14624505928853754,0.5208268919413077
