caliper_z,pairs,median_delta_metric_high_minus_low,fraction_delta_lt_0,cliffs_delta,spearman_deltaMetric_vs_deltaLogGext_rho,spearman_p,pearson_r,pearson_p
0.75,12,-0.10348440412476353,0.9166666666666666,-0.6805555555555556,-0.5454545454545455,0.06661188226688902,-0.429389969244321,0.1636143304851001
1.0,16,-0.0780159622898926,0.8125,-0.578125,-0.4441176470588235,0.08482274417741573,-0.5601271685038192,0.024034621571731182
1.25,21,-0.09948548875255571,0.9047619047619048,-0.6643990929705216,-0.34285714285714286,0.1281314100732618,-0.38595616471918104,0.0839772435668501
1.5,22,-0.09918586132561613,0.8636363636363636,-0.6198347107438017,-0.4624505928853756,0.030231878253170995,-0.36372284401677224,0.09611529827528849
2.0,26,-0.1032617971500723,0.8846153846153846,-0.5443786982248521,-0.2745299145299145,0.1747067086699835,-0.31400296018628426,0.11824688415933918
